feature,dimension,n_images,model,pooling,candidate_kind
dinov3__cls__panorama,768,106,dinov3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
dinov3__cls__faces_global,768,106,dinov3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
dinov3__cls__faces_concat,4608,106,dinov3,"face means/ordered concat are declared numeric pooling, not additional captures",new_pool_exploration
da3__layer5__faces_global,1536,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
da3__layer5__faces_local16,24576,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
da3__layer5__faces_concat,9216,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",new_pool_exploration
da3__layer7__faces_global,1536,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
da3__layer7__faces_local16,24576,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
da3__layer7__faces_concat,9216,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",new_pool_exploration
da3__layer9__faces_global,1536,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
da3__layer9__faces_local16,24576,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
da3__layer9__faces_concat,9216,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",new_pool_exploration
da3__layer11__faces_global,1536,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
da3__layer11__faces_local16,24576,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",prespecified_layer_numeric_pool
da3__layer11__faces_concat,9216,106,da3,"face means/ordered concat are declared numeric pooling, not additional captures",new_pool_exploration
feedback__all,25,106,numeric_feedback,explicit per-panorama summaries; not truth or convergence,followup_feedback
feedback__point_counts,3,106,numeric_feedback,explicit per-panorama summaries; not truth or convergence,followup_feedback
feedback__rotation,4,106,numeric_feedback,explicit per-panorama summaries; not truth or convergence,followup_feedback
feedback__between_models,6,106,numeric_feedback,explicit per-panorama summaries; not truth or convergence,followup_feedback
feedback__bi_scope,2,106,numeric_feedback,explicit per-panorama summaries; not truth or convergence,followup_feedback
feedback__da3,4,106,numeric_feedback,explicit per-panorama summaries; not truth or convergence,followup_feedback
dinov3__block3__faces_local96,147456,106,dinov3,ordered 6 faces x 16 local strips x full channel mean/std; not additional capture positions,full_local_prespecified_layers_followup_pooling
dinov3__block6__faces_local96,147456,106,dinov3,ordered 6 faces x 16 local strips x full channel mean/std; not additional capture positions,full_local_prespecified_layers_followup_pooling
dinov3__block9__faces_local96,147456,106,dinov3,ordered 6 faces x 16 local strips x full channel mean/std; not additional capture positions,full_local_prespecified_layers_followup_pooling
dinov3__block11__faces_local96,147456,106,dinov3,ordered 6 faces x 16 local strips x full channel mean/std; not additional capture positions,full_local_prespecified_layers_followup_pooling
dinov3__block12__faces_local96,147456,106,dinov3,ordered 6 faces x 16 local strips x full channel mean/std; not additional capture positions,full_local_prespecified_layers_followup_pooling
da3__layer5__faces_local96,147456,106,da3,ordered 6 faces x 16 local strips x full channel mean/std; not additional capture positions,full_local_prespecified_layers_followup_pooling
da3__layer7__faces_local96,147456,106,da3,ordered 6 faces x 16 local strips x full channel mean/std; not additional capture positions,full_local_prespecified_layers_followup_pooling
da3__layer9__faces_local96,147456,106,da3,ordered 6 faces x 16 local strips x full channel mean/std; not additional capture positions,full_local_prespecified_layers_followup_pooling
da3__layer11__faces_local96,147456,106,da3,ordered 6 faces x 16 local strips x full channel mean/std; not additional capture positions,full_local_prespecified_layers_followup_pooling
