people_budget,config,lookahead,k,image_n,stable_lower,stable_upper,mode,min_support,epsilon
5,q_0.925,1,2,54,0.3975,0.8632407407407408,with_workers,2,0.1
5,q_0.925,2,2,54,0.32314814814814813,0.7888888888888889,with_workers,2,0.1
5,q_0.925,3,2,54,0.2777777777777778,0.7435185185185185,with_workers,2,0.1
5,q_0.925,1,3,54,0.5472222222222223,0.7535185185185185,with_workers,2,0.1
5,q_0.925,2,3,54,0.2777777777777778,0.4840740740740741,with_workers,2,0.1
5,q_0.925,1,4,54,0.6293518518518518,0.7224074074074074,with_workers,2,0.1
5,q_0.900,1,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.900,2,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.900,3,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.900,1,2,54,0.4008333333333333,0.8591666666666667,with_workers,2,0.1
5,q_0.900,2,2,54,0.32314814814814813,0.7814814814814816,with_workers,2,0.1
5,q_0.900,3,2,54,0.2777777777777778,0.7361111111111112,with_workers,2,0.1
5,q_0.900,1,3,54,0.5582407407407407,0.7443518518518518,with_workers,2,0.1
5,q_0.900,2,3,54,0.2777777777777778,0.4638888888888889,with_workers,2,0.1
5,q_0.900,1,4,54,0.6520370370370371,0.7263888888888889,with_workers,2,0.1
5,q_0.850,1,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.850,2,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.850,3,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.850,1,2,54,0.41175925925925927,0.8578703703703704,with_workers,2,0.1
5,q_0.850,2,2,54,0.3305555555555556,0.7766666666666666,with_workers,2,0.1
5,q_0.850,3,2,54,0.2777777777777778,0.7238888888888888,with_workers,2,0.1
5,q_0.850,1,3,54,0.5767592592592593,0.7510185185185185,with_workers,2,0.1
5,q_0.850,2,3,54,0.2777777777777778,0.452037037037037,with_workers,2,0.1
5,q_0.850,1,4,54,0.6596296296296296,0.7339814814814815,with_workers,2,0.1
5,q_0.800,1,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.800,2,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.800,3,1,54,0.0,1.0,with_workers,2,0.1
5,q_0.800,1,2,54,0.41648148148148145,0.8566666666666666,with_workers,2,0.1
5,q_0.800,2,2,54,0.33379629629629626,0.7739814814814815,with_workers,2,0.1
5,q_0.800,3,2,54,0.2777777777777778,0.717962962962963,with_workers,2,0.1
5,q_0.800,1,3,54,0.5865740740740741,0.754537037037037,with_workers,2,0.1
5,q_0.800,2,3,54,0.2777777777777778,0.44574074074074077,with_workers,2,0.1
5,q_0.800,1,4,54,0.6636111111111112,0.737962962962963,with_workers,2,0.1
5,ospa30_t6,1,1,54,0.0,1.0,with_workers,2,0.1
5,ospa30_t6,2,1,54,0.0,1.0,with_workers,2,0.1
5,ospa30_t6,3,1,54,0.0,1.0,with_workers,2,0.1
5,ospa30_t6,1,2,54,0.36287037037037034,0.8682407407407408,with_workers,2,0.1
5,ospa30_t6,2,2,54,0.2800925925925926,0.7867592592592593,with_workers,2,0.1
5,ospa30_t6,3,2,54,0.2222222222222222,0.7305555555555556,with_workers,2,0.1
5,ospa30_t6,1,3,54,0.515,0.7744444444444445,with_workers,2,0.1
5,ospa30_t6,2,3,54,0.2222222222222222,0.48629629629629634,with_workers,2,0.1
5,ospa30_t6,1,4,54,0.5941666666666667,0.7647222222222223,with_workers,2,0.1
6,q_0.975,1,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.975,2,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.975,3,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.975,1,2,23,0.45173913043478264,0.9065217391304349,with_workers,2,0.1
6,q_0.975,2,2,23,0.4128260869565218,0.8676086956521738,with_workers,2,0.1
6,q_0.975,3,2,23,0.3976086956521739,0.8523913043478261,with_workers,2,0.1
6,q_0.975,1,3,23,0.5147826086956522,0.7693478260869565,with_workers,2,0.1
6,q_0.975,2,3,23,0.3976086956521739,0.6521739130434783,with_workers,2,0.1
6,q_0.975,3,3,23,0.391304347826087,0.6458695652173914,with_workers,2,0.1
6,q_0.975,1,4,23,0.5839130434782609,0.717391304347826,with_workers,2,0.1
6,q_0.975,2,4,23,0.44586956521739135,0.5793478260869565,with_workers,2,0.1
6,q_0.975,1,5,23,0.6234782608695653,0.7130434782608696,with_workers,2,0.1
6,q_0.950,1,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.950,2,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.950,3,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.950,1,2,23,0.505,0.9073913043478261,with_workers,2,0.1
6,q_0.950,2,2,23,0.4617391304347826,0.8702173913043478,with_workers,2,0.1
6,q_0.950,3,2,23,0.4410869565217391,0.857608695652174,with_workers,2,0.1
6,q_0.950,1,3,23,0.5776086956521739,0.7976086956521738,with_workers,2,0.1
6,q_0.950,2,3,23,0.4410869565217391,0.6767391304347826,with_workers,2,0.1
6,q_0.950,3,3,23,0.43478260869565216,0.6904347826086957,with_workers,2,0.1
6,q_0.950,1,4,23,0.6273913043478261,0.7671739130434783,with_workers,2,0.1
6,q_0.950,2,4,23,0.48934782608695654,0.6547826086956522,with_workers,2,0.1
6,q_0.950,1,5,23,0.6423913043478261,0.7754347826086957,with_workers,2,0.1
6,q_0.925,1,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.925,2,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.925,3,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.925,1,2,23,0.5126086956521739,0.9017391304347825,with_workers,2,0.1
6,q_0.925,2,2,23,0.4702173913043478,0.8593478260869566,with_workers,2,0.1
6,q_0.925,3,2,23,0.44782608695652176,0.8369565217391305,with_workers,2,0.1
6,q_0.925,1,3,23,0.5989130434782609,0.7804347826086956,with_workers,2,0.1
6,q_0.925,2,3,23,0.44782608695652176,0.6293478260869565,with_workers,2,0.1
6,q_0.925,3,3,23,0.43478260869565216,0.616304347826087,with_workers,2,0.1
6,q_0.925,1,4,23,0.6643478260869565,0.7371739130434782,with_workers,2,0.1
6,q_0.925,2,4,23,0.5189130434782608,0.5917391304347825,with_workers,2,0.1
6,q_0.925,1,5,23,0.7023913043478262,0.7336956521739131,with_workers,2,0.1
6,q_0.900,1,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.900,2,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.900,3,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.900,1,2,23,0.5258695652173914,0.903695652173913,with_workers,2,0.1
6,q_0.900,2,2,23,0.48195652173913045,0.8597826086956522,with_workers,2,0.1
6,q_0.900,3,2,23,0.456304347826087,0.8341304347826086,with_workers,2,0.1
6,q_0.900,1,3,23,0.6156521739130435,0.7891304347826086,with_workers,2,0.1
6,q_0.900,2,3,23,0.456304347826087,0.6297826086956522,with_workers,2,0.1
6,q_0.900,3,3,23,0.43478260869565216,0.6082608695652174,with_workers,2,0.1
6,q_0.900,1,4,23,0.6717391304347826,0.7445652173913043,with_workers,2,0.1
6,q_0.900,2,4,23,0.5482608695652174,0.6210869565217392,with_workers,2,0.1
6,q_0.900,1,5,23,0.7084782608695653,0.7397826086956522,with_workers,2,0.1
6,q_0.850,1,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.850,2,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.850,3,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.850,1,2,23,0.5610869565217392,0.9223913043478261,with_workers,2,0.1
6,q_0.850,2,2,23,0.5084782608695653,0.8886956521739131,with_workers,2,0.1
6,q_0.850,3,2,23,0.46956521739130436,0.8678260869565217,with_workers,2,0.1
6,q_0.850,1,3,23,0.6041304347826086,0.8176086956521739,with_workers,2,0.1
6,q_0.850,2,3,23,0.46956521739130436,0.7010869565217391,with_workers,2,0.1
6,q_0.850,3,3,23,0.43478260869565216,0.6784782608695652,with_workers,2,0.1
6,q_0.850,1,4,23,0.633695652173913,0.76,with_workers,2,0.1
6,q_0.850,2,4,23,0.5273913043478261,0.6658695652173913,with_workers,2,0.1
6,q_0.850,1,5,23,0.6639130434782609,0.7532608695652173,with_workers,2,0.1
6,q_0.800,1,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.800,2,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.800,3,1,23,0.0,1.0,with_workers,2,0.1
6,q_0.800,1,2,23,0.5860869565217391,0.9184782608695652,with_workers,2,0.1
6,q_0.800,2,2,23,0.5528260869565217,0.8852173913043478,with_workers,2,0.1
6,q_0.800,3,2,23,0.5369565217391304,0.8693478260869566,with_workers,2,0.1
6,q_0.800,1,3,23,0.6526086956521739,0.8121739130434783,with_workers,2,0.1
6,q_0.800,2,3,23,0.5369565217391304,0.6965217391304348,with_workers,2,0.1
6,q_0.800,3,3,23,0.5217391304347826,0.681304347826087,with_workers,2,0.1
6,q_0.800,1,4,23,0.705,0.7778260869565218,with_workers,2,0.1
6,q_0.800,2,4,23,0.6313043478260869,0.7041304347826087,with_workers,2,0.1
6,q_0.800,1,5,23,0.7519565217391305,0.7832608695652175,with_workers,2,0.1
6,ospa30_t6,1,1,23,0.0,1.0,with_workers,2,0.1
6,ospa30_t6,2,1,23,0.0,1.0,with_workers,2,0.1
6,ospa30_t6,3,1,23,0.0,1.0,with_workers,2,0.1
6,ospa30_t6,1,2,23,0.45695652173913043,0.8993478260869565,with_workers,2,0.1
6,ospa30_t6,2,2,23,0.41521739130434787,0.857608695652174,with_workers,2,0.1
6,ospa30_t6,3,2,23,0.3976086956521739,0.84,with_workers,2,0.1
6,ospa30_t6,1,3,23,0.5284782608695652,0.7584782608695653,with_workers,2,0.1
6,ospa30_t6,2,3,23,0.3976086956521739,0.6276086956521739,with_workers,2,0.1
6,ospa30_t6,3,3,23,0.391304347826087,0.6213043478260869,with_workers,2,0.1
6,ospa30_t6,1,4,23,0.6006521739130435,0.7169565217391304,with_workers,2,0.1
6,ospa30_t6,2,4,23,0.44586956521739135,0.5621739130434783,with_workers,2,0.1
6,ospa30_t6,1,5,23,0.6313043478260869,0.6921739130434783,with_workers,2,0.1
2,q_0.975,1,1,23,0.0,1.0,with_workers,2,0.1
2,q_0.950,1,1,23,0.0,1.0,with_workers,2,0.1
2,q_0.925,1,1,23,0.0,1.0,with_workers,2,0.1
2,q_0.900,1,1,23,0.0,1.0,with_workers,2,0.1
2,q_0.850,1,1,23,0.0,1.0,with_workers,2,0.1
2,q_0.800,1,1,23,0.0,1.0,with_workers,2,0.1
2,ospa30_t6,1,1,23,0.0,1.0,with_workers,2,0.1
4,q_0.975,1,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.975,2,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.975,3,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.975,1,2,9,0.10555555555555556,0.7972222222222222,with_workers,2,0.1
4,q_0.975,2,2,9,0.0,0.6983333333333334,with_workers,2,0.1
4,q_0.975,1,3,9,0.33888888888888885,0.6722222222222222,with_workers,2,0.1
4,q_0.950,1,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.950,2,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.950,3,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.950,1,2,9,0.10555555555555556,0.7772222222222223,with_workers,2,0.1
4,q_0.950,2,2,9,0.0,0.6783333333333333,with_workers,2,0.1
4,q_0.950,1,3,9,0.33888888888888885,0.616111111111111,with_workers,2,0.1
4,q_0.925,1,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.925,2,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.925,3,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.925,1,2,9,0.10555555555555556,0.7772222222222223,with_workers,2,0.1
4,q_0.925,2,2,9,0.0,0.6783333333333333,with_workers,2,0.1
4,q_0.925,1,3,9,0.33888888888888885,0.616111111111111,with_workers,2,0.1
4,q_0.900,1,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.900,2,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.900,3,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.900,1,2,9,0.21666666666666667,0.8188888888888889,with_workers,2,0.1
4,q_0.900,2,2,9,0.1111111111111111,0.7200000000000001,with_workers,2,0.1
4,q_0.900,1,3,9,0.44999999999999996,0.7272222222222222,with_workers,2,0.1
4,q_0.850,1,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.850,2,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.850,3,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.850,1,2,9,0.21666666666666667,0.8188888888888889,with_workers,2,0.1
4,q_0.850,2,2,9,0.1111111111111111,0.7200000000000001,with_workers,2,0.1
4,q_0.850,1,3,9,0.44999999999999996,0.7272222222222222,with_workers,2,0.1
4,q_0.800,1,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.800,2,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.800,3,1,9,0.0,1.0,with_workers,2,0.1
4,q_0.800,1,2,9,0.21666666666666667,0.8188888888888889,with_workers,2,0.1
4,q_0.800,2,2,9,0.1111111111111111,0.7200000000000001,with_workers,2,0.1
4,q_0.800,1,3,9,0.44999999999999996,0.7272222222222222,with_workers,2,0.1
4,ospa30_t6,1,1,9,0.0,1.0,with_workers,2,0.1
4,ospa30_t6,2,1,9,0.0,1.0,with_workers,2,0.1
4,ospa30_t6,3,1,9,0.0,1.0,with_workers,2,0.1
4,ospa30_t6,1,2,9,0.10555555555555556,0.7922222222222222,with_workers,2,0.1
4,ospa30_t6,2,2,9,0.0,0.6866666666666666,with_workers,2,0.1
4,ospa30_t6,1,3,9,0.33888888888888885,0.6227777777777779,with_workers,2,0.1
7,q_0.975,1,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.975,2,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.975,3,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.975,1,2,2,0.2225,0.75,with_workers,2,0.1
7,q_0.975,2,2,2,0.125,0.6525000000000001,with_workers,2,0.1
7,q_0.975,3,2,2,0.05,0.5775,with_workers,2,0.1
7,q_0.975,1,3,2,0.47,0.5775,with_workers,2,0.1
7,q_0.975,2,3,2,0.05,0.1575,with_workers,2,0.1
7,q_0.975,3,3,2,0.0,0.1075,with_workers,2,0.1
7,q_0.975,1,4,2,0.5375,0.5375,with_workers,2,0.1
7,q_0.975,2,4,2,0.0875,0.0875,with_workers,2,0.1
7,q_0.975,3,4,2,0.0,0.0,with_workers,2,0.1
7,q_0.975,1,5,2,0.6375,0.6375,with_workers,2,0.1
7,q_0.975,2,5,2,0.0,0.0,with_workers,2,0.1
7,q_0.975,1,6,2,0.6325000000000001,0.6325000000000001,with_workers,2,0.1
7,q_0.950,1,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.950,2,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.950,3,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.950,1,2,2,0.2225,0.75,with_workers,2,0.1
7,q_0.950,2,2,2,0.125,0.6525000000000001,with_workers,2,0.1
7,q_0.950,3,2,2,0.05,0.5775,with_workers,2,0.1
7,q_0.950,1,3,2,0.47,0.5775,with_workers,2,0.1
7,q_0.950,2,3,2,0.05,0.1575,with_workers,2,0.1
7,q_0.950,3,3,2,0.0,0.1075,with_workers,2,0.1
7,q_0.950,1,4,2,0.5375,0.5375,with_workers,2,0.1
7,q_0.950,2,4,2,0.0875,0.0875,with_workers,2,0.1
7,q_0.950,3,4,2,0.0,0.0,with_workers,2,0.1
7,q_0.950,1,5,2,0.6375,0.6375,with_workers,2,0.1
7,q_0.950,2,5,2,0.0,0.0,with_workers,2,0.1
7,q_0.950,1,6,2,0.6325000000000001,0.6325000000000001,with_workers,2,0.1
7,q_0.925,1,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.925,2,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.925,3,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.925,1,2,2,0.2225,0.75,with_workers,2,0.1
7,q_0.925,2,2,2,0.125,0.6525000000000001,with_workers,2,0.1
7,q_0.925,3,2,2,0.05,0.5775,with_workers,2,0.1
7,q_0.925,1,3,2,0.47,0.5775,with_workers,2,0.1
7,q_0.925,2,3,2,0.05,0.1575,with_workers,2,0.1
7,q_0.925,3,3,2,0.0,0.1075,with_workers,2,0.1
7,q_0.925,1,4,2,0.5375,0.5375,with_workers,2,0.1
7,q_0.925,2,4,2,0.0875,0.0875,with_workers,2,0.1
7,q_0.925,3,4,2,0.0,0.0,with_workers,2,0.1
7,q_0.925,1,5,2,0.6375,0.6375,with_workers,2,0.1
7,q_0.925,2,5,2,0.0,0.0,with_workers,2,0.1
7,q_0.925,1,6,2,0.6325000000000001,0.6325000000000001,with_workers,2,0.1
7,q_0.900,1,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.900,2,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.900,3,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.900,1,2,2,0.2225,0.75,with_workers,2,0.1
7,q_0.900,2,2,2,0.125,0.6525000000000001,with_workers,2,0.1
7,q_0.900,3,2,2,0.05,0.5775,with_workers,2,0.1
7,q_0.900,1,3,2,0.47,0.5775,with_workers,2,0.1
7,q_0.900,2,3,2,0.05,0.1575,with_workers,2,0.1
7,q_0.900,3,3,2,0.0,0.1075,with_workers,2,0.1
7,q_0.900,1,4,2,0.5375,0.5375,with_workers,2,0.1
7,q_0.900,2,4,2,0.0875,0.0875,with_workers,2,0.1
7,q_0.900,3,4,2,0.0,0.0,with_workers,2,0.1
7,q_0.900,1,5,2,0.6375,0.6375,with_workers,2,0.1
7,q_0.900,2,5,2,0.0,0.0,with_workers,2,0.1
7,q_0.900,1,6,2,0.6325000000000001,0.6325000000000001,with_workers,2,0.1
7,q_0.850,1,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.850,2,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.850,3,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.850,1,2,2,0.2225,0.75,with_workers,2,0.1
7,q_0.850,2,2,2,0.125,0.6525000000000001,with_workers,2,0.1
7,q_0.850,3,2,2,0.05,0.5775,with_workers,2,0.1
7,q_0.850,1,3,2,0.47,0.5775,with_workers,2,0.1
7,q_0.850,2,3,2,0.05,0.1575,with_workers,2,0.1
7,q_0.850,3,3,2,0.0,0.1075,with_workers,2,0.1
7,q_0.850,1,4,2,0.5375,0.5375,with_workers,2,0.1
7,q_0.850,2,4,2,0.0875,0.0875,with_workers,2,0.1
7,q_0.850,3,4,2,0.0,0.0,with_workers,2,0.1
7,q_0.850,1,5,2,0.6375,0.6375,with_workers,2,0.1
7,q_0.850,2,5,2,0.0,0.0,with_workers,2,0.1
7,q_0.850,1,6,2,0.6325000000000001,0.6325000000000001,with_workers,2,0.1
7,q_0.800,1,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.800,2,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.800,3,1,2,0.0,1.0,with_workers,2,0.1
7,q_0.800,1,2,2,0.2225,0.75,with_workers,2,0.1
7,q_0.800,2,2,2,0.125,0.6525000000000001,with_workers,2,0.1
7,q_0.800,3,2,2,0.05,0.5775,with_workers,2,0.1
7,q_0.800,1,3,2,0.47,0.5775,with_workers,2,0.1
7,q_0.800,2,3,2,0.05,0.1575,with_workers,2,0.1
7,q_0.800,3,3,2,0.0,0.1075,with_workers,2,0.1
7,q_0.800,1,4,2,0.5375,0.5375,with_workers,2,0.1
7,q_0.800,2,4,2,0.0875,0.0875,with_workers,2,0.1
7,q_0.800,3,4,2,0.0,0.0,with_workers,2,0.1
7,q_0.800,1,5,2,0.6375,0.6375,with_workers,2,0.1
7,q_0.800,2,5,2,0.0,0.0,with_workers,2,0.1
7,q_0.800,1,6,2,0.6325000000000001,0.6325000000000001,with_workers,2,0.1
7,ospa30_t6,1,1,2,0.0,1.0,with_workers,2,0.1
7,ospa30_t6,2,1,2,0.0,1.0,with_workers,2,0.1
7,ospa30_t6,3,1,2,0.0,1.0,with_workers,2,0.1
7,ospa30_t6,1,2,2,0.2225,0.75,with_workers,2,0.1
7,ospa30_t6,2,2,2,0.125,0.6525000000000001,with_workers,2,0.1
7,ospa30_t6,3,2,2,0.05,0.5775,with_workers,2,0.1
7,ospa30_t6,1,3,2,0.47,0.5775,with_workers,2,0.1
7,ospa30_t6,2,3,2,0.05,0.1575,with_workers,2,0.1
7,ospa30_t6,3,3,2,0.0,0.1075,with_workers,2,0.1
7,ospa30_t6,1,4,2,0.5375,0.5375,with_workers,2,0.1
7,ospa30_t6,2,4,2,0.0875,0.0875,with_workers,2,0.1
7,ospa30_t6,3,4,2,0.0,0.0,with_workers,2,0.1
7,ospa30_t6,1,5,2,0.6375,0.6375,with_workers,2,0.1
7,ospa30_t6,2,5,2,0.0,0.0,with_workers,2,0.1
7,ospa30_t6,1,6,2,0.6325000000000001,0.6325000000000001,with_workers,2,0.1
3,q_0.975,1,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.975,2,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.975,1,2,10,0.5,0.9365,without_workers,2,0.1
3,q_0.950,1,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.950,2,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.950,1,2,10,0.6,0.9365,without_workers,2,0.1
3,q_0.925,1,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.925,2,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.925,1,2,10,0.6,0.9365,without_workers,2,0.1
3,q_0.900,1,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.900,2,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.900,1,2,10,0.6,0.9365,without_workers,2,0.1
3,q_0.850,1,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.850,2,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.850,1,2,10,0.6,0.9365,without_workers,2,0.1
3,q_0.800,1,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.800,2,1,10,0.0,1.0,without_workers,2,0.1
3,q_0.800,1,2,10,0.6,0.9365,without_workers,2,0.1
3,ospa30_t6,1,1,10,0.0,1.0,without_workers,2,0.1
3,ospa30_t6,2,1,10,0.0,1.0,without_workers,2,0.1
3,ospa30_t6,1,2,10,0.6,0.9365,without_workers,2,0.1
5,q_0.975,1,1,54,0.0,1.0,without_workers,2,0.1
5,q_0.975,2,1,54,0.0,1.0,without_workers,2,0.1
5,q_0.975,3,1,54,0.0,1.0,without_workers,2,0.1
5,q_0.975,1,2,54,0.3563888888888889,0.8656481481481481,without_workers,2,0.1
5,q_0.975,2,2,54,0.27564814814814814,0.7865740740740741,without_workers,2,0.1
5,q_0.975,3,2,54,0.2222222222222222,0.7357407407407407,without_workers,2,0.1
5,q_0.975,1,3,54,0.5147222222222223,0.7696296296296297,without_workers,2,0.1
5,q_0.975,2,3,54,0.2222222222222222,0.4861111111111111,without_workers,2,0.1
5,q_0.975,1,4,54,0.5918518518518519,0.7741666666666667,without_workers,2,0.1
5,q_0.950,1,1,54,0.0,1.0,without_workers,2,0.1
5,q_0.950,2,1,54,0.0,1.0,without_workers,2,0.1
5,q_0.950,3,1,54,0.0,1.0,without_workers,2,0.1
5,q_0.950,1,2,54,0.39546296296296296,0.8673148148148149,without_workers,2,0.1
5,q_0.950,2,2,54,0.32314814814814813,0.795,without_workers,2,0.1
5,q_0.950,3,2,54,0.2777777777777778,0.7496296296296298,without_workers,2,0.1
5,q_0.950,1,3,54,0.5412962962962963,0.7608333333333334,without_workers,2,0.1
5,q_0.950,2,3,54,0.2777777777777778,0.4973148148148148,without_workers,2,0.1
5,q_0.950,1,4,54,0.6187962962962963,0.7306481481481482,without_workers,2,0.1
5,q_0.925,1,1,54,0.0,1.0,without_workers,2,0.1
5,q_0.925,2,1,54,0.0,1.0,without_workers,2,0.1
5,q_0.925,3,1,54,0.0,1.0,without_workers,2,0.1
5,q_0.925,1,2,54,0.3975,0.8632407407407408,without_workers,2,0.1
5,q_0.925,2,2,54,0.32314814814814813,0.7888888888888889,without_workers,2,0.1
5,q_0.925,3,2,54,0.2777777777777778,0.7435185185185185,without_workers,2,0.1
5,q_0.925,1,3,54,0.5472222222222223,0.7535185185185185,without_workers,2,0.1
5,q_0.925,2,3,54,0.2777777777777778,0.4840740740740741,without_workers,2,0.1
5,q_0.925,1,4,54,0.6293518518518518,0.7224074074074074,without_workers,2,0.1
5,q_0.900,1,1,54,0.0,1.0,without_workers,2,0.1
