config,lookahead,min_support,epsilon,budget_scope,mode,cohort,inventory_image_n,evaluable_window_image_n,no_future_window_images,identified_images,finite_interval_images,unknown_images,not_reached_images
q_0.950,2,2,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,8,25,18,47
q_0.950,2,3,0.05,own_full_n,with_workers,all_positive,196,153,43,20,29,69,35
q_0.950,2,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,20,4,17,14
q_0.950,2,3,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,52,21
q_0.950,2,3,0.1,own_full_n,with_workers,all_positive,196,153,43,13,41,71,28
q_0.950,2,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,13,16,19,7
q_0.950,2,3,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,52,21
q_0.950,2,3,0.2,own_full_n,with_workers,all_positive,196,153,43,3,53,80,17
q_0.950,2,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,3,26,19,7
q_0.950,2,3,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,0,27,61,10
q_0.925,1,1,0.05,own_full_n,with_workers,all_positive,196,176,20,87,1,19,69
q_0.925,1,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,35,1,17,2
q_0.925,1,1,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,52,0,2,67
q_0.925,1,1,0.1,own_full_n,with_workers,all_positive,196,176,20,88,2,19,67
q_0.925,1,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,34,2,17,2
q_0.925,1,1,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,54,0,2,65
q_0.925,1,1,0.2,own_full_n,with_workers,all_positive,196,176,20,101,2,19,54
q_0.925,1,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,34,2,17,2
q_0.925,1,1,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,67,0,2,52
q_0.925,1,2,0.05,own_full_n,with_workers,all_positive,196,176,20,34,43,46,53
q_0.925,1,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,24,12,16,3
q_0.925,1,2,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,10,31,30,50
q_0.925,1,2,0.1,own_full_n,with_workers,all_positive,196,176,20,24,56,46,50
q_0.925,1,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,14,23,16,2
q_0.925,1,2,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,10,33,30,48
q_0.925,1,2,0.2,own_full_n,with_workers,all_positive,196,176,20,40,58,53,25
q_0.925,1,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,13,24,16,2
q_0.925,1,2,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,27,34,37,23
q_0.925,1,3,0.05,own_full_n,with_workers,all_positive,196,176,20,28,45,71,32
q_0.925,1,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,21,17,16,1
q_0.925,1,3,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,7,28,55,31
q_0.925,1,3,0.1,own_full_n,with_workers,all_positive,196,176,20,19,54,71,32
q_0.925,1,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,12,26,16,1
q_0.925,1,3,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,7,28,55,31
q_0.925,1,3,0.2,own_full_n,with_workers,all_positive,196,176,20,14,69,88,5
q_0.925,1,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,6,32,16,1
q_0.925,1,3,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,8,37,72,4
q_0.925,2,1,0.05,own_full_n,with_workers,all_positive,196,153,43,50,0,18,85
q_0.925,2,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,19,0,17,19
q_0.925,2,1,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,31,0,1,66
q_0.925,2,1,0.1,own_full_n,with_workers,all_positive,196,153,43,57,0,18,78
q_0.925,2,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,26,0,17,12
q_0.925,2,1,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,31,0,1,66
q_0.925,2,1,0.2,own_full_n,with_workers,all_positive,196,153,43,60,0,18,75
q_0.925,2,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,26,0,17,12
q_0.925,2,1,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,34,0,1,63
q_0.925,2,2,0.05,own_full_n,with_workers,all_positive,196,153,43,19,29,31,74
q_0.925,2,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,19,4,16,16
q_0.925,2,2,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,15,58
q_0.925,2,2,0.1,own_full_n,with_workers,all_positive,196,153,43,26,30,31,66
q_0.925,2,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,26,5,16,8
q_0.925,2,2,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,15,58
q_0.925,2,2,0.2,own_full_n,with_workers,all_positive,196,153,43,20,45,32,56
q_0.925,2,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,11,20,16,8
q_0.925,2,2,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,9,25,16,48
q_0.925,2,3,0.05,own_full_n,with_workers,all_positive,196,153,43,21,29,67,36
q_0.925,2,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,21,4,16,14
q_0.925,2,3,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,51,22
q_0.925,2,3,0.1,own_full_n,with_workers,all_positive,196,153,43,13,42,67,31
q_0.925,2,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,13,17,16,9
q_0.925,2,3,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,51,22
q_0.925,2,3,0.2,own_full_n,with_workers,all_positive,196,153,43,6,52,76,19
q_0.925,2,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,6,24,16,9
q_0.925,2,3,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,0,28,60,10
q_0.900,1,1,0.05,own_full_n,with_workers,all_positive,196,176,20,93,1,16,66
q_0.900,1,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,39,1,14,1
q_0.900,1,1,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,54,0,2,65
q_0.900,1,1,0.1,own_full_n,with_workers,all_positive,196,176,20,95,1,16,64
q_0.900,1,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,39,1,14,1
q_0.900,1,1,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,56,0,2,63
q_0.900,1,1,0.2,own_full_n,with_workers,all_positive,196,176,20,107,1,16,52
q_0.900,1,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,39,1,14,1
q_0.900,1,1,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,68,0,2,51
q_0.900,1,2,0.05,own_full_n,with_workers,all_positive,196,176,20,38,43,43,52
q_0.900,1,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,27,11,14,3
q_0.900,1,2,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,11,32,29,49
q_0.900,1,2,0.1,own_full_n,with_workers,all_positive,196,176,20,27,57,43,49
q_0.900,1,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,17,22,14,2
q_0.900,1,2,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,10,35,29,47
q_0.900,1,2,0.2,own_full_n,with_workers,all_positive,196,176,20,43,59,50,24
q_0.900,1,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,16,23,14,2
q_0.900,1,2,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,27,36,36,22
q_0.900,1,3,0.05,own_full_n,with_workers,all_positive,196,176,20,29,47,66,34
q_0.900,1,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,22,17,14,2
q_0.900,1,3,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,7,30,52,32
q_0.900,1,3,0.1,own_full_n,with_workers,all_positive,196,176,20,21,55,66,34
q_0.900,1,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,14,25,14,2
q_0.900,1,3,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,7,30,52,32
q_0.900,1,3,0.2,own_full_n,with_workers,all_positive,196,176,20,15,70,85,6
q_0.900,1,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,7,32,14,2
q_0.900,1,3,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,8,38,71,4
q_0.900,2,1,0.05,own_full_n,with_workers,all_positive,196,153,43,52,1,15,85
q_0.900,2,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,20,1,14,20
q_0.900,2,1,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,32,0,1,65
q_0.900,2,1,0.1,own_full_n,with_workers,all_positive,196,153,43,61,2,15,75
q_0.900,2,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,29,2,14,10
q_0.900,2,1,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,32,0,1,65
q_0.900,2,1,0.2,own_full_n,with_workers,all_positive,196,153,43,64,2,15,72
q_0.900,2,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,29,2,14,10
q_0.900,2,1,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,35,0,1,62
q_0.900,2,2,0.05,own_full_n,with_workers,all_positive,196,153,43,20,31,28,74
q_0.900,2,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,20,5,14,16
q_0.900,2,2,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,26,14,58
q_0.900,2,2,0.1,own_full_n,with_workers,all_positive,196,153,43,28,32,29,64
q_0.900,2,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,28,6,15,6
q_0.900,2,2,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,26,14,58
q_0.900,2,2,0.2,own_full_n,with_workers,all_positive,196,153,43,22,47,30,54
q_0.900,2,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,13,21,15,6
q_0.900,2,2,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,9,26,15,48
q_0.900,2,3,0.05,own_full_n,with_workers,all_positive,196,153,43,21,30,65,37
q_0.900,2,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,21,5,14,15
q_0.900,2,3,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,51,22
q_0.900,2,3,0.1,own_full_n,with_workers,all_positive,196,153,43,17,40,65,31
q_0.900,2,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,17,15,14,9
q_0.900,2,3,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,51,22
q_0.900,2,3,0.2,own_full_n,with_workers,all_positive,196,153,43,7,54,73,19
q_0.900,2,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,7,25,14,9
q_0.900,2,3,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,0,29,59,10
q_0.850,1,1,0.05,own_full_n,with_workers,all_positive,196,176,20,97,1,16,62
q_0.850,1,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,42,1,12,0
q_0.850,1,1,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,55,0,4,62
q_0.850,1,1,0.1,own_full_n,with_workers,all_positive,196,176,20,98,2,16,60
q_0.850,1,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,41,2,12,0
q_0.850,1,1,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,57,0,4,60
q_0.850,1,1,0.2,own_full_n,with_workers,all_positive,196,176,20,109,2,16,49
q_0.850,1,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,41,2,12,0
q_0.850,1,1,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,68,0,4,49
q_0.850,1,2,0.05,own_full_n,with_workers,all_positive,196,176,20,42,42,43,49
q_0.850,1,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,30,10,12,3
q_0.850,1,2,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,12,32,31,46
q_0.850,1,2,0.1,own_full_n,with_workers,all_positive,196,176,20,31,56,43,46
q_0.850,1,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,19,22,12,2
q_0.850,1,2,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,12,34,31,44
q_0.850,1,2,0.2,own_full_n,with_workers,all_positive,196,176,20,45,58,50,23
q_0.850,1,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,18,23,12,2
q_0.850,1,2,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,27,35,38,21
q_0.850,1,3,0.05,own_full_n,with_workers,all_positive,196,176,20,32,47,67,30
q_0.850,1,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,24,17,13,1
q_0.850,1,3,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,8,30,54,29
q_0.850,1,3,0.1,own_full_n,with_workers,all_positive,196,176,20,24,55,67,30
q_0.850,1,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,16,25,13,1
q_0.850,1,3,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,8,30,54,29
q_0.850,1,3,0.2,own_full_n,with_workers,all_positive,196,176,20,18,69,84,5
q_0.850,1,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,9,32,13,1
q_0.850,1,3,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,9,37,71,4
q_0.850,2,1,0.05,own_full_n,with_workers,all_positive,196,153,43,54,0,14,85
q_0.850,2,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,22,0,12,21
q_0.850,2,1,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,32,0,2,64
q_0.850,2,1,0.1,own_full_n,with_workers,all_positive,196,153,43,66,0,14,73
q_0.850,2,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,34,0,12,9
q_0.850,2,1,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,32,0,2,64
q_0.850,2,1,0.2,own_full_n,with_workers,all_positive,196,153,43,68,0,14,71
q_0.850,2,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,34,0,12,9
q_0.850,2,1,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,34,0,2,62
q_0.850,2,2,0.05,own_full_n,with_workers,all_positive,196,153,43,20,32,27,74
q_0.850,2,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,20,6,12,17
q_0.850,2,2,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,26,15,57
q_0.850,2,2,0.1,own_full_n,with_workers,all_positive,196,153,43,28,33,27,65
q_0.850,2,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,28,7,12,8
q_0.850,2,2,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,26,15,57
q_0.850,2,2,0.2,own_full_n,with_workers,all_positive,196,153,43,22,48,29,54
q_0.850,2,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,13,22,12,8
q_0.850,2,2,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,9,26,17,46
q_0.850,2,3,0.05,own_full_n,with_workers,all_positive,196,153,43,20,31,62,40
q_0.850,2,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,20,6,12,17
q_0.850,2,3,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,50,23
q_0.850,2,3,0.1,own_full_n,with_workers,all_positive,196,153,43,19,40,63,31
q_0.850,2,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,19,15,13,8
q_0.850,2,3,0.1,own_full_n,with_workers,low_n_1_to15,141,98,43,0,25,50,23
q_0.850,2,3,0.2,own_full_n,with_workers,all_positive,196,153,43,8,54,72,19
q_0.850,2,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,8,26,13,8
q_0.850,2,3,0.2,own_full_n,with_workers,low_n_1_to15,141,98,43,0,28,59,11
q_0.800,1,1,0.05,own_full_n,with_workers,all_positive,196,176,20,100,1,14,61
q_0.800,1,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,42,1,12,0
q_0.800,1,1,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,58,0,2,61
q_0.800,1,1,0.1,own_full_n,with_workers,all_positive,196,176,20,102,2,14,58
q_0.800,1,1,0.1,own_full_n,with_workers,dense_ge16,55,55,0,41,2,12,0
q_0.800,1,1,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,61,0,2,58
q_0.800,1,1,0.2,own_full_n,with_workers,all_positive,196,176,20,112,2,14,48
q_0.800,1,1,0.2,own_full_n,with_workers,dense_ge16,55,55,0,41,2,12,0
q_0.800,1,1,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,71,0,2,48
q_0.800,1,2,0.05,own_full_n,with_workers,all_positive,196,176,20,43,44,42,47
q_0.800,1,2,0.05,own_full_n,with_workers,dense_ge16,55,55,0,30,10,13,2
q_0.800,1,2,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,13,34,29,45
q_0.800,1,2,0.1,own_full_n,with_workers,all_positive,196,176,20,32,59,42,43
q_0.800,1,2,0.1,own_full_n,with_workers,dense_ge16,55,55,0,18,23,13,1
q_0.800,1,2,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,14,36,29,42
q_0.800,1,2,0.2,own_full_n,with_workers,all_positive,196,176,20,45,61,49,21
q_0.800,1,2,0.2,own_full_n,with_workers,dense_ge16,55,55,0,17,24,13,1
q_0.800,1,2,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,28,37,36,20
q_0.800,1,3,0.05,own_full_n,with_workers,all_positive,196,176,20,31,51,64,30
q_0.800,1,3,0.05,own_full_n,with_workers,dense_ge16,55,55,0,23,18,12,2
q_0.800,1,3,0.05,own_full_n,with_workers,low_n_1_to15,141,121,20,8,33,52,28
q_0.800,1,3,0.1,own_full_n,with_workers,all_positive,196,176,20,23,59,64,30
q_0.800,1,3,0.1,own_full_n,with_workers,dense_ge16,55,55,0,15,26,12,2
q_0.800,1,3,0.1,own_full_n,with_workers,low_n_1_to15,141,121,20,8,33,52,28
q_0.800,1,3,0.2,own_full_n,with_workers,all_positive,196,176,20,18,72,79,7
q_0.800,1,3,0.2,own_full_n,with_workers,dense_ge16,55,55,0,9,32,12,2
q_0.800,1,3,0.2,own_full_n,with_workers,low_n_1_to15,141,121,20,9,40,67,5
q_0.800,2,1,0.05,own_full_n,with_workers,all_positive,196,153,43,58,0,13,82
q_0.800,2,1,0.05,own_full_n,with_workers,dense_ge16,55,55,0,24,0,12,19
q_0.800,2,1,0.05,own_full_n,with_workers,low_n_1_to15,141,98,43,34,0,1,63
