condition,axis,n_people,metric,field,label,images,groups,delta,macro_delta,lo,hi
manual,log_time,4,singleton_share,main_function_primary,circulation,8,7,-0.375,-0.339285714286,-0.642857142857,-0.107142857143
manual,log_time,4,singleton_share,main_function_primary,dining,1,1,0,0,,
manual,log_time,4,singleton_share,main_function_primary,empty,2,1,0.125,0.125,,
manual,log_time,4,singleton_share,main_function_primary,living,2,2,-0.125,-0.125,-0.25,0
manual,log_time,4,singleton_share,main_function_primary,sleep,6,5,-0.25,-0.25,-0.416666666667,-0.0833333333333
manual,log_time,4,singleton_share,main_function_primary,storage,1,1,0,0,,
manual,log_time,4,singleton_share,main_function_primary,unknown,4,4,0.0625,0.0625,-0.125,0.25
manual,log_time,4,singleton_share,main_function_primary,work,2,2,-0.25,-0.25,-0.25,-0.25
manual,log_time,4,mode_entropy,floor_boundary,partial,32,10,-0.199295117221,-0.106670432339,-0.463761345013,0.0687193194001
manual,log_time,4,mode_entropy,floor_boundary,present,14,10,-0.312674553649,-0.284436093777,-0.48284346586,-0.114786979257
manual,log_time,4,mode_entropy,scene_category,储藏与家务辅助,2,2,0.90563906223,0.90563906223,0.811278124459,1
manual,log_time,4,mode_entropy,scene_category,卧室,5,4,-0.2,-0.0625,-0.666666666667,0.625
manual,log_time,4,mode_entropy,scene_category,卫浴,19,8,-0.289473684211,-0.201260970092,-0.788909765557,0.101409765557
manual,log_time,4,mode_entropy,scene_category,厨房与用餐,1,1,0,0,,
manual,log_time,4,mode_entropy,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,4,mode_entropy,scene_category,工作与学习,1,1,-0.688721875541,-0.688721875541,,
manual,log_time,4,mode_entropy,scene_category,起居与休闲,2,2,-0.34436093777,-0.34436093777,-0.688721875541,0
manual,log_time,4,mode_entropy,scene_category,通行与连接,13,9,-0.360670913503,-0.361111111111,-0.541666666667,-0.182868118572
manual,log_time,4,mode_entropy,main_function_primary,bathroom,20,9,-0.340563906223,-0.214710387736,-0.76420023296,0.0134801339672
manual,log_time,4,mode_entropy,main_function_primary,circulation,8,7,-0.484680468885,-0.433297544759,-0.822126786023,-0.142857142857
manual,log_time,4,mode_entropy,main_function_primary,dining,1,1,0,0,,
manual,log_time,4,mode_entropy,main_function_primary,empty,2,1,0.40563906223,0.40563906223,,
manual,log_time,4,mode_entropy,main_function_primary,living,2,2,-0.34436093777,-0.34436093777,-0.688721875541,0
manual,log_time,4,mode_entropy,main_function_primary,sleep,6,5,-0.25,-0.15,-0.642857142857,0.5
manual,log_time,4,mode_entropy,main_function_primary,storage,1,1,1,1,,
manual,log_time,4,mode_entropy,main_function_primary,unknown,4,4,0.202819531115,0.202819531115,-0.40563906223,0.811278124459
manual,log_time,4,mode_entropy,main_function_primary,work,2,2,-0.25,-0.25,-0.688721875541,0.188721875541
manual,log_time,4,full_by8,floor_boundary,partial,32,10,-0.00520833333334,0.00319444444442,-0.0920320900538,0.125
manual,log_time,4,full_by8,floor_boundary,present,14,10,0.0595238095239,0.0638888888889,-0.0174753289473,0.15280448718
manual,log_time,4,full_by8,scene_category,储藏与家务辅助,2,2,-0.625,-0.625,-1,-0.25
manual,log_time,4,full_by8,scene_category,卧室,5,4,-0.225,-0.286458333333,-0.75,0.013888888889
manual,log_time,4,full_by8,scene_category,卫浴,19,8,0.0833333333333,0.0928819444444,-0.075009920635,0.294270833333
manual,log_time,4,full_by8,scene_category,厨房与用餐,1,1,0,0,,
manual,log_time,4,full_by8,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,4,full_by8,scene_category,工作与学习,1,1,0.5,0.5,,
manual,log_time,4,full_by8,scene_category,起居与休闲,2,2,0.270833333334,0.270833333334,0,0.541666666667
manual,log_time,4,full_by8,scene_category,通行与连接,13,9,0.0320512820513,0.0478395061729,-0.0297619047619,0.125
manual,log_time,4,full_by8,main_function_primary,bathroom,20,9,0.09375,0.0887345679012,-0.0651041666667,0.261919642857
manual,log_time,4,full_by8,main_function_primary,circulation,8,7,0.135416666667,0.125,0,0.302083333334
manual,log_time,4,full_by8,main_function_primary,dining,1,1,0,0,,
manual,log_time,4,full_by8,main_function_primary,empty,2,1,-0.125,-0.125,,
manual,log_time,4,full_by8,main_function_primary,living,2,2,0.270833333334,0.270833333334,0,0.541666666667
manual,log_time,4,full_by8,main_function_primary,sleep,6,5,-0.1875,-0.229166666667,-0.633333333333,0.0119047619049
manual,log_time,4,full_by8,main_function_primary,storage,1,1,-1,-1,,
manual,log_time,4,full_by8,main_function_primary,unknown,4,4,-0.0833333333335,-0.0833333333335,-0.354166666667,0.208333333333
manual,log_time,4,full_by8,main_function_primary,work,2,2,-0.0625,-0.0625,-0.625,0.5
manual,log_time,4,core_by19,floor_boundary,partial,32,10,-0.0221354166667,0.00604166666656,-0.155185647308,0.168211360399
manual,log_time,4,core_by19,floor_boundary,present,14,10,0.110119047619,0.0805555555555,0.013888888889,0.208333333333
manual,log_time,4,core_by19,scene_category,储藏与家务辅助,2,2,-0.5,-0.5,-1,0
manual,log_time,4,core_by19,scene_category,卧室,5,4,-0.233333333333,-0.229166666667,-0.7,0.2
manual,log_time,4,core_by19,scene_category,卫浴,19,8,-0.00438596491226,-0.0073784722223,-0.138042534722,0.160714285714
manual,log_time,4,core_by19,scene_category,厨房与用餐,1,1,0,0,,
manual,log_time,4,core_by19,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,4,core_by19,scene_category,工作与学习,1,1,0.291666666666,0.291666666666,,
manual,log_time,4,core_by19,scene_category,起居与休闲,2,2,0.104166666666,0.104166666666,0,0.208333333333
manual,log_time,4,core_by19,scene_category,通行与连接,13,9,0.198717948718,0.177469135802,0.0801282051282,0.3125
manual,log_time,4,core_by19,main_function_primary,bathroom,20,9,0.0229166666667,0.0119598765432,-0.1366875,0.212774122807
manual,log_time,4,core_by19,main_function_primary,circulation,8,7,0.291666666667,0.238095238095,0,0.571428571429
manual,log_time,4,core_by19,main_function_primary,dining,1,1,0,0,,
manual,log_time,4,core_by19,main_function_primary,empty,2,1,0,0,,
manual,log_time,4,core_by19,main_function_primary,living,2,2,0.104166666666,0.104166666666,0,0.208333333333
manual,log_time,4,core_by19,main_function_primary,sleep,6,5,-0.0972222222223,-0.0666666666668,-0.533333333333,0.4
manual,log_time,4,core_by19,main_function_primary,storage,1,1,-1,-1,,
manual,log_time,4,core_by19,main_function_primary,unknown,4,4,0.0104166666665,0.0104166666665,-0.125,0.15625
manual,log_time,4,core_by19,main_function_primary,work,2,2,-0.312500000001,-0.312500000001,-0.916666666667,0.291666666666
manual,log_time,4,core_tail,floor_boundary,partial,32,10,-0.0598958333333,-0.105208333333,-0.186532738095,0.050925925926
manual,log_time,4,core_tail,floor_boundary,present,14,10,0.0535714285714,0.0715277777778,-0.0465948879553,0.173697916667
manual,log_time,4,core_tail,scene_category,储藏与家务辅助,2,2,-0.625,-0.625,-0.625,-0.625
manual,log_time,4,core_tail,scene_category,卧室,5,4,-0.308333333333,-0.354166666666,-0.729166666666,0.010416666667
manual,log_time,4,core_tail,scene_category,卫浴,19,8,-0.00877192982453,-0.0690104166667,-0.193181818182,0.160747354497
manual,log_time,4,core_tail,scene_category,厨房与用餐,1,1,0.125,0.125,,
manual,log_time,4,core_tail,scene_category,复合／待定,3,3,-0.111111111111,-0.111111111111,-0.291666666667,0
manual,log_time,4,core_tail,scene_category,工作与学习,1,1,0.166666666667,0.166666666667,,
manual,log_time,4,core_tail,scene_category,起居与休闲,2,2,0.104166666667,0.104166666667,0,0.208333333334
manual,log_time,4,core_tail,scene_category,通行与连接,13,9,0.125,0.139660493827,0.0544871794872,0.231071127946
manual,log_time,4,core_tail,main_function_primary,bathroom,20,9,0.0229166666667,-0.0412808641975,-0.151041666667,0.166666666667
manual,log_time,4,core_tail,main_function_primary,circulation,8,7,0.213541666667,0.196428571429,0.0714285714286,0.339285714286
manual,log_time,4,core_tail,main_function_primary,dining,1,1,0.125,0.125,,
manual,log_time,4,core_tail,main_function_primary,empty,2,1,-0.333333333334,-0.333333333334,,
manual,log_time,4,core_tail,main_function_primary,living,2,2,0.104166666667,0.104166666667,0,0.208333333334
manual,log_time,4,core_tail,main_function_primary,sleep,6,5,-0.229166666666,-0.25,-0.658333333333,0.0694444444447
manual,log_time,4,core_tail,main_function_primary,storage,1,1,-0.625,-0.625,,
manual,log_time,4,core_tail,main_function_primary,unknown,4,4,-0.177083333333,-0.177083333333,-0.479166666666,0.291666666667
manual,log_time,4,core_tail,main_function_primary,work,2,2,-0.145833333333,-0.145833333333,-0.458333333333,0.166666666667
manual,log_time,4,late_quarter_new,floor_boundary,partial,32,10,-0.135416666667,-0.0635416666668,-0.270852623457,0.0218749999999
manual,log_time,4,late_quarter_new,floor_boundary,present,14,10,-0.232142857143,-0.202777777778,-0.375,-0.0833333333334
manual,log_time,4,late_quarter_new,scene_category,储藏与家务辅助,2,2,0.125,0.125,0,0.25
manual,log_time,4,late_quarter_new,scene_category,卧室,5,4,-0.208333333333,-0.192708333333,-0.375,0
manual,log_time,4,late_quarter_new,scene_category,卫浴,19,8,-0.142543859649,-0.0811631944445,-0.348958333334,0.0444444444445
manual,log_time,4,late_quarter_new,scene_category,厨房与用餐,1,1,0,0,,
manual,log_time,4,late_quarter_new,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,4,late_quarter_new,scene_category,工作与学习,1,1,-0.208333333334,-0.208333333334,,
manual,log_time,4,late_quarter_new,scene_category,起居与休闲,2,2,-0.166666666667,-0.166666666667,-0.333333333334,0
manual,log_time,4,late_quarter_new,scene_category,通行与连接,13,9,-0.272435897436,-0.266975308642,-0.428071732955,-0.132559974748
manual,log_time,4,late_quarter_new,main_function_primary,bathroom,20,9,-0.172916666667,-0.085262345679,-0.354166666667,0.00757575757573
manual,log_time,4,late_quarter_new,main_function_primary,circulation,8,7,-0.34375,-0.315476190476,-0.59375,-0.0952380952381
manual,log_time,4,late_quarter_new,main_function_primary,dining,1,1,0,0,,
manual,log_time,4,late_quarter_new,main_function_primary,empty,2,1,0.125,0.125,,
manual,log_time,4,late_quarter_new,main_function_primary,living,2,2,-0.166666666667,-0.166666666667,-0.333333333334,0
manual,log_time,4,late_quarter_new,main_function_primary,sleep,6,5,-0.243055555556,-0.2375,-0.395833333334,-0.0833333333334
manual,log_time,4,late_quarter_new,main_function_primary,storage,1,1,0,0,,
manual,log_time,4,late_quarter_new,main_function_primary,unknown,4,4,0.09375,0.09375,-0.0833333333335,0.270833333334
manual,log_time,4,late_quarter_new,main_function_primary,work,2,2,-0.104166666667,-0.104166666667,-0.208333333334,0
manual,log_time,4,heldout_geometry_coverage,floor_boundary,partial,32,10,0.09375,0.0883333333333,0.0243902439024,0.1875
manual,log_time,4,heldout_geometry_coverage,floor_boundary,present,14,10,0.178571428571,0.116666666667,0,0.40015625
manual,log_time,4,heldout_geometry_coverage,scene_category,储藏与家务辅助,2,2,0,0,0,0
manual,log_time,4,heldout_geometry_coverage,scene_category,卧室,5,4,0.1,0.125,0,0.375
manual,log_time,4,heldout_geometry_coverage,scene_category,卫浴,19,8,0.131578947368,0.09375,0,0.217391304348
manual,log_time,4,heldout_geometry_coverage,scene_category,厨房与用餐,1,1,0,0,,
manual,log_time,4,heldout_geometry_coverage,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,4,heldout_geometry_coverage,scene_category,工作与学习,1,1,0,0,,
manual,log_time,4,heldout_geometry_coverage,scene_category,起居与休闲,2,2,-0.25,-0.25,-1,0.5
manual,log_time,4,heldout_geometry_coverage,scene_category,通行与连接,13,9,0.230769230769,0.185185185185,0.0333333333333,0.464345238095
manual,log_time,4,heldout_geometry_coverage,main_function_primary,bathroom,20,9,0.15,0.0925925925926,0.0263157894737,0.235294117647
manual,log_time,4,heldout_geometry_coverage,main_function_primary,circulation,8,7,0.1875,0.142857142857,0,0.375
manual,log_time,4,heldout_geometry_coverage,main_function_primary,dining,1,1,0,0,,
manual,log_time,4,heldout_geometry_coverage,main_function_primary,empty,2,1,0,0,,
manual,log_time,4,heldout_geometry_coverage,main_function_primary,living,2,2,-0.25,-0.25,-1,0.5
manual,log_time,4,heldout_geometry_coverage,main_function_primary,sleep,6,5,0.0833333333333,0.1,0,0.3
manual,log_time,4,heldout_geometry_coverage,main_function_primary,storage,1,1,0,0,,
manual,log_time,4,heldout_geometry_coverage,main_function_primary,unknown,4,4,0,0,0,0
manual,log_time,4,heldout_geometry_coverage,main_function_primary,work,2,2,0.5,0.5,0,1
manual,log_time,6,point_count_disagreement,floor_boundary,partial,32,10,-0.104166666667,-0.057111111111,-0.218559431524,0.0266666666666
manual,log_time,6,point_count_disagreement,floor_boundary,present,14,10,-0.166666666667,-0.142222222222,-0.235555555555,-0.0666666666666
manual,log_time,6,point_count_disagreement,scene_category,储藏与家务辅助,2,2,-0.166666666667,-0.166666666667,-0.333333333333,0
manual,log_time,6,point_count_disagreement,scene_category,卧室,5,4,-0.213333333333,-0.191666666666,-0.311111111111,-0.0666666666665
manual,log_time,6,point_count_disagreement,scene_category,卫浴,19,8,-0.0877192982455,-0.00486111111104,-0.23770687237,0.0975
manual,log_time,6,point_count_disagreement,scene_category,厨房与用餐,1,1,0,0,,
manual,log_time,6,point_count_disagreement,scene_category,复合／待定,3,3,-0.0666666666667,-0.0666666666667,-0.2,0
manual,log_time,6,point_count_disagreement,scene_category,工作与学习,1,1,-0.4,-0.4,,
manual,log_time,6,point_count_disagreement,scene_category,起居与休闲,2,2,-0.0666666666665,-0.0666666666665,-0.133333333333,0
manual,log_time,6,point_count_disagreement,scene_category,通行与连接,13,9,-0.14358974359,-0.124691358025,-0.238888888889,-0.0133333333332
manual,log_time,6,point_count_disagreement,main_function_primary,bathroom,20,9,-0.0866666666666,-0.00308641975302,-0.226689655172,0.0944444444445
manual,log_time,6,point_count_disagreement,main_function_primary,circulation,8,7,-0.208333333333,-0.190476190476,-0.366666666666,-0.0190476190477
manual,log_time,6,point_count_disagreement,main_function_primary,dining,1,1,0,0,,
manual,log_time,6,point_count_disagreement,main_function_primary,empty,2,1,-0.166666666667,-0.166666666667,,
manual,log_time,6,point_count_disagreement,main_function_primary,living,2,2,-0.0666666666665,-0.0666666666665,-0.133333333333,0
manual,log_time,6,point_count_disagreement,main_function_primary,sleep,6,5,-0.177777777778,-0.153333333333,-0.285714285714,-0.0266666666666
manual,log_time,6,point_count_disagreement,main_function_primary,storage,1,1,0,0,,
manual,log_time,6,point_count_disagreement,main_function_primary,unknown,4,4,-0.0833333333333,-0.0833333333333,-0.25,0
manual,log_time,6,point_count_disagreement,main_function_primary,work,2,2,-0.2,-0.2,-0.4,0
manual,log_time,6,singleton_share,floor_boundary,partial,32,10,-0.0781250000001,0.00444444444448,-0.166763565892,0.0476540616249
manual,log_time,6,singleton_share,floor_boundary,present,14,10,-0.130952380952,-0.15,-0.230769230769,-0.0444444444445
manual,log_time,6,singleton_share,scene_category,储藏与家务辅助,2,2,-0.083333333333,-0.083333333333,-0.166666666666,0
manual,log_time,6,singleton_share,scene_category,卧室,5,4,-0.233333333333,-0.208333333333,-0.333333333333,-0.0833333333332
manual,log_time,6,singleton_share,scene_category,卫浴,19,8,-0.0175438596492,0.0798611111112,-0.166666666667,0.179487179487
manual,log_time,6,singleton_share,scene_category,厨房与用餐,1,1,0,0,,
manual,log_time,6,singleton_share,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,6,singleton_share,scene_category,工作与学习,1,1,-0.333333333334,-0.333333333334,,
manual,log_time,6,singleton_share,scene_category,起居与休闲,2,2,0.083333333333,0.083333333333,-0.166666666667,0.333333333333
manual,log_time,6,singleton_share,scene_category,通行与连接,13,9,-0.192307692308,-0.222222222222,-0.3,-0.111111111111
manual,log_time,6,singleton_share,main_function_primary,bathroom,20,9,-0.0416666666667,0.0648148148148,-0.175438596491,0.166666666667
manual,log_time,6,singleton_share,main_function_primary,circulation,8,7,-0.229166666667,-0.22619047619,-0.333333333333,-0.119047619048
manual,log_time,6,singleton_share,main_function_primary,dining,1,1,0,0,,
manual,log_time,6,singleton_share,main_function_primary,empty,2,1,-0.083333333333,-0.083333333333,,
manual,log_time,6,singleton_share,main_function_primary,living,2,2,0.083333333333,0.083333333333,-0.166666666667,0.333333333333
manual,log_time,6,singleton_share,main_function_primary,sleep,6,5,-0.25,-0.233333333333,-0.333333333333,-0.1
manual,log_time,6,singleton_share,main_function_primary,storage,1,1,0,0,,
manual,log_time,6,singleton_share,main_function_primary,unknown,4,4,0.0416666666668,0.0416666666668,-0.208333333333,0.25
manual,log_time,6,singleton_share,main_function_primary,work,2,2,-0.166666666667,-0.166666666667,-0.333333333334,0
manual,log_time,6,mode_entropy,floor_boundary,partial,32,10,-0.12068270092,0.0101171577677,-0.36096260703,0.155955387248
manual,log_time,6,mode_entropy,floor_boundary,present,14,10,-0.265055506029,-0.337189566941,-0.552506664658,-0.0648213547914
manual,log_time,6,mode_entropy,scene_category,储藏与家务辅助,2,2,-0.300803372871,-0.300803372871,-0.601606745742,0
manual,log_time,6,mode_entropy,scene_category,卧室,5,4,-0.317853551776,-0.206790959975,-0.653231930552,0.134136706203
manual,log_time,6,mode_entropy,scene_category,卫浴,19,8,-0.0802214651557,0.0958061580644,-0.541072474304,0.379248125036
manual,log_time,6,mode_entropy,scene_category,厨房与用餐,1,1,0.918295834054,0.918295834054,,
manual,log_time,6,mode_entropy,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,6,mode_entropy,scene_category,工作与学习,1,1,-1,-1,,
manual,log_time,6,mode_entropy,scene_category,起居与休闲,2,2,-0.10375937482,-0.10375937482,-0.54085208297,0.33333333333
manual,log_time,6,mode_entropy,scene_category,通行与连接,13,9,-0.274486019669,-0.385259213524,-0.58076019842,-0.0804940321607
manual,log_time,6,mode_entropy,main_function_primary,bathroom,20,9,-0.125378179647,0.09330390852,-0.508304463244,0.331464486502
manual,log_time,6,mode_entropy,main_function_primary,circulation,8,7,-0.463847135551,-0.473505208461,-0.749461842729,-0.210768007988
manual,log_time,6,mode_entropy,main_function_primary,dining,1,1,0.918295834054,0.918295834054,,
manual,log_time,6,mode_entropy,main_function_primary,empty,2,1,-0.300803372871,-0.300803372871,,
manual,log_time,6,mode_entropy,main_function_primary,living,2,2,-0.10375937482,-0.10375937482,-0.54085208297,0.33333333333
manual,log_time,6,mode_entropy,main_function_primary,sleep,6,5,-0.320433515368,-0.232099434646,-0.613244605899,0.0942973807776
manual,log_time,6,mode_entropy,main_function_primary,storage,1,1,0,0,,
manual,log_time,6,mode_entropy,main_function_primary,unknown,4,4,0.162505605412,0.162505605412,-0.77621627013,0.950825794519
manual,log_time,6,mode_entropy,main_function_primary,work,2,2,-0.095437252309,-0.095437252309,-1,0.809125495382
manual,log_time,6,full_by8,floor_boundary,partial,32,10,-0.0078125,-0.0729166666667,-0.13446969697,0.0619196428571
manual,log_time,6,full_by8,floor_boundary,present,14,10,0.0416666666667,0.0798611111112,-0.0437630208334,0.157771915584
manual,log_time,6,full_by8,scene_category,储藏与家务辅助,2,2,0.333333333334,0.333333333334,0.291666666667,0.375
manual,log_time,6,full_by8,scene_category,卧室,5,4,0.1,0.046875,-0.09375,0.267857142857
manual,log_time,6,full_by8,scene_category,卫浴,19,8,-0.0833333333334,-0.157986111111,-0.268529040404,0.075024509804
manual,log_time,6,full_by8,scene_category,厨房与用餐,1,1,-0.583333333333,-0.583333333333,,
manual,log_time,6,full_by8,scene_category,复合／待定,3,3,0,0,0,0
manual,log_time,6,full_by8,scene_category,工作与学习,1,1,0.666666666667,0.666666666667,,
manual,log_time,6,full_by8,scene_category,起居与休闲,2,2,0.104166666666,0.104166666666,0,0.208333333333
manual,log_time,6,full_by8,scene_category,通行与连接,13,9,0.0352564102565,0.0817901234569,-0.0528205128205,0.170833333333
manual,log_time,6,full_by8,main_function_primary,bathroom,20,9,-0.0687500000001,-0.165895061728,-0.267551691729,0.0663580246914
manual,log_time,6,full_by8,main_function_primary,circulation,8,7,0.171875,0.172619047619,0.0535714285714,0.291666666667
manual,log_time,6,full_by8,main_function_primary,dining,1,1,-0.583333333333,-0.583333333333,,
manual,log_time,6,full_by8,main_function_primary,empty,2,1,0.145833333333,0.145833333333,,
manual,log_time,6,full_by8,main_function_primary,living,2,2,0.104166666666,0.104166666666,0,0.208333333333
manual,log_time,6,full_by8,main_function_primary,sleep,6,5,0.0833333333333,0.0375,-0.075,0.234375
manual,log_time,6,full_by8,main_function_primary,storage,1,1,0.375,0.375,,
manual,log_time,6,full_by8,main_function_primary,unknown,4,4,-0.15625,-0.15625,-0.53125,0.166666666667
manual,log_time,6,full_by8,main_function_primary,work,2,2,0.0833333333335,0.0833333333335,-0.5,0.666666666667
manual,log_time,6,core_by19,floor_boundary,partial,32,10,0.0156249999999,0.0352777777777,-0.0736475636768,0.131174768518
manual,log_time,6,core_by19,floor_boundary,present,14,10,0.110119047619,0.0923611111112,0.0151515151515,0.213235294118
manual,log_time,6,core_by19,scene_category,储藏与家务辅助,2,2,0.1875,0.1875,0,0.375
manual,log_time,6,core_by19,scene_category,卧室,5,4,0.0833333333332,0.130208333333,-0.1875,0.59375
manual,log_time,6,core_by19,scene_category,卫浴,19,8,0.0109649122806,0.0108506944443,-0.190484022557,0.242666408669
manual,log_time,6,core_by19,scene_category,厨房与用餐,1,1,-0.583333333333,-0.583333333333,,
manual,log_time,6,core_by19,scene_category,复合／待定,3,3,0.0555555555557,0.0555555555557,0,0.166666666667
manual,log_time,6,core_by19,scene_category,工作与学习,1,1,0.375,0.375,,
manual,log_time,6,core_by19,scene_category,起居与休闲,2,2,-0.145833333334,-0.145833333334,-0.5,0.208333333333
manual,log_time,6,core_by19,scene_category,通行与连接,13,9,0.105769230769,0.079475308642,-0.0208333333333,0.235119047619
manual,log_time,6,core_by19,main_function_primary,bathroom,20,9,0.0062499999999,0.00655864197519,-0.188492063492,0.23512342437
manual,log_time,6,core_by19,main_function_primary,circulation,8,7,0.182291666667,0.145833333333,-0.0119047619047,0.361174242424
manual,log_time,6,core_by19,main_function_primary,dining,1,1,-0.583333333333,-0.583333333333,,
manual,log_time,6,core_by19,main_function_primary,empty,2,1,0,0,,
manual,log_time,6,core_by19,main_function_primary,living,2,2,-0.145833333334,-0.145833333334,-0.5,0.208333333333
manual,log_time,6,core_by19,main_function_primary,sleep,6,5,0.1875,0.245833333333,-0.130952380953,0.633333333333
manual,log_time,6,core_by19,main_function_primary,storage,1,1,0.375,0.375,,
manual,log_time,6,core_by19,main_function_primary,unknown,4,4,0,0,0,0
manual,log_time,6,core_by19,main_function_primary,work,2,2,-0.0833333333335,-0.0833333333335,-0.541666666667,0.375
manual,log_time,6,core_tail,floor_boundary,partial,32,10,-0.0703124999999,-0.0381944444443,-0.185085998062,0.0738810805425
manual,log_time,6,core_tail,floor_boundary,present,14,10,0.0565476190475,0.0444444444444,-0.0701788651318,0.190476190476
manual,log_time,6,core_tail,scene_category,储藏与家务辅助,2,2,0.145833333334,0.145833333334,0,0.291666666667
manual,log_time,6,core_tail,scene_category,卧室,5,4,-0.391666666666,-0.40625,-0.729166666666,-0.033333333333
manual,log_time,6,core_tail,scene_category,卫浴,19,8,0.0197368421054,0.0264756944447,-0.222222222222,0.298645833334
manual,log_time,6,core_tail,scene_category,厨房与用餐,1,1,-0.791666666667,-0.791666666667,,
manual,log_time,6,core_tail,scene_category,复合／待定,3,3,-0.0694444444443,-0.0694444444443,-0.083333333333,-0.041666666667
manual,log_time,6,core_tail,scene_category,工作与学习,1,1,0.416666666667,0.416666666667,,
manual,log_time,6,core_tail,scene_category,起居与休闲,2,2,0.0625,0.0625,-0.125,0.25
manual,log_time,6,core_tail,scene_category,通行与连接,13,9,0.0224358974358,0.0239197530863,-0.0750130208335,0.135416666666
manual,log_time,6,core_tail,main_function_primary,bathroom,20,9,0.0458333333335,0.0405092592595,-0.185428685897,0.280555555556
manual,log_time,6,core_tail,main_function_primary,circulation,8,7,0.109375,0.0982142857142,-0.0238095238097,0.255208333333
manual,log_time,6,core_tail,main_function_primary,dining,1,1,-0.791666666667,-0.791666666667,,
manual,log_time,6,core_tail,main_function_primary,empty,2,1,0.104166666667,0.104166666667,,
manual,log_time,6,core_tail,main_function_primary,living,2,2,0.0625,0.0625,-0.125,0.25
manual,log_time,6,core_tail,main_function_primary,sleep,6,5,-0.284722222222,-0.275,-0.641666666666,0.0666666666668
manual,log_time,6,core_tail,main_function_primary,storage,1,1,0,0,,
manual,log_time,6,core_tail,main_function_primary,unknown,4,4,-0.177083333334,-0.177083333334,-0.53125,0.020833333333
