condition,axis,n_people,metric,images,groups,delta,macro_delta,lo,hi
manual,quality,6,total_clusters,46,15,-0.717391304348,-0.670707070707,-1.0625,-0.366666666667
manual,quality,6,supported_clusters,46,15,0.0217391304348,0.0883838383838,-0.134615384615,0.275862068966
manual,quality,6,singleton_share,46,15,-0.123188405797,-0.126515151515,-0.211826508621,-0.047619047619
manual,quality,6,point_count_disagreement,46,15,-0.0782608695652,-0.112626262626,-0.18789446186,0.00194941744814
manual,quality,6,heldout_geometry_coverage,46,15,0.054347826087,0.0479797979798,-0.0232696566999,0.11112745098
manual,quality,6,mode_entropy,46,15,-0.410103308545,-0.349203975492,-0.574312143221,-0.239666828546
manual,quality,6,full_by8,46,15,0.159420289855,0.136826599327,0.0690051174903,0.240888056025
manual,quality,6,core_by19,46,15,0.13768115942,0.137752525253,0.0284552845528,0.237320947085
manual,quality,6,late_quarter_new,46,15,-0.11865942029,-0.120686026936,-0.197686531008,-0.040669356685
manual,quality,8,total_clusters,46,15,-1.08695652174,-1.01414141414,-1.41031746032,-0.609756097561
manual,quality,8,supported_clusters,46,15,0.130434782609,0.239393939394,-0.0870048309179,0.416733870968
manual,quality,8,singleton_share,46,15,-0.152173913043,-0.156691919192,-0.20673828125,-0.0812219551282
manual,quality,8,point_count_disagreement,46,15,-0.0799689440994,-0.0937229437229,-0.165192880037,-0.0121685606061
manual,quality,8,heldout_geometry_coverage,46,15,0.054347826087,0.0560606060606,-0.0156376008065,0.120017241379
manual,quality,8,mode_entropy,46,15,-0.496038187969,-0.429348550866,-0.647506145388,-0.294658942085
manual,quality,8,full_by8,46,15,0.169384057971,0.135837542088,0.0766073028674,0.230560897436
manual,quality,8,core_by19,46,15,0.0896739130435,0.0873316498316,-0.00220609267735,0.169203192641
manual,quality,8,late_quarter_new,46,15,-0.13722826087,-0.143823653199,-0.198731884058,-0.0579155092593
semi,log_time,4,total_clusters,18,10,0.111111111111,-0.015,-0.466666666667,0.47619047619
semi,log_time,4,supported_clusters,18,10,0.277777777778,0.185,0.0624080882353,0.454545454545
semi,log_time,4,singleton_share,18,10,-0.0416666666667,-0.05,-0.142857142857,0.0357142857143
semi,log_time,4,point_count_disagreement,18,10,0.194444444444,0.131666666667,-9.25185853854e-18,0.3265625
semi,log_time,4,heldout_geometry_coverage,18,10,0,-0.0375,-0.142857142857,0.107142857143
semi,log_time,4,mode_entropy,18,10,0.162990798521,0.0533834373377,-0.318187800079,0.462819938921
semi,log_time,4,full_by8,18,10,-0.0833333333333,0.04,-0.288480392157,0.291666666667
semi,log_time,4,core_by19,18,10,-0.115740740741,0.00875,-0.282987607759,0.191704545455
semi,log_time,4,late_quarter_new,18,10,-0.0324074074074,-0.03125,-0.135416666667,0.0496130952381
semi,log_time,6,total_clusters,18,10,0.0555555555556,-0.225,-0.8003125,0.56
semi,log_time,6,supported_clusters,18,10,0.222222222222,0.085,-0.1,0.428571428571
semi,log_time,6,singleton_share,18,10,-0.0277777777778,-0.0516666666667,-0.125,0.0333620689655
semi,log_time,6,point_count_disagreement,18,10,0.12962962963,0.084,-0.0286904761905,0.244444444444
semi,log_time,6,heldout_geometry_coverage,18,10,-0.0555555555556,-0.1125,-0.25,0.0714285714286
semi,log_time,6,mode_entropy,18,10,0.128704949351,-0.0558624994837,-0.411062491671,0.4633657162
semi,log_time,6,full_by8,18,10,-0.0601851851852,0.0247916666667,-0.231481481481,0.217948717949
semi,log_time,6,core_by19,18,10,-0.0648148148148,-0.000208333333333,-0.185,0.12123241342
semi,log_time,6,late_quarter_new,18,10,0.00810185185185,-0.0164583333333,-0.0847222222222,0.0689236111111
semi,log_time,8,total_clusters,17,9,-0.117647058824,-0.355555555556,-1.20035714286,0.47619047619
semi,log_time,8,supported_clusters,17,9,0.235294117647,0.0944444444444,-0.153846153846,0.461538461538
semi,log_time,8,singleton_share,17,9,-0.0441176470588,-0.05625,-0.1375,0.0119047619048
semi,log_time,8,point_count_disagreement,17,9,0.102941176471,0.0547619047619,-0.0769345238095,0.233516483516
semi,log_time,8,heldout_geometry_coverage,17,9,-0.0882352941176,-0.138888888889,-0.272727272727,0.0263523391813
semi,log_time,8,mode_entropy,17,9,0.0558355003194,-0.0934692592176,-0.540813187315,0.404703083084
semi,log_time,8,full_by8,17,9,0.125,0.153935185185,-0.00596804511278,0.336339285714
semi,log_time,8,core_by19,17,9,0.0637254901961,0.0520833333333,-0.0208333333333,0.164635416667
semi,log_time,8,late_quarter_new,17,9,-0.031862745098,-0.0532407407407,-0.127083333333,0.0294205182073
semi,quality,4,total_clusters,18,10,-0.944444444444,-1.23,-1.61538461538,-0.521739130435
semi,quality,4,supported_clusters,18,10,0.166666666667,0.28,-0.0588235294118,0.583333333333
semi,quality,4,singleton_share,18,10,-0.277777777778,-0.3775,-0.545454545455,-0.1375
semi,quality,4,point_count_disagreement,18,10,-0.101851851852,-0.118333333333,-0.2,-0.0294117647059
semi,quality,4,heldout_geometry_coverage,18,10,0.0555555555556,0.0375,-0.0666666666667,0.166666666667
semi,quality,4,mode_entropy,18,10,-0.673475347162,-0.853112781245,-1.07453488036,-0.368872187554
semi,quality,4,full_by8,18,10,0.381944444444,0.485833333333,0.178813244048,0.62084280303
semi,quality,4,core_by19,18,10,0.342592592593,0.425208333333,0.15625,0.628797348485
semi,quality,4,late_quarter_new,18,10,-0.240740740741,-0.353125,-0.526515151515,-0.0972039473684
semi,quality,6,total_clusters,18,10,-1.33333333333,-1.83,-2.50096153846,-0.708217592593
semi,quality,6,supported_clusters,18,10,0,0.11,-0.285714285714,0.454545454545
semi,quality,6,singleton_share,18,10,-0.222222222222,-0.323333333333,-0.483333333333,-0.0952380952381
semi,quality,6,point_count_disagreement,18,10,-0.0814814814815,-0.110666666667,-0.211111111111,0.00741830065359
semi,quality,6,heldout_geometry_coverage,18,10,0.0277777777778,-0.0125,-0.111217948718,0.142857142857
semi,quality,6,mode_entropy,18,10,-0.766371814542,-1.00920859939,-1.30877247306,-0.425354990381
semi,quality,6,full_by8,18,10,0.363425925926,0.469791666667,0.211795910494,0.644270833333
semi,quality,6,core_by19,18,10,0.266203703704,0.317708333333,0.141025641026,0.484848484848
semi,quality,6,late_quarter_new,18,10,-0.190972222222,-0.276875,-0.448003472222,-0.0657853618421
semi,quality,8,total_clusters,18,10,-1.61111111111,-2.05,-2.63712121212,-1.04347826087
semi,quality,8,supported_clusters,18,10,-0.388888888889,-0.36,-0.705882352941,-0.0526315789474
semi,quality,8,singleton_share,18,10,-0.152777777778,-0.21125,-0.294663149351,-0.0803571428571
semi,quality,8,point_count_disagreement,18,10,-0.047619047619,-0.0548214285714,-0.151102941176,0.0408297529538
semi,quality,8,heldout_geometry_coverage,18,10,0,-0.0375,-0.136363636364,0.100086206897
semi,quality,8,mode_entropy,18,10,-0.902844819714,-1.10224198348,-1.34321400576,-0.603244070173
semi,quality,8,full_by8,18,10,0.293981481481,0.336458333333,0.154166666667,0.519638480392
semi,quality,8,core_by19,18,10,0.152777777778,0.139791666667,0.0364282852564,0.284722222222
semi,quality,8,late_quarter_new,18,10,-0.116898148148,-0.158020833333,-0.251740056818,-0.0416666666667
