package_path,original_source,role,original_bytes,original_sha256,source_content_preserved,compression
facts/meta_response_set.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\meta_response_set.csv,existing_substrate_snapshot,3049267,55d77cecc9ed25c4ff2f60e934e78de2eaaee6cb609db443d41f1c0b28cb498d,True,gzip
facts/OUTPUT_MANIFEST.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\OUTPUT_MANIFEST.csv,existing_substrate_snapshot,2522,e982662b94e41ff487d6006d66d569363fa4021f3bc13318c705169f88bbde6b,True,gzip
facts/proposal_fact.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\proposal_fact.csv,existing_substrate_snapshot,44082,20c47a7e7565c168287946adef708521bc91a7c694c8b3d1131a6c8f1595a10d,True,gzip
facts/proposal_response.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\proposal_response.csv,existing_substrate_snapshot,702330,5169d1f86e003ef6ce3b19eb849a2aef5c92e573d120a9a45770742dfe9cfd64,True,gzip
facts/reference_measurement.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\reference_measurement.csv,existing_substrate_snapshot,1479606,06844e6ad88b2bedd5333a99ddecf916b63725b9de8b4a2847e4d9cbc4f549a4,True,gzip
facts/task_context_master.csv.gz,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\task_context_master.csv,existing_substrate_snapshot,91707,40b8dcea336707504a81a55f13175978647b02179cb86b721cad98e8e78d1652,True,gzip
facts/active_event_observed.csv.gz,analysis_results/uncertainty_substrate_20260823_v1/active_event_fact.csv,existing_event_fields_without_nested_raw_payload_no_fatigue_inference,,,False,
facts/README_ZH.md,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\README_ZH.md,existing_substrate_documentation,2397,9747723bb01e83e92dfd6b1724fb7f6f8817797651f374d5f8ea33fdbee7dfa1,True,none
facts/QA_SUMMARY.json,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\QA_SUMMARY.json,existing_substrate_documentation,1907,6a5e375270f75f4679aca57d4b79ad7e73ee9a06c4451a7cf397999565028ffc,True,none
facts/SOURCE_MANIFEST.json,D:\Work\HOHONET\analysis_results\uncertainty_substrate_20260823_v1\SOURCE_MANIFEST.json,existing_substrate_documentation,72655,d857d93aeff813b8a37f776a4d56cce4a82b4a499550469a706bbd6edfad9d57,True,none
archive/extended73_k_replay.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\data_audit\full_high_support_k15_20_task.csv,existing_result_or_review,239864,bcbd49ab42216e81918d91d9362d82d8e31db9a7e9f9a34dcd71037607101a9e,True,gzip
archive/extended73_k_summary.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\data_audit\full_high_support_k15_20_summary.csv,existing_result_or_review,58997,8c0887845611c8ec55714d070754b0dc728262a2c3080db96dd03b6e82c3526d,True,gzip
archive/historical42_partitions.csv.gz,D:\Work\HOHONET\analysis_results\historical_uncertainty_recompute_20260829_v1\full_roster_structure_tasks.csv,existing_result_or_review,36740,5b96489595646d3d3619ba283e2d0baad2535ed9e0687e80eb54c6d99982c5bd,True,gzip
archive/historical42_threshold_sensitivity.csv.gz,D:\Work\HOHONET\analysis_results\historical_uncertainty_recompute_20260829_v1\structure_threshold_sensitivity.csv,existing_result_or_review,2209,14dc2eca19f033ed926b99dec11152592b07cc862d668a0af597e40041fb3684,True,gzip
archive/historical42_membership_threshold_source.csv.gz,D:\Work\HOHONET\analysis_results\rq1_raw_recompute_20260826\high_density_cluster_threshold_sensitivity.csv,existing_result_or_review,29324,2ace0ee6cfa86678e574266cc45a480850811066f88fabd9b3906f8797b24a99,True,gzip
archive/historical42_readme.md,D:\Work\HOHONET\analysis_results\historical_uncertainty_recompute_20260829_v1\README_ZH.md,existing_result_or_review,2900,87380eeda189c6ff25f70a6b9e6914eeace9ad56d95d34b4c0edf9f18a568710,True,none
archive/worker_mode_membership_lanes.csv.gz,D:\Work\HOHONET\analysis_results\full_uncertainty_data_mining_20260821_v5\WORKER_MODE_MEMBERSHIP_LANES.csv,existing_result_or_review,177856,a296f5ef237d241da010c8f63b10aa668bd885c49340a04769bbfdafe7c5b81d,True,gzip
archive/legacy213_partitions_and_representatives.csv.gz,D:\Work\HOHONET\analysis_results\post_block2_analysis_pack_20260817_v4\post_block2_geometry_reconstructed_consensus.csv,existing_result_or_review,770885,d1c3b13f833a2eb3520a37bb9d922bd1fe340651f47d6338952bb4466136b0ef,True,gzip
archive/legacy_geometry_comparisons.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\data_audit\geometry_comparisons.csv,existing_result_or_review,8584096,ceaca17b55dee4a1c71de91741ad84f67ffb80a342824a0a53e4fb4b903b82d8,True,gzip
archive/all_condition_support.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\data_audit\full_stage_condition_image_support_census.csv,existing_result_or_review,34856,cb8f917a24a70c8b1fc32630db2b381fb3c2a41c913e6e9507befc7686ee7f10,True,gzip
archive/matched_three_paths.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\data_audit\three_path_coverage_and_matched_images.csv,existing_result_or_review,3733,51032ae37a99f10ce2c7ce2b311058778ff60cb2130e9d46265d58b59e6e7815,True,gzip
archive/room_region_mapping.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\inventory\room_region_mapping_records.csv,existing_result_or_review,44245,46591eac517bac7d5cfeeab10197c888b154a46aa5f90e9770bf96b2d614e10e,True,gzip
archive/room_region_mapping_audit.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\inventory\room_region_mapping_audit.csv,existing_result_or_review,10260,f5fe5c6b4a6f1e1f66d9d2d79589fd3048e40e92f239966b9e3fb68584914e82,True,gzip
archive/broader_source_catalog.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\inventory\package_catalog.csv,existing_result_or_review,1692642,21a937215ff69e12df34a8d54aace84350dabd4b56f5ee2d6004350329a9124f,True,gzip
archive/source_inventory.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\data_audit\source_inventory.csv,existing_result_or_review,107743,733b7cf97746a3ba5a7e19adfd843e981787a159702a61978e618e7cbc0af6f4,True,gzip
archive/model_asset_summary.csv.gz,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\inventory\model_asset_summary.csv,existing_result_or_review,2759,9f2591921568b595560302d44165d58e51d969edbdf06766b2e0c3de841a9307,True,gzip
archive/human30.json,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\inventory\human_review_export_20260905_raw.json,existing_result_or_review,7481,e6877987856a85d50b4adf63e30c27df4cca6c0f7a395fd31480c07f1cd5f16f,True,none
archive/ai50.json,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\review50\ai_visual_advisory.json,existing_result_or_review,43621,2b1c5e585cc1002ff9fdfc794ea36e91194ba8e6e301f44b8daf501d8f2a4588,True,none
archive/ai50_selection.json,D:\Work\HOHONET\analysis_results\annotation_research_decision_audit_20260905_v1\review50\selected50_manifest.json,existing_result_or_review,277396,2dfbf8e2210b1c1c4818292b24c0df68caeb141fb4a55e5aa968bcfd130213fa,True,none
models/bilayout_test_run_metadata.json,D:\Work\Manhattan_3D\Bi_layout\exports\mp3d_dual_predictions\test\run_metadata.json,actual_inference_metadata,766,2ec142676d85506d059b67d23b14c5f9baa67e6fef7669f2679ea0d778222bd3,True,none
models/bilayout_val_run_metadata.json,D:\Work\Manhattan_3D\Bi_layout\exports\mp3d_dual_predictions\val\run_metadata.json,actual_inference_metadata,765,8615f9f9dd37907d0a746d52c25de4c5220602d2057bdf1440b1bfd7f134a12d,True,none
models/bilayout_mp3d_config.yaml.gz,D:\Work\Manhattan_3D\Bi_layout\src\config\mp3d.yaml,actual_inference_config_not_training_overlap_verification,1228,31e6dac5a1e5c8f6b8fac8db96066c6483690fc093d5700c60246c1e07340383,True,gzip
