replicate,fixed_panel,independent_per_image
245,0.0416618142177,0.0441366047286
246,0.0362011376621,0.0407490174388
247,0.0364436394782,0.0401201698901
248,0.0453302336522,0.0342526227478
249,0.0351058926071,0.0376306074307
250,0.0337094820052,0.0352177688619
251,0.0394333614562,0.034665772353
252,0.043294959487,0.0332893850597
253,0.0431266741792,0.0348666319897
254,0.0445894496401,0.042548140763
255,0.0419723177409,0.0402457376061
256,0.0425571129665,0.041725738563
257,0.0411024778124,0.0433154430886
258,0.0408902699075,0.0365090805476
259,0.0446071913093,0.0433238838595
260,0.0434264526767,0.0449743061801
261,0.0407425896643,0.0418937263348
262,0.0421470048,0.0434382261931
263,0.0415301097877,0.0363278369996
264,0.0373610189521,0.0454516826908
265,0.0439597470672,0.0430667164366
266,0.0449228538185,0.0401108392189
267,0.039971148923,0.0383707885702
268,0.0381665377148,0.0445894496401
269,0.0413028696619,0.0404837176101
270,0.039610809178,0.0449693276283
271,0.0341009518415,0.0443221421508
272,0.0433451456822,0.042056662679
273,0.0431090127605,0.0427264738241
274,0.0458945934792,0.0385367950989
275,0.0370172020829,0.0360763874759
276,0.0418705407747,0.0429307994096
277,0.0409899038951,0.036109481714
278,0.0436276523223,0.0391832695103
279,0.0422738362093,0.0409175866248
280,0.041701133934,0.0411589547153
281,0.0367829446673,0.0428835582045
282,0.0416059466637,0.0392559303858
283,0.038607139284,0.040266334404
284,0.0433227440156,0.0412516314942
285,0.0451681661684,0.0434385318455
286,0.043554311475,0.0440819830694
287,0.041947369299,0.0430574074651
288,0.0355664605246,0.0452628329452
289,0.0424961254217,0.0366542788835
290,0.0393135449883,0.0398582061232
291,0.0426380892611,0.0383629581055
292,0.0400347400811,0.042951762676
293,0.0393323137052,0.0439025454505
294,0.0418918057518,0.0427149719504
295,0.0347478520896,0.0421592611797
296,0.0437556391346,0.0441680701363
297,0.0443326514639,0.0415935134054
298,0.0417529862283,0.0432624458879
299,0.042092298479,0.0447926073524
300,0.0351252358044,0.0418780465745
301,0.0394506989815,0.0390408948317
302,0.044053876504,0.0414530619393
303,0.032925127726,0.0383034222354
304,0.0383972329567,0.0361230711141
305,0.0424920801042,0.0357405319461
306,0.0410759947659,0.0403997442435
307,0.0412412742875,0.0374079868717
308,0.0461479857812,0.0437044348397
309,0.0400947054442,0.0396175540082
310,0.0437492888817,0.0388340250104
311,0.0426834533684,0.0357943308232
312,0.0445797195858,0.037812187954
313,0.046478027648,0.0444756790851
314,0.0422001478761,0.0448578709312
315,0.046086973063,0.0335946677605
316,0.04235853463,0.0372836272113
317,0.0384389806189,0.0402604541274
318,0.0437051858818,0.0454740654046
319,0.0405030372982,0.0339250052291
320,0.0404241640182,0.0409747199407
321,0.0349338260106,0.0432166229512
322,0.0380973764134,0.0440960927059
323,0.0423127762481,0.0427430576055
324,0.0429908818165,0.0402137243069
325,0.0414357829229,0.04138154842
326,0.042672003752,0.0418085458055
327,0.0402653590331,0.0423839236176
328,0.0433125616334,0.0344189999277
329,0.039126111812,0.0432130239897
330,0.0413862937055,0.0420927163057
331,0.0410481328769,0.0402031400303
332,0.0341716462586,0.0435055185692
333,0.0436247182348,0.0422282751589
334,0.0391612237185,0.0422757266304
335,0.0394694536689,0.0404198042761
336,0.0455565167303,0.0413398240863
337,0.0444109257224,0.0445078746735
338,0.0408951791212,0.0449836052421
339,0.0412937917929,0.0421088851877
340,0.039825395074,0.0361160239828
341,0.0398459628544,0.0433130624019
342,0.0420536918191,0.0375689770391
343,0.0411384297451,0.0434193280436
344,0.039166603062,0.0415344741188
345,0.0421334036533,0.0420554854698
346,0.0390978995215,0.0400985181796
347,0.0400248114241,0.0379794208852
348,0.0445662614828,0.0402312046502
349,0.0325464716172,0.0449520660304
350,0.0417223422313,0.044102617841
351,0.0404665228368,0.041770396501
352,0.0406348504447,0.0429531711914
353,0.0397297380917,0.0418413146041
354,0.0459225387621,0.0433192920033
355,0.0402274082488,0.0401108392189
356,0.0390138842435,0.0419338251559
357,0.0372023287143,0.0402537252498
358,0.0379441364226,0.039425868594
359,0.0404501197004,0.0420425946232
360,0.0386718405782,0.0430716237502
361,0.0416599415457,0.0414518325492
362,0.0425692184213,0.0403938501608
363,0.0334799402971,0.038367035559
364,0.0441480375928,0.0415971885664
365,0.0422951000353,0.0418521933338
366,0.0424808106208,0.0424098874621
367,0.0368117567439,0.0453302336522
368,0.0398108224948,0.0433716769439
369,0.043219317199,0.0385308831675
370,0.0441000941064,0.0420906958751
371,0.0419021483198,0.0434900513429
372,0.0417887074289,0.0426820408782
373,0.042425610845,0.0422912030277
374,0.0353945181397,0.0403822174425
375,0.0436300830873,0.0401607591376
376,0.0388813878334,0.0434086989174
377,0.0451018446535,0.0420405180985
378,0.0421108810906,0.0407108651111
379,0.0441471609442,0.0429133820515
380,0.0386950693072,0.0394066131593
381,0.0461535574628,0.0464420141704
382,0.0400650595661,0.0424795377179
383,0.0398860119768,0.0389767503096
384,0.0408413601954,0.0441680701363
385,0.0397845396605,0.0413993730373
386,0.0373466940298,0.0444617069917
387,0.0390664192386,0.0438335264846
388,0.0424148420009,0.0424380925008
389,0.0440680628223,0.0427188225687
390,0.042254058964,0.0442080546007
391,0.0443547902044,0.044433306918
392,0.0456700404804,0.0463286116334
393,0.0423231954991,0.0448249924312
394,0.0452058449373,0.0373302005842
