replicate,fixed_panel,independent_per_image
153,0.116403964299,0.115669146968
154,0.115025933459,0.112147247452
155,0.114388149966,0.116613542486
156,0.112415418897,0.114090392133
157,0.109831703911,0.113107661437
158,0.115354521244,0.114551214597
159,0.113637222518,0.112255147374
160,0.115774798846,0.111170626518
161,0.107199396503,0.115059796799
162,0.1143698873,0.113829463134
163,0.116819162956,0.112261730049
164,0.117742307548,0.115367919417
165,0.112334548675,0.112326184265
166,0.115233049535,0.112409873951
167,0.112765629004,0.113471122001
168,0.117044577945,0.113333909417
169,0.114679183084,0.112860909429
170,0.115172311924,0.110303366986
171,0.109603074459,0.114864984435
172,0.115308564619,0.112132772981
173,0.112528894972,0.114890121807
174,0.112883783045,0.109908397753
175,0.115811966692,0.110634674638
176,0.108414943713,0.112394718938
177,0.109193870902,0.110220767663
178,0.109212669588,0.107970662998
179,0.115161196131,0.1135679713
180,0.116740754752,0.113033353802
181,0.114799540064,0.112027848937
182,0.110951014035,0.11191769137
183,0.111991504936,0.114400149618
184,0.109457650315,0.112076030671
185,0.113414909305,0.108100651549
186,0.114306400194,0.114811285369
187,0.107911624042,0.113724895552
188,0.113517107478,0.115310789821
189,0.109023265314,0.112614610815
190,0.109655995227,0.113586044478
191,0.109503072495,0.111701906317
192,0.112870446366,0.112114094515
193,0.109187166549,0.112538684437
194,0.110490169075,0.112172208938
195,0.115603498632,0.114810344278
196,0.112922056739,0.11103841536
197,0.112856428943,0.113704917103
198,0.112985127966,0.113247097718
199,0.113214081465,0.11276905579
200,0.111298920448,0.1141706361
201,0.111382183528,0.112717212284
202,0.114589826616,0.110782721666
203,0.112567753483,0.110047645369
204,0.115285332538,0.112811899094
205,0.115964577815,0.114820889982
206,0.107532965634,0.113165768001
207,0.110958797238,0.112861483158
208,0.110120500804,0.112061318104
209,0.116189147415,0.109925698586
210,0.111344935228,0.111620998218
211,0.116477595053,0.11023793695
212,0.111202463908,0.11104667248
213,0.111797012986,0.113384668496
214,0.11392887181,0.114102132281
215,0.110796269415,0.111233496803
216,0.107116971478,0.112733736226
217,0.116570447617,0.111412733097
218,0.111460533382,0.112986662862
219,0.110756516455,0.114337161641
220,0.112652216288,0.109548260031
221,0.113722766109,0.112729724111
222,0.112779698384,0.109553101371
223,0.115472837272,0.113447543878
224,0.115308564619,0.115181971902
225,0.113605834958,0.113968945395
226,0.113390843198,0.114198960737
227,0.112779192202,0.113425028127
228,0.108286135878,0.112859120104
229,0.109210676999,0.111769609101
230,0.117751008378,0.11496706188
231,0.117768006764,0.112398904512
232,0.112510417841,0.113822841716
233,0.113305403014,0.114972880771
234,0.116319639498,0.112678248054
235,0.111830829655,0.11188570389
236,0.112438790832,0.11607031153
237,0.11383493578,0.114351484946
238,0.111873628415,0.116330884843
239,0.114564532203,0.111872466789
240,0.113536537005,0.112391571508
241,0.116952269775,0.111567269845
242,0.112318350444,0.114603391305
243,0.109485635062,0.110854909646
244,0.112293849889,0.112230835216
245,0.114275895944,0.113191785049
246,0.104351660239,0.115783637653
247,0.111344846252,0.114731827436
248,0.109514639913,0.113500428866
249,0.117559394207,0.110173776927
250,0.115417978384,0.110005210567
251,0.114172817592,0.114095327392
252,0.111750183578,0.112827333496
253,0.110082768718,0.111784739209
254,0.112425053178,0.111665366021
255,0.117016968145,0.113549334781
256,0.109645458096,0.113404081243
257,0.115826102226,0.112060374088
258,0.111835697487,0.113700370486
259,0.111913162664,0.112896900081
260,0.113150994669,0.110709394512
261,0.111606929735,0.114080094535
262,0.112765629004,0.114683804111
263,0.109457650315,0.113504360328
