stage,analysis_cohort,epsilon,metric,numerator,denominator,missing,metric_value,threshold_grid_status,diagnostic_pre_stage3,development_only,scientific_conclusion_prohibited,formal_profile_frozen,reviewer_policy_frozen,main_launch_authorized
P1,all26_sensitivity,0.01,control_false_alarm,35,156,0,0.22435897435897437,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.01,control_overcorrection,44,156,0,0.28205128205128205,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.01,non_harmful_control_handling,112,156,0,0.717948717948718,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.02,unmodified_trap_submission,47,312,0,0.15064102564102563,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.02,strict_blind_trust,18,312,0,0.057692307692307696,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.02,issue_reported_without_quality_improvement,162,312,0,0.5192307692307693,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.02,quality_improving_correction,73,312,0,0.23397435897435898,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.02,harmful_correction,87,468,0,0.1858974358974359,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.02,control_false_alarm,35,156,0,0.22435897435897437,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.02,control_overcorrection,24,156,0,0.15384615384615385,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.02,non_harmful_control_handling,132,156,0,0.8461538461538461,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.05,unmodified_trap_submission,47,312,0,0.15064102564102563,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.05,strict_blind_trust,18,312,0,0.057692307692307696,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.05,issue_reported_without_quality_improvement,175,312,0,0.5608974358974359,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.05,quality_improving_correction,55,312,0,0.1762820512820513,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.05,harmful_correction,50,468,0,0.10683760683760683,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.05,control_false_alarm,35,156,0,0.22435897435897437,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.05,control_overcorrection,11,156,0,0.07051282051282051,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,all26_sensitivity,0.05,non_harmful_control_handling,145,156,0,0.9294871794871795,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.0,unmodified_trap_submission,32,276,0,0.11594202898550725,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.0,strict_blind_trust,15,276,0,0.05434782608695652,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.0,issue_reported_without_quality_improvement,90,276,0,0.32608695652173914,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.0,quality_improving_correction,124,276,0,0.4492753623188406,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.0,harmful_correction,177,414,0,0.427536231884058,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.0,control_false_alarm,28,138,0,0.2028985507246377,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.0,control_overcorrection,58,138,0,0.42028985507246375,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.0,non_harmful_control_handling,80,138,0,0.5797101449275363,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.01,unmodified_trap_submission,32,276,0,0.11594202898550725,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.01,strict_blind_trust,15,276,0,0.05434782608695652,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.01,issue_reported_without_quality_improvement,129,276,0,0.4673913043478261,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.01,quality_improving_correction,80,276,0,0.2898550724637681,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.01,harmful_correction,110,414,0,0.26570048309178745,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.01,control_false_alarm,28,138,0,0.2028985507246377,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.01,control_overcorrection,39,138,0,0.2826086956521739,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.01,non_harmful_control_handling,99,138,0,0.717391304347826,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.02,unmodified_trap_submission,32,276,0,0.11594202898550725,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.02,strict_blind_trust,15,276,0,0.05434782608695652,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.02,issue_reported_without_quality_improvement,133,276,0,0.48188405797101447,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.02,quality_improving_correction,69,276,0,0.25,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.02,harmful_correction,80,414,0,0.1932367149758454,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.02,control_false_alarm,28,138,0,0.2028985507246377,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.02,control_overcorrection,23,138,0,0.16666666666666666,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.02,non_harmful_control_handling,115,138,0,0.8333333333333334,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.05,unmodified_trap_submission,32,276,0,0.11594202898550725,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.05,strict_blind_trust,15,276,0,0.05434782608695652,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.05,issue_reported_without_quality_improvement,143,276,0,0.5181159420289855,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.05,quality_improving_correction,54,276,0,0.1956521739130435,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.05,harmful_correction,46,414,0,0.1111111111111111,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.05,control_false_alarm,28,138,0,0.2028985507246377,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.05,control_overcorrection,11,138,0,0.07971014492753623,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,c1_eligible23_primary,0.05,non_harmful_control_handling,127,138,0,0.9202898550724637,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.0,unmodified_trap_submission,30,240,0,0.125,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.0,strict_blind_trust,14,240,0,0.058333333333333334,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.0,issue_reported_without_quality_improvement,77,240,0,0.32083333333333336,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.0,quality_improving_correction,103,240,0,0.42916666666666664,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.0,harmful_correction,160,360,0,0.4444444444444444,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.0,control_false_alarm,27,120,0,0.225,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.0,control_overcorrection,54,120,0,0.45,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.0,non_harmful_control_handling,66,120,0,0.55,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.01,unmodified_trap_submission,30,240,0,0.125,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.01,strict_blind_trust,14,240,0,0.058333333333333334,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.01,issue_reported_without_quality_improvement,107,240,0,0.44583333333333336,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.01,quality_improving_correction,69,240,0,0.2875,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.01,harmful_correction,102,360,0,0.2833333333333333,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.01,control_false_alarm,27,120,0,0.225,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.01,control_overcorrection,37,120,0,0.30833333333333335,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.01,non_harmful_control_handling,83,120,0,0.6916666666666667,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.02,unmodified_trap_submission,30,240,0,0.125,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.02,strict_blind_trust,14,240,0,0.058333333333333334,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.02,issue_reported_without_quality_improvement,110,240,0,0.4583333333333333,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.02,quality_improving_correction,59,240,0,0.24583333333333332,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.02,harmful_correction,78,360,0,0.21666666666666667,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.02,control_false_alarm,27,120,0,0.225,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.02,control_overcorrection,23,120,0,0.19166666666666668,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.02,non_harmful_control_handling,97,120,0,0.8083333333333333,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.05,unmodified_trap_submission,30,240,0,0.125,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.05,strict_blind_trust,14,240,0,0.058333333333333334,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.05,issue_reported_without_quality_improvement,119,240,0,0.49583333333333335,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.05,quality_improving_correction,45,240,0,0.1875,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.05,harmful_correction,46,360,0,0.12777777777777777,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.05,control_false_alarm,27,120,0,0.225,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.05,control_overcorrection,11,120,0,0.09166666666666666,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
P1,current20_sensitivity,0.05,non_harmful_control_handling,109,120,0,0.9083333333333333,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.0,proposal_accepted_unchanged,24,88,0,0.2727272727272727,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.0,issue_reported,39,88,0,0.4431818181818182,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.0,geometry_edited,57,88,0,0.6477272727272727,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.0,issue_geometry_edit_concordant,56,88,0,0.6363636363636364,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.0,harmful_correction,51,82,6,0.6219512195121951,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.0,non_harmful_handling,31,82,6,0.3780487804878049,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.01,proposal_accepted_unchanged,24,88,0,0.2727272727272727,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.01,issue_reported,39,88,0,0.4431818181818182,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.01,geometry_edited,57,88,0,0.6477272727272727,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.01,issue_geometry_edit_concordant,56,88,0,0.6363636363636364,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.01,harmful_correction,43,82,6,0.524390243902439,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.01,non_harmful_handling,39,82,6,0.47560975609756095,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.02,proposal_accepted_unchanged,24,88,0,0.2727272727272727,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.02,issue_reported,39,88,0,0.4431818181818182,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.02,geometry_edited,57,88,0,0.6477272727272727,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.02,issue_geometry_edit_concordant,56,88,0,0.6363636363636364,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.02,harmful_correction,39,82,6,0.47560975609756095,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.02,non_harmful_handling,43,82,6,0.524390243902439,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.05,proposal_accepted_unchanged,24,88,0,0.2727272727272727,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.05,issue_reported,39,88,0,0.4431818181818182,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.05,geometry_edited,57,88,0,0.6477272727272727,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.05,issue_geometry_edit_concordant,56,88,0,0.6363636363636364,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.05,harmful_correction,31,82,6,0.3780487804878049,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,c1_all23_validation,0.05,non_harmful_handling,51,82,6,0.6219512195121951,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.0,proposal_accepted_unchanged,23,80,0,0.2875,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.0,issue_reported,32,80,0,0.4,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.0,geometry_edited,52,80,0,0.65,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.0,issue_geometry_edit_concordant,50,80,0,0.625,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.0,harmful_correction,47,75,5,0.6266666666666667,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.0,non_harmful_handling,28,75,5,0.37333333333333335,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.01,proposal_accepted_unchanged,23,80,0,0.2875,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.01,issue_reported,32,80,0,0.4,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.01,geometry_edited,52,80,0,0.65,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.01,issue_geometry_edit_concordant,50,80,0,0.625,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.01,harmful_correction,39,75,5,0.52,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.01,non_harmful_handling,36,75,5,0.48,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.02,proposal_accepted_unchanged,23,80,0,0.2875,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.02,issue_reported,32,80,0,0.4,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.02,geometry_edited,52,80,0,0.65,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.02,issue_geometry_edit_concordant,50,80,0,0.625,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.02,harmful_correction,35,75,5,0.4666666666666667,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.02,non_harmful_handling,40,75,5,0.5333333333333333,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.05,proposal_accepted_unchanged,23,80,0,0.2875,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.05,issue_reported,32,80,0,0.4,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.05,geometry_edited,52,80,0,0.65,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.05,issue_geometry_edit_concordant,50,80,0,0.625,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.05,harmful_correction,29,75,5,0.38666666666666666,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
C1,current20_sensitivity,0.05,non_harmful_handling,46,75,5,0.6133333333333333,fixed_full_grid_no_posthoc_selection,true,true,true,false,false,false
