classification_variant,evaluation_building,evaluation_building_excluded_from_training,worker_id,worker_effect_centered,probability_effect_positive_building_bootstrap,evidence_stratum,quality_task_support,quality_building_support,training_row_count,training_task_count,training_building_count,bootstrap_replicates,bootstrap_attempts,bootstrap_cluster,worker_task_graph_connected,class_counts
augmented_authorized,7y3sRwLe3Va,True,32,-0.024863371558769387,0.238,U_unclassified,14,10,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,33,-0.014570817922607837,0.203,U_unclassified,14,10,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,34,-0.0343321533677976,0.044,L_lower_manual_quality_evidence,27,10,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,35,-0.0008287883998163714,0.466,U_unclassified,13,8,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,36,-0.03564405625341416,0.294,U_unclassified,12,7,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,7y3sRwLe3Va,True,37,-0.04334284816038858,0.006,L_lower_manual_quality_evidence,14,9,276,61,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 2, 'U_unclassified': 16, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,B6ByNegPMKs,True,1,0.035323215880313286,0.98,H_higher_manual_quality_evidence,14,9,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,2,0.021584868703729776,0.797,U_unclassified,13,7,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,6,0.00721261038165677,0.583,U_unclassified,13,9,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,8,0.02118753729212408,0.686,U_unclassified,12,9,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,10,-0.006114250015567091,0.392,U_unclassified,12,9,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,11,-0.005434056415378086,0.336,U_unclassified,14,9,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,12,0.025724563869711004,0.813,H_higher_manual_quality_evidence,14,8,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,13,-0.032401361795687755,0.164,L_lower_manual_quality_evidence,13,9,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,15,0.00343897509565938,0.56,U_unclassified,13,9,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,17,0.011609974420408342,0.699,U_unclassified,12,8,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,28,0.02175772137582721,0.8,H_higher_manual_quality_evidence,11,7,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,29,-0.012437309969481891,0.243,U_unclassified,11,7,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,30,0.014705060669996772,0.606,U_unclassified,15,9,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,31,0.0045238822438306014,0.667,U_unclassified,15,10,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,32,-0.005249891562371101,0.455,U_unclassified,15,10,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,33,-0.005091306960003372,0.431,U_unclassified,14,10,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,34,-0.04335210251412791,0.018,L_lower_manual_quality_evidence,27,10,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,35,-0.027087048861786478,0.143,L_lower_manual_quality_evidence,12,8,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,36,-0.0056973497904997394,0.407,U_unclassified,11,7,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,B6ByNegPMKs,True,37,-0.024203732048353466,0.05,L_lower_manual_quality_evidence,15,9,276,61,12,1000,1004,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 4}"
augmented_authorized,UwV83HsGsw3,True,1,0.04652609053509971,0.995,H_higher_manual_quality_evidence,14,9,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,2,0.036554896419211835,0.838,H_higher_manual_quality_evidence,14,8,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,6,0.0033044880237534935,0.54,U_unclassified,14,10,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,8,0.027106050412706306,0.756,U_unclassified,13,10,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,10,0.004568814389433462,0.558,U_unclassified,13,10,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,11,0.0012790827605101418,0.49,U_unclassified,14,9,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,12,0.03669861240629935,0.885,H_higher_manual_quality_evidence,15,9,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,13,-0.029424648636720008,0.148,L_lower_manual_quality_evidence,14,9,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,15,0.008679326641492957,0.658,U_unclassified,14,10,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,17,0.0061192387385138325,0.622,U_unclassified,13,9,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,28,0.014028896991514439,0.678,U_unclassified,13,8,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,29,-0.01561042916853117,0.207,U_unclassified,13,8,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,30,0.018964646850234024,0.651,U_unclassified,14,9,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,31,0.00046488148826095976,0.527,U_unclassified,15,10,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,32,-0.0160750575859977,0.311,U_unclassified,15,10,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,33,-0.01215424528712783,0.293,U_unclassified,14,10,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,34,-0.04244798648513215,0.015,L_lower_manual_quality_evidence,30,11,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,35,-0.016278832487798822,0.277,U_unclassified,13,8,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,36,-0.03756317187134384,0.253,U_unclassified,13,8,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,UwV83HsGsw3,True,37,-0.03474065413437788,0.044,L_lower_manual_quality_evidence,16,10,294,65,12,1000,1002,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 14, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,1,0.04384271942110807,0.998,H_higher_manual_quality_evidence,15,10,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,2,0.03587782463653699,0.86,H_higher_manual_quality_evidence,14,8,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,6,-0.00825093538592181,0.31,U_unclassified,13,9,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,8,0.022461180023800598,0.696,U_unclassified,12,9,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,10,0.0004776512488030571,0.476,U_unclassified,13,10,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,11,0.004375705049332712,0.585,U_unclassified,14,9,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,12,0.03511035018388364,0.872,H_higher_manual_quality_evidence,15,9,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,13,-0.02287558207648599,0.213,U_unclassified,15,10,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,15,0.016285876924173492,0.849,H_higher_manual_quality_evidence,13,9,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,17,-0.00464595060140327,0.436,U_unclassified,12,8,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,28,0.011737153597199956,0.643,U_unclassified,13,8,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,29,-0.017087529542630597,0.183,L_lower_manual_quality_evidence,13,8,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,30,0.008633872154906963,0.542,U_unclassified,16,10,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,31,0.005996113073509224,0.666,U_unclassified,15,10,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,32,0.005922166672094997,0.562,U_unclassified,15,10,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,33,-0.0023051624853077657,0.488,U_unclassified,14,10,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,34,-0.04417969567612412,0.005,L_lower_manual_quality_evidence,29,10,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,35,-0.018286585179925874,0.211,U_unclassified,14,9,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,36,-0.03988187294878476,0.232,U_unclassified,13,8,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,X7HyMhZNoso,True,37,-0.03320729908876563,0.043,L_lower_manual_quality_evidence,15,9,293,65,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 4, 'U_unclassified': 13, 'L_lower_manual_quality_evidence': 3}"
augmented_authorized,e9zR4mvMWw7,True,1,0.041137384169994795,0.989,H_higher_manual_quality_evidence,14,9,290,64,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 15, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,e9zR4mvMWw7,True,2,0.03470946482894721,0.837,H_higher_manual_quality_evidence,14,8,290,64,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 15, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,e9zR4mvMWw7,True,6,-0.0002756966019141771,0.449,U_unclassified,13,9,290,64,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 15, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,e9zR4mvMWw7,True,8,0.02765211835830561,0.77,U_unclassified,13,10,290,64,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 15, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,e9zR4mvMWw7,True,10,0.01191694360046569,0.721,U_unclassified,12,9,290,64,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 15, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,e9zR4mvMWw7,True,11,-0.000862929941316315,0.46,U_unclassified,14,9,290,64,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 15, 'L_lower_manual_quality_evidence': 2}"
augmented_authorized,e9zR4mvMWw7,True,12,0.03690922071195102,0.875,H_higher_manual_quality_evidence,14,8,290,64,12,1000,1000,building_then_task_conditioned_on_two_outer_clusters_complete_worker_support_and_connected_graph,True,"{'H_higher_manual_quality_evidence': 3, 'U_unclassified': 15, 'L_lower_manual_quality_evidence': 2}"
