worker_id,effect,fit_status,component,layer_value,label,training_rows,training_images,training_buildings,cohort,metric,evaluation
1,-1.619484406387549,usable,0,0.0,not_classified,85,85,18,all26,ospa60,pooled_image_LOBO
10,-0.7729840805298762,usable,0,0.0,not_classified,83,83,17,all26,ospa60,pooled_image_LOBO
11,-0.12143604844029478,usable,0,0.0,not_classified,83,83,17,all26,ospa60,pooled_image_LOBO
12,-0.7892636910838163,usable,0,0.0,not_classified,78,78,17,all26,ospa60,pooled_image_LOBO
13,-0.39045577715151425,usable,0,0.0,not_classified,81,81,18,all26,ospa60,pooled_image_LOBO
14,-1.2049784346981767,usable,0,0.0,not_classified,74,74,13,all26,ospa60,pooled_image_LOBO
15,-2.4064634921016728,usable,0,0.0,not_classified,82,82,19,all26,ospa60,pooled_image_LOBO
17,-2.973238490344805,usable,0,0.0,not_classified,82,82,19,all26,ospa60,pooled_image_LOBO
18,-3.1353514431887257,usable,0,0.0,not_classified,74,74,13,all26,ospa60,pooled_image_LOBO
19,13.9996251283915,usable,0,0.0,not_classified,45,45,13,all26,ospa60,pooled_image_LOBO
2,-5.507403014176008,usable,0,0.0,not_classified,78,78,16,all26,ospa60,pooled_image_LOBO
21,-1.1279136911571408,usable,0,0.0,not_classified,45,45,13,all26,ospa60,pooled_image_LOBO
26,11.26094360865132,usable,0,0.0,not_classified,22,22,12,all26,ospa60,pooled_image_LOBO
27,-3.662948402942726,usable,0,0.0,not_classified,75,75,13,all26,ospa60,pooled_image_LOBO
28,-2.8194217962471333,usable,0,0.0,not_classified,80,80,17,all26,ospa60,pooled_image_LOBO
29,0.531443838795114,usable,0,0.0,not_classified,81,81,17,all26,ospa60,pooled_image_LOBO
30,-0.006761043633213939,usable,0,0.0,not_classified,84,84,17,all26,ospa60,pooled_image_LOBO
31,-0.037730176837868105,usable,0,0.0,not_classified,89,89,19,all26,ospa60,pooled_image_LOBO
32,-0.27211974624715496,usable,0,0.0,not_classified,87,87,18,all26,ospa60,pooled_image_LOBO
33,-2.666877305165368,usable,0,0.0,not_classified,86,86,18,all26,ospa60,pooled_image_LOBO
34,2.8997827857096863,usable,0,0.0,not_classified,101,101,19,all26,ospa60,pooled_image_LOBO
35,0.5739566585615643,usable,0,0.0,not_classified,79,79,18,all26,ospa60,pooled_image_LOBO
36,-1.0676212038624548,usable,0,0.0,not_classified,85,85,19,all26,ospa60,pooled_image_LOBO
37,3.947762340664518,usable,0,0.0,not_classified,83,83,18,all26,ospa60,pooled_image_LOBO
6,-1.0712523219277792,usable,0,0.0,not_classified,83,83,18,all26,ospa60,pooled_image_LOBO
8,-1.5598097946504224,usable,0,0.0,not_classified,80,80,18,all26,ospa60,pooled_image_LOBO
1,1.3311921193407235,usable,0,0.0,not_classified,85,85,18,all26,matched_angle,pooled_image_LOBO
10,-0.5715478639295563,usable,0,0.0,not_classified,83,83,17,all26,matched_angle,pooled_image_LOBO
11,-0.6421142063487392,usable,0,0.0,not_classified,83,83,17,all26,matched_angle,pooled_image_LOBO
12,1.6377652427464775,usable,0,0.0,not_classified,78,78,17,all26,matched_angle,pooled_image_LOBO
13,-0.49764408034673163,usable,0,0.0,not_classified,81,81,18,all26,matched_angle,pooled_image_LOBO
14,-0.5429460487305486,usable,0,0.0,not_classified,74,74,13,all26,matched_angle,pooled_image_LOBO
15,-1.0275889388304562,usable,0,0.0,not_classified,82,82,19,all26,matched_angle,pooled_image_LOBO
17,-0.4612963805583184,usable,0,0.0,not_classified,82,82,19,all26,matched_angle,pooled_image_LOBO
18,-1.7291513805519327,usable,0,0.0,not_classified,74,74,13,all26,matched_angle,pooled_image_LOBO
19,7.9719647578945505,usable,0,0.0,not_classified,45,45,13,all26,matched_angle,pooled_image_LOBO
2,-2.221328470444763,usable,0,0.0,not_classified,78,78,16,all26,matched_angle,pooled_image_LOBO
21,-0.7977918341830108,usable,0,0.0,not_classified,45,45,13,all26,matched_angle,pooled_image_LOBO
26,-0.7186270559424928,usable,0,0.0,not_classified,22,22,12,all26,matched_angle,pooled_image_LOBO
27,-1.873100005051041,usable,0,0.0,not_classified,75,75,13,all26,matched_angle,pooled_image_LOBO
28,-0.7176301025909233,usable,0,0.0,not_classified,80,80,17,all26,matched_angle,pooled_image_LOBO
29,0.12645676092245103,usable,0,0.0,not_classified,81,81,17,all26,matched_angle,pooled_image_LOBO
30,-0.12677721616597412,usable,0,0.0,not_classified,84,84,17,all26,matched_angle,pooled_image_LOBO
31,-0.11140409465323521,usable,0,0.0,not_classified,89,89,19,all26,matched_angle,pooled_image_LOBO
32,-0.4254804276551908,usable,0,0.0,not_classified,87,87,18,all26,matched_angle,pooled_image_LOBO
33,0.17500148253466288,usable,0,0.0,not_classified,86,86,18,all26,matched_angle,pooled_image_LOBO
34,0.46775656735873267,usable,0,0.0,not_classified,101,101,19,all26,matched_angle,pooled_image_LOBO
35,1.0682600779858524,usable,0,0.0,not_classified,79,79,18,all26,matched_angle,pooled_image_LOBO
36,-0.40321352742988387,usable,0,0.0,not_classified,85,85,19,all26,matched_angle,pooled_image_LOBO
37,1.0766535624169238,usable,0,0.0,not_classified,83,83,18,all26,matched_angle,pooled_image_LOBO
6,-0.005689244404830433,usable,0,0.0,not_classified,83,83,18,all26,matched_angle,pooled_image_LOBO
8,-0.9817196933827465,usable,0,0.0,not_classified,80,80,18,all26,matched_angle,pooled_image_LOBO
1,-0.052906046445805155,usable,0,0.0,not_classified,85,85,18,all26,absolute_count_rate,pooled_image_LOBO
10,-0.022872022565565645,usable,0,0.0,not_classified,83,83,17,all26,absolute_count_rate,pooled_image_LOBO
11,0.027485426741596618,usable,0,0.0,not_classified,83,83,17,all26,absolute_count_rate,pooled_image_LOBO
12,-0.04203340985287365,usable,0,0.0,not_classified,78,78,17,all26,absolute_count_rate,pooled_image_LOBO
13,-0.008149573478520062,usable,0,0.0,not_classified,81,81,18,all26,absolute_count_rate,pooled_image_LOBO
14,-0.030053116440460582,usable,0,0.0,not_classified,74,74,13,all26,absolute_count_rate,pooled_image_LOBO
15,-0.029532293855762202,usable,0,0.0,not_classified,82,82,19,all26,absolute_count_rate,pooled_image_LOBO
17,-0.053269747183235176,usable,0,0.0,not_classified,82,82,19,all26,absolute_count_rate,pooled_image_LOBO
18,-0.03872990280153796,usable,0,0.0,not_classified,74,74,13,all26,absolute_count_rate,pooled_image_LOBO
19,0.21159170463946536,usable,0,0.0,not_classified,45,45,13,all26,absolute_count_rate,pooled_image_LOBO
2,-0.06569746930777033,usable,0,0.0,not_classified,78,78,16,all26,absolute_count_rate,pooled_image_LOBO
21,0.006763662311422494,usable,0,0.0,not_classified,45,45,13,all26,absolute_count_rate,pooled_image_LOBO
26,0.26886655011655025,usable,0,0.0,not_classified,22,22,12,all26,absolute_count_rate,pooled_image_LOBO
27,-0.03436233706708731,usable,0,0.0,not_classified,75,75,13,all26,absolute_count_rate,pooled_image_LOBO
28,-0.0514500488358246,usable,0,0.0,not_classified,80,80,17,all26,absolute_count_rate,pooled_image_LOBO
29,-0.010651086861045203,usable,0,0.0,not_classified,81,81,17,all26,absolute_count_rate,pooled_image_LOBO
30,-0.0033301910193844863,usable,0,0.0,not_classified,84,84,17,all26,absolute_count_rate,pooled_image_LOBO
31,-0.008942660719778396,usable,0,0.0,not_classified,89,89,19,all26,absolute_count_rate,pooled_image_LOBO
32,0.006206964035243204,usable,0,0.0,not_classified,87,87,18,all26,absolute_count_rate,pooled_image_LOBO
33,-0.06928173558695093,usable,0,0.0,not_classified,86,86,18,all26,absolute_count_rate,pooled_image_LOBO
34,0.023767135303701756,usable,0,0.0,not_classified,101,101,19,all26,absolute_count_rate,pooled_image_LOBO
35,-0.016626439869322662,usable,0,0.0,not_classified,79,79,18,all26,absolute_count_rate,pooled_image_LOBO
36,-0.02584676738071402,usable,0,0.0,not_classified,85,85,19,all26,absolute_count_rate,pooled_image_LOBO
37,0.06319227739336172,usable,0,0.0,not_classified,83,83,18,all26,absolute_count_rate,pooled_image_LOBO
6,-0.010001067563875424,usable,0,0.0,not_classified,83,83,18,all26,absolute_count_rate,pooled_image_LOBO
8,-0.034137803705827606,usable,0,0.0,not_classified,80,80,18,all26,absolute_count_rate,pooled_image_LOBO
1,-0.05235020468008602,usable,0,0.0,not_classified,85,85,18,all26,missing_count_rate,pooled_image_LOBO
10,0.009575068683941148,usable,0,0.0,not_classified,83,83,17,all26,missing_count_rate,pooled_image_LOBO
11,-0.016741209996108772,usable,0,0.0,not_classified,83,83,17,all26,missing_count_rate,pooled_image_LOBO
12,-0.029295033493815733,usable,0,0.0,not_classified,78,78,17,all26,missing_count_rate,pooled_image_LOBO
13,0.01245231003366776,usable,0,0.0,not_classified,81,81,18,all26,missing_count_rate,pooled_image_LOBO
14,0.004929864410953397,usable,0,0.0,not_classified,74,74,13,all26,missing_count_rate,pooled_image_LOBO
15,-0.02050588113164386,usable,0,0.0,not_classified,82,82,19,all26,missing_count_rate,pooled_image_LOBO
17,-0.041598499251496196,usable,0,0.0,not_classified,82,82,19,all26,missing_count_rate,pooled_image_LOBO
18,-0.010550073924396665,usable,0,0.0,not_classified,74,74,13,all26,missing_count_rate,pooled_image_LOBO
19,0.056712792625137516,usable,0,0.0,not_classified,45,45,13,all26,missing_count_rate,pooled_image_LOBO
2,-0.054542815570245554,usable,0,0.0,not_classified,78,78,16,all26,missing_count_rate,pooled_image_LOBO
21,-0.02311524970290506,usable,0,0.0,not_classified,45,45,13,all26,missing_count_rate,pooled_image_LOBO
26,0.11010343822843849,usable,0,0.0,not_classified,22,22,12,all26,missing_count_rate,pooled_image_LOBO
27,-0.030625353000495802,usable,0,0.0,not_classified,75,75,13,all26,missing_count_rate,pooled_image_LOBO
28,-0.023898994801141125,usable,0,0.0,not_classified,80,80,17,all26,missing_count_rate,pooled_image_LOBO
29,0.038385007962315885,usable,0,0.0,not_classified,81,81,17,all26,missing_count_rate,pooled_image_LOBO
30,0.01174180915668089,usable,0,0.0,not_classified,84,84,17,all26,missing_count_rate,pooled_image_LOBO
31,0.01024489257503423,usable,0,0.0,not_classified,89,89,19,all26,missing_count_rate,pooled_image_LOBO
32,-0.002417450934745407,usable,0,0.0,not_classified,87,87,18,all26,missing_count_rate,pooled_image_LOBO
33,-0.025838466477090424,usable,0,0.0,not_classified,86,86,18,all26,missing_count_rate,pooled_image_LOBO
34,0.05687989267061365,usable,0,0.0,not_classified,101,101,19,all26,missing_count_rate,pooled_image_LOBO
35,0.006914005732091764,usable,0,0.0,not_classified,79,79,18,all26,missing_count_rate,pooled_image_LOBO
36,0.0032131863419731263,usable,0,0.0,not_classified,85,85,19,all26,missing_count_rate,pooled_image_LOBO
37,0.02911616233381707,usable,0,0.0,not_classified,83,83,18,all26,missing_count_rate,pooled_image_LOBO
6,-0.030917014489450327,usable,0,0.0,not_classified,83,83,18,all26,missing_count_rate,pooled_image_LOBO
8,0.012127816698956028,usable,0,0.0,not_classified,80,80,18,all26,missing_count_rate,pooled_image_LOBO
1,-0.0005558417657191266,usable,0,0.0,not_classified,85,85,18,all26,extra_count_rate,pooled_image_LOBO
10,-0.03244709124950679,usable,0,0.0,not_classified,83,83,17,all26,extra_count_rate,pooled_image_LOBO
11,0.04422663673770539,usable,0,0.0,not_classified,83,83,17,all26,extra_count_rate,pooled_image_LOBO
12,-0.012738376359057923,usable,0,0.0,not_classified,78,78,17,all26,extra_count_rate,pooled_image_LOBO
13,-0.02060188351218781,usable,0,0.0,not_classified,81,81,18,all26,extra_count_rate,pooled_image_LOBO
14,-0.03498298085141398,usable,0,0.0,not_classified,74,74,13,all26,extra_count_rate,pooled_image_LOBO
15,-0.009026412724118351,usable,0,0.0,not_classified,82,82,19,all26,extra_count_rate,pooled_image_LOBO
17,-0.011671247931738982,usable,0,0.0,not_classified,82,82,19,all26,extra_count_rate,pooled_image_LOBO
18,-0.0281798288771413,usable,0,0.0,not_classified,74,74,13,all26,extra_count_rate,pooled_image_LOBO
19,0.15487891201432782,usable,0,0.0,not_classified,45,45,13,all26,extra_count_rate,pooled_image_LOBO
2,-0.011154653737524767,usable,0,0.0,not_classified,78,78,16,all26,extra_count_rate,pooled_image_LOBO
21,0.029878912014327578,usable,0,0.0,not_classified,45,45,13,all26,extra_count_rate,pooled_image_LOBO
26,0.15876311188811182,usable,0,0.0,not_classified,22,22,12,all26,extra_count_rate,pooled_image_LOBO
27,-0.0037369840665915127,usable,0,0.0,not_classified,75,75,13,all26,extra_count_rate,pooled_image_LOBO
28,-0.02755105403468347,usable,0,0.0,not_classified,80,80,17,all26,extra_count_rate,pooled_image_LOBO
29,-0.0490360948233611,usable,0,0.0,not_classified,81,81,17,all26,extra_count_rate,pooled_image_LOBO
30,-0.015072000176065376,usable,0,0.0,not_classified,84,84,17,all26,extra_count_rate,pooled_image_LOBO
31,-0.01918755329481263,usable,0,0.0,not_classified,89,89,19,all26,extra_count_rate,pooled_image_LOBO
32,0.008624414969988595,usable,0,0.0,not_classified,87,87,18,all26,extra_count_rate,pooled_image_LOBO
33,-0.04344326910986052,usable,0,0.0,not_classified,86,86,18,all26,extra_count_rate,pooled_image_LOBO
34,-0.0331127573669119,usable,0,0.0,not_classified,101,101,19,all26,extra_count_rate,pooled_image_LOBO
35,-0.023540445601414422,usable,0,0.0,not_classified,79,79,18,all26,extra_count_rate,pooled_image_LOBO
36,-0.02905995372268715,usable,0,0.0,not_classified,85,85,19,all26,extra_count_rate,pooled_image_LOBO
37,0.03407611505954466,usable,0,0.0,not_classified,83,83,18,all26,extra_count_rate,pooled_image_LOBO
6,0.020915946925574892,usable,0,0.0,not_classified,83,83,18,all26,extra_count_rate,pooled_image_LOBO
8,-0.04626562040478364,usable,0,0.0,not_classified,80,80,18,all26,extra_count_rate,pooled_image_LOBO
1,0.21499590648242123,usable,0,0.0,not_classified,85,85,18,current20,ospa30,pooled_image_LOBO
10,0.04117558671466545,usable,0,0.0,not_classified,83,83,17,current20,ospa30,pooled_image_LOBO
11,0.1721916907310822,usable,0,0.0,not_classified,83,83,17,current20,ospa30,pooled_image_LOBO
12,0.571168383876088,usable,0,0.0,not_classified,78,78,17,current20,ospa30,pooled_image_LOBO
13,0.153045179396148,usable,0,0.0,not_classified,81,81,18,current20,ospa30,pooled_image_LOBO
15,-0.9595459245983965,usable,0,0.0,not_classified,82,82,19,current20,ospa30,pooled_image_LOBO
17,-1.1751092360977606,usable,0,0.0,not_classified,82,82,19,current20,ospa30,pooled_image_LOBO
2,-3.036412675975332,usable,0,0.0,not_classified,78,78,16,current20,ospa30,pooled_image_LOBO
28,-1.0896636802535904,usable,0,0.0,not_classified,80,80,17,current20,ospa30,pooled_image_LOBO
29,0.7077264883157746,usable,0,0.0,not_classified,81,81,17,current20,ospa30,pooled_image_LOBO
30,0.5409763445711657,usable,0,0.0,not_classified,84,84,17,current20,ospa30,pooled_image_LOBO
31,0.23804471348233738,usable,0,0.0,not_classified,89,89,19,current20,ospa30,pooled_image_LOBO
32,0.20452061454941,usable,0,0.0,not_classified,87,87,18,current20,ospa30,pooled_image_LOBO
33,-0.9472414882794247,usable,0,0.0,not_classified,86,86,18,current20,ospa30,pooled_image_LOBO
34,1.9482646005272333,usable,0,0.0,not_classified,101,101,19,current20,ospa30,pooled_image_LOBO
35,0.7848508291638645,usable,0,0.0,not_classified,79,79,18,current20,ospa30,pooled_image_LOBO
36,-0.19591577598027365,usable,0,0.0,not_classified,85,85,19,current20,ospa30,pooled_image_LOBO
37,2.4150394089387626,usable,0,0.0,not_classified,83,83,18,current20,ospa30,pooled_image_LOBO
6,-0.03605436177945816,usable,0,0.0,not_classified,83,83,18,current20,ospa30,pooled_image_LOBO
8,-0.5520566037847171,usable,0,0.0,not_classified,80,80,18,current20,ospa30,pooled_image_LOBO
1,-0.7952702483974358,usable,0,0.0,not_classified,85,85,18,current20,ospa60,pooled_image_LOBO
10,0.15081735271372182,usable,0,0.0,not_classified,83,83,17,current20,ospa60,pooled_image_LOBO
11,0.6686211226713935,usable,0,0.0,not_classified,83,83,17,current20,ospa60,pooled_image_LOBO
12,0.008565129161943966,usable,0,0.0,not_classified,78,78,17,current20,ospa60,pooled_image_LOBO
13,0.5088196332040323,usable,0,0.0,not_classified,81,81,18,current20,ospa60,pooled_image_LOBO
15,-1.629273485504518,usable,0,0.0,not_classified,82,82,19,current20,ospa60,pooled_image_LOBO
17,-2.254847606340506,usable,0,0.0,not_classified,82,82,19,current20,ospa60,pooled_image_LOBO
2,-4.755825565131184,usable,0,0.0,not_classified,78,78,16,current20,ospa60,pooled_image_LOBO
28,-1.9888830771613155,usable,0,0.0,not_classified,80,80,17,current20,ospa60,pooled_image_LOBO
29,1.2687741823220393,usable,0,0.0,not_classified,81,81,17,current20,ospa60,pooled_image_LOBO
30,0.8523815314351931,usable,0,0.0,not_classified,84,84,17,current20,ospa60,pooled_image_LOBO
31,0.7220629944654526,usable,0,0.0,not_classified,89,89,19,current20,ospa60,pooled_image_LOBO
32,0.5700330459004539,usable,0,0.0,not_classified,87,87,18,current20,ospa60,pooled_image_LOBO
33,-1.9733391818241426,usable,0,0.0,not_classified,86,86,18,current20,ospa60,pooled_image_LOBO
34,3.7576857400783243,usable,0,0.0,not_classified,101,101,19,current20,ospa60,pooled_image_LOBO
35,1.4331462127171772,usable,0,0.0,not_classified,79,79,18,current20,ospa60,pooled_image_LOBO
36,-0.2094234549584745,usable,0,0.0,not_classified,85,85,19,current20,ospa60,pooled_image_LOBO
37,4.710016979712039,usable,0,0.0,not_classified,83,83,18,current20,ospa60,pooled_image_LOBO
6,-0.23767720215271146,usable,0,0.0,not_classified,83,83,18,current20,ospa60,pooled_image_LOBO
8,-0.8063841029114833,usable,0,0.0,not_classified,80,80,18,current20,ospa60,pooled_image_LOBO
1,1.4709426359234246,usable,0,0.0,not_classified,85,85,18,current20,matched_angle,pooled_image_LOBO
10,-0.46826196819089466,usable,0,0.0,not_classified,83,83,17,current20,matched_angle,pooled_image_LOBO
11,-0.5556694309605963,usable,0,0.0,not_classified,83,83,17,current20,matched_angle,pooled_image_LOBO
12,1.774337703824006,usable,0,0.0,not_classified,78,78,17,current20,matched_angle,pooled_image_LOBO
13,-0.36840878670114874,usable,0,0.0,not_classified,81,81,18,current20,matched_angle,pooled_image_LOBO
15,-0.9467742218872837,usable,0,0.0,not_classified,82,82,19,current20,matched_angle,pooled_image_LOBO
17,-0.35765481286378786,usable,0,0.0,not_classified,82,82,19,current20,matched_angle,pooled_image_LOBO
2,-2.1256120610524234,usable,0,0.0,not_classified,78,78,16,current20,matched_angle,pooled_image_LOBO
28,-0.600438450258882,usable,0,0.0,not_classified,80,80,17,current20,matched_angle,pooled_image_LOBO
29,0.26865336739465384,usable,0,0.0,not_classified,81,81,17,current20,matched_angle,pooled_image_LOBO
30,-0.017719277983233313,usable,0,0.0,not_classified,84,84,17,current20,matched_angle,pooled_image_LOBO
31,-0.00995114860793604,usable,0,0.0,not_classified,89,89,19,current20,matched_angle,pooled_image_LOBO
32,-0.331676150309086,usable,0,0.0,not_classified,87,87,18,current20,matched_angle,pooled_image_LOBO
33,0.26396521876851353,usable,0,0.0,not_classified,86,86,18,current20,matched_angle,pooled_image_LOBO
34,0.6124761660081322,usable,0,0.0,not_classified,101,101,19,current20,matched_angle,pooled_image_LOBO
35,1.2221268770837497,usable,0,0.0,not_classified,79,79,18,current20,matched_angle,pooled_image_LOBO
36,-0.2513467200140187,usable,0,0.0,not_classified,85,85,19,current20,matched_angle,pooled_image_LOBO
37,1.1974231359143839,usable,0,0.0,not_classified,83,83,18,current20,matched_angle,pooled_image_LOBO
6,0.09793103448631141,usable,0,0.0,not_classified,83,83,18,current20,matched_angle,pooled_image_LOBO
8,-0.8743431105738843,usable,0,0.0,not_classified,80,80,18,current20,matched_angle,pooled_image_LOBO
1,-0.032521713767903755,usable,0,0.0,not_classified,85,85,18,current20,absolute_count_rate,pooled_image_LOBO
10,-0.0017055059378425115,usable,0,0.0,not_classified,83,83,17,current20,absolute_count_rate,pooled_image_LOBO
11,0.046713127120166835,usable,0,0.0,not_classified,83,83,17,current20,absolute_count_rate,pooled_image_LOBO
12,-0.021978844231258628,usable,0,0.0,not_classified,78,78,17,current20,absolute_count_rate,pooled_image_LOBO
13,0.012417276562401047,usable,0,0.0,not_classified,81,81,18,current20,absolute_count_rate,pooled_image_LOBO
15,-0.010552656313210769,usable,0,0.0,not_classified,82,82,19,current20,absolute_count_rate,pooled_image_LOBO
17,-0.035657258580910386,usable,0,0.0,not_classified,82,82,19,current20,absolute_count_rate,pooled_image_LOBO
2,-0.04755318889550962,usable,0,0.0,not_classified,78,78,16,current20,absolute_count_rate,pooled_image_LOBO
28,-0.03261550315252976,usable,0,0.0,not_classified,80,80,17,current20,absolute_count_rate,pooled_image_LOBO
29,0.006375344375937555,usable,0,0.0,not_classified,81,81,17,current20,absolute_count_rate,pooled_image_LOBO
30,0.01775062262682868,usable,0,0.0,not_classified,84,84,17,current20,absolute_count_rate,pooled_image_LOBO
31,0.009410951601022892,usable,0,0.0,not_classified,89,89,19,current20,absolute_count_rate,pooled_image_LOBO
32,0.026098562780003987,usable,0,0.0,not_classified,87,87,18,current20,absolute_count_rate,pooled_image_LOBO
33,-0.051892864954382084,usable,0,0.0,not_classified,86,86,18,current20,absolute_count_rate,pooled_image_LOBO
34,0.04353017456663887,usable,0,0.0,not_classified,101,101,19,current20,absolute_count_rate,pooled_image_LOBO
35,0.0026079532555282653,usable,0,0.0,not_classified,79,79,18,current20,absolute_count_rate,pooled_image_LOBO
36,-0.005491399973648115,usable,0,0.0,not_classified,85,85,19,current20,absolute_count_rate,pooled_image_LOBO
37,0.08144499107228828,usable,0,0.0,not_classified,83,83,18,current20,absolute_count_rate,pooled_image_LOBO
6,0.009609938770118592,usable,0,0.0,not_classified,83,83,18,current20,absolute_count_rate,pooled_image_LOBO
8,-0.015990006923739402,usable,0,0.0,not_classified,80,80,18,current20,absolute_count_rate,pooled_image_LOBO
1,-0.04788316711078655,usable,0,0.0,not_classified,85,85,18,current20,missing_count_rate,pooled_image_LOBO
10,0.017131603513077662,usable,0,0.0,not_classified,83,83,17,current20,missing_count_rate,pooled_image_LOBO
11,-0.011113267002100772,usable,0,0.0,not_classified,83,83,17,current20,missing_count_rate,pooled_image_LOBO
12,-0.025316001087319667,usable,0,0.0,not_classified,78,78,17,current20,missing_count_rate,pooled_image_LOBO
13,0.019386403799961902,usable,0,0.0,not_classified,81,81,18,current20,missing_count_rate,pooled_image_LOBO
15,-0.014856653706098347,usable,0,0.0,not_classified,82,82,19,current20,missing_count_rate,pooled_image_LOBO
17,-0.03743721208419218,usable,0,0.0,not_classified,82,82,19,current20,missing_count_rate,pooled_image_LOBO
2,-0.049638417796518945,usable,0,0.0,not_classified,78,78,16,current20,missing_count_rate,pooled_image_LOBO
28,-0.01767487412145888,usable,0,0.0,not_classified,80,80,17,current20,missing_count_rate,pooled_image_LOBO
29,0.04280448048223686,usable,0,0.0,not_classified,81,81,17,current20,missing_count_rate,pooled_image_LOBO
30,0.017353835636590976,usable,0,0.0,not_classified,84,84,17,current20,missing_count_rate,pooled_image_LOBO
31,0.01527112750895546,usable,0,0.0,not_classified,89,89,19,current20,missing_count_rate,pooled_image_LOBO
32,0.004025570650613244,usable,0,0.0,not_classified,87,87,18,current20,missing_count_rate,pooled_image_LOBO
33,-0.021891526237434497,usable,0,0.0,not_classified,86,86,18,current20,missing_count_rate,pooled_image_LOBO
34,0.06240560520780822,usable,0,0.0,not_classified,101,101,19,current20,missing_count_rate,pooled_image_LOBO
35,0.013224950955584732,usable,0,0.0,not_classified,79,79,18,current20,missing_count_rate,pooled_image_LOBO
36,0.008556800114207633,usable,0,0.0,not_classified,85,85,19,current20,missing_count_rate,pooled_image_LOBO
37,0.03368100821633338,usable,0,0.0,not_classified,83,83,18,current20,missing_count_rate,pooled_image_LOBO
6,-0.0250418842944266,usable,0,0.0,not_classified,83,83,18,current20,missing_count_rate,pooled_image_LOBO
8,0.017011617354966355,usable,0,0.0,not_classified,80,80,18,current20,missing_count_rate,pooled_image_LOBO
1,0.015361453342882789,usable,0,0.0,not_classified,85,85,18,current20,extra_count_rate,pooled_image_LOBO
10,-0.018837109450920184,usable,0,0.0,not_classified,83,83,17,current20,extra_count_rate,pooled_image_LOBO
11,0.0578263941222676,usable,0,0.0,not_classified,83,83,17,current20,extra_count_rate,pooled_image_LOBO
12,0.003337156856061045,usable,0,0.0,not_classified,78,78,17,current20,extra_count_rate,pooled_image_LOBO
13,-0.006969127237560863,usable,0,0.0,not_classified,81,81,18,current20,extra_count_rate,pooled_image_LOBO
15,0.004303997392887587,usable,0,0.0,not_classified,82,82,19,current20,extra_count_rate,pooled_image_LOBO
17,0.0017799535032817983,usable,0,0.0,not_classified,82,82,19,current20,extra_count_rate,pooled_image_LOBO
2,0.0020852289010093424,usable,0,0.0,not_classified,78,78,16,current20,extra_count_rate,pooled_image_LOBO
28,-0.014940629031070867,usable,0,0.0,not_classified,80,80,17,current20,extra_count_rate,pooled_image_LOBO
