building_id,config,source_n,folds,target_appearances,common_people_budget,k_max,outside_pool_n,outside_group_n_min,outside_group_n_max,prediction_identified_folds,prediction_not_reached_folds,prediction_unknown_folds,prediction_lower_onset_finite_folds,prediction_both_onsets_finite_folds,prediction_onset_width_le2_folds,prediction_lower_crossing_lt5_folds,prediction_onset_width_mean_among_both_finite,prediction_lower_onset_mean_among_finite,same_error_lower,same_error_upper,outside_error_lower,outside_error_upper,benefit_lower,benefit_upper,same_prediction_unknown_mean,target_unknown_mean,outside_prediction_unknown_mean,outside_N_identified_prediction_fraction,target_N_identified_n,target_N_not_reached_n,target_N_unknown_n,target_N_both_finite_n,target_N_interval_width_le2_n,target_N_lower_crossing_lt5_n,N_identified_pairs,N_absolute_error_sum,outside_N_identified_pairs,outside_N_absolute_error_sum,N_MAE_identified,outside_N_MAE_identified
B6ByNegPMKs,ospa30_t6,1,3,6,25,20,34,34,34,0,0,3,0,0,0,0,,,0.0015833333333333333,0.646,0.08494117647058824,0.6855759803921568,-0.5610588235294117,0.6839926470588237,0.49983333333333335,0.4998333333333333,0.3105882352941176,0.2647058823529412,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
B6ByNegPMKs,ospa30_t6,2,3,3,25,20,34,50,50,0,0,3,0,0,0,0,,,0.0,0.6275416666666667,0.035866666666666665,0.5877150000000001,-0.5916750000000001,0.5877150000000001,0.49983333333333335,0.49983333333333335,0.27773249999999994,0.16,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
B6ByNegPMKs,q_0.800,all,6,9,25,20,34,34,50,2,1,3,2,2,2,0,0.0,6.0,0.058645833333333335,0.5087916666666668,0.15521139705882356,0.558618431372549,-0.35358026960784317,0.4999725980392156,0.2940833333333333,0.2940833333333333,0.2561302941176471,0.24235294117647058,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,29.0,145.0,,5.0
B6ByNegPMKs,q_0.800,1,3,6,25,20,34,34,34,1,1,1,1,1,1,0,0.0,5.0,0.07925,0.5293333333333333,0.1860686274509804,0.601156862745098,-0.34326470588235297,0.5219068627450981,0.2940833333333333,0.2940833333333333,0.25834558823529413,0.2647058823529412,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,80.0,,4.444444444444445
B6ByNegPMKs,q_0.800,2,3,3,25,20,34,50,50,1,0,2,1,1,1,0,0.0,7.0,0.038041666666666675,0.48825,0.1243541666666667,0.51608,-0.3638958333333333,0.4780383333333333,0.2940833333333333,0.2940833333333333,0.253915,0.22,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,65.0,,5.909090909090909
B6ByNegPMKs,q_0.850,all,6,9,25,20,34,34,50,2,1,3,2,2,2,0,0.0,6.0,0.058645833333333335,0.5087916666666668,0.15668041666666666,0.5600405637254903,-0.35211125000000004,0.5013947303921569,0.2940833333333333,0.2940833333333333,0.2565722794117647,0.24235294117647058,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,29.0,146.0,,5.0344827586206895
B6ByNegPMKs,q_0.850,1,3,6,25,20,34,34,34,1,1,1,1,1,1,0,0.0,5.0,0.07925,0.5293333333333333,0.18762500000000001,0.6029852941176471,-0.34170833333333334,0.5237352941176471,0.2940833333333333,0.2940833333333333,0.2588970588235294,0.2647058823529412,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,80.0,,4.444444444444445
B6ByNegPMKs,q_0.850,2,3,3,25,20,34,50,50,1,0,2,1,1,1,0,0.0,7.0,0.038041666666666675,0.48825,0.12573583333333335,0.5170958333333333,-0.3625141666666667,0.4790541666666666,0.2940833333333333,0.2940833333333333,0.2542475,0.22,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,66.0,,6.0
B6ByNegPMKs,q_0.900,all,6,9,25,20,34,34,50,2,1,3,2,2,2,0,0.0,6.0,0.058645833333333335,0.5087916666666668,0.14693357843137253,0.5767632107843138,-0.36185808823529414,0.5181173774509803,0.2940833333333333,0.2940833333333333,0.2921857352941177,0.24235294117647058,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,29.0,129.0,,4.448275862068965
B6ByNegPMKs,q_0.900,1,3,6,25,20,34,34,34,1,1,1,1,1,1,0,0.0,5.0,0.07925,0.5293333333333333,0.17605882352941174,0.6218039215686275,-0.3532745098039216,0.5425539215686275,0.2940833333333333,0.2940833333333333,0.2995514705882353,0.2647058823529412,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,68.0,,3.7777777777777777
B6ByNegPMKs,q_0.900,2,3,3,25,20,34,50,50,1,0,2,1,1,1,0,0.0,7.0,0.038041666666666675,0.48825,0.11780833333333333,0.5317224999999999,-0.3704416666666667,0.4936808333333332,0.2940833333333333,0.2940833333333333,0.28482,0.22,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,61.0,,5.545454545454546
B6ByNegPMKs,q_0.925,all,6,9,25,20,34,34,50,2,1,3,2,2,2,0,0.0,6.0,0.058645833333333335,0.5087916666666668,0.14573063725490196,0.5852764460784314,-0.3630610294117647,0.526630612745098,0.2940833333333333,0.2940833333333333,0.3036447058823529,0.2964705882352941,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,36.0,112.0,,3.111111111111111
B6ByNegPMKs,q_0.925,1,3,6,25,20,34,34,34,1,1,1,1,1,1,0,0.0,5.0,0.07925,0.5293333333333333,0.17456127450980388,0.6307303921568628,-0.3547720588235295,0.5514803921568627,0.2940833333333333,0.2940833333333333,0.3106544117647059,0.35294117647058826,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,24.0,78.0,,3.25
B6ByNegPMKs,q_0.925,2,3,3,25,20,34,50,50,1,0,2,1,1,1,0,0.0,7.0,0.038041666666666675,0.48825,0.11689999999999996,0.5398225000000001,-0.37135000000000007,0.5017808333333333,0.2940833333333333,0.2940833333333333,0.296635,0.24,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,34.0,,2.8333333333333335
B6ByNegPMKs,q_0.950,all,6,9,25,20,34,34,50,0,1,5,2,2,1,0,2.0,17.5,0.019458333333333338,0.5020416666666666,0.10206105392156865,0.5647240196078432,-0.399980612745098,0.5452656862745099,0.34049999999999997,0.3405,0.2986985294117647,0.2964705882352941,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
B6ByNegPMKs,q_0.950,1,3,6,25,20,34,34,34,0,1,2,1,1,0,0,3.0,17.0,0.03225000000000001,0.51525,0.1340196078431373,0.6123063725490197,-0.3812303921568628,0.5800563725490196,0.34049999999999997,0.3405,0.3030220588235294,0.35294117647058826,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,
B6ByNegPMKs,q_0.950,2,3,3,25,20,34,50,50,0,0,3,1,1,1,0,1.0,18.0,0.006666666666666669,0.4888333333333333,0.07010250000000001,0.5171416666666667,-0.4187308333333333,0.5104750000000001,0.3405,0.34049999999999997,0.294375,0.24,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
B6ByNegPMKs,q_0.975,all,6,9,25,20,34,34,50,0,0,6,0,0,0,0,,,0.0,0.7429375,0.018572156862745094,0.7488941911764705,-0.7243653431372549,0.7488941911764705,0.66325,0.66325,0.4735944117647059,0.12823529411764706,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
B6ByNegPMKs,q_0.975,1,3,6,25,20,34,34,34,0,0,3,0,0,0,0,,,0.0,0.7479999999999999,0.030242647058823523,0.781330882352941,-0.7177573529411765,0.781330882352941,0.66325,0.66325,0.48655882352941177,0.17647058823529413,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
B6ByNegPMKs,q_0.975,2,3,3,25,20,34,50,50,0,0,3,0,0,0,0,,,0.0,0.737875,0.006901666666666667,0.7164575000000001,-0.7309733333333334,0.7164575000000001,0.66325,0.66325,0.46062999999999993,0.08,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
S9hNv5qa7GM,ospa30_t6,all,2,2,20,15,52,50,50,0,0,2,1,1,1,1,1.0,2.0,0.21066666666666667,0.9966666666666666,0.2191133333333333,0.7633233333333331,-0.7775533333333333,0.5526566666666665,0.42633333333333334,0.42633333333333334,0.32832666666666666,0.2,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
S9hNv5qa7GM,ospa30_t6,1,2,2,20,15,52,50,50,0,0,2,1,1,1,1,1.0,2.0,0.21066666666666667,0.9966666666666666,0.2191133333333333,0.7633233333333331,-0.7775533333333333,0.5526566666666665,0.42633333333333334,0.42633333333333334,0.32832666666666666,0.2,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
S9hNv5qa7GM,q_0.800,all,2,2,20,15,52,50,50,0,0,2,1,1,1,1,1.0,2.0,0.07166666666666668,0.7733333333333334,0.21424333333333337,0.6876866666666668,-0.5590900000000001,0.6160200000000002,0.38416666666666666,0.38416666666666666,0.23996,0.2,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
S9hNv5qa7GM,q_0.800,1,2,2,20,15,52,50,50,0,0,2,1,1,1,1,1.0,2.0,0.07166666666666668,0.7733333333333334,0.21424333333333337,0.6876866666666668,-0.5590900000000001,0.6160200000000002,0.38416666666666666,0.38416666666666666,0.23996,0.2,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
S9hNv5qa7GM,q_0.850,all,2,2,20,15,52,50,50,0,0,2,1,1,1,1,1.0,2.0,0.07166666666666668,0.7733333333333334,0.21679333333333334,0.6903800000000002,-0.55654,0.6187133333333336,0.38416666666666666,0.38416666666666666,0.23961333333333332,0.2,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
