task_id,condition,annotator_id,active_time,iou,iou_manual,iou_corner,rmse_px,layout_2d_iou,layout_3d_iou,layout_depth_rmse,layout_delta1,layout_used,layout_gate_reason,pointwise_rmse_px,pointwise_rmse_used,pointwise_best_shift,pointwise_gate_reason,boundary_mse,boundary_rmse_px,pred_n_points,pred_n_pairs,pred_pair_coverage,pred_odd_points,ann_n_points,ann_n_pairs,ann_pair_coverage,ann_odd_points,pairing_warning,pairing_failure_reason,boundary_method_used,consensus_uid,iou_to_consensus,consensus_uid_loo,iou_to_consensus_loo,iou_to_others_median,quality,scope,difficulty,model_issue,tool_issue,is_oos,is_occlusion,is_fail,is_residual,is_normal,n_corners,has_manual_poly,task_scope_n_total,task_scope_n_in_scope,task_scope_n_oos,task_scope_oos_rate,task_scope_majority,task_scope_is_mixed
475,semi,1,176.504,0.4161883959106334,0.0,0.4161883959106334,121.25717910261908,0.17528231810483477,0.15979210678112998,0.8628100156784058,0.1829681396484375,True,,121.07841435150611,True,0,,9416.70703125,97.03971883332103,8,4,1.0,False,8,4,1.0,False,False,,connect,2,0.7502751350402832,2,0.7502751350402832,0.7502751350402832,fail;normal,normal,,fail,,False,False,True,False,True,8,False,4,4,0,0.0,in_scope,False
475,semi,2,1622.9589999999998,0.4937043604887164,0.0,0.4937043604887164,102.07304014241649,0.2767825825575233,0.2617167530943909,0.7755314111709595,0.27149200439453125,True,,102.07302456452439,True,0,,10237.287109375,101.17947968523558,8,4,1.0,False,8,4,1.0,False,False,,connect,2,1.0,4,0.8105500936508179,0.8105500936508179,fail;low_quality;normal;occlusion;residual,normal,occlusion;low_quality;residual,fail,,False,True,True,True,True,8,False,4,4,0,0.0,in_scope,False
475,semi,3,82.489,0.4897527954083675,0.0,0.4897527954083675,108.45972054648831,0.21027119463169547,0.19140501199424906,0.7747441530227661,0.2638225555419922,True,,108.38021271344923,True,0,,9649.1259765625,98.22996475904132,8,4,1.0,False,8,4,1.0,False,False,,connect,2,0.9617724418640137,4,0.7958537340164185,0.7958537340164185,fail;low_texture;normal;occlusion;residual,normal,occlusion;low_texture;residual,fail,,False,True,True,True,True,8,False,4,4,0,0.0,in_scope,False
475,semi,4,32.645,0.5165761659834641,0.0,0.5165761659834641,87.92156859532722,0.18167563464936237,0.16560189257350813,0.8973497748374939,0.20719146728515625,True,,87.70383345295546,True,0,,12458.806640625,111.61902454610953,8,4,1.0,False,8,4,1.0,False,False,,connect,2,0.8105500936508179,2,0.8105500936508179,0.7958537340164185,fail;normal,normal,,fail,,False,False,True,False,True,8,False,4,4,0,0.0,in_scope,False
476,semi,1,65.168,0.9494358524342081,1.0,0.9494358524342081,9.579954961596567,,,,,False,out_of_scope,9.520464889331002,True,0,,74.80180358886719,8.648803592917762,16,8,1.0,False,16,8,1.0,False,False,,connect,,,,,,oos_split_level,oos_split_level,,,,True,False,False,False,False,16,True,4,0,4,1.0,oos,False
476,semi,2,1665.756,0.9435030593246246,1.0,0.9435030593246246,13.739778931358211,,,,,False,out_of_scope,,False,,odd_points,966.055419921875,31.081432076432304,16,8,1.0,False,15,7,0.9333333333333333,True,True,,connect,,,,,,oos_split_level;residual,oos_split_level,residual,,,True,False,False,True,False,15,True,4,0,4,1.0,oos,False
476,semi,3,155.877,0.9578051563154847,0.0,0.9578051563154847,6.847734796529933,,,,,False,out_of_scope,6.537634836122945,True,0,,34.6331787109375,5.884996067198133,16,8,1.0,False,16,8,1.0,False,False,,connect,,,,,,corner_drift;low_quality;oos_split_level;residual,oos_split_level,low_quality;residual,corner_drift,,True,False,False,True,False,16,False,4,0,4,1.0,oos,False
476,semi,4,238.492,1.0,1.0,1.0,0.0,,,,,False,out_of_scope,0.0,True,0,,0.0,0.0,16,8,1.0,False,16,8,1.0,False,False,,connect,,,,,,oos_split_level,oos_split_level,,,,True,False,False,False,False,16,True,4,0,4,1.0,oos,False
477,semi,1,45.89,0.9830066561719312,1.0,0.9830066561719312,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,59.131752014160156,7.689717290912596,12,6,1.0,False,8,4,1.0,False,False,,connect,1,1.0,4,0.9830066561698914,0.9830066561698914,corner_duplicate;normal,normal,,corner_duplicate,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
477,semi,2,66.32,0.9830066561719312,1.0,0.9830066561719312,4.922805022350893,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,12.325286865234375,3.510738791940291,12,6,1.0,False,8,4,1.0,False,False,,connect,1,1.0,4,0.9830066561698914,0.9830066561698914,normal,,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
477,semi,3,105.164,0.9683685948860179,0.0,0.9683685948860179,8.480510104196863,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,107.66680145263672,10.376261439104004,12,6,1.0,False,8,4,1.0,False,False,,connect,1,0.9680603742599487,1,0.9680603742599487,0.9680603742599487,corner_duplicate;low_texture;normal;occlusion;residual,normal,occlusion;low_texture;residual,corner_duplicate,,False,True,False,True,True,8,False,4,4,0,0.0,in_scope,False
477,semi,4,11.018,1.0,1.0,1.0,12.810226163675667,0.9737734143951712,0.9645318634334362,0.03763287514448166,0.9966087341308594,True,,12.665317329681221,True,0,,16.851224899291992,4.105024348197218,12,6,1.0,False,12,6,1.0,False,False,,connect,1,0.9830066561698914,1,0.9830066561698914,0.9830066561698914,normal,normal,,,,False,False,False,False,True,12,True,4,4,0,0.0,in_scope,False
479,semi,1,14.294,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,2,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
479,semi,2,3.13,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
479,semi,3,15.603,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
479,semi,4,32.612,0.9211248221283117,1.0,0.9211248221283117,21.185900099457196,,,,,False,low_coverage,,False,,low_coverage,15114.87890625,122.94258377897383,8,4,1.0,False,8,3,0.75,False,True,,connect,1,0.9211248159408569,1,0.9211248159408569,0.9211248159408569,normal,normal,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
480,semi,1,9.869,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,2,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
480,semi,2,11.456,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
480,semi,3,159.591,1.0,1.0,1.0,2.5600000000000023,0.9739825679343299,0.9739825679343302,0.025953637436032295,1.0,True,,2.55999754622461,True,0,,1.202981948852539,1.0968053377206637,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,corner_drift;normal,normal,,corner_drift,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
480,semi,4,11.828,1.0,0.0,1.0,21.951258952856097,0.8823565120055231,0.8317247051393092,0.24398420751094818,0.8457660675048828,True,,21.920291421999632,True,0,,147.17379760742188,12.13152082829774,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,False,4,4,0,0.0,in_scope,False
491,semi,1,19.298000000000002,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,2,1.0,1.0,normal;occlusion,normal,occlusion,,,False,True,False,False,True,8,True,4,4,0,0.0,in_scope,False
491,semi,2,135.21,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
491,semi,3,232.393,0.9863475031130946,1.0,0.9863475031130946,4.136990210285734,0.9797638098271343,0.9682836416850363,0.03603772446513176,1.0,True,,4.136985013783886,True,0,,13.772316932678223,3.7111072381000016,8,4,1.0,False,8,4,1.0,False,False,,connect,1,0.986347496509552,1,0.986347496509552,0.986347496509552,corner_drift;normal;occlusion,normal,occlusion,corner_drift,,False,True,False,False,True,8,True,4,4,0,0.0,in_scope,False
491,semi,4,4.109,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
492,semi,1,24.294,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,2,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
492,semi,2,7.111,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
492,semi,3,81.968,0.9973446912566676,1.0,0.9973446912566676,0.7463618425401528,0.9966065369880766,0.9937816881531545,0.010171190835535526,1.0,True,,0.7463561789855307,True,0,,0.34244751930236816,0.5851901565323602,8,4,1.0,False,8,4,1.0,False,False,,connect,1,0.9973446726799011,1,0.9973446726799011,0.9973446726799011,corner_drift;normal,normal,,corner_drift,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
492,semi,4,2.226,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
493,semi,1,178.971,0.8692310488908669,0.9526788587503159,0.8692310488908669,70.29521612857798,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,5103.50341796875,71.4388089064253,16,8,1.0,False,14,7,1.0,False,False,,connect,3,0.7909387350082397,2,0.7882919907569885,0.7896153926849365,normal,normal,,,,False,False,False,False,True,14,True,3,3,0,0.0,in_scope,False
493,semi,2,78.599,0.7777833479382942,1.0,0.7777833479382942,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,1086.652587890625,32.964413962493325,16,8,1.0,False,8,4,1.0,False,False,,connect,3,0.9660548567771912,1,0.7882919907569885,0.8771734237670898,fail,,,,,False,False,True,False,False,8,True,3,3,0,0.0,in_scope,False
493,semi,3,121.73400000000001,0.8051130063025252,0.0,0.8051130063025252,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,1117.9610595703125,33.43592468543845,16,8,1.0,False,8,4,1.0,False,False,,connect,3,1.0,1,0.7909387350082397,0.8784967660903931,corner_duplicate;low_quality;normal;occlusion;overextend_adjacent,normal,occlusion;low_quality,overextend_adjacent;corner_duplicate,,False,True,False,False,True,8,False,3,3,0,0.0,in_scope,False
494,semi,1,19.865000000000002,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,2,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,3,3,0,0.0,in_scope,False
494,semi,2,2.935,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,,,,,False,False,False,False,True,8,True,3,3,0,0.0,in_scope,False
494,semi,3,33.071,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,3,3,0,0.0,in_scope,False
495,semi,1,73.53399999999999,0.9764174348109161,1.0,0.9764174348109161,3.836009869854016,,,,,False,out_of_scope,3.73888058377295,True,0,,7.16829252243042,2.677366714223216,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,oos_split_level,oos_split_level,,,,True,False,False,False,False,12,True,3,1,2,0.6666666666666666,oos,True
495,semi,2,28.64,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,split_level,,,,,False,False,False,False,False,12,True,3,1,2,0.6666666666666666,oos,True
495,semi,3,111.666,0.9700252659053626,1.0,0.9700252659053626,9.7395645331439,,,,,False,out_of_scope,,False,,odd_points,155.60382080078125,12.474126053587131,12,6,1.0,False,11,5,0.9090909090909091,True,True,,connect,,,,,,oos_split_level,oos_split_level,,,,True,False,False,False,False,11,True,3,1,2,0.6666666666666666,oos,True
496,semi,1,39.068,1.0,1.0,1.0,0.0,,,,,False,out_of_scope,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,oos_split_level,oos_split_level,,,,True,False,False,False,False,12,True,3,0,3,1.0,oos,False
496,semi,3,90.995,0.8653936170671135,1.0,0.8653936170671135,23.02846739872285,,,,,False,out_of_scope,23.027560762866308,True,0,,784.7962646484375,28.01421540304917,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,corner_drift;oos_split_level,oos_split_level,,corner_drift,,True,False,False,False,False,12,True,3,0,3,1.0,oos,False
496,semi,2,66.204,0.862920431382895,0.0,0.862920431382895,27.102054378652557,,,,,False,out_of_scope,27.09651171766626,True,0,,992.1912841796875,31.499067989064176,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,low_texture;occlusion;oos_split_level,oos_split_level,occlusion;low_texture,,,True,True,False,False,False,12,False,3,0,3,1.0,oos,False
497,semi,1,13.202,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,3,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,3,3,0,0.0,in_scope,False
497,semi,3,30.048,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal;occlusion,normal,occlusion,,,False,True,False,False,True,8,True,3,3,0,0.0,in_scope,False
497,semi,2,26.574,1.0,1.0,1.0,2.3649028988701315,0.9243292340026275,0.9130691657998503,0.05998509004712105,1.0,True,,2.1742141531684247,True,0,,4.491902828216553,2.119410962559303,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal;occlusion,normal,occlusion,,,False,True,False,False,True,8,True,3,3,0,0.0,in_scope,False
498,semi,3,76.731,0.9905036585529433,1.0,0.9905036585529433,19.470713525250105,,,,,False,out_of_scope,,False,,n_pairs_mismatch,1396.952880859375,37.37583284502668,16,8,1.0,False,14,7,1.0,False,False,,connect,,,,,,oos_split_level;overextend_adjacent,oos_split_level,,overextend_adjacent,,True,False,False,False,False,14,True,3,1,2,0.6666666666666666,oos,True
498,semi,2,56.963,0.6394223538380952,0.0,0.6394223538380952,0.0,,,,,False,out_of_scope,,False,,n_pairs_mismatch,114.72740173339844,10.711087794122427,16,8,1.0,False,12,6,1.0,False,False,,connect,,,,,,occlusion;oos_split_level;overextend_adjacent,oos_split_level,occlusion,overextend_adjacent,,True,True,False,False,False,12,False,3,1,2,0.6666666666666666,oos,True
498,semi,4,26.076,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,16,8,1.0,False,16,8,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,True,16,False,3,1,2,0.6666666666666666,oos,True
499,semi,1,42.12,0.9687300574345884,1.0,0.9687300574345884,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,3.775608777999878,1.943092580913189,12,6,1.0,False,10,5,1.0,False,False,,connect,3,0.8711822032928467,3,0.8711822032928467,0.8711822032928467,normal,normal,,,,False,False,False,False,True,10,True,4,4,0,0.0,in_scope,False
499,semi,3,127.274,0.8439403608516564,0.0,0.8439403608516564,7.249818756355229,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,13.107490539550781,3.6204268449384225,12,6,1.0,False,8,4,1.0,False,False,,connect,3,1.0,4,0.9152792096138,0.9152792096138,corner_duplicate;normal;occlusion;overextend_adjacent,normal,occlusion,overextend_adjacent;corner_duplicate,,False,True,False,False,True,8,False,4,4,0,0.0,in_scope,False
499,semi,2,54.897999999999996,0.8439403608516564,0.0,0.8439403608516564,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,2.9234561920166016,1.7098117416887164,12,6,1.0,False,8,4,1.0,False,False,,connect,3,1.0,4,0.9152792096138,0.9152792096138,corner_duplicate;normal;overextend_adjacent,normal,,overextend_adjacent;corner_duplicate,,False,False,False,False,True,8,False,4,4,0,0.0,in_scope,False
499,semi,4,18.817,0.9220578210928426,1.0,0.9220578210928426,34.351957746048384,0.9916658079815964,0.96211101194799,0.10952187329530716,0.9809589385986328,True,,34.346886586182194,True,0,,116.31520080566406,10.784952517543323,12,6,1.0,False,12,6,1.0,False,False,,connect,3,0.9152792096138,3,0.9152792096138,0.9152792096138,normal,normal,,,,False,False,False,False,True,12,True,4,4,0,0.0,in_scope,False
500,semi,1,20.436,1.0,1.0,1.0,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,4.326939105987549,2.080129588748631,12,6,1.0,False,10,5,1.0,False,False,,connect,3,0.797660231590271,3,0.797660231590271,0.797660231590271,normal,normal,,,,False,False,False,False,True,10,True,4,4,0,0.0,in_scope,False
500,semi,3,61.912,0.7976602528019239,1.0,0.7976602528019239,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,1.1053366661071777,1.0513499256228527,12,6,1.0,False,8,4,1.0,False,False,,connect,3,1.0,4,0.8381608724594116,0.8381608724594116,corner_duplicate;low_quality;normal;overextend_adjacent,normal,low_quality,overextend_adjacent;corner_duplicate,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
500,semi,2,56.536,0.7976602528019239,1.0,0.7976602528019239,1.535999999999973,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,1.6192896366119385,1.2725131184439469,12,6,1.0,False,8,4,1.0,False,False,,connect,3,1.0,4,0.8381608724594116,0.8381608724594116,corner_duplicate;normal;occlusion;overextend_adjacent,normal,occlusion,overextend_adjacent;corner_duplicate,,False,True,False,False,True,8,True,4,4,0,0.0,in_scope,False
500,semi,4,29.42,0.885411899909876,0.0,0.885411899909876,34.386469620030674,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,2108.46630859375,45.91803903253873,12,6,1.0,False,16,8,1.0,False,False,,connect,3,0.8381608724594116,3,0.8381608724594116,0.8381608724594116,normal,normal,,,,False,False,False,False,True,16,False,4,4,0,0.0,in_scope,False
501,semi,1,18.45,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,1,1.0,3,1.0,1.0,normal,normal,,,,False,False,False,False,True,12,True,4,4,0,0.0,in_scope,False
501,semi,3,21.39,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,True,12,True,4,4,0,0.0,in_scope,False
501,semi,2,29.697,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,True,12,True,4,4,0,0.0,in_scope,False
501,semi,4,28.233,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,True,12,True,4,4,0,0.0,in_scope,False
502,semi,1,14.014000000000001,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,3,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
502,semi,3,13.989,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,4,4,0,0.0,in_scope,False
502,semi,2,33.203,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal;occlusion,normal,occlusion,,,False,True,False,False,True,8,True,4,4,0,0.0,in_scope,False
502,semi,4,16.613,0.8453549668037589,0.0,0.8453549668037589,39.56395325680181,0.6993461187144867,0.6908700948793294,0.21554651856422424,0.9270496368408203,True,,39.562629591019984,True,0,,622.5613403320312,24.951179137107555,8,4,1.0,False,8,4,1.0,False,False,,connect,1,0.8453549742698669,1,0.8453549742698669,0.8453549742698669,normal,normal,,,,False,False,False,False,True,8,False,4,4,0,0.0,in_scope,False
503,semi,1,13.113,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,3,0.9719617962837219,3,0.9719617962837219,0.9700459241867065,normal,normal,,,,False,False,False,False,True,8,True,3,3,0,0.0,in_scope,False
503,semi,3,284.11,0.9719617698347047,1.0,0.9719617698347047,10.991642558359828,0.8878816357283136,0.8800488810738011,0.17008452117443085,0.9964866638183594,True,,10.99163847354014,True,0,,138.91162109375,11.786077426088376,8,4,1.0,False,8,4,1.0,False,False,,connect,3,1.0,1,0.9719617962837219,0.9767166376113892,corner_drift;normal;occlusion;residual,normal,occlusion;residual,corner_drift,,False,True,False,True,True,8,True,3,3,0,0.0,in_scope,False
503,semi,2,55.538,0.9681299724752365,1.0,0.9681299724752365,4.263727178431643,0.9844528817901254,0.9708218630858416,0.07365427166223526,1.0,True,,4.251446197388262,True,0,,55.213287353515625,7.430564403429636,8,4,1.0,False,8,4,1.0,False,False,,connect,3,0.9814715385437012,1,0.9681299924850464,0.9748007655143738,corner_drift;low_texture;normal;occlusion,normal,occlusion;low_texture,corner_drift,,False,True,False,False,True,8,True,3,3,0,0.0,in_scope,False
504,semi,1,16.695,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,3,1.0,1.0,normal,normal,,,,False,False,False,False,True,8,True,3,3,0,0.0,in_scope,False
504,semi,3,19.308,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,corner_drift;normal,normal,,corner_drift,,False,False,False,False,True,8,True,3,3,0,0.0,in_scope,False
