condition,cut,rule,state,expected_images,images_with_state
semi,0.05,D10_distribution,cannot_judge_low_n,1,1
semi,0.05,D10_distribution,cannot_judge_singletons,31,31
semi,0.05,D10_distribution,current_changes,4.17,6
semi,0.05,D10_distribution,observed_unified,2,2
semi,0.05,D10_distribution,stable_multicluster,1.83,4
semi,0.05,D20_distribution,cannot_judge_invalid,3,3
semi,0.05,D20_distribution,cannot_judge_low_n,1,1
semi,0.05,D20_distribution,cannot_judge_singletons,31,31
semi,0.05,D20_distribution,current_changes,4.17,6
semi,0.05,D20_distribution,observed_unified,2,2
semi,0.05,D20_distribution,stable_multicluster,1.83,4
semi,0.05,G10_geometry,cannot_judge_invalid,3,3
semi,0.05,G10_geometry,cannot_judge_low_n,1,1
semi,0.05,G10_geometry,cannot_judge_singletons,31,31
semi,0.05,G10_geometry,current_changes,4.17,6
semi,0.05,G10_geometry,observed_unified,2,2
semi,0.05,G10_geometry,stable_multicluster,1.83,4
semi,0.05,P_pattern,cannot_judge_invalid,3,3
semi,0.05,P_pattern,cannot_judge_low_n,1,1
semi,0.05,P_pattern,cannot_judge_singletons,31,31
semi,0.05,P_pattern,current_changes,4.17,6
semi,0.05,P_pattern,observed_unified,2,2
semi,0.05,P_pattern,stable_multicluster,1.83,4
semi,0.1,D10_distribution,cannot_judge_invalid,3,3
semi,0.1,D10_distribution,cannot_judge_low_n,1,1
semi,0.1,D10_distribution,cannot_judge_singletons,23,23
semi,0.1,D10_distribution,current_changes,3.18,9
semi,0.1,D10_distribution,observed_unified,7.86,8
semi,0.1,D10_distribution,stable_multicluster,4.96,8
semi,0.1,D20_distribution,cannot_judge_invalid,3,3
semi,0.1,D20_distribution,cannot_judge_low_n,1,1
semi,0.1,D20_distribution,cannot_judge_singletons,23,23
semi,0.1,D20_distribution,current_changes,3.18,9
semi,0.1,D20_distribution,observed_unified,7.86,8
semi,0.1,D20_distribution,stable_multicluster,4.96,8
semi,0.1,G10_geometry,cannot_judge_invalid,3,3
semi,0.1,G10_geometry,cannot_judge_low_n,1,1
semi,0.1,G10_geometry,cannot_judge_singletons,23,23
semi,0.1,G10_geometry,current_changes,5.96,13
semi,0.1,G10_geometry,observed_unified,5.1,6
semi,0.1,G10_geometry,stable_multicluster,4.94,8
semi,0.1,P_pattern,cannot_judge_invalid,3,3
semi,0.1,P_pattern,cannot_judge_low_n,1,1
semi,0.1,P_pattern,cannot_judge_singletons,23,23
semi,0.1,P_pattern,current_changes,3.18,9
semi,0.1,P_pattern,observed_unified,7.86,8
semi,0.1,P_pattern,stable_multicluster,4.96,8
semi,0.2,D10_distribution,cannot_judge_invalid,3,3
semi,0.2,D10_distribution,cannot_judge_low_n,1,1
semi,0.2,D10_distribution,cannot_judge_singletons,17,17
semi,0.2,D10_distribution,current_changes,4.04,10
semi,0.2,D10_distribution,observed_unified,12.44,13
semi,0.2,D10_distribution,stable_multicluster,5.52,9
semi,0.2,D20_distribution,cannot_judge_invalid,3,3
semi,0.2,D20_distribution,cannot_judge_low_n,1,1
semi,0.2,D20_distribution,cannot_judge_singletons,17,17
semi,0.2,D20_distribution,current_changes,4.04,10
semi,0.2,D20_distribution,observed_unified,12.44,13
semi,0.2,D20_distribution,stable_multicluster,5.52,9
semi,0.2,G10_geometry,cannot_judge_invalid,3,3
semi,0.2,G10_geometry,cannot_judge_low_n,1,1
semi,0.2,G10_geometry,cannot_judge_singletons,17,17
semi,0.2,G10_geometry,current_changes,7.37,16
semi,0.2,G10_geometry,observed_unified,9.37,11
semi,0.2,G10_geometry,stable_multicluster,5.26,9
semi,0.2,P_pattern,cannot_judge_invalid,3,3
semi,0.2,P_pattern,cannot_judge_low_n,1,1
semi,0.2,P_pattern,cannot_judge_singletons,17,17
semi,0.2,P_pattern,current_changes,4.04,10
semi,0.2,P_pattern,observed_unified,12.44,13
semi,0.2,P_pattern,stable_multicluster,5.52,9
