feature,stratum,excluded,reason,n_test,result_file
dinov3__block9__panorama_global,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block9__panorama_global.failures.csv
dinov3__block9__panorama_global,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block9__panorama_global.failures.csv
dinov3__block9__panorama_global,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block9__panorama_global.failures.csv
dinov3__block9__panorama_global,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block9__panorama_global.failures.csv
dinov3__block9__panorama_global,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__block9__panorama_global.failures.csv
dinov3__block9__panorama_global,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__block9__panorama_global.failures.csv
dinov3__block9__panorama_global,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__block9__panorama_global.failures.csv
dinov3__cls__faces_concat,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__cls__faces_concat.failures.csv
dinov3__cls__faces_concat,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__cls__faces_concat.failures.csv
dinov3__cls__faces_concat,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__cls__faces_concat.failures.csv
dinov3__cls__faces_concat,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__cls__faces_concat.failures.csv
dinov3__cls__faces_concat,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__cls__faces_concat.failures.csv
dinov3__cls__faces_concat,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__cls__faces_concat.failures.csv
dinov3__cls__faces_concat,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__cls__faces_concat.failures.csv
hohonet__encoder_stage4__global,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/hohonet__encoder_stage4__global.failures.csv
hohonet__encoder_stage4__global,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/hohonet__encoder_stage4__global.failures.csv
hohonet__encoder_stage4__global,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/hohonet__encoder_stage4__global.failures.csv
hohonet__encoder_stage4__global,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/hohonet__encoder_stage4__global.failures.csv
hohonet__encoder_stage4__global,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/hohonet__encoder_stage4__global.failures.csv
hohonet__encoder_stage4__global,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/hohonet__encoder_stage4__global.failures.csv
hohonet__encoder_stage4__global,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/hohonet__encoder_stage4__global.failures.csv
dinov3__block12__panorama_local16,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block12__panorama_local16.failures.csv
dinov3__block12__panorama_local16,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block12__panorama_local16.failures.csv
dinov3__block12__panorama_local16,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block12__panorama_local16.failures.csv
dinov3__block12__panorama_local16,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block12__panorama_local16.failures.csv
dinov3__block12__panorama_local16,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__block12__panorama_local16.failures.csv
dinov3__block12__panorama_local16,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__block12__panorama_local16.failures.csv
dinov3__block12__panorama_local16,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__block12__panorama_local16.failures.csv
semantic__traits_recheck,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/semantic__traits_recheck.failures.csv
semantic__traits_recheck,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/semantic__traits_recheck.failures.csv
semantic__traits_recheck,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/semantic__traits_recheck.failures.csv
semantic__traits_recheck,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/semantic__traits_recheck.failures.csv
semantic__traits_recheck,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/semantic__traits_recheck.failures.csv
semantic__traits_recheck,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/semantic__traits_recheck.failures.csv
semantic__traits_recheck,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/semantic__traits_recheck.failures.csv
dinov3__block11__panorama_mean,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block11__panorama_mean.failures.csv
dinov3__block11__panorama_mean,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block11__panorama_mean.failures.csv
dinov3__block11__panorama_mean,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block11__panorama_mean.failures.csv
dinov3__block11__panorama_mean,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block11__panorama_mean.failures.csv
dinov3__block11__panorama_mean,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/dinov3__block11__panorama_mean.failures.csv
dinov3__block11__panorama_mean,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/dinov3__block11__panorama_mean.failures.csv
dinov3__block11__panorama_mean,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/dinov3__block11__panorama_mean.failures.csv
ulayout__compressed__global,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/ulayout__compressed__global.failures.csv
ulayout__compressed__global,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/ulayout__compressed__global.failures.csv
ulayout__compressed__global,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/ulayout__compressed__global.failures.csv
ulayout__compressed__global,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/ulayout__compressed__global.failures.csv
ulayout__compressed__global,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/ulayout__compressed__global.failures.csv
ulayout__compressed__global,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/ulayout__compressed__global.failures.csv
ulayout__compressed__global,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/ulayout__compressed__global.failures.csv
hohonet__refined__regions,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/hohonet__refined__regions.failures.csv
hohonet__refined__regions,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/hohonet__refined__regions.failures.csv
hohonet__refined__regions,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/hohonet__refined__regions.failures.csv
hohonet__refined__regions,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/hohonet__refined__regions.failures.csv
hohonet__refined__regions,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/hohonet__refined__regions.failures.csv
hohonet__refined__regions,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/hohonet__refined__regions.failures.csv
hohonet__refined__regions,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/hohonet__refined__regions.failures.csv
semantic__coarse,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/semantic__coarse.failures.csv
semantic__coarse,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/semantic__coarse.failures.csv
semantic__coarse,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/semantic__coarse.failures.csv
semantic__coarse,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/semantic__coarse.failures.csv
semantic__coarse,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/semantic__coarse.failures.csv
semantic__coarse,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/semantic__coarse.failures.csv
semantic__coarse,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/semantic__coarse.failures.csv
