condition,perturbation,delta_px,near_horizon,observations,valid_projections,undefined_projections,direction_error_median,abs_radius_change_median,abs_radius_change_p90,abs_radius_change_p99,abs_height_change_median
oos,bottom_y,1,False,1250,1250,0,0.35156249999999933,0.019244384402008985,0.030550758605193903,0.040856764851983057,0.0086881900897733955
oos,bottom_y,5,False,1250,1250,0,1.7578125000000044,0.090995916259019261,0.13674446383524089,0.17615718292924035,0.04088995549174107
oos,bottom_y,10,False,1250,1250,0,3.5156250000000004,0.17129224524238496,0.24222442742370781,0.30070262422883698,0.076593531730362041
oos,joint_x,-10,False,1250,1250,0,3.3673114000653541,0,0,0,0
oos,joint_x,-5,False,1250,1250,0,1.6836720636157279,0,0,0,0
oos,joint_x,-1,False,1250,1250,0,0.33673545963837326,0,0,0,0
oos,joint_x,1,False,1250,1250,0,0.33673545963837359,0,0,0,0
oos,joint_x,5,False,1250,1250,0,1.683672063615721,0,0,0,0
oos,joint_x,10,False,1250,1250,0,3.3673114000653546,0,0,0,0
oos,top_y,-10,False,1250,1250,0,3.5156250000000009,0,0,0,0.10232743112899578
oos,top_y,-5,False,1250,1250,0,1.7578124999999993,0,0,0,0.050533199702860854
oos,top_y,-1,False,1250,1250,0,0.351562499999999,0,0,0,0.010010853342480197
oos,top_y,1,False,1250,1250,0,0.35156249999999906,0,0,0,0.0099555948158654983
oos,top_y,5,False,1250,1250,0,1.757812499999998,0,0,0,0.049386245022737252
oos,top_y,10,False,1250,1250,0,3.5156250000000009,0,0,0,0.097892503941909792
semi,bottom_y,-10,False,2500,2500,0,3.5156250000000013,0.17777382377953921,0.3625191161800505,0.96950159499794297,0.072318738013070316
semi,bottom_y,-10,True,13,13,0,3.5156250000000009,3.329015877875305,3.8281592391031536,4.7287786272460837,1.1609282159993546
semi,bottom_y,-5,False,2500,2500,0,1.7578125000000051,0.083539828085461232,0.15457962478828224,0.32774418520826498,0.03471842601977615
semi,bottom_y,-5,True,13,13,0,1.7578125000000067,0.62623007759634963,0.65833776072526129,0.70362724260126197,0.22249344281565597
semi,bottom_y,-1,False,2500,2500,0,0.35156249999999961,0.01613301334413475,0.027671812355153147,0.052084400460480018,0.0067532769043028296
semi,bottom_y,-1,True,13,13,0,0.35156249999999906,0.083592850292840915,0.086394027400385459,0.09018037598560287,0.029812318800298332
semi,bottom_y,1,False,2500,2500,0,0.35156249999999911,0.015750275268728742,0.026296201708466249,0.047240087736252066,0.0065749827750411494
semi,bottom_y,1,True,13,13,0,0.35156249999999867,0.071684464298881201,0.0737302990006313,0.076463139357876631,0.025610344010313812
semi,bottom_y,5,False,2500,2500,0,1.7578125000000047,0.07560845039609998,0.11962285377148818,0.19920252364595853,0.031898451817011453
semi,bottom_y,5,True,13,13,0,1.7578124999999947,0.27900729725939033,0.28513953412091325,0.29320487393215083,0.10105007125958987
semi,bottom_y,10,False,2500,2500,0,3.515625,0.14314567685738833,0.21510354040459245,0.34798128619393148,0.060824656446431147
semi,bottom_y,10,True,13,13,0,3.5156249999999996,0.43712645498271718,0.44457171366314779,0.45425107941499698,0.15999499397685024
semi,joint_x,-10,False,2500,2500,0,3.2682145576567669,0,0,0,0
semi,joint_x,-10,True,13,13,0,3.51119815553897,0,0,0,0
semi,joint_x,-5,False,2500,2500,0,1.6341333910288895,0,0,0,0
semi,joint_x,-5,True,13,13,0,1.7555995977073622,0,0,0,0
semi,joint_x,-1,False,2500,2500,0,0.32682834885886014,0,0,0,0
semi,joint_x,-1,True,13,13,0,0.35111995280511837,0,0,0,0
semi,joint_x,1,False,2500,2500,0,0.32682834885884926,0,0,0,0
semi,joint_x,1,True,13,13,0,0.35111995280516906,0,0,0,0
semi,joint_x,5,False,2500,2500,0,1.634133391028866,0,0,0,0
semi,joint_x,5,True,13,13,0,1.7555995977074133,0,0,0,0
semi,joint_x,10,False,2500,2500,0,3.2682145576567594,0,0,0,0
semi,joint_x,10,True,13,13,0,3.5111981555390219,0,0,0,0
semi,top_y,-10,False,2500,2500,0,3.5156250000000009,0,0,0,0.081663149766464826
semi,top_y,-10,True,13,13,0,3.5156250000000009,0,0,0,0.47420516653288192
semi,top_y,-5,False,2500,2500,0,1.7578124999999993,0,0,0,0.040145968093937889
semi,top_y,-5,True,13,13,0,1.7578124999999947,0,0,0,0.2365106691473291
semi,top_y,-1,False,2500,2500,0,0.35156249999999928,0,0,0,0.0079195068735619101
semi,top_y,-1,True,13,13,0,0.35156249999999878,0,0,0,0.0472291976641388
semi,top_y,1,False,2500,2500,0,0.35156249999999922,0,0,0,0.0078745962977689876
semi,top_y,1,True,13,13,0,0.35156249999999878,0,0,0,0.047199919366184284
semi,top_y,5,False,2500,2498,2,1.7578124999999993,0,0,0,0.038990512203597727
semi,top_y,5,True,13,11,2,1.7578125000000067,0,0,0,0.23384291993469364
semi,top_y,10,False,2500,2480,20,3.5156250000000009,0,0,0,0.077024963409231428
semi,top_y,10,True,13,1,12,3.5156250000000009,0,0,0,0.40478335757345663
