base_task_id,building_id,delta_shannon_entropy,manual_shannon_entropy,semi_shannon_entropy,semi_review_row_count,initial_quality_mean,initial_quality_median,edit_rate,edit_rmse_mean,delta_u_mean,negative_metric_change_rate_001,improving_rate_001,issue_report_rate,delta_iou_to_gt,split,metric_object,gt_variant,gt_source_type,model_sha256,gt_sha256,model_pair_encoding_valid,model_pair_count,gt_pair_count,pair_count_delta,topology_exact_bool,proposal_topology_relation,audit_problem_family,corner_f1_1pct,corner_localization_pass,corner_error_percent_diagonal,topdown_2d_iou,layoutnetv2_style_3d_iou,layout_mask_difference,boundary_rmse_px,geometry_acceptable,initialization_acceptable_bool,initialization_correct_bool,operational_initialization_band,initialization_class,difference_band,image_path,model_path,gt_path,audit_join_status,old_initial_quality_vs_current_audit_warning
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,1.3862943611198906,0.0,1.3862943611198906,4,0.965819257586173,0.965819257586173,0.0,,-0.0889818899213019,0.75,0.0,0.75,-0.0736688499831718,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,confirmed_user_manual_gt_correction,76172d7d322d3bd02a3b1d6c6bcae3ad643c127afd7f82da4728ac8658efdbf9,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,True,6,4,2,False,model_more_pairs,model_has_more_corner_pairs,0.6,False,,0.87834665,0.86468338,0.10844757,19.574564,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d.txt,export_label/groudTruth.json,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,0.5623351446188083,0.0,0.5623351446188083,4,1.0,1.0,0.0,,-0.0884558007056302,1.0,0.0,1.0,0.0086857762251255,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,eae6f3328579a1a7991f78d4232990cd54f270a994240db7027dfe661094ddc5,941fa61d6d5eb8f70ae4508527677103f883c98ad48b87d6848afebb1112b962,True,4,8,-4,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.33333333,False,,0.80287251,0.79795873,0.07139064,8.916184,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.txt,data/mp3d_layout/test/label_cor/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,-0.3819085009768876,0.3819085009768876,0.0,5,,,0.4,29.11971434736053,,0.0,0.0,0.8,0.0236575396281271,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,b9cda4f342f95856bb420fd348bab4a177518bbd218e5b41ad0b570adf15574b,89d0571a7a9a3079d9cd33cee1800d28deba6cd1feccea4fc6a9cfee92b63b59,True,4,12,-8,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.375,False,,0.78269574,0.76889497,0.07331887,9.762594,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/q9vSo1VnCiC_a424533651804a38a55b1252daccc81e.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/q9vSo1VnCiC_a424533651804a38a55b1252daccc81e.txt,data/mp3d_layout/test/label_cor/q9vSo1VnCiC_a424533651804a38a55b1252daccc81e.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,0.5623351446188083,0.0,0.5623351446188083,4,,,0.5,6.071290025802473,,0.0,0.0,0.5,,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,f956bb5e63c81ceed53505eb82038cb377da4f80a18b7e4dfcf865b3b06f60a2,283c5d5328fbddb98f546f33a33230bee8bc3794c651ceec854387ff4b1c1edd,True,6,4,2,False,model_more_pairs,model_has_more_corner_pairs,0.3,False,,0.61048873,0.60146068,0.2558636,44.885925,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d.txt,data/mp3d_layout/test/label_cor/uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,0.1124670289237616,0.4498681156950466,0.5623351446188083,4,1.0,1.0,0.0,0.0,-0.0117908040620094,0.25,0.0,0.0,0.0628587874149264,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,57613a056611b289d65db816a40a228e1c6f94329a0796ce388d6d9ab3ada2a8,7c1904645bfe2ebe14716b2000e4899a2b70950a0c8392e4042f15d9128045ce,True,6,6,0,True,pair_count_exact,same_pair_count_corner_localization_difference,0.66666667,False,1.06643065,0.97750124,0.92609817,0.1046384,17.533651,False,True,False,acceptable_not_strict,wrong_initialization_localization,large_difference_localization,data/mp3d_layout/test/img/uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62.txt,data/mp3d_layout/test/label_cor/uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,0.5004024235381879,0.0,0.5004024235381879,5,1.0,1.0,0.2,5.398480604250853,-0.0302691269376872,1.0,0.0,0.6,0.0426730316551692,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,0575e6879c4e9b3ff653b32ac6d1e8c7c11343312c525f746121c07b0282447e,b2d9d3227dc72731939ca8fc23a301d6ce4b398afe664f0258b3cf87abc1e9ed,True,4,6,-2,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.6,False,,0.81497413,0.78441869,0.05224305,8.104721,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.txt,data/mp3d_layout/test/label_cor/uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,0.0,0.0,0.0,4,1.0,1.0,1.0,23.23696106180495,-0.0903163765541979,0.75,0.0,0.75,0.0309475245967754,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,33125f031913a1896b95b9e5eade03421bdb7931995fce630c925e36c2332b1c,c21b80e0656848e300d9961b85b1d85a3a5c26de13960a9f3f216fe73cda7e52,True,8,8,0,True,pair_count_exact,same_pair_count_corner_localization_difference,0.4375,False,1.16426192,0.83678059,0.8133186,0.08648549,20.516861,False,True,False,acceptable_not_strict,wrong_initialization_localization,large_difference_localization,data/mp3d_layout/test/img/uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3.txt,data/mp3d_layout/test/label_cor/uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,0.0,0.5004024235381879,0.5004024235381879,5,1.0,1.0,0.4,6.062121420492346,-0.0531010610516404,0.6,0.0,0.4,0.0671260615487765,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,2865103920dd451dd7e5811e80ac5277bfc2527d0fcdfed7542432b81e216c38,dee826eca937d194d5dddc723b8e0efd44404cee5ffec9fb468150efd10fa059,True,6,6,0,True,pair_count_exact,posthoc_strict_pass,1.0,True,0.20789863,0.94217771,0.93217998,0.02066337,2.345624,True,True,True,strict_correct,correct_initialization,correct_but_visible_difference,data/mp3d_layout/test/img/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.txt,data/mp3d_layout/test/label_cor/uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,-0.408070908165115,0.9704060527839232,0.5623351446188083,4,,,0.0,,,0.0,0.0,0.75,,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,c487ee97f1a55811dd790bf0ae267d3ecf1521ebc0d0c7fd0d5da29d5c53f950,7515593212c33462d529169375a837b0ac691fe74641db144662772af3bcc5cd,True,6,6,0,True,pair_count_exact,same_pair_count_corner_localization_difference,0.33333333,False,3.75860284,0.83237052,0.81325398,0.15336904,33.812817,False,False,False,not_acceptable_same_topology,wrong_initialization_localization,large_difference_localization,data/mp3d_layout/test/img/uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e.txt,data/mp3d_layout/test/label_cor/uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,-1.2476649250079013,1.2476649250079013,0.0,4,1.0,1.0,0.5,2.6694656608590708,-0.0259197316288007,0.5,0.0,0.25,0.0372664321116482,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,d36cb205820c1e6abee4a83a78da36ebc7ef1695ee4b65dcf78fcbb7f5e8a61b,1fd512335f9e8779cf9746dfe1c2779eec337f74036452573b2aeb1f80f07931,True,6,4,2,False,model_more_pairs,model_has_more_corner_pairs,0.8,False,,0.92393161,0.91240633,0.04469817,4.860814,True,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.txt,data/mp3d_layout/test/label_cor/wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,-0.058366191008214,0.5587686145464019,0.5004024235381879,5,1.0,1.0,0.4,3.4590571853459338,-0.0086079482009113,0.2,0.0,0.4,0.0185929258984615,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,387616b144ed2358df67566337a274e8c427ac299b70d8a9bfe84d1989bfc165,0761bf10858844ad7ab8cbd275223865a01a1da7fe471514d50780d08b28bbda,True,6,6,0,True,pair_count_exact,posthoc_strict_pass,1.0,True,0.44596569,0.94240937,0.91183811,0.02277846,4.151851,True,True,True,strict_correct,correct_initialization,correct_but_visible_difference,data/mp3d_layout/test/img/wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7.txt,data/mp3d_layout/test/label_cor/wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,0.5623351446188083,0.0,0.5623351446188083,4,1.0,1.0,0.0,0.0,-0.0543608240159101,0.75,0.0,0.5,0.021599540416096,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,36faca4dbff4e04a311f4fefcc7f5ea143cb39f769eda7a506a90c0db9e7db0b,24aabf4552cfe5e8f16e0f85b2027ef4f797dfc03e044e95c5a6bed47b809e52,True,4,8,-4,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.66666667,False,,0.80034599,0.78439299,0.03327096,4.962324,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc.txt,data/mp3d_layout/test/label_cor/wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,-0.848766520351474,0.848766520351474,0.0,4,1.0,1.0,0.25,4.782003106537834,-0.0186014251141827,0.25,0.0,0.0,0.0344621842332563,test,final_layout_as_initialization_proxy,test_hybrid_30_manual_else_official,official_mp3d_layout_label_cor_raw_not_no_occ,12eb81705529624cd23037f03302f793e75caf929e43dcacbfdec54fb4a249b9,c6c85a578cbafdd8dd999da1756afc14e3c81eb12cd59d3e6e94fd3bda66a15c,True,6,4,2,False,model_more_pairs,model_has_more_corner_pairs,0.4,False,,0.2900321,0.28465837,0.33014864,85.723351,False,False,False,wrong_topology,wrong_initialization_topology,large_difference_topology,data/mp3d_layout/test/img/wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f.png,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f.txt,data/mp3d_layout/test/label_cor/wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f.txt,matched,historical U_initial is retained but is not interchangeable with current topology/continuous proposal audit
