reading,stratum,minimum_calculable_people,representation,contexts,images,buildings,spearman_rho
serialized_adjacency,C2-A-RP|manual,2,pixel_center_integer,11,7,5,-0.036956330714167054
serialized_adjacency,C2-A-RP|manual,2,native_uv,11,7,5,-0.22019275302527216
serialized_adjacency,C2-A-RP|manual,3,legacy_integer,0,0,0,
serialized_adjacency,C2-A-RP|manual,3,pixel_center_integer,0,0,0,
serialized_adjacency,C2-A-RP|manual,3,native_uv,0,0,0,
serialized_adjacency,C2-A-RP|manual,5,legacy_integer,0,0,0,
serialized_adjacency,C2-A-RP|manual,5,pixel_center_integer,0,0,0,
serialized_adjacency,C2-A-RP|manual,5,native_uv,0,0,0,
serialized_adjacency,C2-B|manual,2,legacy_integer,19,19,5,0.4443855024466345
serialized_adjacency,C2-B|manual,2,pixel_center_integer,19,19,5,0.4479837656243401
serialized_adjacency,C2-B|manual,2,native_uv,19,19,5,0.3701754385964912
serialized_adjacency,C2-B|manual,3,legacy_integer,5,5,3,0.6708203932499368
serialized_adjacency,C2-B|manual,3,pixel_center_integer,5,5,3,0.6708203932499368
serialized_adjacency,C2-B|manual,3,native_uv,5,5,3,0.39999999999999997
serialized_adjacency,C2-B|manual,5,legacy_integer,4,4,3,0.632455532033676
serialized_adjacency,C2-B|manual,5,pixel_center_integer,4,4,3,0.632455532033676
serialized_adjacency,C2-B|manual,5,native_uv,4,4,3,0.39999999999999997
serialized_adjacency,P1|manual,2,legacy_integer,29,29,12,0.5582684295858952
serialized_adjacency,P1|manual,2,pixel_center_integer,29,29,12,0.5582684295858952
serialized_adjacency,P1|manual,2,native_uv,29,29,12,0.5492610837438423
serialized_adjacency,P1|manual,3,legacy_integer,29,29,12,0.5582684295858952
serialized_adjacency,P1|manual,3,pixel_center_integer,29,29,12,0.5582684295858952
serialized_adjacency,P1|manual,3,native_uv,29,29,12,0.5492610837438423
serialized_adjacency,P1|manual,5,legacy_integer,29,29,12,0.5582684295858952
serialized_adjacency,P1|manual,5,pixel_center_integer,29,29,12,0.5582684295858952
serialized_adjacency,P1|manual,5,native_uv,29,29,12,0.5492610837438423
serialized_adjacency,P1|oos,2,legacy_integer,9,9,6,-0.04184137043778616
serialized_adjacency,P1|oos,2,pixel_center_integer,9,9,6,-0.04184137043778616
serialized_adjacency,P1|oos,2,native_uv,9,9,6,0.2833333333333333
serialized_adjacency,P1|oos,3,legacy_integer,9,9,6,-0.04184137043778616
serialized_adjacency,P1|oos,3,pixel_center_integer,9,9,6,-0.04184137043778616
serialized_adjacency,P1|oos,3,native_uv,9,9,6,0.2833333333333333
serialized_adjacency,P1|oos,5,legacy_integer,9,9,6,-0.04184137043778616
serialized_adjacency,P1|oos,5,pixel_center_integer,9,9,6,-0.04184137043778616
serialized_adjacency,P1|oos,5,native_uv,9,9,6,0.2833333333333333
serialized_adjacency,P1|semi,2,legacy_integer,18,18,10,0.3047630891984219
serialized_adjacency,P1|semi,2,pixel_center_integer,18,18,10,0.3047630891984219
serialized_adjacency,P1|semi,2,native_uv,18,18,10,0.27554179566563464
serialized_adjacency,P1|semi,3,legacy_integer,18,18,10,0.3047630891984219
serialized_adjacency,P1|semi,3,pixel_center_integer,18,18,10,0.3047630891984219
serialized_adjacency,P1|semi,3,native_uv,18,18,10,0.27554179566563464
serialized_adjacency,P1|semi,5,legacy_integer,18,18,10,0.3047630891984219
serialized_adjacency,P1|semi,5,pixel_center_integer,18,18,10,0.3047630891984219
serialized_adjacency,P1|semi,5,native_uv,18,18,10,0.27554179566563464
