condition,prefix_k,feature,target,images,MAE,buildings
manual,3,prefix_only,future_new_point_rate,133,0.235100298963,20
manual,3,prefix_only,future_unsupported_geometry_rate,133,0.213242382227,20
manual,3,prefix_only,new_supported_future_mode,133,0.236840037242,20
manual,3,prefix_only,prefix_future_mass_TV,133,0.20068498764,20
manual,5,cold_portrait,future_new_geometry_rate,71,0.260079717009,17
manual,5,cold_portrait,future_new_point_rate,71,0.151562276396,17
manual,5,cold_portrait,future_unsupported_geometry_rate,71,0.332380548281,17
manual,5,cold_portrait,new_supported_future_mode,71,0.317613751151,17
manual,5,cold_portrait,prefix_future_mass_TV,71,0.266113015482,17
manual,5,horizon_only,future_new_geometry_rate,71,0.301495287184,17
manual,5,horizon_only,future_new_point_rate,71,0.175889380634,17
manual,5,horizon_only,future_unsupported_geometry_rate,71,0.407421340598,17
manual,5,horizon_only,new_supported_future_mode,71,0.339161233103,17
manual,5,horizon_only,prefix_future_mass_TV,71,0.272703121506,17
manual,5,portrait_plus_prefix,future_new_geometry_rate,71,0.232626014889,17
manual,5,portrait_plus_prefix,future_new_point_rate,71,0.147363178068,17
manual,5,portrait_plus_prefix,future_unsupported_geometry_rate,71,0.223046273198,17
manual,5,portrait_plus_prefix,new_supported_future_mode,71,0.300512846523,17
manual,5,portrait_plus_prefix,prefix_future_mass_TV,71,0.175736792254,17
manual,5,prefix_only,future_new_geometry_rate,71,0.200275018231,17
manual,5,prefix_only,future_new_point_rate,71,0.143890990041,17
manual,5,prefix_only,future_unsupported_geometry_rate,71,0.185885696195,17
manual,5,prefix_only,new_supported_future_mode,71,0.285931397186,17
manual,5,prefix_only,prefix_future_mass_TV,71,0.13714151675,17
semi,2,cold_portrait,future_new_geometry_rate,43,0.330049409693,12
semi,2,cold_portrait,future_new_point_rate,43,0.240814148646,12
semi,2,cold_portrait,future_unsupported_geometry_rate,43,0.509732012624,12
semi,2,cold_portrait,new_supported_future_mode,43,0.354548854561,12
semi,2,cold_portrait,prefix_future_mass_TV,43,0.351909965312,12
semi,2,horizon_only,future_new_geometry_rate,43,0.259202680056,12
semi,2,horizon_only,future_new_point_rate,43,0.210359155923,12
semi,2,horizon_only,future_unsupported_geometry_rate,43,0.422694051543,12
semi,2,horizon_only,new_supported_future_mode,43,0.259712122148,12
semi,2,horizon_only,prefix_future_mass_TV,43,0.241036566422,12
semi,2,portrait_plus_prefix,future_new_geometry_rate,43,0.328745001337,12
semi,2,portrait_plus_prefix,future_new_point_rate,43,0.245368538925,12
semi,2,portrait_plus_prefix,future_unsupported_geometry_rate,43,0.218695625357,12
semi,2,portrait_plus_prefix,new_supported_future_mode,43,0.373083015572,12
semi,2,portrait_plus_prefix,prefix_future_mass_TV,43,0.243396286844,12
semi,2,prefix_only,future_new_geometry_rate,43,0.245702436458,12
semi,2,prefix_only,future_new_point_rate,43,0.214780005971,12
semi,2,prefix_only,future_unsupported_geometry_rate,43,0.142043403506,12
semi,2,prefix_only,new_supported_future_mode,43,0.263212541079,12
semi,2,prefix_only,prefix_future_mass_TV,43,0.18627752682,12
semi,3,cold_portrait,future_new_geometry_rate,42,0.344726210535,12
semi,3,cold_portrait,future_new_point_rate,42,0.274397022441,12
semi,3,cold_portrait,future_unsupported_geometry_rate,42,0.462857740204,12
semi,3,cold_portrait,new_supported_future_mode,42,0.29215769473,12
semi,3,cold_portrait,prefix_future_mass_TV,42,0.421406963625,12
semi,3,horizon_only,future_new_geometry_rate,42,0.308939343951,12
semi,3,horizon_only,future_new_point_rate,42,0.233278599351,12
semi,3,horizon_only,future_unsupported_geometry_rate,42,0.404280907032,12
semi,3,horizon_only,new_supported_future_mode,42,0.227048995058,12
semi,3,horizon_only,prefix_future_mass_TV,42,0.280913292063,12
semi,3,portrait_plus_prefix,future_new_geometry_rate,42,0.362634383053,12
semi,3,portrait_plus_prefix,future_new_point_rate,42,0.287809539051,12
semi,3,portrait_plus_prefix,future_unsupported_geometry_rate,42,0.375768826495,12
semi,3,portrait_plus_prefix,new_supported_future_mode,42,0.312003298116,12
semi,3,portrait_plus_prefix,prefix_future_mass_TV,42,0.311096956156,12
semi,3,prefix_only,future_new_geometry_rate,42,0.322686217979,12
semi,3,prefix_only,future_new_point_rate,42,0.253021153401,12
semi,3,prefix_only,future_unsupported_geometry_rate,42,0.26381711838,12
semi,3,prefix_only,new_supported_future_mode,42,0.242937229211,12
semi,3,prefix_only,prefix_future_mass_TV,42,0.226151328684,12
semi,5,cold_portrait,future_new_geometry_rate,18,0.101498112631,10
semi,5,cold_portrait,future_new_point_rate,18,0.0735283300472,10
semi,5,cold_portrait,future_unsupported_geometry_rate,18,0.133182819067,10
semi,5,cold_portrait,new_supported_future_mode,18,0.452169039226,10
semi,5,cold_portrait,prefix_future_mass_TV,18,0.129241441096,10
semi,5,horizon_only,future_new_geometry_rate,18,0.129293317305,10
semi,5,horizon_only,future_new_point_rate,18,0.0717334692273,10
semi,5,horizon_only,future_unsupported_geometry_rate,18,0.178141644432,10
semi,5,horizon_only,new_supported_future_mode,18,0.508619962687,10
semi,5,horizon_only,prefix_future_mass_TV,18,0.155869112806,10
semi,5,portrait_plus_prefix,future_new_geometry_rate,18,0.132796464469,10
semi,5,portrait_plus_prefix,future_new_point_rate,18,0.090405233995,10
semi,5,portrait_plus_prefix,future_unsupported_geometry_rate,18,0.135476497823,10
semi,5,portrait_plus_prefix,new_supported_future_mode,18,0.464888718474,10
semi,5,portrait_plus_prefix,prefix_future_mass_TV,18,0.108383228615,10
semi,5,prefix_only,future_new_geometry_rate,18,0.117842539553,10
semi,5,prefix_only,future_new_point_rate,18,0.0835774724475,10
semi,5,prefix_only,future_unsupported_geometry_rate,18,0.143222730668,10
semi,5,prefix_only,new_supported_future_mode,18,0.45689459503,10
semi,5,prefix_only,prefix_future_mass_TV,18,0.0942522644284,10
