condition,prefix_k,target,feature,baseline,method_MAE,baseline_MAE,n,groups,delta,lo,hi
semi,2,prefix_future_mass_TV,cold_portrait,horizon_only,0.351909965312,0.241036566422,43,12,0.110873398889,0.0613297942812,0.161483845168
semi,3,future_new_geometry_rate,prefix_only,cold_portrait,0.322686217979,0.344726210535,42,12,-0.0220399925559,-0.0911857312126,0.0505824750698
semi,3,future_new_geometry_rate,portrait_plus_prefix,prefix_only,0.362634383053,0.322686217979,42,12,0.0399481650745,-0.024700463575,0.124287481889
semi,3,future_new_geometry_rate,portrait_plus_prefix,cold_portrait,0.362634383053,0.344726210535,42,12,0.0179081725186,-0.00815752050206,0.0533638160782
semi,3,future_new_geometry_rate,cold_portrait,horizon_only,0.344726210535,0.308939343951,42,12,0.0357868665833,-0.0178475262741,0.0931271998079
semi,3,future_new_point_rate,prefix_only,cold_portrait,0.253021153401,0.274397022441,42,12,-0.0213758690403,-0.0999078455202,0.0401331027217
semi,3,future_new_point_rate,portrait_plus_prefix,prefix_only,0.287809539051,0.253021153401,42,12,0.0347883856498,-0.0325332611808,0.119460146436
semi,3,future_new_point_rate,portrait_plus_prefix,cold_portrait,0.287809539051,0.274397022441,42,12,0.0134125166096,-0.00105967182365,0.0280590464759
semi,3,future_new_point_rate,cold_portrait,horizon_only,0.274397022441,0.233278599351,42,12,0.04111842309,-0.0119565539356,0.112356989738
semi,3,future_unsupported_geometry_rate,prefix_only,cold_portrait,0.26381711838,0.462857740204,42,12,-0.199040621824,-0.244892266633,-0.144042523232
semi,3,future_unsupported_geometry_rate,portrait_plus_prefix,prefix_only,0.375768826495,0.26381711838,42,12,0.111951708115,0.0588609204469,0.157897741833
semi,3,future_unsupported_geometry_rate,portrait_plus_prefix,cold_portrait,0.375768826495,0.462857740204,42,12,-0.0870889137088,-0.118781833671,-0.0583668707551
semi,3,future_unsupported_geometry_rate,cold_portrait,horizon_only,0.462857740204,0.404280907032,42,12,0.0585768331711,-0.000527536966962,0.105043971054
semi,3,new_supported_future_mode,prefix_only,cold_portrait,0.242937229211,0.29215769473,42,12,-0.0492204655182,-0.122985488524,-0.000393947579902
semi,3,new_supported_future_mode,portrait_plus_prefix,prefix_only,0.312003298116,0.242937229211,42,12,0.0690660689044,0.0161991216716,0.138141292793
semi,3,new_supported_future_mode,portrait_plus_prefix,cold_portrait,0.312003298116,0.29215769473,42,12,0.0198456033862,-0.00443470825985,0.0409128641636
semi,3,new_supported_future_mode,cold_portrait,horizon_only,0.29215769473,0.227048995058,42,12,0.065108699672,0.0172357623499,0.132097437388
semi,3,prefix_future_mass_TV,prefix_only,cold_portrait,0.226151328684,0.421406963625,42,12,-0.195255634941,-0.243798509528,-0.141156032285
semi,3,prefix_future_mass_TV,portrait_plus_prefix,prefix_only,0.311096956156,0.226151328684,42,12,0.0849456274725,0.0416955945339,0.127482747332
semi,3,prefix_future_mass_TV,portrait_plus_prefix,cold_portrait,0.311096956156,0.421406963625,42,12,-0.110310007469,-0.14160838326,-0.0786953211765
semi,3,prefix_future_mass_TV,cold_portrait,horizon_only,0.421406963625,0.280913292063,42,12,0.140493671561,0.0851787569662,0.191970449584
semi,5,future_new_geometry_rate,prefix_only,cold_portrait,0.117842539553,0.101498112631,18,10,0.016344426922,0.0067375701234,0.0274325568145
semi,5,future_new_geometry_rate,portrait_plus_prefix,prefix_only,0.132796464469,0.117842539553,18,10,0.0149539249163,-0.0212437518797,0.075053529967
semi,5,future_new_geometry_rate,portrait_plus_prefix,cold_portrait,0.132796464469,0.101498112631,18,10,0.0312983518383,-0.0052591562126,0.0975298908713
semi,5,future_new_geometry_rate,cold_portrait,horizon_only,0.101498112631,0.129293317305,18,10,-0.0277952046739,-0.0475617729727,-0.0106231582209
semi,5,future_new_point_rate,prefix_only,cold_portrait,0.0835774724475,0.0735283300472,18,10,0.0100491424003,-0.00118106073967,0.0164218072445
semi,5,future_new_point_rate,portrait_plus_prefix,prefix_only,0.090405233995,0.0835774724475,18,10,0.00682776154746,-0.0145152865254,0.0279005059037
semi,5,future_new_point_rate,portrait_plus_prefix,cold_portrait,0.090405233995,0.0735283300472,18,10,0.0168769039478,-0.00868618978776,0.0397905450658
semi,5,future_new_point_rate,cold_portrait,horizon_only,0.0735283300472,0.0717334692273,18,10,0.00179486081986,-0.00857328210741,0.0152612760456
semi,5,future_unsupported_geometry_rate,prefix_only,cold_portrait,0.143222730668,0.133182819067,18,10,0.0100399116009,-0.0298900718805,0.0724697831936
semi,5,future_unsupported_geometry_rate,portrait_plus_prefix,prefix_only,0.135476497823,0.143222730668,18,10,-0.00774623284491,-0.0749636026414,0.0401424882439
semi,5,future_unsupported_geometry_rate,portrait_plus_prefix,cold_portrait,0.135476497823,0.133182819067,18,10,0.002293678756,-0.00901997847739,0.0123077819174
semi,5,future_unsupported_geometry_rate,cold_portrait,horizon_only,0.133182819067,0.178141644432,18,10,-0.0449588253653,-0.106480256945,-0.00316229187145
semi,5,new_supported_future_mode,prefix_only,cold_portrait,0.45689459503,0.452169039226,18,10,0.00472555580324,-0.0782916926663,0.070057836599
semi,5,new_supported_future_mode,portrait_plus_prefix,prefix_only,0.464888718474,0.45689459503,18,10,0.00799412344443,-0.101639806052,0.0980359402035
semi,5,new_supported_future_mode,portrait_plus_prefix,cold_portrait,0.464888718474,0.452169039226,18,10,0.0127196792477,-0.0832561082738,0.113501884194
semi,5,new_supported_future_mode,cold_portrait,horizon_only,0.452169039226,0.508619962687,18,10,-0.0564509234611,-0.176840871048,0.031969767805
semi,5,prefix_future_mass_TV,prefix_only,cold_portrait,0.0942522644284,0.129241441096,18,10,-0.0349891766673,-0.0593235312983,-0.0108678132879
semi,5,prefix_future_mass_TV,portrait_plus_prefix,prefix_only,0.108383228615,0.0942522644284,18,10,0.0141309641869,-0.00159749926082,0.0338785078217
semi,5,prefix_future_mass_TV,portrait_plus_prefix,cold_portrait,0.108383228615,0.129241441096,18,10,-0.0208582124804,-0.0267375961296,-0.0106292934939
semi,5,prefix_future_mass_TV,cold_portrait,horizon_only,0.129241441096,0.155869112806,18,10,-0.0266276717103,-0.0402803481195,-0.00654430493291
