image_id,building,condition,scene,candidate,selection_source,training_workers,actual_workers,n_subgroup,n_all,training_recovery,subgroup_stable_fraction,matched_n_untyped_stable_fraction,delta,control_draws,control_orders,not_independent_population_samples,reason
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,卫浴,local_B,training_local_recovery,W002;W008;W010;W013;W014;W015;W017;W018;W027;W028;W032;W033;W036,W002;W008;W010;W013;W015;W017;W028;W032;W033;W036,9,19,0.790865384615,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,卫浴,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W017;W027;W028;W032,W001;W002;W017;W028;W032,4,19,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,卫浴,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,W010;W028;W031;W036;W037,4,19,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,卫浴,continuous_tail_semi__point_count_low,training_score_quartile_not_a_global_typology,W002;W027;W028;W029;W030;W034,W002;W028;W029;W030;W034,4,19,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7,semi,卧室,local_T,training_local_recovery,W001;W002;W006;W010;W012;W013;W017;W021;W030,W001;W002;W006;W010;W012;W013;W017;W021;W030,8,23,1,0,0.05,-0.05,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7,semi,卧室,local_TB,training_local_recovery,W001;W002;W010;W012;W017;W018;W030,W001;W002;W010;W012;W017;W018;W030,6,23,0.857142857143,0,0.0625,-0.0625,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7,semi,卧室,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W027;W032,W001;W002;W011;W017;W027;W032,5,23,,0,0.175,-0.175,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,复合／待定,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,16,19,0.825757575758,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,复合／待定,local_QT,training_local_recovery,W001;W006;W010;W012;W013;W021;W030,W001;W006;W010;W012;W013;W030,5,19,0.857142857143,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,复合／待定,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,7,19,0.888888888889,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,复合／待定,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W030,W001;W002;W010;W012;W013;W017;W030,6,19,0.857142857143,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,复合／待定,local_QTB,training_local_recovery,W001;W010;W012;W013;W030,W001;W010;W012;W013;W030,4,19,0.757142857143,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,复合／待定,continuous_tail_manual__reference_error_high,training_score_quartile_not_a_global_typology,W012;W014;W029;W034;W035;W037,W012;W029;W034;W035;W037,4,19,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,复合／待定,continuous_tail_manual__reference_band_bias_low,training_score_quartile_not_a_global_typology,W001;W012;W029;W032;W034;W035,W001;W012;W029;W032;W034;W035,5,19,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,semi,卫浴,local_Q,training_local_recovery,W001;W006;W008;W010;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,16,22,0.809523809524,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,semi,卫浴,local_T,training_local_recovery,W001;W002;W006;W010;W012;W013;W017;W021;W030,W001;W002;W006;W010;W012;W013;W017;W021;W030,8,22,0.9,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,semi,卫浴,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,W002;W015;W017;W018;W021;W027,5,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,semi,卫浴,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,W027;W029;W032;W033;W036;W037,5,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,semi,卫浴,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W010;W029;W034;W036;W037,W008;W010;W029;W034;W036;W037,5,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,semi,卫浴,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W021;W027,W001;W002;W011;W017;W021;W027,5,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,semi,卫浴,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,W010;W018;W028;W031;W036;W037,5,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,卫浴,local_T,training_local_recovery,W001;W002;W006;W010;W012;W013;W017;W021;W030,W001;W002;W006;W010;W012;W013;W017;W021;W030,8,22,0.9,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,卫浴,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W015;W017;W018;W021;W027,W002;W015;W017;W018;W021;W027,4,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,卫浴,continuous_tail_manual__log_active_seconds_low,training_score_quartile_not_a_global_typology,W001;W006;W012;W013;W018;W021,W001;W006;W012;W013;W018;W021,5,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,卫浴,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W011;W017;W021;W027,W001;W002;W011;W017;W021;W027,5,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,卫浴,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W018;W028;W031;W036;W037,W010;W018;W028;W031;W036;W037,5,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,卫浴,continuous_tail_semi__point_count_low,training_score_quartile_not_a_global_typology,W002;W018;W027;W028;W030;W034,W002;W018;W027;W028;W030;W034,4,22,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,manual,卫浴,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W012;W013;W017;W018;W030,7,23,0.875,0,0.0375,-0.0375,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,manual,卫浴,continuous_tail_manual__reference_error_low,training_score_quartile_not_a_global_typology,W002;W010;W015;W018;W027;W031,W002;W010;W015;W018;W027;W031,5,23,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,manual,卫浴,continuous_tail_manual__point_count_high,training_score_quartile_not_a_global_typology,W001;W002;W017;W027;W028;W032,W001;W002;W017;W027;W028;W032,5,23,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,wc2JMjhGNzB,semi,厨房与用餐,local_Q,training_local_recovery,W001;W006;W008;W010;W012;W013;W014;W028;W029;W030;W031;W032;W034;W035;W036;W037,W001;W006;W008;W010;W012;W013;W014;W028;W029;W030;W031;W032;W034;W035;W036;W037,15,23,0.761904761905,0,0.3,-0.3,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,wc2JMjhGNzB,semi,厨房与用餐,local_B,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,7,23,0.75,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,wc2JMjhGNzB,semi,厨房与用餐,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,7,23,0.75,0,0.0125,-0.0125,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,wc2JMjhGNzB,semi,厨房与用餐,continuous_tail_manual__reference_error_high,training_score_quartile_not_a_global_typology,W014;W028;W029;W034;W035;W037,W014;W028;W029;W034;W035;W037,5,23,,0,0.025,-0.025,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,wc2JMjhGNzB,semi,厨房与用餐,continuous_tail_manual__log_active_seconds_high,training_score_quartile_not_a_global_typology,W027;W029;W032;W033;W036;W037,W027;W029;W032;W033;W036;W037,5,23,,0,0.0375,-0.0375,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,wc2JMjhGNzB,semi,厨房与用餐,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W014;W029;W034;W036;W037,W008;W014;W029;W034;W036;W037,5,23,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,wc2JMjhGNzB,semi,厨房与用餐,continuous_tail_semi__point_count_high,training_score_quartile_not_a_global_typology,W006;W011;W017;W021;W036;W037,W006;W011;W017;W021;W036;W037,5,23,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,manual,起居与休闲,local_Q,training_local_recovery,W001;W006;W010;W012;W013;W014;W028;W029;W030;W031;W032;W034;W035;W036;W037,W001;W006;W010;W012;W013;W014;W028;W029;W030;W031;W032;W034;W035;W036;W037,14,23,0.769736842105,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,manual,起居与休闲,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,7,23,0.881944444444,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,manual,起居与休闲,continuous_tail_manual__reference_band_bias_high,training_score_quartile_not_a_global_typology,W010;W011;W018;W028;W031;W036,W010;W011;W018;W028;W031;W036,5,23,,0,0,0,20,4,True,subgroup_has_invalid_person_but_control_was_all_geometry_valid; not_same_denominator
