relative_path,project_line_guess,recommended_action,reason,risk_level,safe_to_delete_now,needs_manual_review,suggested_archive_path
active_logs/active_logs/active_times_2026-02-15.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-02-19.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-02-20.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-02-24.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/active_logs/active_times_2026-02-28.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2025-12-03.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2025-12-20.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2025-12-22.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-01-15.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-01-16.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-01-17.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-01-19.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-01-20.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-01-30.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-02-08.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-02-09.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-02-15.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-02-19.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-02-20.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-02-24.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/active_times_2026-02-28.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_logs/new_server/legacy/active_times_2026-02-28.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/active_logs/new_server/legacy/active_times_2026-03-02.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/active_logs/new_server/legacy/active_times_2026-03-03.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/active_logs/new_server/legacy/active_times_2026-03-04.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/active_logs/new_server/legacy/active_times_2026-03-07.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/active_logs/new_server/legacy/active_times_2026-03-08.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/active_times_2026-04-20.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-04-21.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-04-22.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-04-23.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-04-25.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-04-26.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-04-27.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-04-28.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-04-29.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-04-30.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-01.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-02.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-03.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-04.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-05.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-06.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,true,
active_logs/new_server/active_times_2026-05-07.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-10.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-11.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-12.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-13.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-14.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-17.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-19.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-20.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-21.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-22.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-23.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-24.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-25.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-26.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-28.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-29.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-05-31.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-01.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-03.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-04.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-05.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-06.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-07.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-09.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-11.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-12.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-13.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-14.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-15.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-16.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-17.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-18.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-20.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-21.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-22.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-23.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-24.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-25.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/active_times_2026-06-26.jsonl,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
active_logs/new_server/legacy/active_times_2026-02-28.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/legacy/active_times_2026-03-02.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/legacy/active_times_2026-03-03.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/legacy/active_times_2026-03-04.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/legacy/active_times_2026-03-07.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/new_server/legacy/active_times_2026-03-08.jsonl,unknown,manual_review_required,local file not covered by project-specific cleanup rules,medium,false,true,
active_logs/readme.md,unknown,keep_tracked,tracked project file outside cleanup target,low,false,false,
AGENTS.md,shared,keep_local_untracked,current shared operation/config/documentation,low,false,false,
analysis_results/active_log_audit_20260516_per_file.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/active_log_audit_20260516_summary.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515.zip,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/b0_relabel_audit_filled_v1_张一正.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/b0_relabel_audit_filled_v1_张珈玮.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/hard_prediction_failure_hohonet_txt_vs_bilayout_new_head_prediction_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/hard_prediction_failure_hohonet_txt_vs_bilayout_origin_head_prediction_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/highest_g_score_hohonet_txt_vs_bilayout_new_head_prediction_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/highest_g_score_hohonet_txt_vs_bilayout_origin_head_prediction_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/hohonet_txt_vs_bilayout_prediction_summary.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/images/contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_new_head_prediction.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/images/contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_origin_head_prediction.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/images/contact_sheet_highest_g_score_hohonet_txt_vs_bilayout_new_head_prediction.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/images/contact_sheet_highest_g_score_hohonet_txt_vs_bilayout_origin_head_prediction.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/images/contact_sheet_nominal_prediction_structure_hohonet_txt_vs_bilayout_new_head_prediction.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/images/contact_sheet_nominal_prediction_structure_hohonet_txt_vs_bilayout_origin_head_prediction.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/images/contact_sheet_soft_prediction_complexity_hohonet_txt_vs_bilayout_new_head_prediction.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/images/contact_sheet_soft_prediction_complexity_hohonet_txt_vs_bilayout_origin_head_prediction.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/nominal_prediction_structure_hohonet_txt_vs_bilayout_new_head_prediction_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/nominal_prediction_structure_hohonet_txt_vs_bilayout_origin_head_prediction_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/soft_prediction_complexity_hohonet_txt_vs_bilayout_new_head_prediction_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bi_layout_prediction_vs_hohonet_20260515/soft_prediction_complexity_hohonet_txt_vs_bilayout_origin_head_prediction_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_hohonet_image_source_audit_20260519.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/b0_contact_sheet_inventory_template.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/b0_deduplication_report_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/b0_inventory_qa_report_v1.md,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/b0_inventory_qa_summary_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/b0_partial_validation_report_v1.md,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/b0_relabel_audit_manifest_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/b0_relabel_audit_readme_v1.md,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/b0_relabel_audit_template_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/b0_relabel_audit_worklist_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/bilayout_relabel_audit/怎么去做.txt,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260310/embedding_ood_protocol_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260310/manifest_bundle_summary_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260310/manual_anchor_bank_index_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260310/natural_failure_bank_index_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260310/README.md,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260310/trap_manifest_draft_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260310/trap_manifest_schema_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/c_manifest_consistency_audit_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/current_bundle_vs_prescreen_target_gap_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/fallback_registry_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/family_appendix_note_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/family_coverage_matrix_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/manual_resolution_queue_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/materialization_summary_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/materialization_summary_v2.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/perturbation_plan_frozen_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/prescreen_semi_family_target_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/prescreen_semi_final_selection_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/prescreen_semi_selection_freeze_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/reject_lifecycle_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/reject_lifecycle_v1.jsonl,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/synthetic_trap_bank_v1.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/trap_manifest_materialized_v2.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/c_manifests_20260311/xml_model_issue_operator_crosswalk_v1.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/calibration_round_input_manifest_dryrun.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/mockU16_c1_assignment_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/mockU16_c1_audit_summary.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/mockU16_passed_workers_mock.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/mockU18_c1_assignment_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/mockU18_c1_audit_summary.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/mockU18_passed_workers_mock.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/mockU20_c1_assignment_manifest.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/mockU20_c1_audit_summary.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/calibration_dryrun/mockU20_passed_workers_mock.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/dt_ood_proxy_dryrun_20260512/dt_ood_proxy_blocker_report.md,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/01_tier_funnel.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/02_scope_distribution.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/06_delta_n_pairs.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/09_active_log_quality.png,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/summary.json,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/SUMMARY.md,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_a1_anomaly_audit.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_a_delta_n_pairs.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_active_log_per_file.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_active_log_summary.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_active_time_by_annotator.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_active_time_row_audit.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_active_time_source.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_b1_difficulty.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_b2_model_issue.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
analysis_results/experiment_visual_audit/generated_demo_recheck/table_b2_scope_conflict.csv,unknown,manual_review_required,tracked analysis result; cleanup requires explicit owner decision,medium,false,true,
