relative_path,backup_absolute_path,size_bytes,original_sha256,backup_sha256,backup_verified,git_rm_cached_executed,local_file_still_exists,action_status,notes
active_logs/new_server/active_times_2026-04-30.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-04-30.jsonl,25278,b1d123f40ad346fb62b0c3b0da1fcf5482f7e8600d2caa863adeca207c94f6df,b1d123f40ad346fb62b0c3b0da1fcf5482f7e8600d2caa863adeca207c94f6df,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-01.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-01.jsonl,178119,b4b683b5a73acc18e3f80f59a4ce56068fa0118c7f0c443285a180678e8c9749,b4b683b5a73acc18e3f80f59a4ce56068fa0118c7f0c443285a180678e8c9749,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-02.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-02.jsonl,8785,d4789204b4dd0273fba7361306de87dd2e4cf35690206d0914c848d3cf9c248b,d4789204b4dd0273fba7361306de87dd2e4cf35690206d0914c848d3cf9c248b,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-03.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-03.jsonl,47165,b1acadcd11b2894f236679a19acf0b5c65ebab0e3db7e5bfcdc9f6b85924e6b7,b1acadcd11b2894f236679a19acf0b5c65ebab0e3db7e5bfcdc9f6b85924e6b7,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-04.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-04.jsonl,13499,a36f1b129db5a478842ce8212340d54a27414ea2b3e7b44b42837711c8c79083,a36f1b129db5a478842ce8212340d54a27414ea2b3e7b44b42837711c8c79083,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-05.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-05.jsonl,77174,878e40ad0855f4c4f39d7c90811c48678834c01529c1830dff6a5fb2eca941ae,878e40ad0855f4c4f39d7c90811c48678834c01529c1830dff6a5fb2eca941ae,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-07.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-07.jsonl,1826,e952c82e84a1aaa6d7b27aaf2344865989a1042a1da8e1816bf509c4e57ba00c,e952c82e84a1aaa6d7b27aaf2344865989a1042a1da8e1816bf509c4e57ba00c,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-10.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-10.jsonl,32009,8157e1a7b85953bafb567f4d503800d407e03783648cf5ef56867f8b8a5e123e,8157e1a7b85953bafb567f4d503800d407e03783648cf5ef56867f8b8a5e123e,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-11.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-11.jsonl,26284,2c0c79f776e2773a5308eb89fbf2d7183fe2c80a8e6e45cbdd06d9a792db2494,2c0c79f776e2773a5308eb89fbf2d7183fe2c80a8e6e45cbdd06d9a792db2494,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-12.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-12.jsonl,100754,99dfbd8900140c8fb46e6915bb1d207ab11d5db4df3f9e6d9b3e95a3fbcb45d4,99dfbd8900140c8fb46e6915bb1d207ab11d5db4df3f9e6d9b3e95a3fbcb45d4,true,true,true,git_rm_cached_done,
