path,rows,hit_columns,all_columns
analysis_results/rerun_20260308/project11_check/quality_report_20260308.csv,1,layout_used|model_issue_primary,dataset_group|project_version|task_id|title|image_url|condition|annotator_id|active_time|iou|iou_manual|iou_corner|rmse_px|layout_2d_iou|layout_3d_iou|layout_depth_rmse|layout_delta1|layout_used|layout_gate_reason|reliability_used|reliability_gate_reason|pointwise_rmse_px|pointwise_rmse_used|pointwise_best_shift|pointwise_gate_reason|boundary_mse|boundary_rmse_px|pred_n_points|pred_n_pairs|pred_pair_coverage|pred_odd_points|ann_n_points|ann_n_pairs|ann_pair_coverage|ann_odd_points|pairing_warning|pairing_failure_reason|boundary_method_used|consensus_uid|iou_to_consensus|consensus_uid_loo|iou_to_consensus_loo|iou_to_others_median|quality|scope|difficulty|model_issue|tool_issue|scope_filled|difficulty_filled|difficulty_has_trivial|difficulty_conflict|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_types|model_issue_primary|scope_missing|difficulty_missing|model_issue_missing|difficulty_conflict_v2|model_issue_conflict_v2|is_oos|is_occlusion|is_fail|is_residual|is_normal|n_corners|has_manual_poly|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown|analysis_role
analysis_results/rerun_20260308/project12_check/quality_report_20260308.csv,1,layout_used|model_issue_primary,dataset_group|project_version|task_id|title|image_url|condition|annotator_id|active_time|iou|iou_manual|iou_corner|rmse_px|layout_2d_iou|layout_3d_iou|layout_depth_rmse|layout_delta1|layout_used|layout_gate_reason|reliability_used|reliability_gate_reason|pointwise_rmse_px|pointwise_rmse_used|pointwise_best_shift|pointwise_gate_reason|boundary_mse|boundary_rmse_px|pred_n_points|pred_n_pairs|pred_pair_coverage|pred_odd_points|ann_n_points|ann_n_pairs|ann_pair_coverage|ann_odd_points|pairing_warning|pairing_failure_reason|boundary_method_used|consensus_uid|iou_to_consensus|consensus_uid_loo|iou_to_consensus_loo|iou_to_others_median|quality|scope|difficulty|model_issue|tool_issue|scope_filled|difficulty_filled|difficulty_has_trivial|difficulty_conflict|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_types|model_issue_primary|scope_missing|difficulty_missing|model_issue_missing|difficulty_conflict_v2|model_issue_conflict_v2|is_oos|is_occlusion|is_fail|is_residual|is_normal|n_corners|has_manual_poly|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown|analysis_role
analysis_results/rerun_20260308/quality_report_formal_20260308.csv,220,layout_used|model_issue_primary,dataset_group|project_version|task_id|title|image_url|condition|annotator_id|active_time|iou|iou_manual|iou_corner|rmse_px|layout_2d_iou|layout_3d_iou|layout_depth_rmse|layout_delta1|layout_used|layout_gate_reason|reliability_used|reliability_gate_reason|pointwise_rmse_px|pointwise_rmse_used|pointwise_best_shift|pointwise_gate_reason|boundary_mse|boundary_rmse_px|pred_n_points|pred_n_pairs|pred_pair_coverage|pred_odd_points|ann_n_points|ann_n_pairs|ann_pair_coverage|ann_odd_points|pairing_warning|pairing_failure_reason|boundary_method_used|consensus_uid|iou_to_consensus|consensus_uid_loo|iou_to_consensus_loo|iou_to_others_median|quality|scope|difficulty|model_issue|tool_issue|scope_filled|difficulty_filled|difficulty_has_trivial|difficulty_conflict|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_primary|is_oos|is_occlusion|is_fail|is_residual|n_corners|has_manual_poly|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown|analysis_role
analysis_results/stage_aware_analysis_freeze_v1_20260316/worker_portrait_minimal_v1.csv,4,T_u,annotator_id|r_u|r_u_lcb|T_u|C_u|worker_group|worker_group_reason|group_rule_version
analysis_results/stage_aware_analysis_freeze_v1_20260316/worker_profiles.csv,4,T_u,annotator_id|n_total|n_in_scope|n_model_usable|mean_active_time|median_active_time|mean_iou_m|fallback_active_time_share|type4_share|mixed_scope_share|r_u|r_u_lcb|r_u_lcb_rule_version|T_u|C_u|worker_group|worker_group_reason|group_rule_version
analysis_results/stage_aware_analysis_freeze_v2_1_20260317/tim_row_audit.csv,189,tim_rule_layout_usable,task_id|annotation_id|annotator_id|dataset_group|default_gate_pass|default_gate_reason|selection_pass|selection_reason|selection_origin|tim_rule_default_gate_pass|tim_rule_in_scope|tim_rule_layout_usable|tim_rule_type4_flag|tim_rule_type4_excluded_from_m|tim_rule_meta_guard_rejected|tim_rule_active_time_fallback|tim_t_included|tim_i_included|tim_m_included|tim_highest_tier|tim_scope|tim_scope_rule|tim_downgrade_reason|tim_reason_chain|tim_mapping_rule_version|tim_mapping_spec_version
analysis_results/stage_aware_analysis_freeze_v2_1_20260317/worker_portrait_minimal_v1.csv,4,T_u,annotator_id|r_u|r_u_lcb|T_u|C_u|worker_group|worker_group_reason|group_rule_version
analysis_results/stage_aware_analysis_freeze_v2_1_20260317/worker_portrait_minimal_v2.csv,4,T_u,annotator_id|r_u|r_u_lcb|T_u|C_u|n_model_usable|n_prescreen_semi|n_scene_eligible|worker_group_v2|worker_group_reason_v2|worker_group_reason_chain_v2|group_rule_version_v2
analysis_results/stage_aware_analysis_freeze_v2_1_20260317/worker_profiles.csv,4,T_u,annotator_id|n_total|n_in_scope|n_model_usable|mean_active_time|median_active_time|mean_iou_m|fallback_active_time_share|type4_share|mixed_scope_share|r_u|r_u_lcb|r_u_lcb_rule_version|T_u|C_u|n_model_usable_support|n_prescreen_semi_support|n_scene_eligible_support|worker_group|worker_group_reason|group_rule_version|worker_group_v2|worker_group_reason_v2|worker_group_reason_chain_v2|group_rule_version_v2
analysis_results/stage_aware_analysis_freeze_v2_1_main_facing_v1_20260317/tim_row_audit.csv,189,tim_rule_layout_usable,task_id|annotation_id|annotator_id|dataset_group|default_gate_pass|default_gate_reason|selection_pass|selection_reason|selection_origin|tim_rule_default_gate_pass|tim_rule_in_scope|tim_rule_layout_usable|tim_rule_type4_flag|tim_rule_type4_excluded_from_m|tim_rule_meta_guard_rejected|tim_rule_active_time_fallback|tim_t_included|tim_i_included|tim_m_included|tim_highest_tier|tim_scope|tim_scope_rule|tim_downgrade_reason|tim_reason_chain|tim_mapping_rule_version|tim_mapping_spec_version
