image_id,building_id,threshold,pointset_n,cluster_count,supported_m2_clusters,supported_m3_clusters,singleton_clusters,singleton_share,cluster_sizes_json
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,0.975,20,1.0,1.0,1.0,0.0,0.0,[20]
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,0.95,20,1.0,1.0,1.0,0.0,0.0,[20]
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,0.925,20,1.0,1.0,1.0,0.0,0.0,[20]
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,0.9,20,1.0,1.0,1.0,0.0,0.0,[20]
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,0.85,20,1.0,1.0,1.0,0.0,0.0,[20]
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,0.8,20,1.0,1.0,1.0,0.0,0.0,[20]
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,0.975,23,3.0,1.0,1.0,2.0,0.08695652173913043,"[21, 1, 1]"
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,0.95,23,3.0,1.0,1.0,2.0,0.08695652173913043,"[21, 1, 1]"
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,0.925,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,0.9,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,0.85,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,0.8,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,0.975,19,5.0,4.0,2.0,1.0,0.05263157894736842,"[9, 5, 2, 2, 1]"
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,0.95,19,5.0,4.0,2.0,1.0,0.05263157894736842,"[9, 5, 2, 2, 1]"
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,0.925,19,5.0,4.0,2.0,1.0,0.05263157894736842,"[9, 5, 2, 2, 1]"
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,0.9,19,5.0,4.0,2.0,1.0,0.05263157894736842,"[9, 5, 2, 2, 1]"
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,0.85,19,5.0,4.0,2.0,1.0,0.05263157894736842,"[9, 5, 2, 2, 1]"
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,0.8,19,5.0,4.0,2.0,1.0,0.05263157894736842,"[9, 5, 2, 2, 1]"
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,0.975,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,0.95,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,0.925,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,0.9,25,1.0,1.0,1.0,0.0,0.0,[25]
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,0.85,25,1.0,1.0,1.0,0.0,0.0,[25]
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,0.8,25,1.0,1.0,1.0,0.0,0.0,[25]
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,0.975,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,0.95,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,0.925,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,0.9,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,0.85,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,0.8,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,0.975,23,2.0,2.0,1.0,0.0,0.0,"[21, 2]"
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,0.95,23,2.0,2.0,1.0,0.0,0.0,"[21, 2]"
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,0.925,23,2.0,2.0,1.0,0.0,0.0,"[21, 2]"
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,0.9,23,2.0,2.0,1.0,0.0,0.0,"[21, 2]"
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,0.85,23,2.0,2.0,1.0,0.0,0.0,"[21, 2]"
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,0.8,23,2.0,2.0,1.0,0.0,0.0,"[21, 2]"
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,0.975,25,6.0,2.0,2.0,4.0,0.16,"[18, 3, 1, 1, 1, 1]"
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,0.95,25,4.0,2.0,2.0,2.0,0.08,"[20, 3, 1, 1]"
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,0.925,25,4.0,2.0,2.0,2.0,0.08,"[20, 3, 1, 1]"
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,0.9,25,4.0,2.0,2.0,2.0,0.08,"[20, 3, 1, 1]"
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,0.85,25,4.0,2.0,2.0,2.0,0.08,"[20, 3, 1, 1]"
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,0.8,25,4.0,2.0,2.0,2.0,0.08,"[20, 3, 1, 1]"
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,0.975,23,3.0,1.0,1.0,2.0,0.08695652173913043,"[21, 1, 1]"
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,0.95,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,0.925,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,0.9,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,0.85,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,0.8,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,0.975,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,0.95,23,2.0,1.0,1.0,1.0,0.043478260869565216,"[22, 1]"
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,0.925,23,1.0,1.0,1.0,0.0,0.0,[23]
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,0.9,23,1.0,1.0,1.0,0.0,0.0,[23]
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,0.85,23,1.0,1.0,1.0,0.0,0.0,[23]
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,0.8,23,1.0,1.0,1.0,0.0,0.0,[23]
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,0.975,23,4.0,3.0,2.0,1.0,0.043478260869565216,"[12, 8, 2, 1]"
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,0.95,23,4.0,3.0,2.0,1.0,0.043478260869565216,"[12, 8, 2, 1]"
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,0.925,23,4.0,3.0,2.0,1.0,0.043478260869565216,"[12, 8, 2, 1]"
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,0.9,23,4.0,3.0,2.0,1.0,0.043478260869565216,"[12, 8, 2, 1]"
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,0.85,23,4.0,3.0,2.0,1.0,0.043478260869565216,"[12, 8, 2, 1]"
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,0.8,23,4.0,3.0,2.0,1.0,0.043478260869565216,"[12, 8, 2, 1]"
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,0.975,25,6.0,1.0,1.0,5.0,0.2,"[20, 1, 1, 1, 1, 1]"
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,0.95,25,4.0,1.0,1.0,3.0,0.12,"[22, 1, 1, 1]"
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,0.925,25,4.0,1.0,1.0,3.0,0.12,"[22, 1, 1, 1]"
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,0.9,25,4.0,1.0,1.0,3.0,0.12,"[22, 1, 1, 1]"
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,0.85,25,4.0,1.0,1.0,3.0,0.12,"[22, 1, 1, 1]"
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,uNb9QFRL6hY,0.8,25,4.0,1.0,1.0,3.0,0.12,"[22, 1, 1, 1]"
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,0.975,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,0.95,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,0.925,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,0.9,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,0.85,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,0.8,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,yqstnuAEVhm,0.975,26,8.0,3.0,2.0,5.0,0.19230769230769232,"[16, 3, 2, 1, 1, 1, 1, 1]"
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,yqstnuAEVhm,0.95,26,6.0,4.0,2.0,2.0,0.07692307692307693,"[17, 3, 2, 2, 1, 1]"
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,yqstnuAEVhm,0.925,26,6.0,4.0,2.0,2.0,0.07692307692307693,"[17, 3, 2, 2, 1, 1]"
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,yqstnuAEVhm,0.9,26,6.0,4.0,2.0,2.0,0.07692307692307693,"[17, 3, 2, 2, 1, 1]"
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,yqstnuAEVhm,0.85,26,6.0,4.0,2.0,2.0,0.07692307692307693,"[17, 3, 2, 2, 1, 1]"
yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,yqstnuAEVhm,0.8,26,6.0,4.0,2.0,2.0,0.07692307692307693,"[17, 3, 2, 2, 1, 1]"
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,0.975,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,0.95,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,0.925,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,0.9,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,0.85,25,1.0,1.0,1.0,0.0,0.0,[25]
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm,0.8,25,1.0,1.0,1.0,0.0,0.0,[25]
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,0.975,25,3.0,1.0,1.0,2.0,0.08,"[23, 1, 1]"
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,0.95,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,0.925,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,0.9,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,0.85,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm,0.8,25,2.0,1.0,1.0,1.0,0.04,"[24, 1]"
