config,lookahead,min_support,epsilon,rate,image_n,identified_images,not_reached_images,unknown_images,identified_onset_median,identified_onset_min,identified_onset_max,identified_onset_lt5_images,both_onset_endpoints_finite_images,finite_interval_unknown_images,endpoint_unknown_images,onset_interval_width_le2_images,guaranteed_onset_lt5_images,possible_onset_median,guaranteed_onset_median,guaranteed_onset_min,guaranteed_onset_max,mean_unknown_width
q_0.950,5,3,0.05,0.8,55,13,16,26,15.0,8.0,18.0,0,14,1,25,14,1,13.0,15.0,3.0,18.0,0.4864121212121213
q_0.950,5,3,0.1,0.8,55,15,11,29,7.0,5.0,17.0,0,18,3,26,17,1,8.0,7.0,3.0,17.0,0.4864121212121213
q_0.950,5,3,0.2,0.8,55,5,7,43,13.0,5.0,20.0,0,21,16,27,11,14,1.0,4.0,3.0,20.0,0.4864121212121213
q_0.925,3,1,0.05,0.8,55,13,18,24,7.0,1.0,19.0,2,13,0,24,13,2,10.0,7.0,1.0,19.0,0.28084428779776377
q_0.925,3,1,0.1,0.8,55,17,14,24,5.0,1.0,20.0,2,17,0,24,17,2,9.0,5.0,1.0,20.0,0.28084428779776377
q_0.925,3,1,0.2,0.8,55,18,13,24,3.0,1.0,18.0,10,18,0,24,18,10,7.5,3.0,1.0,18.0,0.28084428779776377
q_0.925,3,2,0.05,0.8,55,12,16,27,7.0,7.0,19.0,0,14,2,25,14,2,10.0,7.0,2.0,19.0,0.35834993791084524
q_0.925,3,2,0.1,0.8,55,18,10,27,7.0,5.0,21.0,0,20,2,25,20,2,8.0,6.0,2.0,21.0,0.35834993791084524
q_0.925,3,2,0.2,0.8,55,7,10,38,15.0,9.0,20.0,0,20,13,25,18,13,1.0,3.0,2.0,20.0,0.35834993791084524
q_0.925,3,3,0.05,0.8,55,14,14,27,7.0,7.0,18.0,0,16,2,25,16,2,10.0,7.0,3.0,18.0,0.43052505706918054
q_0.925,3,3,0.1,0.8,55,21,7,27,7.0,5.0,21.0,0,23,2,25,23,2,7.0,7.0,3.0,21.0,0.43052505706918054
q_0.925,3,3,0.2,0.8,55,7,7,41,14.0,10.0,18.0,0,23,16,25,15,15,1.0,4.0,3.0,18.0,0.43052505706918054
q_0.925,5,1,0.05,0.8,55,7,24,24,16.0,1.0,16.0,2,7,0,24,7,2,12.0,16.0,1.0,16.0,0.3026747474747475
q_0.925,5,1,0.1,0.8,55,7,24,24,11.0,1.0,16.0,2,7,0,24,7,2,11.0,11.0,1.0,16.0,0.3026747474747475
q_0.925,5,1,0.2,0.8,55,8,23,24,10.0,1.0,16.0,2,8,0,24,8,2,9.0,10.0,1.0,16.0,0.3026747474747475
q_0.925,5,2,0.05,0.8,55,11,17,27,15.0,8.0,18.0,0,13,2,25,13,2,11.5,8.0,2.0,18.0,0.38300844155844166
q_0.925,5,2,0.1,0.8,55,13,15,27,5.0,5.0,18.0,0,15,2,25,15,2,7.0,5.0,2.0,18.0,0.3830084415584416
q_0.925,5,2,0.2,0.8,55,11,11,33,10.0,4.0,20.0,5,19,8,25,19,13,4.0,4.0,2.0,20.0,0.38300844155844166
q_0.925,5,3,0.05,0.8,55,13,15,27,15.0,8.0,18.0,0,15,2,25,15,2,11.5,15.0,3.0,18.0,0.4581044011544012
q_0.925,5,3,0.1,0.8,55,16,12,27,6.0,5.0,17.0,0,18,2,25,18,2,5.0,5.0,3.0,17.0,0.4581044011544012
q_0.925,5,3,0.2,0.8,55,7,7,41,14.0,10.0,20.0,0,23,16,25,15,15,1.0,4.0,3.0,20.0,0.4581044011544012
q_0.900,3,1,0.05,0.8,55,14,19,22,7.0,1.0,18.0,3,14,0,22,14,3,7.0,7.0,1.0,18.0,0.25455600177548565
q_0.900,3,1,0.1,0.8,55,19,14,22,5.0,1.0,20.0,3,19,0,22,19,3,7.0,5.0,1.0,20.0,0.2545560017754856
q_0.900,3,1,0.2,0.8,55,20,13,22,3.0,1.0,17.0,11,20,0,22,20,11,7.0,3.0,1.0,17.0,0.25455600177548565
q_0.900,3,2,0.05,0.8,55,12,18,25,7.0,7.0,19.0,0,15,3,22,15,3,7.0,7.0,2.0,19.0,0.33058268505210203
q_0.900,3,2,0.1,0.8,55,18,12,25,7.0,5.0,21.0,0,21,3,22,21,3,7.0,5.0,2.0,21.0,0.33058268505210203
q_0.900,3,2,0.2,0.8,55,7,12,36,15.0,9.0,20.0,0,21,14,22,19,14,1.0,3.0,2.0,20.0,0.33058268505210203
q_0.900,3,3,0.05,0.8,55,15,15,25,7.0,7.0,18.0,0,18,3,22,18,3,7.0,7.0,3.0,18.0,0.4026672248525713
q_0.900,3,3,0.1,0.8,55,23,7,25,7.0,5.0,21.0,0,26,3,22,26,3,7.0,7.0,3.0,21.0,0.4026672248525713
q_0.900,3,3,0.2,0.8,55,8,7,40,14.5,10.0,19.0,0,26,18,22,16,17,1.0,4.0,3.0,19.0,0.4026672248525713
q_0.900,5,1,0.05,0.8,55,9,24,22,16.0,1.0,16.0,3,9,0,22,9,3,12.0,16.0,1.0,16.0,0.27189740259740264
q_0.900,5,1,0.1,0.8,55,9,24,22,11.0,1.0,16.0,3,9,0,22,9,3,9.0,11.0,1.0,16.0,0.2718974025974026
q_0.900,5,1,0.2,0.8,55,11,22,22,11.0,1.0,16.0,3,11,0,22,11,3,9.0,11.0,1.0,16.0,0.2718974025974026
q_0.900,5,2,0.05,0.8,55,11,19,25,15.0,8.0,18.0,0,14,3,22,14,3,10.5,11.5,2.0,18.0,0.3517622655122656
q_0.900,5,2,0.1,0.8,55,13,17,25,5.0,5.0,18.0,0,16,3,22,16,3,5.5,5.0,2.0,18.0,0.3517622655122655
q_0.900,5,2,0.2,0.8,55,12,13,30,7.0,4.0,20.0,6,20,8,22,20,14,4.0,4.0,2.0,20.0,0.3517622655122656
q_0.900,5,3,0.05,0.8,55,14,16,25,15.0,8.0,18.0,0,17,3,22,17,3,12.0,15.0,3.0,18.0,0.4279
q_0.900,5,3,0.1,0.8,55,17,13,25,7.0,5.0,17.0,0,20,3,22,20,3,5.0,5.0,3.0,17.0,0.4279
q_0.900,5,3,0.2,0.8,55,7,8,40,14.0,10.0,20.0,0,25,18,22,16,17,1.0,4.0,3.0,20.0,0.4279
q_0.850,3,1,0.05,0.8,55,14,20,21,7.0,1.0,18.0,4,14,0,21,14,4,7.0,7.0,1.0,18.0,0.24458715837754424
q_0.850,3,1,0.1,0.8,55,20,14,21,5.0,1.0,20.0,4,20,0,21,20,4,7.0,5.0,1.0,20.0,0.24458715837754424
q_0.850,3,1,0.2,0.8,55,21,13,21,3.0,1.0,17.0,11,21,0,21,21,11,7.0,3.0,1.0,17.0,0.24458715837754424
q_0.850,3,2,0.05,0.8,55,12,18,25,7.0,7.0,19.0,0,16,4,21,16,4,7.0,7.0,2.0,19.0,0.31837775068165963
q_0.850,3,2,0.1,0.8,55,17,13,25,7.0,5.0,23.0,0,21,4,21,21,4,7.0,5.0,2.0,23.0,0.31837775068165963
q_0.850,3,2,0.2,0.8,55,6,13,36,17.5,13.0,21.0,0,21,15,21,19,15,1.0,3.0,2.0,21.0,0.31837775068165963
q_0.850,3,3,0.05,0.8,55,15,15,25,15.0,7.0,18.0,0,19,4,21,19,4,7.0,7.0,3.0,18.0,0.3889772468347741
q_0.850,3,3,0.1,0.8,55,23,7,25,8.0,5.0,21.0,0,27,4,21,27,4,7.0,7.0,3.0,21.0,0.3889772468347741
q_0.850,3,3,0.2,0.8,55,8,7,40,16.0,10.0,19.0,0,27,19,21,16,18,1.0,4.0,3.0,19.0,0.3889772468347741
q_0.850,5,1,0.05,0.8,55,10,24,21,15.5,1.0,16.0,4,10,0,21,10,4,12.0,15.5,1.0,16.0,0.261619696969697
q_0.850,5,1,0.1,0.8,55,10,24,21,10.0,1.0,16.0,4,10,0,21,10,4,9.0,10.0,1.0,16.0,0.261619696969697
q_0.850,5,1,0.2,0.8,55,12,22,21,10.0,1.0,16.0,4,12,0,21,12,4,8.0,10.0,1.0,16.0,0.261619696969697
q_0.850,5,2,0.05,0.8,55,11,19,25,15.0,8.0,18.0,0,15,4,21,15,4,11.0,15.0,2.0,18.0,0.33932243867243866
q_0.850,5,2,0.1,0.8,55,12,18,25,5.0,5.0,18.0,0,16,4,21,16,4,5.0,5.0,2.0,18.0,0.33932243867243866
q_0.850,5,2,0.2,0.8,55,11,15,29,4.0,4.0,19.0,7,19,8,21,19,15,4.0,4.0,2.0,19.0,0.33932243867243866
q_0.850,5,3,0.05,0.8,55,14,16,25,15.0,8.0,18.0,0,18,4,21,18,4,12.0,15.0,3.0,18.0,0.41416839826839835
q_0.850,5,3,0.1,0.8,55,17,13,25,7.0,5.0,21.0,0,21,4,21,21,4,5.0,5.0,3.0,21.0,0.41416839826839835
q_0.850,5,3,0.2,0.8,55,7,8,40,16.0,10.0,20.0,0,26,19,21,16,18,1.0,4.0,3.0,20.0,0.41416839826839835
q_0.800,3,1,0.05,0.8,55,14,20,21,7.0,1.0,18.0,4,14,0,21,14,4,7.0,7.0,1.0,18.0,0.24642436219906574
q_0.800,3,1,0.1,0.8,55,21,13,21,5.0,1.0,21.0,4,21,0,21,21,4,7.0,5.0,1.0,21.0,0.24642436219906574
q_0.800,3,1,0.2,0.8,55,22,12,21,5.0,1.0,21.0,11,22,0,21,22,11,7.0,5.0,1.0,21.0,0.24642436219906574
q_0.800,3,2,0.05,0.8,55,12,18,25,7.0,7.0,19.0,0,16,4,21,16,4,7.0,7.0,2.0,19.0,0.31905276283528144
q_0.800,3,2,0.1,0.8,55,17,13,25,7.0,5.0,21.0,0,21,4,21,21,4,7.0,5.0,2.0,21.0,0.31905276283528144
q_0.800,3,2,0.2,0.8,55,6,13,36,17.5,13.0,21.0,0,21,15,21,20,15,1.0,3.0,2.0,21.0,0.31905276283528144
q_0.800,3,3,0.05,0.8,55,15,15,25,15.0,7.0,18.0,0,19,4,21,19,4,7.0,7.0,3.0,18.0,0.3889538125383103
q_0.800,3,3,0.1,0.8,55,23,7,25,8.0,5.0,21.0,0,27,4,21,27,4,7.0,7.0,3.0,21.0,0.3889538125383103
q_0.800,3,3,0.2,0.8,55,8,7,40,16.0,10.0,19.0,0,27,19,21,16,18,1.0,4.0,3.0,19.0,0.3889538125383103
q_0.800,5,1,0.05,0.8,55,10,24,21,15.5,1.0,16.0,4,10,0,21,10,4,12.0,15.5,1.0,16.0,0.26348333333333335
q_0.800,5,1,0.1,0.8,55,10,24,21,10.0,1.0,16.0,4,10,0,21,10,4,9.0,10.0,1.0,16.0,0.26348333333333335
q_0.800,5,1,0.2,0.8,55,12,22,21,10.0,1.0,16.0,4,12,0,21,12,4,7.0,10.0,1.0,16.0,0.26348333333333335
q_0.800,5,2,0.05,0.8,55,11,19,25,15.0,8.0,18.0,0,15,4,21,15,4,11.0,15.0,2.0,18.0,0.33995974025974024
q_0.800,5,2,0.1,0.8,55,12,18,25,5.0,5.0,18.0,0,16,4,21,16,4,5.0,5.0,2.0,18.0,0.33995974025974024
q_0.800,5,2,0.2,0.8,55,11,15,29,4.0,4.0,19.0,7,19,8,21,19,15,4.0,4.0,2.0,19.0,0.33995974025974024
q_0.800,5,3,0.05,0.8,55,14,16,25,15.0,8.0,18.0,0,18,4,21,18,4,12.0,15.0,3.0,18.0,0.4140665223665225
q_0.800,5,3,0.1,0.8,55,17,13,25,7.0,5.0,20.0,0,21,4,21,21,4,5.0,5.0,3.0,20.0,0.4140665223665225
q_0.800,5,3,0.2,0.8,55,7,8,40,16.0,10.0,20.0,0,26,19,21,16,18,1.0,4.0,3.0,20.0,0.4140665223665225
ospa30_t6,3,1,0.05,0.8,55,9,36,10,7.0,1.0,15.0,1,9,0,10,9,1,14.0,7.0,1.0,15.0,0.164094166261546
ospa30_t6,3,1,0.1,0.8,55,10,35,10,5.0,1.0,19.0,1,10,0,10,10,1,9.0,5.0,1.0,19.0,0.164094166261546
ospa30_t6,3,1,0.2,0.8,55,12,33,10,3.0,1.0,20.0,8,12,0,10,12,8,10.5,3.0,1.0,20.0,0.164094166261546
ospa30_t6,3,2,0.05,0.8,55,13,28,14,7.0,7.0,19.0,0,14,1,13,14,1,17.0,7.0,2.0,19.0,0.27224434724482677
ospa30_t6,3,2,0.1,0.8,55,16,23,16,7.0,5.0,22.0,0,18,2,14,17,1,9.0,7.0,2.0,22.0,0.27224434724482677
ospa30_t6,3,2,0.2,0.8,55,6,22,27,13.5,3.0,21.0,1,19,13,14,18,13,3.0,3.0,2.0,22.0,0.27224434724482677
ospa30_t6,3,3,0.05,0.8,55,14,27,14,11.0,7.0,19.0,0,15,1,13,15,1,16.5,7.0,3.0,19.0,0.37105611221491824
ospa30_t6,3,3,0.1,0.8,55,17,18,20,7.0,5.0,21.0,0,22,5,15,19,1,9.0,7.0,3.0,22.0,0.37105611221491824
ospa30_t6,3,3,0.2,0.8,55,6,15,34,15.0,10.0,20.0,0,25,19,15,14,14,1.0,4.0,3.0,22.0,0.37105611221491824
ospa30_t6,5,1,0.05,0.8,55,3,42,10,15.0,1.0,16.0,1,3,0,10,3,1,16.0,15.0,1.0,16.0,0.19348326118326117
ospa30_t6,5,1,0.1,0.8,55,3,42,10,11.0,1.0,16.0,1,3,0,10,3,1,14.0,11.0,1.0,16.0,0.19348326118326117
ospa30_t6,5,1,0.2,0.8,55,3,42,10,11.0,1.0,16.0,1,3,0,10,3,1,14.0,11.0,1.0,16.0,0.19348326118326117
ospa30_t6,5,2,0.05,0.8,55,12,30,13,15.5,8.0,19.0,0,13,1,12,13,1,16.0,15.0,2.0,19.0,0.3078156565656565
ospa30_t6,5,2,0.1,0.8,55,13,27,15,5.0,5.0,18.0,0,14,1,14,14,1,8.0,5.0,2.0,18.0,0.3078156565656565
ospa30_t6,5,2,0.2,0.8,55,9,25,21,4.0,4.0,17.0,6,16,7,14,16,13,4.0,4.0,2.0,17.0,0.3078156565656565
ospa30_t6,5,3,0.05,0.8,55,13,29,13,15.0,8.0,19.0,0,14,1,12,14,1,15.5,15.0,3.0,19.0,0.4120044011544013
ospa30_t6,5,3,0.1,0.8,55,13,25,17,5.0,5.0,8.0,0,15,2,15,14,1,8.0,5.0,3.0,15.0,0.4120044011544013
ospa30_t6,5,3,0.2,0.8,55,6,16,33,18.0,10.0,20.0,0,22,16,17,13,14,1.0,4.0,3.0,20.0,0.4120044011544013
