k,stable_lower,stable_upper,building_id,image_n,common_k_max
18,0.40214285714285714,0.8200000000000001,yqstnuAEVhm,7,18
1,0.0,1.0,UwV83HsGsw3,6,18
2,0.08666666666666667,0.8016666666666666,UwV83HsGsw3,6,18
3,0.07333333333333333,0.6183333333333333,UwV83HsGsw3,6,18
4,0.05833333333333333,0.5166666666666667,UwV83HsGsw3,6,18
5,0.12916666666666668,0.5483333333333333,UwV83HsGsw3,6,18
6,0.13,0.5475,UwV83HsGsw3,6,18
7,0.13416666666666668,0.5641666666666666,UwV83HsGsw3,6,18
8,0.18500000000000003,0.6391666666666667,UwV83HsGsw3,6,18
9,0.20750000000000002,0.6783333333333333,UwV83HsGsw3,6,18
10,0.215,0.7033333333333333,UwV83HsGsw3,6,18
11,0.2041666666666667,0.7116666666666666,UwV83HsGsw3,6,18
12,0.20833333333333334,0.7366666666666667,UwV83HsGsw3,6,18
13,0.21333333333333335,0.7583333333333333,UwV83HsGsw3,6,18
14,0.20083333333333334,0.7716666666666666,UwV83HsGsw3,6,18
15,0.21666666666666667,0.7999999999999999,UwV83HsGsw3,6,18
16,0.22333333333333336,0.8275,UwV83HsGsw3,6,18
17,0.22166666666666668,0.835,UwV83HsGsw3,6,18
18,0.2091666666666667,0.8258333333333333,UwV83HsGsw3,6,18
1,0.0,1.0,rPc6DW4iMge,6,18
2,0.2891666666666666,0.755,rPc6DW4iMge,6,18
3,0.2558333333333333,0.5408333333333334,rPc6DW4iMge,6,18
4,0.21583333333333332,0.4475,rPc6DW4iMge,6,18
5,0.345,0.5475,rPc6DW4iMge,6,18
6,0.3666666666666667,0.5583333333333333,rPc6DW4iMge,6,18
7,0.37333333333333335,0.5725,rPc6DW4iMge,6,18
8,0.42416666666666664,0.6366666666666667,rPc6DW4iMge,6,18
9,0.45,0.6891666666666666,rPc6DW4iMge,6,18
10,0.45083333333333336,0.7174999999999999,rPc6DW4iMge,6,18
11,0.43416666666666665,0.7166666666666667,rPc6DW4iMge,6,18
12,0.43249999999999994,0.7316666666666666,rPc6DW4iMge,6,18
13,0.415,0.7316666666666666,rPc6DW4iMge,6,18
14,0.42250000000000004,0.7591666666666667,rPc6DW4iMge,6,18
15,0.4266666666666667,0.7775,rPc6DW4iMge,6,18
16,0.42916666666666664,0.7925,rPc6DW4iMge,6,18
17,0.4291666666666667,0.7958333333333334,rPc6DW4iMge,6,18
18,0.4291666666666667,0.8033333333333333,rPc6DW4iMge,6,18
1,0.0,1.0,q9vSo1VnCiC,5,20
2,0.32199999999999995,0.783,q9vSo1VnCiC,5,20
3,0.299,0.639,q9vSo1VnCiC,5,20
4,0.28400000000000003,0.585,q9vSo1VnCiC,5,20
5,0.367,0.653,q9vSo1VnCiC,5,20
6,0.374,0.662,q9vSo1VnCiC,5,20
7,0.371,0.6729999999999999,q9vSo1VnCiC,5,20
8,0.41,0.732,q9vSo1VnCiC,5,20
9,0.399,0.744,q9vSo1VnCiC,5,20
10,0.414,0.7809999999999999,q9vSo1VnCiC,5,20
11,0.40499999999999997,0.796,q9vSo1VnCiC,5,20
12,0.41200000000000003,0.826,q9vSo1VnCiC,5,20
13,0.404,0.8459999999999999,q9vSo1VnCiC,5,20
14,0.397,0.8629999999999999,q9vSo1VnCiC,5,20
15,0.388,0.882,q9vSo1VnCiC,5,20
16,0.367,0.8869999999999999,q9vSo1VnCiC,5,20
17,0.366,0.9019999999999999,q9vSo1VnCiC,5,20
18,0.35700000000000004,0.914,q9vSo1VnCiC,5,20
19,0.33199999999999996,0.908,q9vSo1VnCiC,5,20
20,0.328,0.9199999999999999,q9vSo1VnCiC,5,20
1,0.0,1.0,wc2JMjhGNzB,4,18
2,0.32,0.89625,wc2JMjhGNzB,4,18
3,0.3025,0.80125,wc2JMjhGNzB,4,18
4,0.28,0.7375,wc2JMjhGNzB,4,18
5,0.2925,0.71875,wc2JMjhGNzB,4,18
6,0.29,0.70875,wc2JMjhGNzB,4,18
7,0.2925,0.72875,wc2JMjhGNzB,4,18
8,0.2825,0.72125,wc2JMjhGNzB,4,18
9,0.30125,0.75375,wc2JMjhGNzB,4,18
10,0.3125,0.7775,wc2JMjhGNzB,4,18
11,0.3125,0.7949999999999999,wc2JMjhGNzB,4,18
12,0.31875,0.80875,wc2JMjhGNzB,4,18
13,0.31999999999999995,0.82125,wc2JMjhGNzB,4,18
14,0.31125,0.825,wc2JMjhGNzB,4,18
15,0.3275,0.85,wc2JMjhGNzB,4,18
16,0.31125,0.8425,wc2JMjhGNzB,4,18
17,0.29625,0.83,wc2JMjhGNzB,4,18
18,0.29125,0.8325,wc2JMjhGNzB,4,18
1,0.0,1.0,7y3sRwLe3Va,3,20
2,0.24333333333333332,0.7833333333333333,7y3sRwLe3Va,3,20
3,0.2333333333333333,0.5866666666666667,7y3sRwLe3Va,3,20
4,0.22666666666666668,0.4716666666666667,7y3sRwLe3Va,3,20
5,0.295,0.4816666666666667,7y3sRwLe3Va,3,20
6,0.3066666666666667,0.4833333333333334,7y3sRwLe3Va,3,20
7,0.32166666666666666,0.5016666666666666,7y3sRwLe3Va,3,20
8,0.3283333333333333,0.5133333333333333,7y3sRwLe3Va,3,20
9,0.3416666666666666,0.5383333333333333,7y3sRwLe3Va,3,20
10,0.34,0.5533333333333333,7y3sRwLe3Va,3,20
11,0.33499999999999996,0.5566666666666666,7y3sRwLe3Va,3,20
12,0.3466666666666667,0.5883333333333334,7y3sRwLe3Va,3,20
13,0.345,0.6033333333333334,7y3sRwLe3Va,3,20
14,0.3566666666666667,0.6333333333333333,7y3sRwLe3Va,3,20
15,0.37333333333333335,0.6549999999999999,7y3sRwLe3Va,3,20
16,0.365,0.6533333333333333,7y3sRwLe3Va,3,20
17,0.385,0.6816666666666666,7y3sRwLe3Va,3,20
18,0.39999999999999997,0.7066666666666667,7y3sRwLe3Va,3,20
19,0.4116666666666667,0.73,7y3sRwLe3Va,3,20
20,0.4383333333333333,0.7716666666666666,7y3sRwLe3Va,3,20
1,0.0,1.0,B6ByNegPMKs,3,20
2,0.3,0.7000000000000001,B6ByNegPMKs,3,20
3,0.27166666666666667,0.5183333333333333,B6ByNegPMKs,3,20
4,0.225,0.47500000000000003,B6ByNegPMKs,3,20
5,0.37833333333333335,0.65,B6ByNegPMKs,3,20
6,0.39333333333333337,0.6749999999999999,B6ByNegPMKs,3,20
7,0.43166666666666664,0.7133333333333333,B6ByNegPMKs,3,20
8,0.4883333333333333,0.77,B6ByNegPMKs,3,20
9,0.5066666666666667,0.7949999999999999,B6ByNegPMKs,3,20
10,0.5166666666666667,0.815,B6ByNegPMKs,3,20
11,0.5133333333333333,0.8166666666666668,B6ByNegPMKs,3,20
12,0.49333333333333335,0.8066666666666666,B6ByNegPMKs,3,20
13,0.48,0.8033333333333333,B6ByNegPMKs,3,20
14,0.51,0.8366666666666666,B6ByNegPMKs,3,20
15,0.5333333333333333,0.855,B6ByNegPMKs,3,20
16,0.5466666666666667,0.8650000000000001,B6ByNegPMKs,3,20
17,0.5566666666666666,0.8783333333333333,B6ByNegPMKs,3,20
18,0.5750000000000001,0.8983333333333333,B6ByNegPMKs,3,20
19,0.57,0.895,B6ByNegPMKs,3,20
20,0.5483333333333333,0.8816666666666667,B6ByNegPMKs,3,20
1,0.0,1.0,S9hNv5qa7GM,2,15
2,0.585,0.88,S9hNv5qa7GM,2,15
3,0.565,0.815,S9hNv5qa7GM,2,15
4,0.54,0.8025,S9hNv5qa7GM,2,15
5,0.5975,0.86,S9hNv5qa7GM,2,15
6,0.5975,0.87,S9hNv5qa7GM,2,15
7,0.585,0.89,S9hNv5qa7GM,2,15
8,0.6,0.9299999999999999,S9hNv5qa7GM,2,15
9,0.6,0.9575,S9hNv5qa7GM,2,15
10,0.61,0.9824999999999999,S9hNv5qa7GM,2,15
11,0.5925,0.985,S9hNv5qa7GM,2,15
12,0.5675,0.985,S9hNv5qa7GM,2,15
13,0.5325,0.99,S9hNv5qa7GM,2,15
14,0.5225,0.995,S9hNv5qa7GM,2,15
15,0.5,1.0,S9hNv5qa7GM,2,15
1,0.0,1.0,b8cTxDM8gDG,2,20
2,0.365,0.9625,b8cTxDM8gDG,2,20
3,0.345,0.8975,b8cTxDM8gDG,2,20
4,0.3175,0.8225,b8cTxDM8gDG,2,20
5,0.29,0.6975,b8cTxDM8gDG,2,20
6,0.275,0.6425,b8cTxDM8gDG,2,20
7,0.245,0.615,b8cTxDM8gDG,2,20
8,0.2325,0.61,b8cTxDM8gDG,2,20
9,0.2125,0.6275,b8cTxDM8gDG,2,20
10,0.1825,0.6425,b8cTxDM8gDG,2,20
11,0.17,0.655,b8cTxDM8gDG,2,20
12,0.1375,0.6799999999999999,b8cTxDM8gDG,2,20
13,0.1125,0.7225,b8cTxDM8gDG,2,20
14,0.085,0.75,b8cTxDM8gDG,2,20
15,0.0775,0.7949999999999999,b8cTxDM8gDG,2,20
16,0.0675,0.8125,b8cTxDM8gDG,2,20
17,0.055,0.8375,b8cTxDM8gDG,2,20
18,0.04,0.8775,b8cTxDM8gDG,2,20
19,0.0225,0.925,b8cTxDM8gDG,2,20
20,0.0,0.97,b8cTxDM8gDG,2,20
