config,metric,nominal_cut,arm_a,arm_b,images,buildings,a_uncovered,b_uncovered,image_equal_delta,building_equal_delta,conditional_building_bootstrap_lower,conditional_building_bootstrap_upper,causal_effect
Q_3,sphere,9,AAAB,AABC,45,14,0.37307068118178732,0.37571853267012573,0.0026478514883384102,-0.00042386099556559944,-0.011883386788856115,0.011252507772845793,False
Q_3,sphere,9,AABB,AABC,45,14,0.36470202849306183,0.37571853267012573,0.011016504177063976,0.011350262678473456,0.0024413066188760757,0.023192280924053912,False
Q_3,sphere,12,AAAA,AABC,45,14,0.35052934452529533,0.34428179051340813,-0.0062475540118871438,-0.020836886565109233,-0.067250265476509183,0.013596348316665712,False
Q_3,sphere,12,AAAB,AABC,45,14,0.33870956872643093,0.34428179051340813,0.0055722217869771974,0.00049828609424362963,-0.013362311384117804,0.01320511795105269,False
Q_3,sphere,12,AABB,AABC,45,14,0.33090022704499811,0.34428179051340813,0.013381563468410107,0.010630932332770253,0.0025913293687393779,0.021352994020251214,False
TRI_3,image,6,AAAA,AABC,45,14,0.49093648917778071,0.48038331053377348,-0.010553178644007202,-0.019320797268614315,-0.068017466828553558,0.014435741130794594,False
TRI_3,image,6,AAAB,AABC,45,14,0.4887669316864276,0.48038331053377348,-0.0083836211526541263,-0.013847456285659141,-0.042318352998372964,0.0060444419995525763,False
TRI_3,image,6,AABB,AABC,45,14,0.49023854724576138,0.48038331053377348,-0.0098552367119878453,-0.015211747124083325,-0.046331894354843174,0.0050043063518330584,False
TRI_3,image,9,AAAA,AABC,45,14,0.41291931272024635,0.40637804111183734,-0.0065412716084089573,-0.0046727291486986389,-0.033785371265709588,0.02069717022684503,False
TRI_3,image,9,AAAB,AABC,45,14,0.40748605355304129,0.40637804111183734,-0.0011080124412039033,-0.00039108046047367842,-0.017867119573822261,0.015196501087145769,False
TRI_3,image,9,AABB,AABC,45,14,0.40887563696336632,0.40637804111183734,-0.0024975958515289247,-0.0015159966541675534,-0.021802209366348368,0.01448070332400348,False
TRI_3,image,12,AAAA,AABC,45,14,0.36020154450352027,0.3568262332415772,-0.003375311261943203,-0.0095813030048479235,-0.050134558981191894,0.024073768080814701,False
TRI_3,image,12,AAAB,AABC,45,14,0.35685729120399717,0.3568262332415772,-3.1057962420003953e-05,-0.0041722931312003489,-0.031182261538203467,0.017397667331317132,False
TRI_3,image,12,AABB,AABC,45,14,0.36089917294996077,0.3568262332415772,-0.0040729397083836072,-0.0051186293074949518,-0.033905621611804229,0.015332437473482856,False
TRI_3,sphere,6,AAAA,AABC,45,14,0.45808681062090917,0.44710569052004234,-0.010981120100866749,-0.01997413411052875,-0.068100157575040385,0.012561585296294574,False
TRI_3,sphere,6,AAAB,AABC,45,14,0.45402368841257329,0.44710569052004234,-0.0069179978925308768,-0.011048302838714589,-0.040276451778492213,0.0092199587762934656,False
TRI_3,sphere,6,AABB,AABC,45,14,0.45431208111462151,0.44710569052004234,-0.0072063905945791186,-0.01053654425179972,-0.041930240819812198,0.0107679085741628,False
TRI_3,sphere,9,AAAA,AABC,45,14,0.37814235020545739,0.36930209622339255,-0.0088402539820648645,-0.0050059677226802629,-0.035903376819761613,0.022233402983388998,False
TRI_3,sphere,9,AAAB,AABC,45,14,0.37112643432688863,0.36930209622339255,-0.0018243381034960655,9.0331285346035157e-05,-0.018606273566496245,0.017094299466635605,False
TRI_3,sphere,9,AABB,AABC,45,14,0.37316103542504209,0.36930209622339255,-0.0038589392016495552,-0.0016307242668899768,-0.02220352888838889,0.015873588070708235,False
TRI_3,sphere,12,AAAA,AABC,45,14,0.34244181511341593,0.33570993184749798,-0.0067318832659178781,-0.0071940247989454214,-0.039177889615083304,0.020595332715854772,False
TRI_3,sphere,12,AAAB,AABC,45,14,0.33723618160611984,0.33570993184749798,-0.0015262497586218326,-0.0022194550739596942,-0.022581423582632789,0.015554350040371378,False
TRI_3,sphere,12,AABB,AABC,45,14,0.33880298629892003,0.33570993184749798,-0.0030930544514220257,-0.0016083481113865481,-0.021558545928624277,0.014956013267063981,False
