condition,model,subtype,metric,partition,k,images,next_uncovered,expected_clusters,expected_singletons
manual,QTSB_3,2,sphere,representative,3,14,0.47399505256648117,2.078896103896104,1.519047619047619
manual,QTSB_3,2,sphere,representative,5,14,0.42087971552257269,2.9986343022057307,2.2358018965161821
manual,QTSB_3,2,sphere,representative,8,14,0.37380952380952381,4.2363636363636363,3.1919191919191916
manual,QTSB_3,3,image,complete,3,27,0.46570065736732402,2.3128507295173963,1.8185746352413019
manual,QTSB_3,3,image,complete,5,27,0.4205520816631928,3.3798300464967128,2.5775212441879103
manual,QTSB_3,3,image,complete,8,27,0.38005985783763563,4.7842873176206515,3.5898989898989901
manual,QTSB_3,3,image,representative,3,27,0.46570065736732402,2.0510020843354178,1.4416706750040083
manual,QTSB_3,3,image,representative,5,27,0.4205520816631928,2.9350515739404623,2.1710090321201432
manual,QTSB_3,3,image,representative,8,27,0.38005985783763563,4.1765057987280212,3.243920688365133
manual,QTSB_3,3,sphere,complete,3,27,0.43384907273796158,2.2395061728395063,1.7026936026936026
manual,QTSB_3,3,sphere,complete,5,27,0.3848057292501737,3.2416492972048525,2.4251777029554806
manual,QTSB_3,3,sphere,complete,8,27,0.34137673026561921,4.5592966704077815,3.3549569771791994
manual,QTSB_3,3,sphere,representative,3,27,0.43384907273796158,1.9872013788680454,1.340784832451499
manual,QTSB_3,3,sphere,representative,5,27,0.3848057292501737,2.7993025493025492,1.9874806263695151
manual,QTSB_3,3,sphere,representative,8,27,0.34137673026561921,3.9274223718668164,2.9389450056116719
manual,QT_2,1,image,complete,3,45,0.36935634626811098,2.108257260169025,1.4914431157078216
manual,QT_2,1,image,complete,5,45,0.30851429072017306,2.9341787660415113,1.9567444719405505
manual,QT_2,1,image,complete,8,45,0.25734521288442858,3.9367138743609327,2.4919482695953281
manual,QT_2,1,image,representative,3,45,0.36935634626811098,1.8629316598434245,1.1748484141131201
manual,QT_2,1,image,representative,5,45,0.30851429072017306,2.5374356942984395,1.6165473234100685
manual,QT_2,1,image,representative,8,45,0.25734521288442858,3.392847123827516,2.1583707360177948
manual,QT_2,1,sphere,complete,3,45,0.34596199370709174,2.0328760672878321,1.3829827797474856
manual,QT_2,1,sphere,complete,5,45,0.29194786332041234,2.807408930938343,1.8449972685266804
manual,QT_2,1,sphere,complete,8,45,0.24663934467856036,3.7678405254875837,2.4023393599864189
manual,QT_2,1,sphere,representative,3,45,0.34596199370709174,1.8311240230357877,1.1298955891602951
manual,QT_2,1,sphere,representative,5,45,0.29194786332041234,2.4782285434246218,1.5501245486539603
manual,QT_2,1,sphere,representative,8,45,0.24663934467856036,3.2988835565306154,2.0724171833975755
manual,QT_2,2,image,complete,3,37,0.42752907752907754,2.1900772650772651,1.6325231075231075
manual,QT_2,2,image,complete,5,37,0.38420258420258424,3.1403982653982654,2.2910629160629159
manual,QT_2,2,image,complete,8,37,0.35545265545265547,4.3937713937713934,3.2234654234654232
manual,QT_2,2,image,representative,3,37,0.42752907752907754,1.9982593982593984,1.3625379125379125
manual,QT_2,2,image,representative,5,37,0.38420258420258424,2.8236380736380737,2.0191452691452692
manual,QT_2,2,image,representative,8,37,0.35545265545265547,3.9745815745815753,3.0099078099078103
manual,QT_2,2,sphere,complete,3,37,0.40548820548820552,2.1190620190620191,1.527994977994978
manual,QT_2,2,sphere,complete,5,37,0.36155323655323651,3.0035662535662535,2.1294133794133794
manual,QT_2,2,sphere,complete,8,37,0.33106533106533104,4.1589743589743593,2.9557067557067556
manual,QT_2,2,sphere,representative,3,37,0.40548820548820552,1.9627021627021626,1.3082192582192582
manual,QT_2,2,sphere,representative,5,37,0.36155323655323651,2.7463954963954964,1.90990315990316
manual,QT_2,2,sphere,representative,8,37,0.33106533106533104,3.8204876204876212,2.7908397908397911
manual,QT_3,1,image,complete,3,7,0.43401360544217688,2.0571428571428574,1.4595238095238094
manual,QT_3,1,image,complete,5,7,0.36995464852607712,2.8888888888888888,1.9886621315192745
manual,QT_3,1,image,complete,8,7,0.30952380952380959,3.9333333333333336,2.6190476190476191
manual,QT_3,1,image,representative,3,7,0.43401360544217688,2.0571428571428574,1.4595238095238094
manual,QT_3,1,image,representative,5,7,0.36995464852607712,2.8888888888888888,1.9886621315192745
manual,QT_3,1,image,representative,8,7,0.30952380952380959,3.9333333333333331,2.6190476190476191
manual,QT_3,1,sphere,complete,3,7,0.41530612244897958,2.0214285714285714,1.3999999999999999
manual,QT_3,1,sphere,complete,5,7,0.35510204081632651,2.8180272108843534,1.9064625850340136
manual,QT_3,1,sphere,complete,8,7,0.29523809523809524,3.8190476190476192,2.5047619047619043
manual,QT_3,1,sphere,representative,3,7,0.41530612244897958,2.0214285714285714,1.4000000000000001
manual,QT_3,1,sphere,representative,5,7,0.35510204081632651,2.8180272108843534,1.9064625850340136
manual,QT_3,1,sphere,representative,8,7,0.29523809523809524,3.8190476190476192,2.5047619047619043
manual,QT_3,2,image,complete,3,11,0.37972255017709566,2.1200118063754427,1.4743604879968517
manual,QT_3,2,image,complete,5,11,0.3371212121212121,2.9664830119375569,2.0450609996064539
manual,QT_3,2,image,complete,8,11,0.29995408631772269,4.0927456382001841,2.9017447199265383
manual,QT_3,2,image,representative,3,11,0.37972255017709566,1.9077528532073986,1.2122392758756393
manual,QT_3,2,image,representative,5,11,0.3371212121212121,2.6423324150596876,1.7911583366128823
manual,QT_3,2,image,representative,8,11,0.29995408631772269,3.6484848484848489,2.6130394857667585
manual,QT_3,2,sphere,complete,3,11,0.36969041059950153,2.0460645415190872,1.3751082251082252
manual,QT_3,2,sphere,complete,5,11,0.33234946871310506,2.843204775022957,1.9277515413879052
manual,QT_3,2,sphere,complete,8,11,0.29990817263544534,3.8927456382001839,2.6773186409550047
manual,QT_3,2,sphere,representative,3,11,0.36969041059950153,1.8774498229043686,1.1819362455726092
manual,QT_3,2,sphere,representative,5,11,0.33234946871310506,2.591827364554637,1.7406532861078317
manual,QT_3,2,sphere,representative,8,11,0.29990817263544534,3.567676767676768,2.5322314049586776
manual,QT_3,3,image,complete,3,31,0.42897980156044674,2.1888898735672928,1.6380847646976677
manual,QT_3,3,image,complete,5,31,0.38291153291153296,3.1418308394114844,2.2942859112213951
manual,QT_3,3,image,complete,8,31,0.35365691656014236,4.3904804872546812,3.2048073790009273
manual,QT_3,3,image,representative,3,31,0.42897980156044674,2.0056937685969944,1.3739088868121125
manual,QT_3,3,image,representative,5,31,0.38291153291153296,2.8339805355934389,2.0239912417331771
manual,QT_3,3,image,representative,8,31,0.35365691656014236,3.9868661804145678,3.016517532646565
manual,QT_3,3,sphere,complete,3,31,0.40399260237969914,2.1272968966517349,1.5447036834133607
manual,QT_3,3,sphere,complete,5,31,0.35622755380819898,3.0132985294275616,2.1250541573122219
manual,QT_3,3,sphere,complete,8,31,0.32456575682382133,4.1561170012782922,2.9146803017770764
manual,QT_3,3,sphere,representative,3,31,0.40399260237969914,1.9632544874480358,1.3090769445608155
manual,QT_3,3,sphere,representative,5,31,0.35622755380819898,2.7417877821103627,1.8936054984442081
manual,QT_3,3,sphere,representative,8,31,0.32456575682382133,3.8029475900443646,2.7550492518234457
manual,Q_2,1,image,complete,3,6,0.39738039738039732,1.9911477411477414,1.3945360195360195
manual,Q_2,1,image,complete,5,6,0.34633422133422131,2.8158323158323153,1.9866707366707363
manual,Q_2,1,image,complete,8,6,0.30245680245680245,3.8640618640618638,2.6304436304436307
manual,Q_2,1,image,representative,3,6,0.39738039738039732,1.9398656898656903,1.3066239316239316
manual,Q_2,1,image,representative,5,6,0.34633422133422131,2.7151829651829651,1.8788618788618787
manual,Q_2,1,image,representative,8,6,0.30245680245680245,3.7486772486772488,2.6564731564731563
manual,Q_2,1,sphere,complete,3,6,0.39738039738039732,1.9911477411477414,1.3945360195360195
manual,Q_2,1,sphere,complete,5,6,0.34633422133422131,2.8158323158323153,1.9866707366707363
manual,Q_2,1,sphere,complete,8,6,0.30245680245680245,3.8640618640618638,2.6304436304436307
manual,Q_2,1,sphere,representative,3,6,0.39738039738039732,1.9398656898656903,1.3066239316239316
manual,Q_2,1,sphere,representative,5,6,0.34633422133422131,2.7151829651829651,1.8788618788618787
manual,Q_2,1,sphere,representative,8,6,0.30245680245680245,3.7486772486772488,2.6564731564731563
manual,Q_2,2,image,complete,3,45,0.4139023269854023,2.2451779100385911,1.6891439886795923
manual,Q_2,2,image,complete,5,45,0.35748487790541456,3.1990086400432118,2.2784224189409947
manual,Q_2,2,image,complete,8,45,0.30971533549964925,4.4017647910320772,3.0312021510576725
manual,Q_2,2,image,representative,3,45,0.4139023269854023,1.9772328611647496,1.3243824693824693
manual,Q_2,2,image,representative,5,45,0.35748487790541456,2.7520799858132157,1.8723045286899775
manual,Q_2,2,image,representative,8,45,0.30971533549964925,3.773944234109353,2.6157880967788092
manual,Q_2,2,sphere,complete,3,45,0.39361132789925363,2.1812161591418557,1.5927140185808915
manual,Q_2,2,sphere,complete,5,45,0.33942976604483316,3.0797749674168662,2.1472249924520304
manual,Q_2,2,sphere,complete,8,45,0.29427334571555419,4.2159143818380151,2.868079856542189
manual,Q_2,2,sphere,representative,3,45,0.39361132789925363,1.9369653947130725,1.2642772154459461
manual,Q_2,2,sphere,representative,5,45,0.33942976604483316,2.6738423035894656,1.7787904552352438
manual,Q_2,2,sphere,representative,8,45,0.29427334571555419,3.6418304380327085,2.4745849151421906
manual,Q_3,2,image,complete,3,18,0.3206006956006956,2.0342280404780406,1.3650925463425463
manual,Q_3,2,image,complete,5,18,0.27502281668948331,2.7727388352388349,1.7456763915097246
manual,Q_3,2,image,complete,8,18,0.2468919968919969,3.6905982905982904,2.3264568764568763
manual,Q_3,2,image,representative,3,18,0.3206006956006956,1.7614334739334738,1.0195415695415695
manual,Q_3,2,image,representative,5,18,0.27502281668948331,2.3441731879231877,1.4042704980204981
manual,Q_3,2,image,representative,8,18,0.2468919968919969,3.1257489424156093,2.0302512302512303
manual,Q_3,2,sphere,complete,3,18,0.3081395456395456,1.9803485865985866,1.3038870851370852
manual,Q_3,2,sphere,complete,5,18,0.26402771611104942,2.6962690087690091,1.6985475943809276
manual,Q_3,2,sphere,complete,8,18,0.23763081054747723,3.5944832944832945,2.2814944314944317
manual,Q_3,2,sphere,representative,3,18,0.3081395456395456,1.7307456432456432,0.97394272394272385
manual,Q_3,2,sphere,representative,5,18,0.26402771611104942,2.2894640082140083,1.348340317090317
manual,Q_3,2,sphere,representative,8,18,0.23763081054747723,3.0427566260899592,1.9599412932746267
manual,Q_3,3,image,complete,3,33,0.45580888214578058,2.3156017556418629,1.8012418879397489
manual,Q_3,3,image,complete,5,33,0.39721773324714504,3.3413931706044004,2.4537935945021507
manual,Q_3,3,image,complete,8,33,0.34870893119556223,4.6408009301057431,3.2821607784174627
manual,Q_3,3,image,representative,3,33,0.45580888214578058,2.0752138755481004,1.4620335472608199
manual,Q_3,3,image,representative,5,33,0.39721773324714504,2.9404346519988231,2.0992869899955462
manual,Q_3,3,image,representative,8,33,0.34870893119556223,4.1008085398459722,2.9890743045823256
manual,Q_3,3,sphere,complete,3,33,0.43087755728130062,2.2661541444295454,1.7224187502930819
manual,Q_3,3,sphere,complete,5,33,0.37448697074365522,3.2488386786515129,2.3551120349248689
manual,Q_3,3,sphere,complete,8,33,0.32727105287265718,4.5037211352719373,3.1778600286621677
manual,Q_3,3,sphere,representative,3,33,0.43087755728130062,2.0257958915712928,1.3886511290254606
manual,Q_3,3,sphere,representative,5,33,0.37448697074365522,2.8453210114306371,1.9863691096979865
manual,Q_3,3,sphere,representative,8,33,0.32727105287265718,3.9410555378469816,2.8204423027952439
manual,TRI_3,2,image,complete,3,29,0.38849952729263076,2.1400002296554019,1.5351240713309677
manual,TRI_3,2,image,complete,5,29,0.33314386762662623,2.9895918257987222,2.0158835417456107
manual,TRI_3,2,image,complete,8,29,0.28494360046084188,4.037178147522976,2.6235297269780027
manual,TRI_3,2,image,representative,3,29,0.38849952729263076,1.9168509651268271,1.2523654506413124
manual,TRI_3,2,image,representative,5,29,0.33314386762662623,2.6453292875706667,1.7541668102012928
manual,TRI_3,2,image,representative,8,29,0.28494360046084188,3.5905527422768801,2.4016450981968225
manual,TRI_3,2,sphere,complete,3,29,0.36540107402176369,2.0467440605371641,1.4150854892234201
manual,TRI_3,2,sphere,complete,5,29,0.31466378449137072,2.8460543288129494,1.9066814411641997
manual,TRI_3,2,sphere,complete,8,29,0.26876992739061706,3.844010395734534,2.5025212335557163
manual,TRI_3,2,sphere,representative,3,29,0.36540107402176369,1.890962485790072,1.2134951255640911
manual,TRI_3,2,sphere,representative,5,29,0.31466378449137072,2.597825067652654,1.7025881206915687
manual,TRI_3,2,sphere,representative,8,29,0.26876992739061706,3.512284650215685,2.3182005733729873
manual,TRI_3,3,image,complete,3,14,0.27338435374149661,1.9073129251700682,1.1683673469387756
manual,TRI_3,3,image,complete,5,14,0.23979591836734696,2.5481859410430836,1.5306122448979591
manual,TRI_3,3,image,complete,8,14,0.22222222222222218,3.3809523809523809,2.1428571428571432
manual,TRI_3,3,image,representative,3,14,0.27338435374149661,1.6768707482993201,0.89370748299319724
manual,TRI_3,3,image,representative,5,14,0.23979591836734696,2.2001133786848071,1.2698412698412695
manual,TRI_3,3,image,representative,8,14,0.22222222222222218,2.9126984126984126,1.8571428571428574
manual,TRI_3,3,sphere,complete,3,14,0.2638888888888889,1.860544217687075,1.1054421768707483
manual,TRI_3,3,sphere,complete,5,14,0.22902494331065756,2.4688208616780045,1.4512471655328798
manual,TRI_3,3,sphere,complete,8,14,0.20634920634920631,3.253968253968254,2.0158730158730158
manual,TRI_3,3,sphere,representative,3,14,0.2638888888888889,1.670918367346939,0.88180272108843538
manual,TRI_3,3,sphere,representative,5,14,0.22902494331065756,2.1802721088435373,1.23015873015873
manual,TRI_3,3,sphere,representative,8,14,0.20634920634920631,2.8571428571428572,1.7460317460317463
oos,QTSB_3,1,image,complete,3,7,0.6188775510204082,2.6738095238095236,2.3666666666666667
oos,QTSB_3,1,image,complete,5,7,0.55034013605442178,4.0294784580498861,3.2290249433106575
oos,QTSB_3,1,image,complete,8,7,0.48253968253968255,5.7015873015873018,4.1841269841269844
oos,QTSB_3,1,image,representative,3,7,0.6188775510204082,2.3535714285714286,1.9297619047619048
oos,QTSB_3,1,image,representative,5,7,0.55034013605442178,3.5351473922902494,2.8832199546485255
oos,QTSB_3,1,image,representative,8,7,0.48253968253968255,5.1333333333333329,4.1047619047619044
oos,QTSB_3,1,sphere,complete,3,7,0.60867346938775502,2.5916666666666663,2.2250000000000001
oos,QTSB_3,1,sphere,complete,5,7,0.54399092970521545,3.8588435374149657,3.0221088435374148
oos,QTSB_3,1,sphere,complete,8,7,0.48095238095238096,5.4476190476190478,4.0095238095238095
oos,QTSB_3,1,sphere,representative,3,7,0.60867346938775502,2.3178571428571431,1.8702380952380953
oos,QTSB_3,1,sphere,representative,5,7,0.54399092970521545,3.4642857142857144,2.8010204081632648
oos,QTSB_3,1,sphere,representative,8,7,0.48095238095238096,5.019047619047619,3.9904761904761901
oos,QTSB_3,2,image,complete,3,2,0.49365079365079367,2.3850649350649347,1.8301948051948052
oos,QTSB_3,2,image,complete,5,2,0.36562049062049062,3.2940115440115441,2.0764790764790764
oos,QTSB_3,2,image,complete,8,2,0.31111111111111112,4.3161616161616161,2.5616161616161617
oos,QTSB_3,2,image,representative,3,2,0.49365079365079367,2.3850649350649347,1.8301948051948052
oos,QTSB_3,2,image,representative,5,2,0.36562049062049062,3.2940115440115441,2.0764790764790764
oos,QTSB_3,2,image,representative,8,2,0.31111111111111112,4.316161616161617,2.5616161616161617
oos,QTSB_3,2,sphere,complete,3,2,0.49365079365079367,2.3850649350649347,1.8301948051948052
oos,QTSB_3,2,sphere,complete,5,2,0.36562049062049062,3.2940115440115441,2.0764790764790764
oos,QTSB_3,2,sphere,complete,8,2,0.31111111111111112,4.3161616161616161,2.5616161616161617
oos,QTSB_3,2,sphere,representative,3,2,0.49365079365079367,2.3850649350649347,1.8301948051948052
oos,QTSB_3,2,sphere,representative,5,2,0.36562049062049062,3.2940115440115441,2.0764790764790764
oos,QTSB_3,2,sphere,representative,8,2,0.31111111111111112,4.316161616161617,2.5616161616161617
oos,QTSB_3,3,image,complete,3,6,0.56309523809523809,2.441269841269841,2.0126984126984127
oos,QTSB_3,3,image,complete,5,6,0.47810846560846559,3.6018518518518516,2.7724867724867721
oos,QTSB_3,3,image,complete,8,6,0.39999999999999997,5.0444444444444434,3.5999999999999996
oos,QTSB_3,3,image,representative,3,6,0.56309523809523809,2.3190476190476188,1.8460317460317459
oos,QTSB_3,3,image,representative,5,6,0.47810846560846559,3.3835978835978833,2.5515873015873014
oos,QTSB_3,3,image,representative,8,6,0.39999999999999997,4.7333333333333334,3.3925925925925924
oos,QTSB_3,3,sphere,complete,3,6,0.56111111111111112,2.441269841269841,2.0126984126984127
oos,QTSB_3,3,sphere,complete,5,6,0.4777777777777778,3.6018518518518516,2.7724867724867721
oos,QTSB_3,3,sphere,complete,8,6,0.39999999999999997,5.0444444444444434,3.5999999999999996
oos,QTSB_3,3,sphere,representative,3,6,0.56111111111111112,2.3190476190476188,1.8460317460317459
oos,QTSB_3,3,sphere,representative,5,6,0.4777777777777778,3.3835978835978833,2.5515873015873014
oos,QTSB_3,3,sphere,representative,8,6,0.39999999999999997,4.7333333333333334,3.3925925925925924
oos,QT_2,1,image,complete,3,9,0.50546058879392208,2.4420181670181673,1.9487040737040739
oos,QT_2,1,image,complete,5,9,0.39548630381963717,3.466733112566446,2.3789967748301084
oos,QT_2,1,image,complete,8,9,0.29966869550202879,4.6111197444530774,2.7597254597254599
oos,QT_2,1,image,representative,3,9,0.50546058879392208,2.2045195545195546,1.6656565656565658
oos,QT_2,1,image,representative,5,9,0.39548630381963717,3.1210610377277046,2.1577095743762409
oos,QT_2,1,image,representative,8,9,0.29966869550202879,4.1981956315289644,2.6408011741345074
oos,QT_2,1,sphere,complete,3,9,0.50113528446861777,2.4543077293077293,1.968064343064343
oos,QT_2,1,sphere,complete,5,9,0.39204375871042541,3.4881376339709673,2.398316960816961
oos,QT_2,1,sphere,complete,8,9,0.29759237675904343,4.6362600362600359,2.75658292324959
oos,QT_2,1,sphere,representative,3,9,0.50113528446861777,2.1873478373478377,1.6343434343434344
oos,QT_2,1,sphere,representative,5,9,0.39204375871042541,3.0796749546749549,2.0966826383493049
oos,QT_2,1,sphere,representative,8,9,0.29759237675904343,4.1243460243460239,2.5606664939998272
oos,QT_2,2,image,complete,3,8,0.69246274558774557,2.599315268065268,2.2711975524475525
oos,QT_2,2,image,complete,5,8,0.62759462759462759,3.9706820956820956,3.3337565212565208
oos,QT_2,2,image,complete,8,8,0.56705516705516701,5.8068958818958816,4.7082362082362081
oos,QT_2,2,image,representative,3,8,0.69246274558774557,2.5263986013986015,2.1982808857808855
oos,QT_2,2,image,representative,5,8,0.62759462759462759,3.8665154290154291,3.2643120768120766
oos,QT_2,2,image,representative,8,8,0.56705516705516701,5.6818958818958816,4.6804584304584305
oos,QT_2,2,sphere,complete,3,8,0.69246274558774557,2.599315268065268,2.2711975524475525
oos,QT_2,2,sphere,complete,5,8,0.62759462759462759,3.9706820956820956,3.3337565212565208
oos,QT_2,2,sphere,complete,8,8,0.56705516705516701,5.8068958818958816,4.7082362082362081
oos,QT_2,2,sphere,representative,3,8,0.69246274558774557,2.5263986013986015,2.1982808857808855
oos,QT_2,2,sphere,representative,5,8,0.62759462759462759,3.8665154290154291,3.2643120768120766
oos,QT_2,2,sphere,representative,8,8,0.56705516705516701,5.6818958818958816,4.6804584304584305
oos,QT_3,1,image,complete,3,1,0.43214285714285711,2.3500000000000005,1.7833333333333334
oos,QT_3,1,image,complete,5,1,0.33650793650793653,3.2738095238095237,2.1547619047619051
oos,QT_3,1,image,complete,8,1,0.29999999999999999,4.3777777777777782,2.7555555555555555
oos,QT_3,1,image,representative,3,1,0.43214285714285711,1.8916666666666668,1.075
oos,QT_3,1,image,representative,5,1,0.33650793650793653,2.5,1.5
oos,QT_3,1,image,representative,8,1,0.29999999999999999,3.4000000000000004,2.4000000000000004
oos,QT_3,1,sphere,complete,3,1,0.43214285714285711,2.3500000000000005,1.7833333333333334
oos,QT_3,1,sphere,complete,5,1,0.33650793650793653,3.2738095238095237,2.1547619047619051
oos,QT_3,1,sphere,complete,8,1,0.29999999999999999,4.3777777777777782,2.7555555555555555
oos,QT_3,1,sphere,representative,3,1,0.43214285714285711,1.8916666666666668,1.075
oos,QT_3,1,sphere,representative,5,1,0.33650793650793653,2.5,1.5
oos,QT_3,1,sphere,representative,8,1,0.29999999999999999,3.4000000000000004,2.4000000000000004
oos,QT_3,2,image,complete,3,1,0.55158730158730174,2.4642857142857149,1.9761904761904761
oos,QT_3,2,image,complete,5,1,0.42460317460317459,3.4920634920634921,2.3809523809523809
oos,QT_3,2,image,complete,8,1,0.33333333333333331,4.6666666666666661,2.8888888888888888
oos,QT_3,2,image,representative,3,1,0.55158730158730174,2.4642857142857144,1.9761904761904761
oos,QT_3,2,image,representative,5,1,0.42460317460317459,3.4920634920634921,2.3809523809523809
oos,QT_3,2,image,representative,8,1,0.33333333333333331,4.6666666666666661,2.8888888888888888
oos,QT_3,2,sphere,complete,3,1,0.55158730158730174,2.4642857142857149,1.9761904761904761
oos,QT_3,2,sphere,complete,5,1,0.42460317460317459,3.4920634920634921,2.3809523809523809
oos,QT_3,2,sphere,complete,8,1,0.33333333333333331,4.6666666666666661,2.8888888888888888
oos,QT_3,2,sphere,representative,3,1,0.55158730158730174,2.4642857142857144,1.9761904761904761
oos,QT_3,2,sphere,representative,5,1,0.42460317460317459,3.4920634920634921,2.3809523809523809
oos,QT_3,2,sphere,representative,8,1,0.33333333333333331,4.6666666666666661,2.8888888888888888
oos,QT_3,3,image,complete,3,8,0.69246274558774557,2.599315268065268,2.2711975524475525
oos,QT_3,3,image,complete,5,8,0.62759462759462759,3.9706820956820956,3.3337565212565208
oos,QT_3,3,image,complete,8,8,0.56705516705516701,5.8068958818958816,4.7082362082362081
oos,QT_3,3,image,representative,3,8,0.69246274558774557,2.5263986013986015,2.1982808857808855
oos,QT_3,3,image,representative,5,8,0.62759462759462759,3.8665154290154291,3.2643120768120766
oos,QT_3,3,image,representative,8,8,0.56705516705516701,5.6818958818958816,4.6804584304584305
oos,QT_3,3,sphere,complete,3,8,0.69246274558774557,2.599315268065268,2.2711975524475525
oos,QT_3,3,sphere,complete,5,8,0.62759462759462759,3.9706820956820956,3.3337565212565208
oos,QT_3,3,sphere,complete,8,8,0.56705516705516701,5.8068958818958816,4.7082362082362081
oos,QT_3,3,sphere,representative,3,8,0.69246274558774557,2.5263986013986015,2.1982808857808855
oos,QT_3,3,sphere,representative,5,8,0.62759462759462759,3.8665154290154291,3.2643120768120766
oos,QT_3,3,sphere,representative,8,8,0.56705516705516701,5.6818958818958816,4.6804584304584305
oos,Q_2,1,image,complete,3,1,0.36507936507936506,2.2023809523809526,1.5238095238095237
oos,Q_2,1,image,complete,5,1,0.27579365079365081,2.9444444444444446,1.7063492063492063
oos,Q_2,1,image,complete,8,1,0.22222222222222221,3.7777777777777777,2
oos,Q_2,1,image,representative,3,1,0.36507936507936506,1.9880952380952386,1.2142857142857142
oos,Q_2,1,image,representative,5,1,0.27579365079365081,2.666666666666667,1.6666666666666667
oos,Q_2,1,image,representative,8,1,0.22222222222222221,3.6666666666666665,2.6666666666666665
oos,Q_2,1,sphere,complete,3,1,0.36507936507936506,2.2023809523809526,1.5238095238095237
oos,Q_2,1,sphere,complete,5,1,0.27579365079365081,2.9444444444444446,1.7063492063492063
oos,Q_2,1,sphere,complete,8,1,0.22222222222222221,3.7777777777777777,2
oos,Q_2,1,sphere,representative,3,1,0.36507936507936506,1.9880952380952386,1.2142857142857142
oos,Q_2,1,sphere,representative,5,1,0.27579365079365081,2.666666666666667,1.6666666666666667
oos,Q_2,1,sphere,representative,8,1,0.22222222222222221,3.6666666666666665,2.6666666666666665
oos,Q_2,2,image,complete,3,9,0.62500012600631794,2.5872754094890316,2.2297378375551751
oos,Q_2,2,image,complete,5,9,0.54644611303538027,3.8836506105597945,3.1129158031892805
oos,Q_2,2,image,complete,8,9,0.47351638729347706,5.5378425916093619,4.1757365212473569
oos,Q_2,2,image,representative,3,9,0.62500012600631794,2.4391858227771537,2.0209732791002137
oos,Q_2,2,image,representative,5,9,0.54644611303538027,3.6315130183809234,2.8782637927374766
oos,Q_2,2,image,representative,8,9,0.47351638729347706,5.1893971525550482,3.9674367370961807
oos,Q_2,2,sphere,complete,3,9,0.6242414892182695,2.5872754094890316,2.2297378375551751
oos,Q_2,2,sphere,complete,5,9,0.54626655403229185,3.8836506105597945,3.1129158031892805
oos,Q_2,2,sphere,complete,8,9,0.47351181670067116,5.5378425916093619,4.1757365212473569
oos,Q_2,2,sphere,representative,3,9,0.6242414892182695,2.4391858227771537,2.0209732791002137
oos,Q_2,2,sphere,representative,5,9,0.54626655403229185,3.6315130183809234,2.8782637927374766
oos,Q_2,2,sphere,representative,8,9,0.47351181670067116,5.1893971525550482,3.9674367370961807
oos,Q_3,2,image,complete,3,7,0.59510370581799155,2.4641965177679466,2.0682389039531897
oos,Q_3,2,image,complete,5,7,0.52326245183388043,3.6937943009371579,2.9672113600685028
oos,Q_3,2,image,complete,8,7,0.44600122100122103,5.2742257742257745,3.9815517815517816
oos,Q_3,2,image,representative,3,7,0.59510370581799155,2.336645497359783,1.8998715570144142
oos,Q_3,2,image,representative,5,7,0.52326245183388043,3.4819941962799104,2.7712406640978071
oos,Q_3,2,image,representative,8,7,0.44600122100122103,4.968364968364968,3.7599400599400599
