condition,config,subtype,metric,partition,k,images,images_with_remaining_person,min_pool_N,max_pool_N,prefix_K,prefix_singletons,fixed_K,pair_uncovered,largest_share,old_relation_churn
manual,QTSB_3,3,image,complete,8,32,27,8,11,4.6564062499999999,3.4071875,4.76171875,0.37648148148148147,0.48666015624999998,0.014092261904761887
manual,QTSB_3,3,image,representative,3,45,45,6,11,2.0692222222222223,1.449888888888889,2.0178888888888888,0.4357003968253968,0.64359259259259249,0.019111111111111096
manual,QTSB_3,3,image,representative,5,45,45,6,11,2.8806666666666665,2.048888888888889,2.845333333333333,0.38230740740740737,0.61495555555555548,0.016333333333333307
manual,QTSB_3,3,image,representative,8,32,27,8,11,4.1604687499999997,3.1823437499999998,4.1559375000000003,0.37648148148148147,0.58775390625000001,0.010617559523809503
manual,QTSB_3,3,sphere,complete,3,45,45,6,11,2.0677777777777777,1.4204444444444444,2.1634444444444445,0.40852552910052908,0.64407407407407402,0.017666666666666657
manual,QTSB_3,3,sphere,complete,5,45,45,6,11,2.976777777777778,2.0486666666666666,3.0741111111111112,0.35748888888888886,0.58053333333333335,0.015499999999999981
manual,QTSB_3,3,sphere,complete,8,32,27,8,11,4.4271874999999996,3.2043749999999998,4.50875,0.3376851851851852,0.52435546874999994,0.011785714285714259
manual,QTSB_3,3,sphere,representative,3,45,45,6,11,2.0145555555555554,1.3672222222222221,1.9625555555555556,0.40852552910052908,0.66181481481481474,0.017999999999999985
manual,QTSB_3,3,sphere,representative,5,45,45,6,11,2.770888888888889,1.9059999999999999,2.7315555555555555,0.35748888888888886,0.63435555555555556,0.01220370370370368
manual,QTSB_3,3,sphere,representative,8,32,27,8,11,3.9143750000000002,2.8885937500000001,3.91453125,0.3376851851851852,0.61529296874999995,0.011041666666666646
manual,QT_2,1,image,complete,3,45,45,9,17,1.9757777777777776,1.3078888888888889,2.0993333333333335,0.36967329429829426,0.67474074074074064,0.020555555555555546
manual,QT_2,1,image,complete,5,45,45,9,17,2.8094444444444444,1.8275555555555554,2.9442222222222223,0.30544170675004007,0.61040000000000005,0.015314814814814793
manual,QT_2,1,image,complete,8,45,45,9,17,3.8495555555555554,2.4146666666666667,3.9446666666666665,0.25632777777777777,0.56931944444444438,0.0094761904761904523
manual,QT_2,1,image,complete,12,21,17,12,17,4.7302380952380947,2.5033333333333334,4.7869047619047622,0.18692647058823528,0.54015873015873006,0.0088095238095237862
manual,QT_2,1,image,complete,16,6,1,16,17,6.1400000000000006,3.6400000000000001,6.1400000000000006,0.16,0.57458333333333333,0.0031587301587301495
manual,QT_2,1,image,representative,3,45,45,9,17,1.9193333333333333,1.2514444444444444,1.8595555555555554,0.36967329429829426,0.69355555555555548,0.01755555555555555
manual,QT_2,1,image,representative,5,45,45,9,17,2.6131111111111114,1.7038888888888888,2.5516666666666667,0.30544170675004007,0.66420000000000001,0.011722222222222209
manual,QT_2,1,image,representative,8,45,45,9,17,3.4470000000000001,2.2238888888888888,3.4035555555555557,0.25632777777777777,0.6542916666666666,0.0053174603174602972
manual,QT_2,1,image,representative,12,21,17,12,17,4.0571428571428569,2.3188095238095237,4.0440476190476193,0.18692647058823528,0.65815476190476185,0.0043073593073592858
manual,QT_2,1,image,representative,16,6,1,16,17,5.4733333333333336,3.4733333333333332,5.4733333333333336,0.16,0.64749999999999996,0.002198412698412667
manual,QT_2,1,sphere,complete,3,45,45,9,17,1.9143333333333332,1.2224444444444444,2.0231111111111111,0.34603861447194778,0.69522222222222219,0.018888888888888879
manual,QT_2,1,sphere,complete,5,45,45,9,17,2.6862222222222223,1.7110000000000001,2.8178888888888891,0.28930913900913896,0.63871111111111101,0.013925925925925904
manual,QT_2,1,sphere,complete,8,45,45,9,17,3.6619999999999999,2.2965555555555555,3.7771111111111111,0.24614351851851851,0.60477777777777775,0.0093544973544973323
manual,QT_2,1,sphere,complete,12,21,17,12,17,4.5259523809523809,2.4228571428571426,4.6100000000000003,0.17449999999999999,0.57746031746031734,0.0095021645021644719
manual,QT_2,1,sphere,complete,16,6,1,16,17,5.8066666666666675,3.4733333333333332,5.8066666666666675,0.16,0.61624999999999996,0.0031587301587301495
manual,QT_2,1,sphere,representative,3,45,45,9,17,1.8645555555555555,1.1726666666666667,1.8291111111111111,0.34603861447194778,0.71181481481481479,0.01511111111111111
manual,QT_2,1,sphere,representative,5,45,45,9,17,2.5251111111111109,1.6107777777777779,2.4908888888888892,0.28930913900913896,0.68311111111111111,0.010277777777777764
manual,QT_2,1,sphere,representative,8,45,45,9,17,3.3346666666666667,2.1271111111111112,3.3076666666666665,0.24614351851851851,0.67126388888888888,0.0059682539682539447
manual,QT_2,1,sphere,representative,12,21,17,12,17,3.8707142857142856,2.2038095238095239,3.8695238095238098,0.17449999999999999,0.67648809523809517,0.0056969696969696813
manual,QT_2,1,sphere,representative,16,6,1,16,17,5.3066666666666666,3.3066666666666666,5.3066666666666666,0.16,0.65791666666666659,0.00036507936507934998
manual,QT_2,2,image,complete,3,45,45,5,13,2.0860000000000003,1.4652222222222222,2.2075555555555555,0.43167888007054672,0.6379999999999999,0.012333333333333319
manual,QT_2,2,image,complete,5,45,44,5,13,3.0357777777777781,2.1637777777777778,3.1677777777777782,0.37262297077922074,0.57004444444444435,0.014481481481481463
manual,QT_2,2,image,complete,8,38,37,8,13,4.2618421052631579,3.0953947368421053,4.3628947368421054,0.35420495495495491,0.53648026315789477,0.012493734335839581
manual,QT_2,2,image,complete,12,19,3,12,13,6.0497368421052631,4.4773684210526312,6.0863157894736846,0.0433333333333333,0.48453947368421046,0.025444976076555003
manual,QT_2,2,image,representative,3,45,45,5,13,2.0443333333333333,1.4235555555555557,2.0125555555555557,0.43167888007054672,0.65188888888888885,0.015111111111111103
manual,QT_2,2,image,representative,5,45,44,5,13,2.8656666666666668,2.0552222222222221,2.8504444444444448,0.37262297077922074,0.61637777777777769,0.0075370370370370227
manual,QT_2,2,image,representative,8,38,37,8,13,3.9235526315789473,2.9548684210526317,3.9280263157894733,0.35420495495495491,0.6127631578947369,0.0069110275689222948
manual,QT_2,2,image,representative,12,19,3,12,13,5.3505263157894731,4.2452631578947368,5.3550000000000004,0.0433333333333333,0.61552631578947359,0.0063349282296650631
manual,QT_2,2,sphere,complete,3,45,45,5,13,2.0498888888888889,1.411,2.1503333333333332,0.41332173721340387,0.65003703703703697,0.011111111111111098
manual,QT_2,2,sphere,complete,5,45,44,5,13,2.9491111111111112,2.0467777777777778,3.0554444444444444,0.35353409090909088,0.58455555555555549,0.013481481481481464
manual,QT_2,2,sphere,complete,8,38,37,8,13,4.0510526315789477,2.8419736842105263,4.1313157894736845,0.33073198198198195,0.55942434210526315,0.0089348370927318163
manual,QT_2,2,sphere,complete,12,19,3,12,13,5.7039473684210522,4.0578947368421048,5.7300000000000004,0.024999999999999967,0.5368201754385965,0.0083923444976076265
manual,QT_2,2,sphere,representative,3,45,45,5,13,2.0086666666666666,1.3697777777777778,1.9832222222222222,0.41332173721340387,0.66377777777777769,0.014777777777777768
manual,QT_2,2,sphere,representative,5,45,44,5,13,2.7961111111111112,1.9590000000000001,2.7858888888888886,0.35353409090909088,0.62819999999999998,0.0082037037037036905
manual,QT_2,2,sphere,representative,8,38,37,8,13,3.7803947368421054,2.7578947368421054,3.7778947368421054,0.33073198198198195,0.62501644736842099,0.0069298245614034951
manual,QT_2,2,sphere,representative,12,19,3,12,13,5.1571052631578951,3.9465789473684212,5.1510526315789473,0.024999999999999967,0.62725877192982449,0.0065502392344497532
manual,QT_3,1,image,complete,3,34,33,3,10,1.7507352941176471,0.99102941176470594,1.8011764705882354,0.24350829725829723,0.7497549019607842,0.015735294117647056
manual,QT_3,1,image,complete,5,25,21,5,10,2.4784000000000002,1.2592000000000001,2.4962,0.20579761904761903,0.64495999999999998,0.021399999999999992
manual,QT_3,1,image,complete,8,7,7,9,10,3.9492857142857147,2.6514285714285717,3.9492857142857147,0.29857142857142854,0.58973214285714282,0
manual,QT_3,1,image,representative,3,34,33,3,10,1.701029411764706,0.94132352941176456,1.6902941176470587,0.24350829725829723,0.76632352941176474,0.016323529411764705
manual,QT_3,1,image,representative,5,25,21,5,10,2.3115999999999999,1.2224000000000002,2.3028,0.20579761904761903,0.70432000000000006,0.012566666666666657
manual,QT_3,1,image,representative,8,7,7,9,10,3.9492857142857147,2.6514285714285717,3.9492857142857147,0.29857142857142854,0.58973214285714282,0
manual,QT_3,1,sphere,complete,3,34,33,3,10,1.6817647058823528,0.9052941176470588,1.716764705882353,0.22345779220779216,0.77274509803921565,0.01294117647058823
manual,QT_3,1,sphere,complete,5,25,21,5,10,2.3239999999999998,1.1674,2.3296000000000001,0.18622619047619046,0.69159999999999999,0.019366666666666657
manual,QT_3,1,sphere,complete,8,7,7,9,10,3.8400000000000003,2.5421428571428573,3.8400000000000003,0.28178571428571425,0.60339285714285718,0
manual,QT_3,1,sphere,representative,3,34,33,3,10,1.6411764705882352,0.8647058823529411,1.6327941176470588,0.22345779220779216,0.78627450980392144,0.013823529411764703
manual,QT_3,1,sphere,representative,5,25,21,5,10,2.1783999999999999,1.1118000000000001,2.1762000000000001,0.18622619047619046,0.73872000000000004,0.011166666666666656
manual,QT_3,1,sphere,representative,8,7,7,9,10,3.8400000000000003,2.5421428571428573,3.8400000000000003,0.28178571428571425,0.60339285714285718,0
manual,QT_3,2,image,complete,3,45,45,5,12,2.0546666666666664,1.4315555555555557,2.1462222222222223,0.41524753086419752,0.64844444444444438,0.017222222222222212
manual,QT_3,2,image,complete,5,45,44,5,12,2.9646666666666666,2.0702222222222222,3.0279999999999996,0.34976596320346315,0.58706666666666663,0.01496296296296295
manual,QT_3,2,image,complete,8,15,11,8,12,4.149,2.9746666666666663,4.2056666666666667,0.29715909090909087,0.5608749999999999,0.0066984126984126792
manual,QT_3,2,image,complete,12,6,0,12,12,6,4.666666666666667,6,,0.51388888888888884,0.013636363636363618
manual,QT_3,2,image,representative,3,45,45,5,12,2.0064444444444445,1.3833333333333333,1.9808888888888889,0.41524753086419752,0.6645185185185184,0.015888888888888879
manual,QT_3,2,image,representative,5,45,44,5,12,2.7943333333333333,1.9553333333333331,2.786888888888889,0.34976596320346315,0.63222222222222224,0.005351851851851842
manual,QT_3,2,image,representative,8,15,11,8,12,3.8199999999999998,2.7273333333333332,3.8179999999999996,0.29715909090909087,0.61570833333333341,0.0042380952380952205
manual,QT_3,2,image,representative,12,6,0,12,12,5.333333333333333,4.166666666666667,5.333333333333333,,0.61111111111111105,0
manual,QT_3,2,sphere,complete,3,45,45,5,12,2.0249999999999999,1.3921111111111111,2.1013333333333333,0.40388950617283942,0.65833333333333321,0.013222222222222215
manual,QT_3,2,sphere,complete,5,45,44,5,12,2.8941111111111115,1.9952222222222222,2.9515555555555553,0.33838609307359307,0.60271111111111109,0.013203703703703695
manual,QT_3,2,sphere,complete,8,15,11,8,12,4.0113333333333339,2.8006666666666664,4.0586666666666664,0.29704545454545445,0.57558333333333322,0.0095714285714285606
manual,QT_3,2,sphere,complete,12,6,0,12,12,5.666666666666667,4.333333333333333,5.666666666666667,,0.56944444444444442,0.009757575757575734
manual,QT_3,2,sphere,representative,3,45,45,5,12,1.9868888888888887,1.3540000000000001,1.9666666666666666,0.40388950617283942,0.67103703703703699,0.012666666666666661
manual,QT_3,2,sphere,representative,5,45,44,5,12,2.7572222222222225,1.899888888888889,2.7485555555555554,0.33838609307359307,0.63840000000000008,0.0035370370370370312
manual,QT_3,2,sphere,representative,8,15,11,8,12,3.7629999999999999,2.6703333333333332,3.7556666666666669,0.29704545454545445,0.62283333333333324,0.0016190476190476066
manual,QT_3,2,sphere,representative,12,6,0,12,12,5.333333333333333,4.166666666666667,5.333333333333333,,0.61111111111111105,0
manual,QT_3,3,image,complete,3,45,45,5,13,2.0920000000000001,1.4725555555555556,2.197888888888889,0.41753690476190475,0.6359999999999999,0.013666666666666657
manual,QT_3,3,image,complete,5,45,44,5,13,3.0055555555555555,2.0451111111111113,3.1211111111111109,0.35173011363636358,0.56995555555555555,0.01492592592592591
manual,QT_3,3,image,complete,8,32,31,8,13,4.2560937499999998,3.0596874999999999,4.3529687500000005,0.35231720430107522,0.53410156249999996,0.013065476190476176
manual,QT_3,3,image,complete,12,13,3,12,13,6.0726923076923072,4.3899999999999997,6.1261538461538461,0.0433333333333333,0.47099358974358968,0.030895104895104868
manual,QT_3,3,image,representative,3,45,45,5,13,2.044888888888889,1.4254444444444443,2.0143333333333331,0.41753690476190475,0.65170370370370367,0.016999999999999991
manual,QT_3,3,image,representative,5,45,44,5,13,2.8394444444444447,1.9637777777777778,2.8195555555555556,0.35173011363636358,0.62013333333333331,0.014870370370370358
manual,QT_3,3,image,representative,8,32,31,8,13,3.9249999999999998,2.9503124999999999,3.930625,0.35231720430107522,0.61257812499999997,0.0080803571428571305
manual,QT_3,3,image,representative,12,13,3,12,13,5.3584615384615386,4.2815384615384611,5.3650000000000002,0.0433333333333333,0.61756410256410255,0.0092587412587412463
manual,QT_3,3,sphere,complete,3,45,45,5,13,2.0305555555555554,1.3711111111111112,2.1313333333333331,0.38238963844797175,0.65648148148148144,0.015888888888888879
manual,QT_3,3,sphere,complete,5,45,44,5,13,2.8766666666666665,1.8793333333333331,2.9755555555555557,0.32277110389610386,0.5915999999999999,0.013907407407407387
manual,QT_3,3,sphere,complete,8,32,31,8,13,4.0445312500000004,2.7974999999999999,4.1237500000000002,0.32434139784946237,0.555546875,0.0091889880952380817
manual,QT_3,3,sphere,complete,12,13,3,12,13,5.7211538461538458,3.930769230769231,5.7592307692307694,0.024999999999999967,0.52176282051282041,0.0077622377622377312
manual,QT_3,3,sphere,representative,3,45,45,5,13,1.9734444444444446,1.3140000000000001,1.9407777777777777,0.38238963844797175,0.67551851851851841,0.020555555555555542
manual,QT_3,3,sphere,representative,5,45,44,5,13,2.6970000000000001,1.7998888888888891,2.6787777777777779,0.32277110389610386,0.6475777777777777,0.017296296296296282
manual,QT_3,3,sphere,representative,8,32,31,8,13,3.7553125000000001,2.7167187500000001,3.7523437500000001,0.32434139784946237,0.62708984374999999,0.0082291666666666503
manual,QT_3,3,sphere,representative,12,13,3,12,13,5.0757692307692306,3.8449999999999998,5.0669230769230769,0.024999999999999967,0.63471153846153838,0.0095734265734265626
manual,Q_2,1,image,complete,3,33,27,3,14,1.7054545454545456,0.93727272727272726,1.7437878787878789,0.27311616161616159,0.76484848484848478,0.010909090909090903
manual,Q_2,1,image,complete,5,27,26,5,14,2.3494444444444444,1.2057407407407408,2.3824074074074075,0.20757478632478629,0.68792592592592583,0.010154320987654316
manual,Q_2,1,image,complete,8,10,6,8,14,3.6734999999999998,2.4394999999999998,3.7170000000000001,0.3009722222222222,0.61937500000000001,0.012119047619047609
manual,Q_2,1,image,complete,12,2,2,14,14,5.3224999999999998,3.4075000000000002,5.3824999999999994,0.30875000000000002,0.52666666666666673,0.0042727272727272501
manual,Q_2,1,image,representative,3,33,27,3,14,1.676212121212121,0.90803030303030308,1.6513636363636364,0.27311616161616159,0.7745959595959595,0.008939393939393931
manual,Q_2,1,image,representative,5,27,26,5,14,2.2400000000000002,1.1664814814814815,2.2192592592592595,0.20757478632478629,0.72385185185185186,0.0095061728395061662
manual,Q_2,1,image,representative,8,10,6,8,14,3.5259999999999998,2.4564999999999997,3.5499999999999998,0.3009722222222222,0.67218749999999994,0.0070476190476190404
manual,Q_2,1,image,representative,12,2,2,14,14,5.1400000000000006,4.0175000000000001,5.2650000000000006,0.30875000000000002,0.64041666666666663,0.011727272727272701
manual,Q_2,1,sphere,complete,3,33,27,3,14,1.6510606060606061,0.85651515151515156,1.6884848484848485,0.24612542087542086,0.78297979797979789,0.01136363636363636
manual,Q_2,1,sphere,complete,5,27,26,5,14,2.2362962962962962,1.0955555555555554,2.2633333333333332,0.1907799145299145,0.7115555555555555,0.010555555555555552
manual,Q_2,1,sphere,complete,8,10,6,8,14,3.4735,2.238,3.5170000000000003,0.3009722222222222,0.63168750000000007,0.0049523809523809399
manual,Q_2,1,sphere,complete,12,2,2,14,14,5.3224999999999998,3.4075000000000002,5.3824999999999994,0.30875000000000002,0.52666666666666673,0.0038636363636363499
manual,Q_2,1,sphere,representative,3,33,27,3,14,1.6172727272727272,0.82272727272727264,1.6045454545454547,0.24612542087542086,0.79424242424242419,0.011363636363636357
manual,Q_2,1,sphere,representative,5,27,26,5,14,2.1261111111111113,1.0644444444444445,2.1288888888888886,0.1907799145299145,0.7494074074074073,0.0112037037037037
manual,Q_2,1,sphere,representative,8,10,6,8,14,3.4259999999999997,2.3564999999999996,3.4500000000000002,0.3009722222222222,0.6846875,0.02049999999999999
manual,Q_2,1,sphere,representative,12,2,2,14,14,5.1400000000000006,4.0175000000000001,5.2650000000000006,0.30875000000000002,0.64041666666666663,0.011727272727272701
manual,Q_2,2,image,complete,3,45,45,10,22,2.0745555555555555,1.4473333333333331,2.2507777777777775,0.41249936523792297,0.64181481481481473,0.016444444444444442
manual,Q_2,2,image,complete,5,45,45,10,22,2.9596666666666667,2.0314444444444444,3.1878888888888892,0.3567274434715611,0.58184444444444439,0.01375925925925923
manual,Q_2,2,image,complete,8,45,45,10,22,4.1794444444444441,2.8313333333333333,4.4031111111111105,0.3092322180905514,0.53502777777777777,0.012306878306878277
manual,Q_2,2,image,complete,12,42,42,15,22,5.6792857142857143,3.8221428571428571,5.8598809523809523,0.27772146636432343,0.49847222222222215,0.010731601731601705
manual,Q_2,2,image,complete,16,37,32,16,22,6.8936486486486483,4.5717567567567565,6.9820270270270264,0.26056249999999997,0.48050675675675675,0.013468468468468447
manual,Q_2,2,image,representative,3,45,45,10,22,2.0264444444444445,1.3992222222222221,1.9815555555555555,0.41249936523792297,0.65785185185185169,0.016555555555555535
manual,Q_2,2,image,representative,5,45,45,10,22,2.7871111111111113,1.9159999999999999,2.7453333333333334,0.3567274434715611,0.62777777777777766,0.0081296296296296082
manual,Q_2,2,image,representative,8,45,45,10,22,3.8066666666666671,2.6511111111111112,3.7785555555555557,0.3092322180905514,0.61265277777777771,0.0056719576719576406
manual,Q_2,2,image,representative,12,42,42,15,22,5.0298809523809522,3.5910714285714285,5.0291666666666668,0.27772146636432343,0.60841269841269841,0.0043571428571428355
manual,Q_2,2,image,representative,16,37,32,16,22,6.0381081081081076,4.3683783783783783,6.0620270270270264,0.26056249999999997,0.61091216216216215,0.0034041184041183779
manual,Q_2,2,sphere,complete,3,45,45,10,22,2.028,1.3788888888888888,2.1819999999999999,0.39194716481059355,0.65733333333333333,0.014999999999999982
manual,Q_2,2,sphere,complete,5,45,45,10,22,2.8695555555555554,1.9311111111111112,3.0658888888888889,0.33872611380993733,0.60035555555555553,0.013925925925925909
manual,Q_2,2,sphere,complete,8,45,45,10,22,4.0217777777777775,2.6859999999999999,4.2181111111111109,0.29391717264217265,0.55790277777777775,0.012645502645502613
manual,Q_2,2,sphere,complete,12,42,42,15,22,5.4485714285714284,3.6526190476190474,5.5926190476190483,0.26424064625850335,0.52548611111111099,0.011160173160173134
manual,Q_2,2,sphere,complete,16,37,32,16,22,6.6222972972972975,4.4254054054054057,6.6875675675675677,0.24781510416666663,0.51165540540540533,0.012954954954954925
manual,Q_2,2,sphere,representative,3,45,45,10,22,1.9816666666666667,1.3325555555555555,1.9392222222222222,0.39194716481059355,0.6727777777777777,0.016333333333333321
manual,Q_2,2,sphere,representative,5,45,45,10,22,2.705111111111111,1.8197777777777777,2.665,0.33872611380993733,0.6438666666666667,0.0082037037037036818
manual,Q_2,2,sphere,representative,8,45,45,10,22,3.6745555555555551,2.5125555555555557,3.6423333333333332,0.29391717264217265,0.62904166666666661,0.0058518518518518312
manual,Q_2,2,sphere,representative,12,42,42,15,22,4.8327380952380947,3.4003571428571426,4.8133333333333335,0.26424064625850335,0.62518849206349203,0.0044848484848484691
manual,Q_2,2,sphere,representative,16,37,32,16,22,5.7551351351351352,4.0944594594594594,5.7672972972972971,0.24781510416666663,0.62945101351351351,0.0043796653796653595
manual,Q_3,1,image,complete,3,21,9,3,6,1.6264285714285716,0.80023809523809519,1.6309523809523809,0.21129629629629623,0.79119047619047611,0.0066666666666666671
manual,Q_3,1,image,complete,5,9,8,5,6,2.1005555555555557,0.8455555555555555,2.1005555555555557,0.13687499999999997,0.72111111111111104,0
manual,Q_3,1,image,representative,3,21,9,3,6,1.6092857142857144,0.78309523809523807,1.5947619047619048,0.21129629629629623,0.79690476190476189,0.0052380952380952379
manual,Q_3,1,image,representative,5,9,8,5,6,2.0116666666666667,0.8322222222222222,1.9894444444444446,0.13687499999999997,0.754,0.015740740740740736
manual,Q_3,1,sphere,complete,3,21,9,3,6,1.6071428571428572,0.76428571428571435,1.6116666666666666,0.18629629629629627,0.79761904761904767,0.0066666666666666671
manual,Q_3,1,sphere,complete,5,9,8,5,6,2.0061111111111112,0.70999999999999996,2.0061111111111112,0.11812499999999998,0.73177777777777775,0
manual,Q_3,1,sphere,representative,3,21,9,3,6,1.5900000000000001,0.74714285714285722,1.5754761904761905,0.18629629629629627,0.80333333333333323,0.0052380952380952379
manual,Q_3,1,sphere,representative,5,9,8,5,6,1.9172222222222222,0.69666666666666677,1.895,0.11812499999999998,0.76466666666666661,0.015740740740740736
manual,Q_3,2,image,complete,3,45,45,5,16,1.9172222222222224,1.2281111111111112,2.0011111111111108,0.35186232193732192,0.69425925925925924,0.0089999999999999889
manual,Q_3,2,image,complete,5,45,39,5,16,2.6613333333333333,1.6666666666666667,2.7410000000000001,0.29144724719724718,0.64444444444444449,0.012962962962962956
manual,Q_3,2,image,complete,8,24,18,8,16,3.5391666666666666,2.1043750000000001,3.6520833333333331,0.24479894179894179,0.60205729166666666,0.011676587301587276
manual,Q_3,2,image,complete,12,14,11,12,16,4.6232142857142851,2.9785714285714286,4.7096428571428577,0.20893939393939395,0.58943452380952377,0.0034155844155844069
manual,Q_3,2,image,complete,16,6,0,16,16,6.166666666666667,4.5,6.166666666666667,,0.625,0.0013333333333333333
manual,Q_3,2,image,representative,3,45,45,5,16,1.8882222222222222,1.1991111111111112,1.8547777777777779,0.35186232193732192,0.70392592592592595,0.010777777777777773
manual,Q_3,2,image,representative,5,45,39,5,16,2.5425555555555559,1.6012222222222223,2.5122222222222224,0.29144724719724718,0.67886666666666662,0.004944444444444431
manual,Q_3,2,image,representative,8,24,18,8,16,3.2093750000000001,1.9677083333333334,3.1870833333333333,0.24479894179894179,0.68010416666666662,0.004573412698412679
manual,Q_3,2,image,representative,12,14,11,12,16,4.0796428571428569,2.7821428571428575,4.0689285714285717,0.20893939393939395,0.68880952380952376,0.0032857142857142642
manual,Q_3,2,image,representative,16,6,0,16,16,5.666666666666667,4,5.666666666666667,,0.65625,0.00052380952380951668
manual,Q_3,2,sphere,complete,3,45,45,5,16,1.8719999999999999,1.1574444444444445,1.9465555555555556,0.3244958689458689,0.70933333333333326,0.01044444444444443
manual,Q_3,2,sphere,complete,5,45,39,5,16,2.5653333333333332,1.5473333333333332,2.6323333333333334,0.27634468309468307,0.66157777777777771,0.013703703703703694
manual,Q_3,2,sphere,complete,8,24,18,8,16,3.4681250000000001,2.0722916666666666,3.578125,0.23527347883597882,0.62203124999999992,0.0085714285714285545
manual,Q_3,2,sphere,complete,12,14,11,12,16,4.5839285714285714,2.9392857142857141,4.635357142857143,0.20643939393939392,0.59288690476190475,0.0068181818181817996
manual,Q_3,2,sphere,complete,16,6,0,16,16,6.166666666666667,4.5,6.166666666666667,,0.625,0.00146031746031745
