task_cell_id,stage,condition,dataset_group,base_task_id,dense_role,full_valid_support,k,replicates,full_mask_distance,estimate_mean,estimate_bias,estimate_q05,estimate_q95,mean_absolute_error,probability_abs_error_le_0_02,probability_abs_error_le_0_03,probability_abs_error_le_0_05,full_cardinality_diverse,probability_detect_cardinality_diversity,probability_full_top1_is_sample_mode,probability_cover_full_top2_cardinalities,main_dense42_mask_q80,probability_estimate_above_main_q80,stage_dense_mask_q80,probability_estimate_above_stage_q80
C1|manual|C1_anchor_all|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,main_p1_c1_dense42,23,15,1000,0.06457111216113183,0.06450210502487917,-6.900713625265786e-05,0.04114690738545447,0.08152012404223687,0.012023267403232448,0.893,0.993,1.0,False,0.0,1.0,,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,C1,manual,C1_anchor_all,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,main_p1_c1_dense42,23,20,1000,0.06457111216113183,0.0647782279018535,0.00020711574072167227,0.04609173132855679,0.07064401945386081,0.00507921732393271,0.988,1.0,1.0,False,0.0,1.0,,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,manual,C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,main_p1_c1_dense42,23,3,1000,0.14220505737229328,0.14156715174922993,-0.0006379056230633451,0.09607320653196878,0.188803475592541,0.02404910091689012,0.47,0.659,0.927,True,0.929,0.681,0.495,0.1931645996469437,0.034,0.1467919751474915,0.397
C1|manual|C1_anchor_all|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,manual,C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,main_p1_c1_dense42,23,5,1000,0.14220505737229328,0.14132085382046464,-0.0008842035518286384,0.10686761313197721,0.17116528247977414,0.0158603357588238,0.689,0.874,0.992,True,0.996,0.661,0.79,0.1931645996469437,0.0,0.1467919751474915,0.423
C1|manual|C1_anchor_all|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,manual,C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,main_p1_c1_dense42,23,8,1000,0.14220505737229328,0.14255863855987616,0.00035358118758288537,0.11917319141626569,0.1633437955635366,0.01118932917949225,0.852,0.976,1.0,True,1.0,0.712,0.972,0.1931645996469437,0.0,0.1467919751474915,0.409
C1|manual|C1_anchor_all|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,manual,C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,main_p1_c1_dense42,23,10,1000,0.14220505737229328,0.14215044516339098,-5.461220890229379e-05,0.12262641848238195,0.15855752980704818,0.008748930887524164,0.939,0.996,1.0,True,1.0,0.751,0.996,0.1931645996469437,0.0,0.1467919751474915,0.357
C1|manual|C1_anchor_all|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,manual,C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,main_p1_c1_dense42,23,12,1000,0.14220505737229328,0.14206668484571286,-0.00013837252658041588,0.12637818333112763,0.15618272869877053,0.007078214084231375,0.969,1.0,1.0,True,1.0,0.802,0.999,0.1931645996469437,0.0,0.1467919751474915,0.306
C1|manual|C1_anchor_all|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,manual,C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,main_p1_c1_dense42,23,15,1000,0.14220505737229328,0.1421104864122332,-9.457096006007526e-05,0.13025434439108483,0.15268982792230432,0.0054801248139767665,0.999,1.0,1.0,True,1.0,0.809,1.0,0.1931645996469437,0.0,0.1467919751474915,0.268
C1|manual|C1_anchor_all|uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,C1,manual,C1_anchor_all,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,main_p1_c1_dense42,23,20,1000,0.14220505737229328,0.14235797581963658,0.00015291844734330318,0.13566035469205462,0.14742894114614427,0.0028934462737481396,1.0,1.0,1.0,True,1.0,0.949,1.0,0.1931645996469437,0.0,0.1467919751474915,0.097
C1|manual|C1_anchor_all|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,main_p1_c1_dense42,23,3,1000,0.10895340349385481,0.10811775305156819,-0.0008356504422866173,0.03946915554070762,0.15320942960146397,0.02513040587675476,0.488,0.675,0.897,True,0.831,0.693,0.654,0.1931645996469437,0.0,0.1467919751474915,0.093
