condition,k,method,images,kernel,brier,tv
semi,4,profile_type3,18,0.7010459630103681,0.2678951433681231,0.14544546849079013
semi,4,profile_type4,18,0.6928367869343179,0.265965212128888,0.1434330911264391
semi,4,selected_profile,18,0.7006424739819435,0.26535660132192884,0.13721881743964226
semi,6,equal,18,0.6663927113291483,0.2589617122569192,0.1323945473251029
semi,6,profile_context,18,0.6540115576372418,0.2547801709015254,0.12657569191106502
semi,6,profile_continuous,18,0.6531495849525024,0.2544360139858935,0.12662658794651305
semi,6,profile_type2,18,0.6655649390562542,0.24651390782779162,0.1273469677222741
semi,6,profile_type3,18,0.6558213370692388,0.2505304612753023,0.12827687595099768
semi,6,profile_type4,18,0.6504538497191015,0.25228447775200613,0.1274492918309299
semi,6,selected_profile,18,0.6512940101018738,0.2556334445777399,0.12840180447832653
semi,8,equal,18,0.6414173555020216,0.2523106812169312,0.11961529982363316
semi,8,profile_context,18,0.6180566046890648,0.24157210126926834,0.11750040512927803
semi,8,profile_continuous,18,0.6189386407461082,0.24365332672368123,0.11801483449885025
semi,8,profile_type2,18,0.6368924896701189,0.23757142862504763,0.11464794348476431
semi,8,profile_type3,18,0.624502416757618,0.23932155891888143,0.11445653514017742
semi,8,profile_type4,18,0.617160071201289,0.2415543159465717,0.11627012841059628
semi,8,selected_profile,18,0.6242482612206448,0.24203889980422488,0.11463443853938274
