condition,outer_building,k,selected,inner_images,losses
manual,rPc6DW4iMge,4,equal,64,"{'equal': 0.9256907587640475, 'profile_context': 0.9863830130806182, 'profile_continuous': 0.968301895176084, 'profile_type2': 0.9548355042743942, 'profile_type3': 0.9640806131717695, 'profile_type4': 0.9638655279326618}"
manual,rPc6DW4iMge,6,equal,40,"{'equal': 0.8944676611308804, 'profile_context': 0.9474693552180448, 'profile_continuous': 0.9350567143659143, 'profile_type2': 0.9167848996714429, 'profile_type3': 0.925172997990846, 'profile_type4': 0.9234212849438013}"
manual,rPc6DW4iMge,8,equal,40,"{'equal': 0.8575943097777639, 'profile_context': 0.8954121419655298, 'profile_continuous': 0.8811689348223259, 'profile_type2': 0.8743134564792273, 'profile_type3': 0.8784809794184796, 'profile_type4': 0.8777915544949828}"
manual,uNb9QFRL6hY,2,equal,107,"{'equal': 1.134958480105247, 'profile_context': 1.195123084279906, 'profile_continuous': 1.186712447957719, 'profile_type2': 1.1657023624065608, 'profile_type3': 1.1725825482263617, 'profile_type4': 1.172669286812719}"
manual,uNb9QFRL6hY,4,equal,57,"{'equal': 0.9068187590079166, 'profile_context': 0.9644949077138485, 'profile_continuous': 0.9499465400917136, 'profile_type2': 0.9249918123659286, 'profile_type3': 0.9399372893618383, 'profile_type4': 0.9402109025658298}"
manual,uNb9QFRL6hY,6,equal,35,"{'equal': 0.8552285372947037, 'profile_context': 0.9035562357816073, 'profile_continuous': 0.8957715905421603, 'profile_type2': 0.8776139762806552, 'profile_type3': 0.8876952474487023, 'profile_type4': 0.8825741157167265}"
manual,uNb9QFRL6hY,8,equal,35,"{'equal': 0.822691060477348, 'profile_context': 0.8520467703835749, 'profile_continuous': 0.844407983361957, 'profile_type2': 0.8364586534752123, 'profile_type3': 0.8422182576756082, 'profile_type4': 0.8379950806569666}"
manual,wc2JMjhGNzB,2,equal,122,"{'equal': 1.1334213525754502, 'profile_context': 1.1973976575722785, 'profile_continuous': 1.183862079822358, 'profile_type2': 1.1696979858627392, 'profile_type3': 1.1652104572054185, 'profile_type4': 1.1755138730202013}"
manual,wc2JMjhGNzB,4,equal,64,"{'equal': 0.9166386324424943, 'profile_context': 0.9777326796999571, 'profile_continuous': 0.9644870351173587, 'profile_type2': 0.9330003894115395, 'profile_type3': 0.9363110103036196, 'profile_type4': 0.9508960710840877}"
manual,wc2JMjhGNzB,6,equal,42,"{'equal': 0.886970549813735, 'profile_context': 0.9396714570742384, 'profile_continuous': 0.9295861971989577, 'profile_type2': 0.9097760120094497, 'profile_type3': 0.9125437327595127, 'profile_type4': 0.9219858698589165}"
manual,wc2JMjhGNzB,8,equal,42,"{'equal': 0.8484069840853492, 'profile_context': 0.8834050371878797, 'profile_continuous': 0.8734713449780532, 'profile_type2': 0.8641956992085494, 'profile_type3': 0.8650591382745896, 'profile_type4': 0.8723252480573975}"
manual,x8F5xyUWy9e,2,equal,129,"{'equal': 1.134974886811159, 'profile_context': 1.1962582998425644, 'profile_continuous': 1.1861354087275422, 'profile_type2': 1.1769702511121491, 'profile_type3': 1.1730845818331643, 'profile_type4': 1.1696238092628022}"
manual,x8F5xyUWy9e,4,equal,70,"{'equal': 0.9263779923586521, 'profile_context': 0.9873616594180674, 'profile_continuous': 0.9743562719777357, 'profile_type2': 0.9520088657060715, 'profile_type3': 0.9538211459687452, 'profile_type4': 0.9514770559997694}"
manual,x8F5xyUWy9e,6,equal,45,"{'equal': 0.8902243882378605, 'profile_context': 0.9453043636674882, 'profile_continuous': 0.9351478658951589, 'profile_type2': 0.9206390149615526, 'profile_type3': 0.9203587891803322, 'profile_type4': 0.9211797231090628}"
manual,x8F5xyUWy9e,8,equal,45,"{'equal': 0.8513114518968936, 'profile_context': 0.8852525179524398, 'profile_continuous': 0.8769038077129969, 'profile_type2': 0.8719770809770447, 'profile_type3': 0.8705120966958663, 'profile_type4': 0.8695870741485264}"
manual,yqstnuAEVhm,2,equal,119,"{'equal': 1.132536888482033, 'profile_context': 1.1947609947259277, 'profile_continuous': 1.183270586616181, 'profile_type2': 1.1716699154681525, 'profile_type3': 1.1665920998254877, 'profile_type4': 1.1604916183805638}"
manual,yqstnuAEVhm,4,equal,62,"{'equal': 0.9219000732239884, 'profile_context': 0.9791331097806906, 'profile_continuous': 0.9660415542641618, 'profile_type2': 0.9405152334036295, 'profile_type3': 0.9456465698720856, 'profile_type4': 0.9408480600818694}"
manual,yqstnuAEVhm,6,equal,40,"{'equal': 0.8833405769212653, 'profile_context': 0.9366746742498563, 'profile_continuous': 0.9252831526125467, 'profile_type2': 0.905000543390955, 'profile_type3': 0.9128650699218923, 'profile_type4': 0.909028160525188}"
manual,yqstnuAEVhm,8,equal,40,"{'equal': 0.8440402105568268, 'profile_context': 0.8794576341969063, 'profile_continuous': 0.8698138545702697, 'profile_type2': 0.8609189463891838, 'profile_type3': 0.8662870717926925, 'profile_type4': 0.8617783864853005}"
manual,zsNo4HB9uLZ,2,equal,130,"{'equal': 1.1322855560540213, 'profile_context': 1.1919778419946139, 'profile_continuous': 1.1808916494654405, 'profile_type2': 1.1793276969338873, 'profile_type3': 1.1721348903052373, 'profile_type4': 1.165201381991688}"
manual,zsNo4HB9uLZ,4,equal,71,"{'equal': 0.92454924994602, 'profile_context': 0.9796778264734265, 'profile_continuous': 0.9673859927579044, 'profile_type2': 0.9541848641813997, 'profile_type3': 0.9555922049245014, 'profile_type4': 0.9511920687458023}"
manual,zsNo4HB9uLZ,6,equal,46,"{'equal': 0.8871603308948578, 'profile_context': 0.940432251761624, 'profile_continuous': 0.9291510834036224, 'profile_type2': 0.9112416189387859, 'profile_type3': 0.9165306010881707, 'profile_type4': 0.9130603298926531}"
manual,zsNo4HB9uLZ,8,equal,46,"{'equal': 0.8487981962572657, 'profile_context': 0.8826295041197766, 'profile_continuous': 0.8732320055375693, 'profile_type2': 0.867726185670072, 'profile_type3': 0.8715325268162433, 'profile_type4': 0.8666214840128861}"
semi,7y3sRwLe3Va,2,equal,39,"{'equal': 0.8893519200125146, 'profile_context': 0.9063949145467932, 'profile_continuous': 0.8950685999507004, 'profile_type2': 0.8956646019912936, 'profile_type3': 0.9138410499618377, 'profile_type4': 0.9058732814747236}"
semi,7y3sRwLe3Va,4,profile_type4,17,"{'equal': 0.6740035227697224, 'profile_context': 0.6693729507367988, 'profile_continuous': 0.6653076611862999, 'profile_type2': 0.6722542567772037, 'profile_type3': 0.6622760727741133, 'profile_type4': 0.6606916191716121}"
semi,7y3sRwLe3Va,6,profile_continuous,17,"{'equal': 0.631465489471733, 'profile_context': 0.608136583590315, 'profile_continuous': 0.606785832291567, 'profile_type2': 0.6305877391080825, 'profile_type3': 0.6130158888716915, 'profile_type4': 0.610082315294205}"
semi,7y3sRwLe3Va,8,profile_type3,17,"{'equal': 0.6317556721631677, 'profile_context': 0.616005560012828, 'profile_continuous': 0.6155222484919726, 'profile_type2': 0.6278463442284972, 'profile_type3': 0.6152672877014218, 'profile_type4': 0.6169967252778291}"
semi,B6ByNegPMKs,2,equal,37,"{'equal': 0.8841482902524053, 'profile_context': 0.890336758076808, 'profile_continuous': 0.886012199479153, 'profile_type2': 0.9064490893306617, 'profile_type3': 0.8971177956348123, 'profile_type4': 0.8888983076811794}"
semi,B6ByNegPMKs,4,profile_continuous,16,"{'equal': 0.6770493661839879, 'profile_context': 0.6722467808915191, 'profile_continuous': 0.6705658093162434, 'profile_type2': 0.6899508502295919, 'profile_type3': 0.6807743238018692, 'profile_type4': 0.676656047267633}"
semi,B6ByNegPMKs,6,profile_continuous,16,"{'equal': 0.6353137215022912, 'profile_context': 0.6211258626816889, 'profile_continuous': 0.6196995220607724, 'profile_type2': 0.6400951965745781, 'profile_type3': 0.631864421513827, 'profile_type4': 0.6320401771279522}"
semi,B6ByNegPMKs,8,profile_continuous,16,"{'equal': 0.6312005197072968, 'profile_context': 0.6238054116010239, 'profile_continuous': 0.6230375816340248, 'profile_type2': 0.6272943388349568, 'profile_type3': 0.6252116284439337, 'profile_type4': 0.631361620881406}"
semi,UwV83HsGsw3,2,profile_type4,40,"{'equal': 0.863009029567593, 'profile_context': 0.8844456279749447, 'profile_continuous': 0.8783446843203123, 'profile_type2': 0.8693543623784515, 'profile_type3': 0.8663752233920887, 'profile_type4': 0.8571543056340678}"
semi,UwV83HsGsw3,4,profile_type3,18,"{'equal': 0.6891455134601062, 'profile_context': 0.6817263174891219, 'profile_continuous': 0.6821761158116275, 'profile_type2': 0.688376776283754, 'profile_type3': 0.6811468866930924, 'profile_type4': 0.6825157702991135}"
semi,UwV83HsGsw3,6,profile_continuous,18,"{'equal': 0.6442843959502567, 'profile_context': 0.6286777478745542, 'profile_continuous': 0.6280320448063672, 'profile_type2': 0.6441326529471061, 'profile_type3': 0.6359793303671482, 'profile_type4': 0.6391632931161295}"
semi,UwV83HsGsw3,8,profile_type3,18,"{'equal': 0.6414788127079722, 'profile_context': 0.6357473398073158, 'profile_continuous': 0.6358054341227946, 'profile_type2': 0.6392144492371359, 'profile_type3': 0.6349484772220809, 'profile_type4': 0.6398516163866548}"
semi,X7HyMhZNoso,2,equal,40,"{'equal': 0.8954572960312278, 'profile_context': 0.9222861443724124, 'profile_continuous': 0.9138958371166896, 'profile_type2': 0.906941251822096, 'profile_type3': 0.9039621128357329, 'profile_type4': 0.9065149255701013}"
semi,X7HyMhZNoso,4,profile_type4,17,"{'equal': 0.6949701413364823, 'profile_context': 0.6910077471320372, 'profile_continuous': 0.6925820057846768, 'profile_type2': 0.6941561843262269, 'profile_type3': 0.6881669795348307, 'profile_type4': 0.6874156408226034}"
semi,X7HyMhZNoso,6,profile_type4,17,"{'equal': 0.6555228321069888, 'profile_context': 0.6495159510857205, 'profile_continuous': 0.6489104733716704, 'profile_type2': 0.6547386641124335, 'profile_type3': 0.6464326882949971, 'profile_type4': 0.6444224995021363}"
semi,X7HyMhZNoso,8,profile_type3,17,"{'equal': 0.644567455024279, 'profile_context': 0.6395815586405214, 'profile_continuous': 0.6404260674650414, 'profile_type2': 0.6421433033959907, 'profile_type3': 0.6377419387913819, 'profile_type4': 0.6378515851921689}"
semi,Z6MFQCViBuw,2,equal,39,"{'equal': 0.9217790518660263, 'profile_context': 0.9587996455932767, 'profile_continuous': 0.9522470421855357, 'profile_type2': 0.9331412328284739, 'profile_type3': 0.954804428323608, 'profile_type4': 0.9497326537928069}"
semi,Z6MFQCViBuw,4,profile_context,17,"{'equal': 0.6813367559628142, 'profile_context': 0.6675429638071207, 'profile_continuous': 0.6690040907480816, 'profile_type2': 0.6814051249010411, 'profile_type3': 0.6767908053695437, 'profile_type4': 0.672099028476982}"
semi,Z6MFQCViBuw,6,profile_continuous,17,"{'equal': 0.638242756484936, 'profile_context': 0.6241819526624581, 'profile_continuous': 0.6236389545668741, 'profile_type2': 0.6468260721480837, 'profile_type3': 0.6405979434123904, 'profile_type4': 0.6344056868407684}"
