base_task_id,cluster_id,cluster_support,cluster_medoid_annotation_id,cluster_medoid_worker_id,cluster_medoid_geometry_sha256,cluster_medoid_gt_iou,largest_cluster_gt_iou,second_cluster_gt_iou,gt_alignment_margin,public_gt_status
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,second,1,,,,,,,,not_evaluable
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,largest,20,58fcb37f432cd01e22a1,8,b8a1e62c4cf69952b52430a1c302c7979a6131c600397803edb2e0554c360dad,0.9839248891478538,,,,valid
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,second,1,,,,,,,,not_evaluable
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,largest,3,3b3f16f395140c417e16,30,4b75166e10f9b82663cad65f9a203db0a1fcb7d439a61c5301f79086faee381a,0.8264746565439073,,,,valid
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,second,2,,,,,,,,not_evaluable
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,largest,4,bb2170e2f627c3cc30fb,6,b8b3a356e939499880d44c5d92c887349c849ee4b888577707a8c36eacf8e3b5,0.9434515514678559,,,,valid
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,second,1,,,,,,,,not_evaluable
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,largest,3,adc213fc12f5f948aa56,33,0836045dca8a8ef43f2e6a90a3d32ec0e10e5cb088822f8ab2b61c7e1c79fd4c,0.9167732608294712,,,,valid
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,second,1,,,,,,,,not_evaluable
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,largest,3,be0ea7a0849f9bf057cb,17,57f396253a434785ff2b17b46123a8031fe5c630ca598519952430008364833d,0.9362865753006209,,,,valid
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,second,1,,,,,,,,not_evaluable
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,largest,5,81236ef5be5b11e8be3e,11,915d489fca8a3dbe79ce5bf7269319ee04c9bf8218b6c90042e0b86ab848d2a6,0.971907530079762,,,,valid
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,second,0,,,,,,,,not_evaluable
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,largest,4,936511830ce393b70d38,18,51943dc7bf494cf2b1eb5de69ac8e9815700bcff2424fa696bd574eeff11d304,1.0,,,,valid
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,second,0,,,,,,,,not_evaluable
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,largest,5,8788f7b0921cb90d1098,2,def6de642aba110212a84c6c1544e88f3627cb093609a943d36b5cafd4989a00,0.9922360167751927,,,,valid
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,second,0,,,,,,,,not_evaluable
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,largest,4,1beae202a7ba8f00c6fb,8,9db9faa8e6af6e61ac019b82a2cb725e58c4b383d893d556d5e00dded0f32c78,1.0,,,,valid
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,second,0,,,,,,,,not_evaluable
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,largest,5,480a17d4b8bc43325c2c,6,2abff0860a77a8b5b5948931cefca3cc12ee20be3317515ed70dc7ac0735dbcc,0.9148327464788732,,,,valid
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,second,0,,,,,,,,not_evaluable
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,largest,4,07d7b8e9b47e3b57f09b,36,bec63862a8074c3b9fbeea028cd66250af0932e1c9d8e37a3e4fce8ec00c6366,0.9596837318523213,,,,valid
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,second,1,,,,,,,,not_evaluable
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,largest,3,e98d3f5303e6099af208,18,d0f15452690ce51d98119c9f04c61232cb3201420289f0c4db7f4c214edd801d,0.6935251080396471,,,,valid
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,second,2,,,,,,,,not_evaluable
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,largest,5,1dc5dc76fab81c45cd23,36,2a630719741b1682727d75c58da752995a46fe343e2824757ce6c42157101b2b,0.9338308115179087,,,,valid
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,second,0,,,,,,,,not_evaluable
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,largest,5,2421466da1f7d0800380,34,10ea7d9011f762f5aa7a6067cba27215d385262e6c39a5cd9c52f79148e35337,0.7268648687618192,,,,valid
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,second,0,,,,,,,,not_evaluable
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,largest,5,69ad0871a13714ff7abc,12,260b9be462b98f44ea7d62fdfcd6fd28c5701e53151a620aa792514cd182e8bc,0.8631223502044798,,,,valid
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,second,0,,,,,,,,not_evaluable
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,largest,5,0b2b9f0ed2607655632c,36,5208c2e60c03e21ed7963f09985488836c8eaac39411a81681072cff62e5880a,0.9760386257848187,,,,valid
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,second,0,,,,,,,,not_evaluable
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,largest,1,973098cfe5081c1c74ec,27,1b44135e6202a96784e329401554fa08c79a5f00835001ddcdca87112e445a23,0.7300856460470471,,,,valid
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,second,1,,,,,,,,not_evaluable
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,largest,3,39b9fade42ec809e239d,2,158d97ef94d94c53c162a08f2001351e841db17fabc50dade0f6c40782c54f28,0.9423779468227864,,,,valid
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,second,1,,,,,,,,not_evaluable
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,largest,1,8066ad223dec81c40daa,34,8ffb476a6d4d2e50c0dda04e50958d9973155b478d5953e3c2b2d5520101ae99,0.773839900925087,,,,valid
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,second,1,,,,,,,,not_evaluable
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,largest,5,290e3e82f42aa83e4adc,6,001b84ff2332a2a16103f642d97ecf49c2dcd0388f3a2987231ed161a5a7f814,0.8453553711870536,,,,valid
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,second,0,,,,,,,,not_evaluable
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,largest,5,86103695b3e92be6e929,18,c387d0a1293fff1e888f50b29446c87c0767c0c36c04f4617677cc4c3b8b0c96,0.9083113586595558,,,,valid
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,second,0,,,,,,,,not_evaluable
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,largest,3,3cf2311bd8da5ee6753a,2,d5bd4aed13862382f3012713a36561d84cd6e14e2fbd28474f7056b7f0680af9,0.9156425772398902,,,,valid
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,second,1,,,,,,,,not_evaluable
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,largest,4,6fde03b86adc8ddd0722,30,b2efa418b7580b34d61b237a13d0cd262bda8a874363ed253ccea96145507666,0.9398474857637947,,,,valid
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,second,1,,,,,,,,not_evaluable
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,largest,3,23a4dc31709381a1de36,18,5e82afb9eae2bf73eefe2aafb6ac1c80b22e61c5390a4791fb13fdcf3cf00bcd,0.9469743177128619,,,,valid
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,second,0,,,,,,,,not_evaluable
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,largest,4,90d428978149e1e537ed,29,3e5502f7cbef61fc3f64021e8e54da1c53476a377395c530637b9c976911a784,0.6693853073463268,,,,valid
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,second,1,,,,,,,,not_evaluable
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,largest,4,9520f54bda487c460b18,34,0eff89d752d72cfefe48835eb90613b3dcfce6b927da98c7d9b38566e24502ff,0.7672546680208118,,,,valid
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,second,1,,,,,,,,not_evaluable
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,largest,1,f5dab722031206b00450,31,2596d04333b6c9c39462fdba04b878bbcd2fef31e6b1e5a63a31b97aedb0e1e1,0.673524397272116,,,,valid
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,second,1,,,,,,,,not_evaluable
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,largest,4,6228485ada8f90d32777,30,878781b0ce62f9c148167d94331af9ca01299c280aa0519931f9443b5d645002,0.9135976658013877,,,,valid
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,second,1,,,,,,,,not_evaluable
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,largest,20,bce7044b348685668b71,31,5f06541f597d75e70549a0fc0ee4839e21e976781b7ee6104ccc829c3dc3c78c,0.9807529231908464,,,,valid
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,second,2,,,,,,,,not_evaluable
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,largest,2,488f0c3264bf31aca229,17,49ef2a2d617f3f4a3de7385ac7cf1033018ab2aef33a655cba9f2261301cac60,0.9280722203608187,,,,valid
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,second,2,,,,,,,,not_evaluable
rPc6DW4iMge_4350d36797324601adba7351d09602d2,largest,5,a42f40b503c7f449a3f6,37,a0a4e3c799d6f49ceb28992f1c13d7d16761224041ee8aff8cd3f0b7abf3103c,0.949031624740041,,,,valid
rPc6DW4iMge_4350d36797324601adba7351d09602d2,second,0,,,,,,,,not_evaluable
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,largest,21,a4b73bebf231dbe2321a,2,8f53ba69f09533d35188ab4759284efb52b6eb23270428ffdf7c61bb8048bce6,1.0,,,,valid
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,second,1,,,,,,,,not_evaluable
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,largest,2,07431aa4afbbf9c0c56b,10,07128bca26b3a8c76decbbd822ff59e531890cd10463d351f39ce9d64d056d13,0.9695702981012807,,,,valid
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,second,2,,,,,,,,not_evaluable
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,largest,21,6b145ff560adec834931,36,2ab23859fbcb142b00350489ca4bad443fc3df43fcaa13527684c1d954e33e1a,0.9719824948865722,,,,valid
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,largest,0,,,,,,,,not_evaluable
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,second,0,,,,,,,,not_evaluable
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,largest,3,0dfa885b59782e4c1c1b,17,63a42acc3c8999c22616f5dcd43799c4c50a15ab518d78a1a6ade8e4e06aa0af,0.926580474934037,,,,valid
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,largest,3,f0b7c25018d49988f041,1,5a4e2de00d605cdc88001a45725feab4116a29d43786fcc0488f0b65e048f9a1,0.9058153979098593,,,,valid
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,largest,2,4ca9095576123a8afec3,28,458b8840defffa289070ecf1afd246ee91f07aacdf4ab9a1d797a62b0ad56942,0.7688449848024316,,,,valid
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,second,2,,,,,,,,not_evaluable
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,largest,4,d2c9465ce508ba7c1195,32,dec27d54129cec23456f6ef2d4d11ac35eccd86176e5d1c153ec0f0a615670d5,0.9322346793582258,,,,valid
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,largest,3,702f8663c962b7634220,11,52a29d5804e232047808c997c4f607c8f963a40700caa37f4e3eff8473dafb57,1.0,,,,valid
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,largest,5,7a99a58308f3ae658881,36,82da784c5f3af0886cc0f9f50bec77c8c20e4b9c0e0535472a485565add4c7f3,0.9561991118767569,,,,valid
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,second,0,,,,,,,,not_evaluable
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,largest,3,02ff3128c678c453e095,2,b9a056aba2cfd7fbc045d7b759a2ae3cad975b75796cc9767ba149532d7ddeb3,0.9810268313931393,,,,valid
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,largest,11,19253e4ab328902a4d12,8,ef30c513cfc529c7eb0a2179080216f17f638b645c3482e84cfcbca565b4980a,0.8913666872426376,,,,valid
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,second,8,,,,,,,,not_evaluable
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,largest,5,4aa250b1a35849403e62,2,6506418a9db9e239386793c1de357ef5e20b2d1c6adf7699a2bb070832457540,0.988989426501632,,,,valid
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,second,4,,,,,,,,not_evaluable
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,largest,3,793fbf24fd55bb3641aa,10,cd11aa795f5b170748c8eed67411c87f1a2fb8b17e1146c0348e343b986d8fd7,0.7226790687827888,,,,valid
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,largest,5,be774848762988355a0c,34,d36ad11492c91852d4eb228b2f196686aac94fd5aa9761a0780d4c73cafbf876,0.8797242350501584,,,,valid
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,second,0,,,,,,,,not_evaluable
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,largest,4,401fdd3b780569d96e33,32,b2096c756e4f1baad3e8755e272e061d38063b562a15a569ecbab1659d4a5ceb,0.8874517641936952,,,,valid
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,second,0,,,,,,,,not_evaluable
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,largest,0,,,,,,,,not_evaluable
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,second,0,,,,,,,,not_evaluable
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,largest,2,f78931e744dcb44323b8,15,5137c4d98079f050739cb0f0706f12321a3476b246ca7bb9750ca2d959094684,0.7895344126440377,,,,valid
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,largest,4,353881dfb47a1686a026,33,35d4f1aa5e4fa23f9be596ce5c8e9ba5012dc6da04e40a934b89f5774398dfc0,0.6997089496413732,,,,valid
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,largest,4,99a8d85e0a09165ed320,11,dee5023fc86fed28cea720961dc937ba737b5076638b80ed1a9304e9f81bf130,0.8795517226896639,,,,valid
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,largest,3,788e7e1c7924718866a4,12,28f9a3b6bc335e009a2ac99faaee242132c4fd431515070f1db280db0f2d674e,1.0,,,,valid
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,largest,5,7ea7af8cde9303da75a6,15,927a5b90fd3ab9a37f51070123a48c8aa020b840e5bd8498f3c8c6901192d7dc,0.9872787248141325,,,,valid
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,second,0,,,,,,,,not_evaluable
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,largest,1,c0e08c82870e77e231bc,35,0b3b2575e4795e44f9ba66c7d6522b0c5cb1920af8b74dae67b16605cb0e4aab,0.6907871302535029,,,,valid
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,second,1,,,,,,,,not_evaluable
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,largest,1,b593f337fea5cb8bf3f2,1,11bf4225096b3a7478d68da10a3b61ab091d7c5790d49e7f2cc746da19cb75b2,,,,,valid
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,second,1,,,,,,,,not_evaluable
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,largest,4,3c7cf68051a68eb3dec3,31,76d70cde8bd148699e88b35b95a1ecf8ef17f3217e1a9f41b4bd5d581033d463,0.9275011705946621,,,,valid
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,second,1,,,,,,,,not_evaluable
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,largest,2,205de09132b7c362ae2c,12,64448ff3d9ac9f26ae96a13b94acc3c634147a181342c6026cc388cbdef27c7c,0.8803978622560973,,,,valid
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,second,1,,,,,,,,not_evaluable
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,largest,1,3e41c936412b1a992027,34,0229f23f7bb3537655bce62b1e09a5e1f0a67c2090568aca0cc410d3232dd526,0.5936427398895687,,,,valid
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,second,1,,,,,,,,not_evaluable
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,largest,2,203bd6757c614dae7d28,2,e7d2eae9e8a063c510ae79d3046b928927da3bda9a2db7555141f793fccf0cfa,0.9444492609129135,,,,valid
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,second,1,,,,,,,,not_evaluable
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,largest,4,71f8e55558d74259a5eb,33,7abf65dfa78170e4fab410394133ebcdd56c7e571e610ae412f016115a60c512,1.0,,,,valid
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,second,0,,,,,,,,not_evaluable
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,largest,5,d0bcda333eddee24fe3c,18,ff62b3e2c7278fdfe138228d947920dfee94b4570df69d21ed0f2c441592b4f1,0.9753253732738276,,,,valid
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,second,0,,,,,,,,not_evaluable
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,largest,3,2c90d306c009cea79158,36,96f5511249409f5fa56750f14ce917a03645b2bb1eb85e16fbd0a127b3e2c008,1.0,,,,valid
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,second,1,,,,,,,,not_evaluable
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,largest,5,8f784855d8bd4f3a9024,13,f9d09a605d32655693a6902adce4e7b28a261a72eaf11db11743be458fc09da2,0.704120542527352,,,,valid
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,second,4,,,,,,,,not_evaluable
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,largest,5,33bdbff1a089ed14dc7d,8,14985ac7468f9cb28efc17960fa19a32bfbbfc1dba05ff6be2f590e6cacd26ad,0.9163814119950369,,,,valid
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,second,0,,,,,,,,not_evaluable
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,largest,3,2052df34f859227bd40f,30,3edcdfd98e648635e7105cdba72b8062bcb4ffbd9134b7c577b77b31e01ac15c,0.9225406807050069,,,,valid
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,second,1,,,,,,,,not_evaluable
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,largest,14,099f4ec32f8c8013e8b0,15,bfe26fa21ac63d2bb739c791b794485626ca3fbe0496f98384586840113cd30f,0.9535701387989833,,,,valid
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,second,7,,,,,,,,not_evaluable
