condition,target,feature,controls,n,buildings,slope,cluster_se,lo,hi,partial_rho,status
semi,cdf_early7,rotation_hohonet,n_building_scene,16,7,-169.262840526,184.93344823,-531.732399057,193.206718004,-0.624355773807,descriptive_not_causal
semi,cdf_early7,count_bi_enclosed,n_building_scene,16,,,,,,,no_within_control_variation
semi,cdf_early7,bi_head_geometry_gap,n_building_scene,16,7,-2.43617900012,0.0408367876004,-2.51621910382,-2.35613889642,-0.752215662139,descriptive_not_causal
semi,cdf_early7,gap_hohonet_ulayout,n_building_scene,16,7,-0.94459814148,9.33333100611,-19.2379269135,17.3487306305,-0.212390304604,descriptive_not_causal
semi,cdf_observed_by19,trait__floor_boundary__partial,n_building_scene,16,,,,,,,no_within_control_variation
semi,cdf_observed_by19,trait__reflection_glass__present,n_building_scene,16,,,,,,,no_within_control_variation
semi,cdf_observed_by19,count_hohonet,n_building_scene,16,7,0.0819702958901,0.0502808854984,-0.0165802396868,0.180520831467,0.404131551816,descriptive_not_causal
semi,cdf_observed_by19,rotation_hohonet,n_building_scene,16,7,-50.3368692544,197.408485867,-437.257501553,336.583763044,-0.366446015322,descriptive_not_causal
semi,cdf_observed_by19,count_bi_enclosed,n_building_scene,16,,,,,,,no_within_control_variation
semi,cdf_observed_by19,bi_head_geometry_gap,n_building_scene,16,7,-2.08266394787,0.141969665112,-2.36092449149,-1.80440340425,-0.567647058824,descriptive_not_causal
semi,cdf_observed_by19,gap_hohonet_ulayout,n_building_scene,16,7,2.01086069473,8.27643805359,-14.2109578903,18.2326792798,-0.0441176470588,descriptive_not_causal
semi,late_new_geometry,trait__floor_boundary__partial,n_building_scene,42,12,0.057960057913,0.0787055510935,-0.0963028222303,0.212222938056,0.0612890222486,descriptive_not_causal
semi,late_new_geometry,trait__reflection_glass__present,n_building_scene,42,12,-0.166985195555,0.0427471665684,-0.250769642029,-0.0832007490806,-0.294074749996,descriptive_not_causal
semi,late_new_geometry,count_hohonet,n_building_scene,42,12,0.00232027739938,0.0109645853305,-0.0191703098484,0.0238108646471,0.0174244268437,descriptive_not_causal
semi,late_new_geometry,rotation_hohonet,n_building_scene,42,12,28.3725812188,24.8401509974,-20.314114736,77.0592771737,0.241967505567,descriptive_not_causal
semi,late_new_geometry,count_bi_enclosed,n_building_scene,42,12,-0.00569226462565,0.00891784331565,-0.0231712375243,0.011786708273,-0.112831326349,descriptive_not_causal
semi,late_new_geometry,bi_head_geometry_gap,n_building_scene,42,12,-0.0141417661522,0.367961696412,-0.735346691119,0.707063158815,0.0976420063204,descriptive_not_causal
semi,late_new_geometry,gap_hohonet_ulayout,n_building_scene,42,12,1.20962367098,0.83593989343,-0.428818520143,2.8480658621,0.163047002156,descriptive_not_causal
semi,half_tv,trait__floor_boundary__partial,n_building_scene,42,12,0.0981212722106,0.0471304123053,0.00574566409229,0.190496880329,0.166923408479,descriptive_not_causal
semi,half_tv,trait__reflection_glass__present,n_building_scene,42,12,-0.0161947690475,0.042113809086,-0.098737834856,0.066348296761,-0.0367188152558,descriptive_not_causal
semi,half_tv,count_hohonet,n_building_scene,42,12,-0.0018585634727,0.0055010397053,-0.0126406012951,0.00892347434969,0.0222870575908,descriptive_not_causal
semi,half_tv,rotation_hohonet,n_building_scene,42,12,36.2730899471,11.3643431926,13.9989772897,58.5472026045,0.370892589746,descriptive_not_causal
semi,half_tv,count_bi_enclosed,n_building_scene,42,12,-0.00225644716143,0.00399837194336,-0.0100932561704,0.00558036184755,-0.150036483529,descriptive_not_causal
semi,half_tv,bi_head_geometry_gap,n_building_scene,42,12,0.004903190864,0.194652849005,-0.376616393185,0.386422774913,0.10266591038,descriptive_not_causal
semi,half_tv,gap_hohonet_ulayout,n_building_scene,42,12,0.602049309792,0.389854768859,-0.162066037171,1.36616465676,0.145137763848,descriptive_not_causal
semi,singleton_mass,trait__floor_boundary__partial,n_building_scene,43,12,0.0693557948446,0.0443107415304,-0.0174932585549,0.156204848244,0.135705921005,descriptive_not_causal
semi,singleton_mass,trait__reflection_glass__present,n_building_scene,43,12,-0.0949077418397,0.0251100870378,-0.144123512434,-0.0456919712457,-0.208673315201,descriptive_not_causal
semi,singleton_mass,count_hohonet,n_building_scene,43,12,0.0056890349713,0.0176579602172,-0.0289205670545,0.0402986369971,0.0713881024413,descriptive_not_causal
semi,singleton_mass,rotation_hohonet,n_building_scene,43,12,42.0077986607,23.0556807581,-3.18133562512,87.1969329465,0.381132231302,descriptive_not_causal
semi,singleton_mass,count_bi_enclosed,n_building_scene,43,12,-7.12807392996e-05,0.00552333300593,-0.0108970134309,0.0107544519523,-0.08476881233,descriptive_not_causal
semi,singleton_mass,bi_head_geometry_gap,n_building_scene,43,12,-0.011836098171,0.342037935425,-0.682230451605,0.658558255263,0.159818738411,descriptive_not_causal
semi,singleton_mass,gap_hohonet_ulayout,n_building_scene,43,12,1.51585003464,1.21649354073,-0.868477305185,3.90017737447,0.145096118972,descriptive_not_causal
semi,within_mode_median,trait__floor_boundary__partial,n_building_scene,41,12,-0.005590289874,0.0251191445096,-0.0548238131128,0.0436432333648,-0.105978744593,descriptive_not_causal
