worker_id,effect,fit_status,component,layer_value,label,training_rows,training_images,training_buildings,cohort,metric,k,method
33,-1.2392833006582016,usable,0,-0.5326265912755106,1,86,86,18,all26,ospa30,2,ward
34,1.5609153145610046,usable,0,-0.5326265912755106,1,101,101,19,all26,ospa30,2,ward
35,0.3934042375466836,usable,0,-0.5326265912755106,1,79,79,18,all26,ospa30,2,ward
36,-0.5893325337738439,usable,0,-0.5326265912755106,1,85,85,19,all26,ospa30,2,ward
37,2.0798191358035534,usable,0,-0.5326265912755106,1,83,83,18,all26,ospa30,2,ward
6,-0.410714860580129,usable,0,-0.5326265912755106,1,83,83,18,all26,ospa30,2,ward
8,-0.879934109766557,usable,0,-0.5326265912755106,1,80,80,18,all26,ospa30,2,ward
1,-0.15517914664737245,usable,0,0.024616551805229415,2,85,85,18,all26,ospa30,3,ward
10,-0.37662577037852757,usable,0,0.024616551805229415,2,83,83,17,all26,ospa30,3,ward
11,-0.17056331195757274,usable,0,0.024616551805229415,2,83,83,17,all26,ospa30,3,ward
12,0.20975418216220196,usable,0,0.024616551805229415,2,78,78,17,all26,ospa30,3,ward
13,-0.24794748327329558,usable,0,0.024616551805229415,2,81,81,18,all26,ospa30,3,ward
14,-0.6011142341347249,usable,0,0.024616551805229415,2,74,74,13,all26,ospa30,3,ward
15,-1.2949523660237292,usable,0,-1.8859313673287361,1,82,82,19,all26,ospa30,3,ward
17,-1.4848434883229225,usable,0,-1.8859313673287361,1,82,82,19,all26,ospa30,3,ward
18,-2.040716348546062,usable,0,-1.8859313673287361,1,74,74,13,all26,ospa30,3,ward
19,7.600699040814756,usable,0,6.391519095306126,3,45,45,13,all26,ospa30,3,ward
2,-3.3668945155616883,usable,0,-1.8859313673287361,1,78,78,16,all26,ospa30,3,ward
21,-0.6654814535887642,usable,0,0.024616551805229415,2,45,45,13,all26,ospa30,3,ward
26,5.182339149797497,usable,0,6.391519095306126,3,22,22,12,all26,ospa30,3,ward
27,-2.3057479141917008,usable,0,-1.8859313673287361,1,75,75,13,all26,ospa30,3,ward
28,-1.4690816379968494,usable,0,-1.8859313673287361,1,80,80,17,all26,ospa30,3,ward
29,0.3747911765965625,usable,0,0.024616551805229415,2,81,81,17,all26,ospa30,3,ward
30,0.1475812027326109,usable,0,0.024616551805229415,2,84,84,17,all26,ospa30,3,ward
31,-0.0890807674849642,usable,0,0.024616551805229415,2,89,89,19,all26,ospa30,3,ward
32,-0.16181019712796554,usable,0,0.024616551805229415,2,87,87,18,all26,ospa30,3,ward
33,-1.2392833006582016,usable,0,-1.8859313673287361,1,86,86,18,all26,ospa30,3,ward
34,1.5609153145610046,usable,0,0.024616551805229415,2,101,101,19,all26,ospa30,3,ward
35,0.3934042375466836,usable,0,0.024616551805229415,2,79,79,18,all26,ospa30,3,ward
36,-0.5893325337738439,usable,0,0.024616551805229415,2,85,85,19,all26,ospa30,3,ward
37,2.0798191358035534,usable,0,0.024616551805229415,2,83,83,18,all26,ospa30,3,ward
6,-0.410714860580129,usable,0,0.024616551805229415,2,83,83,18,all26,ospa30,3,ward
8,-0.879934109766557,usable,0,0.024616551805229415,2,80,80,18,all26,ospa30,3,ward
1,-0.15517914664737245,usable,0,-0.21481687131171054,2,85,85,18,all26,ospa30,4,ward
10,-0.37662577037852757,usable,0,-0.21481687131171054,2,83,83,17,all26,ospa30,4,ward
11,-0.17056331195757274,usable,0,-0.21481687131171054,2,83,83,17,all26,ospa30,4,ward
12,0.20975418216220196,usable,0,-0.21481687131171054,2,78,78,17,all26,ospa30,4,ward
13,-0.24794748327329558,usable,0,-0.21481687131171054,2,81,81,18,all26,ospa30,4,ward
14,-0.6011142341347249,usable,0,-0.21481687131171054,2,74,74,13,all26,ospa30,4,ward
15,-1.2949523660237292,usable,0,-1.8859313673287361,1,82,82,19,all26,ospa30,4,ward
17,-1.4848434883229225,usable,0,-1.8859313673287361,1,82,82,19,all26,ospa30,4,ward
18,-2.040716348546062,usable,0,-1.8859313673287361,1,74,74,13,all26,ospa30,4,ward
19,7.600699040814756,usable,0,6.391519095306126,4,45,45,13,all26,ospa30,4,ward
2,-3.3668945155616883,usable,0,-1.8859313673287361,1,78,78,16,all26,ospa30,4,ward
21,-0.6654814535887642,usable,0,-0.21481687131171054,2,45,45,13,all26,ospa30,4,ward
26,5.182339149797497,usable,0,6.391519095306126,4,22,22,12,all26,ospa30,4,ward
27,-2.3057479141917008,usable,0,-1.8859313673287361,1,75,75,13,all26,ospa30,4,ward
28,-1.4690816379968494,usable,0,-1.8859313673287361,1,80,80,17,all26,ospa30,4,ward
29,0.3747911765965625,usable,0,-0.21481687131171054,2,81,81,17,all26,ospa30,4,ward
30,0.1475812027326109,usable,0,-0.21481687131171054,2,84,84,17,all26,ospa30,4,ward
31,-0.0890807674849642,usable,0,-0.21481687131171054,2,89,89,19,all26,ospa30,4,ward
32,-0.16181019712796554,usable,0,-0.21481687131171054,2,87,87,18,all26,ospa30,4,ward
33,-1.2392833006582016,usable,0,-1.8859313673287361,1,86,86,18,all26,ospa30,4,ward
34,1.5609153145610046,usable,0,1.8203672251822791,3,101,101,19,all26,ospa30,4,ward
35,0.3934042375466836,usable,0,-0.21481687131171054,2,79,79,18,all26,ospa30,4,ward
36,-0.5893325337738439,usable,0,-0.21481687131171054,2,85,85,19,all26,ospa30,4,ward
37,2.0798191358035534,usable,0,1.8203672251822791,3,83,83,18,all26,ospa30,4,ward
6,-0.410714860580129,usable,0,-0.21481687131171054,2,83,83,18,all26,ospa30,4,ward
8,-0.879934109766557,usable,0,-0.21481687131171054,2,80,80,18,all26,ospa30,4,ward
1,-0.15517914664737245,usable,0,-0.21481687131171054,2,85,85,18,all26,ospa30,5,ward
10,-0.37662577037852757,usable,0,-0.21481687131171054,2,83,83,17,all26,ospa30,5,ward
11,-0.17056331195757274,usable,0,-0.21481687131171054,2,83,83,17,all26,ospa30,5,ward
12,0.20975418216220196,usable,0,-0.21481687131171054,2,78,78,17,all26,ospa30,5,ward
13,-0.24794748327329558,usable,0,-0.21481687131171054,2,81,81,18,all26,ospa30,5,ward
14,-0.6011142341347249,usable,0,-0.21481687131171054,2,74,74,13,all26,ospa30,5,ward
15,-1.2949523660237292,usable,0,-1.8859313673287361,1,82,82,19,all26,ospa30,5,ward
17,-1.4848434883229225,usable,0,-1.8859313673287361,1,82,82,19,all26,ospa30,5,ward
18,-2.040716348546062,usable,0,-1.8859313673287361,1,74,74,13,all26,ospa30,5,ward
19,7.600699040814756,usable,0,7.600699040814756,5,45,45,13,all26,ospa30,5,ward
2,-3.3668945155616883,usable,0,-1.8859313673287361,1,78,78,16,all26,ospa30,5,ward
21,-0.6654814535887642,usable,0,-0.21481687131171054,2,45,45,13,all26,ospa30,5,ward
26,5.182339149797497,usable,0,5.182339149797497,4,22,22,12,all26,ospa30,5,ward
27,-2.3057479141917008,usable,0,-1.8859313673287361,1,75,75,13,all26,ospa30,5,ward
28,-1.4690816379968494,usable,0,-1.8859313673287361,1,80,80,17,all26,ospa30,5,ward
29,0.3747911765965625,usable,0,-0.21481687131171054,2,81,81,17,all26,ospa30,5,ward
30,0.1475812027326109,usable,0,-0.21481687131171054,2,84,84,17,all26,ospa30,5,ward
31,-0.0890807674849642,usable,0,-0.21481687131171054,2,89,89,19,all26,ospa30,5,ward
32,-0.16181019712796554,usable,0,-0.21481687131171054,2,87,87,18,all26,ospa30,5,ward
33,-1.2392833006582016,usable,0,-1.8859313673287361,1,86,86,18,all26,ospa30,5,ward
34,1.5609153145610046,usable,0,1.8203672251822791,3,101,101,19,all26,ospa30,5,ward
35,0.3934042375466836,usable,0,-0.21481687131171054,2,79,79,18,all26,ospa30,5,ward
36,-0.5893325337738439,usable,0,-0.21481687131171054,2,85,85,19,all26,ospa30,5,ward
37,2.0798191358035534,usable,0,1.8203672251822791,3,83,83,18,all26,ospa30,5,ward
6,-0.410714860580129,usable,0,-0.21481687131171054,2,83,83,18,all26,ospa30,5,ward
8,-0.879934109766557,usable,0,-0.21481687131171054,2,80,80,18,all26,ospa30,5,ward
1,-1.6194844063875493,usable,0,-2.3709818305269197,1,85,85,18,all26,ospa60,2,quantile
10,-0.7729840805298763,usable,0,2.3709818305269206,2,83,83,17,all26,ospa60,2,quantile
11,-0.12143604844029425,usable,0,2.3709818305269206,2,83,83,17,all26,ospa60,2,quantile
12,-0.7892636910838161,usable,0,2.3709818305269206,2,78,78,17,all26,ospa60,2,quantile
13,-0.39045577715151375,usable,0,2.3709818305269206,2,81,81,18,all26,ospa60,2,quantile
14,-1.2049784346981756,usable,0,-2.3709818305269197,1,74,74,13,all26,ospa60,2,quantile
15,-2.4064634921016723,usable,0,-2.3709818305269197,1,82,82,19,all26,ospa60,2,quantile
17,-2.9732384903448055,usable,0,-2.3709818305269197,1,82,82,19,all26,ospa60,2,quantile
18,-3.135351443188726,usable,0,-2.3709818305269197,1,74,74,13,all26,ospa60,2,quantile
19,13.9996251283915,usable,0,2.3709818305269206,2,45,45,13,all26,ospa60,2,quantile
2,-5.507403014176008,usable,0,-2.3709818305269197,1,78,78,16,all26,ospa60,2,quantile
21,-1.1279136911571404,usable,0,-2.3709818305269197,1,45,45,13,all26,ospa60,2,quantile
26,11.260943608651319,usable,0,2.3709818305269206,2,22,22,12,all26,ospa60,2,quantile
27,-3.662948402942726,usable,0,-2.3709818305269197,1,75,75,13,all26,ospa60,2,quantile
28,-2.8194217962471333,usable,0,-2.3709818305269197,1,80,80,17,all26,ospa60,2,quantile
29,0.5314438387951137,usable,0,2.3709818305269206,2,81,81,17,all26,ospa60,2,quantile
30,-0.006761043633213653,usable,0,2.3709818305269206,2,84,84,17,all26,ospa60,2,quantile
31,-0.037730176837867654,usable,0,2.3709818305269206,2,89,89,19,all26,ospa60,2,quantile
