config,k,lookahead,early_stable_later_stable_n,early_stable_later_changing_n,early_stable_later_unknown_n,early_changing_later_stable_n,early_changing_later_changing_n,early_changing_later_unknown_n,early_unknown_later_stable_n,early_unknown_later_changing_n,early_unknown_later_unknown_n,paired_n,early_stable_n,early_stable_later_evaluable_n,early_stable_to_later_stable_rate,early_stable_to_later_changing_rate,early_stable_to_later_unknown_rate,early_stable_to_later_stable_rate_among_evaluable,later_lookahead,min_support,epsilon,summary_level,images
q_0.925,4.0,3.0,2648,423,65,0,5419,229,0,0,2216,11000,3136,3071,0.8443877551020408,0.13488520408163265,0.02072704081632653,0.8622598502116574,5,2,0.1,k_h_config,55
q_0.950,2.0,1.0,2675,1516,204,0,988,95,0,0,5522,11000,4395,4191,0.608646188850967,0.3449374288964733,0.04641638225255973,0.6382724886661895,5,2,0.1,k_h_config,55
q_0.950,2.0,2.0,2675,902,103,0,1602,102,0,0,5616,11000,3680,3577,0.7269021739130435,0.2451086956521739,0.02798913043478261,0.7478333799273134,5,2,0.1,k_h_config,55
q_0.950,2.0,3.0,2675,520,41,0,1984,87,0,0,5693,11000,3236,3195,0.82663782447466,0.16069221260815822,0.012669962917181705,0.837245696400626,5,2,0.1,k_h_config,55
q_0.950,3.0,1.0,2474,2656,249,0,2108,203,0,0,3310,11000,5379,5130,0.4599367912251348,0.4937720765941625,0.046291132180702736,0.48226120857699806,5,2,0.1,k_h_config,55
q_0.950,3.0,2.0,2474,698,64,0,4066,253,0,0,3445,11000,3236,3172,0.7645241038318912,0.21569839307787392,0.019777503090234856,0.7799495586380832,5,2,0.1,k_h_config,55
q_0.950,3.0,3.0,2474,408,40,0,4356,162,0,0,3560,11000,2922,2882,0.8466803559206023,0.13963039014373715,0.013689253935660506,0.8584316446911867,5,2,0.1,k_h_config,55
q_0.950,4.0,1.0,2278,3463,256,0,2441,297,0,0,2265,11000,5997,5741,0.37985659496414875,0.5774553943638486,0.04268801067200267,0.3967949834523602,5,2,0.1,k_h_config,55
q_0.950,4.0,2.0,2278,1857,112,0,4047,296,0,0,2410,11000,4247,4135,0.5363786202024958,0.4372498234047563,0.02637155639274782,0.550906892382104,5,2,0.1,k_h_config,55
q_0.950,4.0,3.0,2278,398,46,0,5506,225,0,0,2547,11000,2722,2676,0.8368846436443791,0.1462160176340926,0.01689933872152829,0.851270553064275,5,2,0.1,k_h_config,55
ospa30_t6,,,18678,11820,1715,0,25362,2187,0,0,39238,99000,32213,30498,0.5798280197435818,0.366932604848974,0.0532393754074442,0.6124336022034231,5,2,0.1,config_all_k_h,55
q_0.925,,,25824,12267,1460,0,26787,1585,0,0,31077,99000,39551,38091,0.652929129478395,0.3101565067887032,0.03691436373290182,0.6779554225407577,5,2,0.1,config_all_k_h,55
q_0.950,,,22281,12418,1115,0,27098,1720,0,0,34368,99000,35814,34699,0.6221310102194673,0.3467359133299827,0.031133076450550065,0.6421222513617107,5,2,0.1,config_all_k_h,55
