code,image_id,condition,N,cut,view_a,view_b,count_a,count_b,different_membership_pairs,different_threshold_pairs
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,6.0,split_fixed,split_cyclic,13,13,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,6.0,bound_fixed,bound_cyclic,13,13,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,6.0,split_cyclic,split_free,13,13,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,6.0,bound_cyclic,bound_free,13,13,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,6.0,split_fixed,top_bottom_partition_intersection,13,14,5,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,9.0,split_fixed,bound_fixed,12,12,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,9.0,split_fixed,split_cyclic,12,12,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,9.0,bound_fixed,bound_cyclic,12,12,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,9.0,split_cyclic,split_free,12,12,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,9.0,bound_cyclic,bound_free,12,12,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,9.0,split_fixed,top_bottom_partition_intersection,12,12,7,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,12.0,split_fixed,bound_fixed,11,11,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,12.0,split_fixed,split_cyclic,11,11,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,12.0,bound_fixed,bound_cyclic,11,11,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,12.0,split_cyclic,split_free,11,11,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,12.0,bound_cyclic,bound_free,11,11,0,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,23,12.0,split_fixed,top_bottom_partition_intersection,11,11,11,0
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,3.0,split_fixed,bound_fixed,12,12,0,0
7y3sRwLe3Va-13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,3.0,split_fixed,split_cyclic,12,12,0,0
