code,image_id,condition,view,cut,N,compatible_pairs,compatible_pairs_split
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_free,3.0,5,1,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_free,6.0,5,3,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_free,9.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bound_free,12.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,top_fixed,3.0,5,1,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,top_fixed,6.0,5,5,2
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,top_fixed,9.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,top_fixed,12.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bottom_fixed,3.0,5,1,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bottom_fixed,6.0,5,3,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bottom_fixed,9.0,5,6,0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,bottom_fixed,12.0,5,6,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,count_only,0.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_fixed,3.0,24,182,60
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_fixed,6.0,24,275,43
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_fixed,9.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_fixed,12.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_fixed,3.0,24,182,60
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_fixed,6.0,24,275,43
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_fixed,9.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_fixed,12.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_cyclic,3.0,24,182,60
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_cyclic,6.0,24,275,43
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_cyclic,9.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_cyclic,12.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_cyclic,3.0,24,182,60
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_cyclic,6.0,24,275,43
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_cyclic,9.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_cyclic,12.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_free,3.0,24,182,60
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_free,6.0,24,275,43
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_free,9.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,split_free,12.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_free,3.0,24,182,60
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_free,6.0,24,275,43
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_free,9.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bound_free,12.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,top_fixed,3.0,24,211,95
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,top_fixed,6.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,top_fixed,9.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,top_fixed,12.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bottom_fixed,3.0,24,216,92
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bottom_fixed,6.0,24,275,79
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bottom_fixed,9.0,24,276,0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,bottom_fixed,12.0,24,276,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,count_only,0.0,24,86,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_fixed,3.0,24,2,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_fixed,6.0,24,23,9
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_fixed,9.0,24,27,8
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_fixed,12.0,24,29,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_fixed,3.0,22,2,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_fixed,6.0,22,20,7
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_fixed,9.0,22,23,8
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_fixed,12.0,22,25,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_cyclic,3.0,24,2,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_cyclic,6.0,24,23,9
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_cyclic,9.0,24,27,8
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_cyclic,12.0,24,29,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_cyclic,3.0,22,2,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_cyclic,6.0,22,20,7
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_cyclic,9.0,22,23,8
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_cyclic,12.0,22,25,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_free,3.0,24,2,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_free,6.0,24,23,9
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_free,9.0,24,27,8
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,split_free,12.0,24,29,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_free,3.0,22,2,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_free,6.0,22,20,7
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_free,9.0,22,23,8
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bound_free,12.0,22,25,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,top_fixed,3.0,24,35,17
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,top_fixed,6.0,24,63,12
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,top_fixed,9.0,24,72,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,top_fixed,12.0,24,76,4
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bottom_fixed,3.0,24,4,0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bottom_fixed,6.0,24,24,8
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bottom_fixed,9.0,24,28,9
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,bottom_fixed,12.0,24,30,1
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,count_only,0.0,24,86,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,split_fixed,3.0,24,7,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,split_fixed,6.0,24,17,1
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,split_fixed,9.0,24,29,9
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,split_fixed,12.0,24,56,20
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,bound_fixed,3.0,23,7,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,bound_fixed,6.0,23,17,1
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,bound_fixed,9.0,23,29,9
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,bound_fixed,12.0,23,56,20
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,split_cyclic,3.0,24,7,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,split_cyclic,6.0,24,17,1
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,split_cyclic,9.0,24,29,9
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,split_cyclic,12.0,24,56,20
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,bound_cyclic,3.0,23,7,0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,bound_cyclic,6.0,23,17,1
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,bound_cyclic,9.0,23,29,9
