image_id,building,condition,n_available_people,horizon,prefix,future_people,repetitions,cut,future_topology_coverage,future_geometry_coverage_allow_singleton,future_supported_geometry_coverage,mean_supported_clusters,probability_both_future_supported,unsupported_both_fraction
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,5,2,200,0.05,0.8425,0.52,0.3525,1.005,0.11,0.405
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,8,2,200,0.05,0.8875,0.595,0.44,1.42,0.15,0.27
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,2,2,200,0.1,0.7775,0.535,0.15,0.305,0.075,0.775
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,3,2,200,0.1,0.8,0.6075,0.3575,0.7,0.19,0.475
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,5,2,200,0.1,0.8425,0.6425,0.53,1.145,0.275,0.215
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,8,2,200,0.1,0.8875,0.7125,0.5675,1.48,0.285,0.15
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,2,2,200,0.2,0.7775,0.7475,0.425,0.6,0.3,0.45
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,3,2,200,0.2,0.8,0.7775,0.645,0.92,0.455,0.165
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,5,2,200,0.2,0.8425,0.8325,0.7525,1.175,0.555,0.05
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,24,10,8,2,200,0.2,0.8875,0.8875,0.775,1.44,0.585,0.035
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,2,2,200,0.05,0.96,0.345,0.065,0.21,0.025,0.895
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,3,2,200,0.05,0.96,0.4475,0.1375,0.505,0.05,0.775
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,5,2,200,0.05,0.96,0.555,0.355,1.12,0.155,0.445
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,8,2,200,0.05,0.96,0.6275,0.51,1.665,0.285,0.265
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,2,2,200,0.1,0.96,0.58,0.1725,0.385,0.085,0.74
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,3,2,200,0.1,0.96,0.69,0.3525,0.8,0.145,0.44
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,5,2,200,0.1,0.96,0.8125,0.635,1.41,0.41,0.14
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,8,2,200,0.1,0.96,0.8675,0.8025,1.96,0.665,0.06
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,2,2,200,0.2,0.96,0.6825,0.23,0.47,0.125,0.665
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,3,2,200,0.2,0.96,0.805,0.4725,0.92,0.255,0.31
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,5,2,200,0.2,0.96,0.9125,0.7675,1.505,0.61,0.075
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,24,10,8,2,200,0.2,0.96,0.9475,0.8975,1.865,0.82,0.025
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,2,2,200,0.05,1,0.4425,0.135,0.28,0.075,0.805
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,3,2,200,0.05,1,0.52,0.28,0.58,0.145,0.585
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,5,2,200,0.05,1,0.59,0.46,0.95,0.255,0.335
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,8,2,200,0.05,1,0.62,0.55,1.285,0.305,0.205
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,2,2,200,0.1,1,0.475,0.135,0.3,0.075,0.805
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,3,2,200,0.1,1,0.565,0.28,0.635,0.145,0.585
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,5,2,200,0.1,1,0.6625,0.465,1.065,0.26,0.33
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,8,2,200,0.1,1,0.715,0.5775,1.525,0.34,0.185
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,2,2,200,0.2,1,0.6975,0.295,0.485,0.195,0.605
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,3,2,200,0.2,1,0.77,0.495,0.905,0.305,0.315
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,5,2,200,0.2,1,0.8675,0.7275,1.395,0.535,0.08
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,24,10,8,2,200,0.2,1,0.9325,0.8025,1.78,0.66,0.055
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,2,2,200,0.05,0.9425,0.12,0.005,0.05,0,0.99
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,3,2,200,0.05,0.9425,0.15,0.035,0.215,0,0.93
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,5,2,200,0.05,0.9425,0.2375,0.0525,0.575,0,0.895
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,8,2,200,0.05,0.9425,0.3375,0.1075,1.17,0.01,0.795
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,2,2,200,0.1,0.9425,0.325,0.045,0.15,0.015,0.925
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,3,2,200,0.1,0.9425,0.4025,0.14,0.45,0.045,0.765
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,5,2,200,0.1,0.9425,0.515,0.2525,1.065,0.085,0.58
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,8,2,200,0.1,0.9425,0.63,0.41,1.975,0.175,0.355
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,2,2,200,0.2,0.9425,0.58,0.2275,0.4,0.13,0.675
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,3,2,200,0.2,0.9425,0.6725,0.385,0.775,0.195,0.425
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,5,2,200,0.2,0.9425,0.8,0.6475,1.435,0.435,0.14
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,23,10,8,2,200,0.2,0.9425,0.845,0.7875,2.33,0.61,0.035
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,2,2,200,0.05,0.92,0.035,0.0025,0.01,0,0.995
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,3,2,200,0.05,0.9325,0.055,0.005,0.05,0,0.99
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,5,2,200,0.05,0.9375,0.0975,0.0125,0.2,0,0.975
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,8,2,200,0.05,0.9425,0.155,0.0375,0.605,0,0.925
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,2,2,200,0.1,0.92,0.1075,0.0025,0.05,0,0.995
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,3,2,200,0.1,0.9325,0.155,0.015,0.155,0.005,0.975
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,5,2,200,0.1,0.9375,0.2325,0.0475,0.53,0.005,0.91
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,8,2,200,0.1,0.9425,0.3275,0.12,1.175,0.025,0.785
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,2,2,200,0.2,0.92,0.2125,0.02,0.095,0,0.96
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,3,2,200,0.2,0.9325,0.3025,0.0575,0.345,0.005,0.89
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,5,2,200,0.2,0.9375,0.425,0.1475,0.94,0.015,0.72
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,24,10,8,2,200,0.2,0.9425,0.53,0.29,1.735,0.095,0.515
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,2,2,200,0.05,0.9325,0.14,0.025,0.125,0,0.95
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,3,2,200,0.05,0.9325,0.2,0.0525,0.31,0,0.895
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,5,2,200,0.05,0.9325,0.29,0.1325,0.74,0.015,0.75
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,8,2,200,0.05,0.9325,0.3675,0.2125,1.39,0.03,0.605
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,2,2,200,0.1,0.9325,0.5225,0.2125,0.41,0.115,0.69
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,3,2,200,0.1,0.9325,0.595,0.3675,0.76,0.185,0.45
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,5,2,200,0.1,0.9325,0.6725,0.585,1.175,0.34,0.17
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,8,2,200,0.1,0.9325,0.745,0.68,1.74,0.44,0.08
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,2,2,200,0.2,0.9325,0.8275,0.585,0.72,0.475,0.305
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,3,2,200,0.2,0.9325,0.845,0.7775,0.985,0.615,0.06
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,5,2,200,0.2,0.9325,0.875,0.8375,1.155,0.685,0.01
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,19,10,8,2,200,0.2,0.9325,0.89,0.8525,1.38,0.715,0.01
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,2,2,200,0.05,1,0.82,0.6325,0.775,0.53,0.265
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,3,2,200,0.05,1,0.87,0.82,0.99,0.7,0.06
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,5,2,200,0.05,1,0.91,0.8725,1.44,0.765,0.02
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,8,2,200,0.05,1,0.9425,0.9325,1.995,0.875,0.01
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,2,2,200,0.1,1,0.995,0.995,1,0.99,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,3,2,200,0.1,1,0.9975,0.9975,1,0.995,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,5,2,200,0.1,1,1,1,1.01,1,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,8,2,200,0.1,1,1,1,1.015,1,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,2,2,200,0.2,1,1,1,1,1,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,3,2,200,0.2,1,1,1,1,1,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,5,2,200,0.2,1,1,1,1,1,0
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,20,10,8,2,200,0.2,1,1,1,1,1,0
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,2,2,200,0.05,0.5025,0.26,0.035,0.13,0.005,0.935
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,3,2,200,0.05,0.67,0.365,0.1025,0.39,0.035,0.83
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,5,2,200,0.05,0.7925,0.4625,0.235,0.935,0.075,0.605
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,8,2,200,0.05,0.8925,0.5775,0.3125,1.72,0.095,0.47
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,2,2,200,0.1,0.5025,0.2775,0.035,0.155,0.005,0.935
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,3,2,200,0.1,0.67,0.3925,0.1025,0.42,0.035,0.83
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,5,2,200,0.1,0.7925,0.4875,0.24,1.03,0.075,0.595
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,8,2,200,0.1,0.8925,0.625,0.33,1.915,0.115,0.455
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,2,2,200,0.2,0.5025,0.345,0.065,0.19,0.025,0.895
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,3,2,200,0.2,0.67,0.4775,0.155,0.5,0.05,0.74
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,5,2,200,0.2,0.7925,0.5725,0.32,1.11,0.13,0.49
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,24,10,8,2,200,0.2,0.8925,0.685,0.4275,1.97,0.2,0.345
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,2,2,200,0.05,0.8525,0.3025,0.055,0.2,0.03,0.92
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,3,2,200,0.05,0.87,0.3725,0.13,0.46,0.06,0.8
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,5,2,200,0.05,0.8775,0.44,0.2675,0.87,0.095,0.56
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,8,2,200,0.05,0.89,0.4925,0.3625,1.36,0.15,0.425
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,2,2,200,0.1,0.8525,0.6025,0.3025,0.51,0.19,0.585
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,3,2,200,0.1,0.87,0.64,0.525,0.855,0.365,0.315
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,5,2,200,0.1,0.8775,0.6725,0.6325,1.095,0.43,0.165
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,8,2,200,0.1,0.89,0.685,0.64,1.39,0.425,0.145
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,2,2,200,0.2,0.8525,0.795,0.615,0.775,0.49,0.26
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,3,2,200,0.2,0.87,0.83,0.765,0.955,0.61,0.08
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,5,2,200,0.2,0.8775,0.83,0.8025,1.045,0.645,0.04
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,24,10,8,2,200,0.2,0.89,0.8375,0.7975,1.13,0.635,0.04
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,2,2,200,0.05,0.9525,0.8625,0.645,0.75,0.555,0.265
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,3,2,200,0.05,0.9525,0.865,0.8225,0.955,0.71,0.065
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,5,2,200,0.05,0.9525,0.8575,0.8575,1.01,0.735,0.02
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,8,2,200,0.05,0.9525,0.8575,0.8575,1.025,0.735,0.02
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,2,2,200,0.1,0.9525,0.905,0.7175,0.8,0.65,0.215
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,3,2,200,0.1,0.9525,0.905,0.885,0.98,0.805,0.035
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,5,2,200,0.1,0.9525,0.905,0.905,1,0.825,0.015
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,8,2,200,0.1,0.9525,0.905,0.905,1,0.825,0.015
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,2,2,200,0.2,0.9525,0.9525,0.8575,0.905,0.81,0.095
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,3,2,200,0.2,0.9525,0.9525,0.9525,1,0.905,0
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,5,2,200,0.2,0.9525,0.9525,0.9525,1,0.905,0
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,23,10,8,2,200,0.2,0.9525,0.9525,0.9525,1,0.905,0
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,2,2,200,0.05,0.4775,0.3475,0.045,0.175,0.005,0.915
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,3,2,200,0.05,0.595,0.4425,0.14,0.475,0.03,0.75
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,5,2,200,0.05,0.7175,0.5425,0.285,1.16,0.075,0.505
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,8,2,200,0.05,0.7975,0.6325,0.485,1.975,0.23,0.26
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,2,2,200,0.1,0.4775,0.435,0.08,0.235,0.02,0.86
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,3,2,200,0.1,0.595,0.5525,0.185,0.58,0.05,0.68
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,5,2,200,0.1,0.7175,0.665,0.3725,1.31,0.125,0.38
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,8,2,200,0.1,0.7975,0.7625,0.5875,2.075,0.325,0.15
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,2,2,200,0.2,0.4775,0.4775,0.09,0.255,0.025,0.845
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,3,2,200,0.2,0.595,0.595,0.205,0.6,0.06,0.65
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,5,2,200,0.2,0.7175,0.7175,0.42,1.345,0.155,0.315
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,19,10,8,2,200,0.2,0.7975,0.7975,0.6325,2.095,0.38,0.115
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,24,10,2,2,200,0.05,0.885,0.7925,0.485,0.615,0.39,0.42
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,24,10,3,2,200,0.05,0.9,0.83,0.7275,0.895,0.605,0.15
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,24,10,5,2,200,0.05,0.9,0.83,0.8125,1.02,0.675,0.05
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,24,10,8,2,200,0.05,0.9175,0.8475,0.8125,1.095,0.675,0.05
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,24,10,2,2,200,0.1,0.885,0.7925,0.485,0.615,0.39,0.42
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,24,10,3,2,200,0.1,0.9,0.83,0.7275,0.895,0.605,0.15
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,24,10,5,2,200,0.1,0.9,0.83,0.8125,1.02,0.675,0.05
