method,baseline,algorithm,condition,target,design,n_images,n_buildings,method_MAE,baseline_MAE,paired_MAE_delta,relative_MAE_reduction,CI_low,CI_high,building_macro_delta,macro_CI_low,macro_CI_high
A_all_traits,baseline,knn,semi,scope_p_normal,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,scope_p_oos_geometry,leave_building,43,12,0.0401162790698,0.0281007751938,0.012015503876,-0.427586206896,0.00187369791665,0.0202380952381,0.00951884920635,-1.32556354974e-14,0.0189997519841
A_all_traits,baseline,knn,semi,scope_p_oos_geometry,leave_supported_room_conservative,16,9,0.040625,0.0338541666667,0.00677083333333,-0.2,-0.00952529761905,0.0234397977941,0.0054938271605,-0.0152469135803,0.0236435185185
A_all_traits,baseline,knn,semi,scope_p_oos_geometry,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,scope_p_oos_insufficient,leave_building,43,12,0.0102067183463,0.00658914728682,0.00361757105943,-0.549019607843,0.000260416666667,0.00683333333334,0.00226521164021,0.000347222222223,0.00459656084656
A_all_traits,baseline,knn,semi,scope_p_oos_insufficient,leave_supported_room_conservative,16,9,0.00625,0.00260416666667,0.00364583333334,-1.4,0,0.00885416666667,0.0033950617284,0,0.00679783950618
A_all_traits,baseline,knn,semi,scope_p_oos_insufficient,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,scope_p_oos_open_boundary,leave_building,43,12,0.11330749354,0.0736434108527,0.0396640826873,-0.538596491228,0.0106206699346,0.0693319712144,0.036390542328,0.00821870866403,0.065734292328
A_all_traits,baseline,knn,semi,scope_p_oos_open_boundary,leave_supported_room_conservative,16,9,0.146180555556,0.127604166667,0.0185763888889,-0.145578231292,-0.0223961226851,0.0709595959595,0.0318724279835,-0.015535493827,0.0872227366254
A_all_traits,baseline,knn,semi,scope_p_oos_open_boundary,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,scope_p_oos_split_level,leave_building,43,12,0.0201550387597,0.015503875969,0.00465116279071,-0.3,0,0.0131578947369,0.00317460317461,0,0.009126984127
A_all_traits,baseline,knn,semi,scope_p_oos_split_level,leave_supported_room_conservative,16,9,0.0125,0.0104166666667,0.00208333333334,-0.2,0,0.00625000000001,0.00123456790124,0,0.00370370370371
A_all_traits,baseline,knn,semi,scope_p_oos_split_level,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,knn,semi,within_topology_geometry_dispersion,leave_building,42,12,0.043801228198,0.0341248965135,0.00967633168444,-0.283556367141,0.0012817629411,0.0191183183965,0.00928982841463,0.00209812928738,0.0171077202057
A_all_traits,baseline,knn,semi,within_topology_geometry_dispersion,leave_supported_room_conservative,16,9,0.0381514518855,0.0261111549703,0.0120402969153,-0.461116979657,-0.000147743285031,0.0337275272668,0.0172920552845,0.00144883698872,0.0345857427263
A_all_traits,baseline,knn,semi,within_topology_geometry_dispersion,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,manual,owner_valid_active_seconds,leave_building,187,22,70.6902513883,68.5147058824,2.1755455059,-0.0317529715393,-2.0024367779,5.8726304685,2.51245478534,-1.65308972163,6.62568690027
A_all_traits,baseline,ridge,manual,owner_valid_active_seconds,leave_supported_room_conservative,69,18,68.7938999628,72.1884057971,-3.39450583427,0.0470228674091,-10.0352073176,3.41388714869,-4.86414084852,-13.6848503925,3.76370105824
A_all_traits,baseline,ridge,manual,owner_valid_active_seconds,same_room_leave_view,40,12,113.049255952,119.6375,-6.58824404764,0.0550683861468,-17.0216957392,2.50620435015,-5.11946097886,-15.3437210648,2.4365079365
A_all_traits,baseline,ridge,manual,point_count_disagreement,leave_building,166,22,0.319407671193,0.329226623474,-0.00981895228088,0.0298242960344,-0.0289896453527,0.0118828102918,0.00759760973623,-0.0177259458796,0.0333519125446
A_all_traits,baseline,ridge,manual,point_count_disagreement,leave_supported_room_conservative,59,18,0.315464633513,0.330607528065,-0.015142894552,0.0458032357601,-0.0416440033779,0.0125807395041,-0.00630646184886,-0.0414206110977,0.0285979531141
A_all_traits,baseline,ridge,manual,point_count_disagreement,same_room_leave_view,33,11,0.19821600958,0.207165956573,-0.00894994699339,0.0432018230285,-0.0337712096333,0.00643361469458,-0.0106558296776,-0.0316755506973,0.00341176536834
A_all_traits,baseline,ridge,manual,reference_geometry_error,leave_building,161,22,0.0715576655789,0.067002942538,0.00455472304094,-0.0679779554213,-0.00252821375986,0.0113964834817,0.00486432684499,-0.00338791744536,0.012009421915
A_all_traits,baseline,ridge,manual,reference_geometry_error,leave_supported_room_conservative,60,18,0.0658218066738,0.0640518992196,0.0017699074542,-0.0276323961625,-0.006573912641,0.00943824006581,0.00273373549043,-0.00689747850322,0.0120829459097
A_all_traits,baseline,ridge,manual,reference_geometry_error,same_room_leave_view,31,9,0.0540609181244,0.0527613083247,0.00129960979965,-0.024631872122,0,0.00266930886217,0.00111146267778,0,0.0024852546545
A_all_traits,baseline,ridge,manual,scope_entropy,leave_building,187,22,0.476482068089,0.530151037876,-0.0536689697866,0.101233357953,-0.118394862273,0.0208374477786,-0.0353568550617,-0.0951716863894,0.0262908371937
A_all_traits,baseline,ridge,manual,scope_entropy,leave_supported_room_conservative,69,18,0.472416923243,0.540816414114,-0.0683994908715,0.126474509808,-0.174230872264,0.0276446218141,-0.0767543493914,-0.185249050309,0.0355942615194
A_all_traits,baseline,ridge,manual,scope_entropy,same_room_leave_view,40,12,0.248007064654,0.249763477634,-0.00175641297943,0.00703230510749,-0.0166687063557,0.00911794218276,-0.00406220474167,-0.0185185185186,0.00633190429359
A_all_traits,baseline,ridge,manual,scope_non_normal_rate,leave_building,187,22,0.206195127798,0.197915767097,0.00827936070035,-0.0418327494659,-0.00316457516869,0.0212441955798,0.0175366927189,0.0026096338732,0.032811474366
A_all_traits,baseline,ridge,manual,scope_non_normal_rate,leave_supported_room_conservative,69,18,0.236642362349,0.228743961353,0.00789840099663,-0.034529440471,-0.0226750935293,0.0360136644075,0.0140688963079,-0.0252177726507,0.0520205042703
A_all_traits,baseline,ridge,manual,scope_non_normal_rate,same_room_leave_view,40,12,0.168932117475,0.173505434783,-0.00457331730766,0.0263583519063,-0.0104524815462,0,-0.00377529973881,-0.00987654320978,0
A_all_traits,baseline,ridge,manual,scope_p_normal,leave_building,187,22,0.206195127798,0.197915767097,0.00827936070045,-0.0418327494665,-0.00316457516864,0.0212441955799,0.017536692719,0.00260963387333,0.0328114743662
A_all_traits,baseline,ridge,manual,scope_p_normal,leave_supported_room_conservative,69,18,0.236642362349,0.228743961353,0.00789840099671,-0.0345294404714,-0.0226750935293,0.0360136644076,0.014068896308,-0.0252177726506,0.0520205042704
