condition,field,level,images,buildings,median_people,simple,medium,difficult,full_p_by_8,full_p_by_8_n,core10_p_by_19,core10_p_by_19_n,core_tail_10,core_tail_10_n,late_quarter_new,late_quarter_new_n,half_tv_all,half_tv_all_n,within_cluster_median,within_cluster_median_n,singleton_share,singleton_share_n,point_count_disagreement,point_count_disagreement_n
manual,doorway,疑似,6,5,14.5,0,0,1,0.19875,4,0.43125,4,0.505,4,0.245833333333,4,0.26359375,4,0.048499221289,4,0.5125,6,0.765942028986,6
manual,doorway,确认,12,8,6,0,1,4,0,8,0.26125,8,0.2425,8,0.457041666667,8,0.347963142942,8,0.0553803082628,7,0.625532354437,12,0.67921455033,11
oos_geometry,scene_category,厨房与用餐,1,1,24,0,0,0,0,1,0.02,1,0.135,1,0.38,1,0.328958333333,1,0.0373276996157,1,0.333333333333,1,0.815217391304,1
oos_geometry,scene_category,复合／待定,3,3,23,0,0,0,0,3,0.233333333333,3,0.415,3,0.263333333333,3,0.298603151076,3,0.0578954298904,3,0.341787439614,3,0.424022837066,3
oos_geometry,scene_category,起居与休闲,2,2,23.5,0,0,0,0,2,0.1125,2,0.29,2,0.152083333333,2,0.22018321805,2,0.0384268891459,2,0.169384057971,2,0.565217391304,2
oos_geometry,scene_category,通行与连接,3,2,24,0,0,0,0,3,0.278333333333,3,0.496666666667,3,0.331944444444,3,0.268757136583,3,0.0443188600404,3,0.323671497585,3,0.613746157224,3
oos_geometry,fine_human,,9,6,24,0,0,0,0,9,0.197777777778,9,0.383333333333,9,0.274444444444,9,0.274600625823,9,0.0467582608555,9,0.296497584541,9,0.562106572976,9
oos_geometry,fine_ai,厨房|用餐|起居休闲,3,2,23,0,0,0,0,3,0.156666666667,3,0.283333333333,3,0.270277777778,3,0.309158706631,3,0.0509957086776,3,0.314009661836,3,0.548418972332,3
oos_geometry,fine_ai,特殊用途|通行,1,1,23,0,0,0,0,1,0.19,1,0.34,1,0.151666666667,1,0.220158102767,1,0.0313519978475,1,0.130434782609,1,0.565217391304,1
oos_geometry,fine_ai,用餐|起居休闲,1,1,24,0,0,0,0,1,0.25,1,0.53,1,0.359166666667,1,0.297291666667,1,0.0580268632543,1,0.416666666667,1,0.442028985507,1
oos_geometry,fine_ai,用餐（跨视点证据）|起居休闲,1,1,24,0,0,0,0,1,0.035,1,0.24,1,0.1525,1,0.220208333333,1,0.0455017804442,1,0.208333333333,1,0.565217391304,1
oos_geometry,fine_ai,通行,3,2,24,0,0,0,0,3,0.278333333333,3,0.496666666667,3,0.331944444444,3,0.268757136583,3,0.0443188600404,3,0.323671497585,3,0.613746157224,3
oos_geometry,main_function_primary,circulation,3,2,24,0,0,0,0,3,0.278333333333,3,0.496666666667,3,0.331944444444,3,0.268757136583,3,0.0443188600404,3,0.323671497585,3,0.613746157224,3
oos_geometry,main_function_primary,dining,1,1,24,0,0,0,0,1,0.25,1,0.53,1,0.359166666667,1,0.297291666667,1,0.0580268632543,1,0.416666666667,1,0.442028985507,1
oos_geometry,main_function_primary,kitchen,2,1,23.5,0,0,0,0,2,0.2025,2,0.345,2,0.405416666667,2,0.357838850461,2,0.0421440871154,2,0.449275362318,2,0.822628458498,2
oos_geometry,main_function_primary,living,2,2,23.5,0,0,0,0,2,0.05,2,0.2,2,0.07625,2,0.216003376152,2,0.057100366123,2,0.125905797101,2,0.282608695652,2
oos_geometry,main_function_primary,special,1,1,23,0,0,0,0,1,0.19,1,0.34,1,0.151666666667,1,0.220158102767,1,0.0313519978475,1,0.130434782609,1,0.565217391304,1
oos_geometry,floor_boundary,partial,6,4,23.5,0,0,0,0,6,0.1575,6,0.326666666667,6,0.245694444444,6,0.277522370443,6,0.0479779612631,6,0.282910628019,6,0.536286780852,6
oos_geometry,floor_boundary,present,3,2,24,0,0,0,0,3,0.278333333333,3,0.496666666667,3,0.331944444444,3,0.268757136583,3,0.0443188600404,3,0.323671497585,3,0.613746157224,3
oos_geometry,ceiling_boundary,partial,1,1,24,0,0,0,0,1,0.25,1,0.53,1,0.359166666667,1,0.297291666667,1,0.0580268632543,1,0.416666666667,1,0.442028985507,1
oos_geometry,ceiling_boundary,present,8,5,23.5,0,0,0,0,8,0.19125,8,0.365,8,0.263854166667,8,0.271764245718,8,0.0453496855557,8,0.281476449275,8,0.577116271409,8
oos_geometry,corner_occlusion,absent,3,2,24,0,0,0,0,3,0.278333333333,3,0.496666666667,3,0.331944444444,3,0.268757136583,3,0.0443188600404,3,0.323671497585,3,0.613746157224,3
oos_geometry,corner_occlusion,present,6,4,23.5,0,0,0,0,6,0.1575,6,0.326666666667,6,0.245694444444,6,0.277522370443,6,0.0479779612631,6,0.282910628019,6,0.536286780852,6
oos_geometry,connected_space,present,9,6,24,0,0,0,0,9,0.197777777778,9,0.383333333333,9,0.274444444444,9,0.274600625823,9,0.0467582608555,9,0.296497584541,9,0.562106572976,9
oos_geometry,reflection_glass,present,5,3,24,0,0,0,0,5,0.151,5,0.324,5,0.2645,5,0.288995223979,5,0.0513031539462,5,0.313405797101,5,0.530500658761,5
oos_geometry,reflection_glass,unknown,4,3,23.5,0,0,0,0,4,0.25625,4,0.4575,4,0.286875,4,0.256607378129,4,0.0410771444922,4,0.275362318841,4,0.601613965744,4
oos_geometry,low_contrast,absent,9,6,24,0,0,0,0,9,0.197777777778,9,0.383333333333,9,0.274444444444,9,0.274600625823,9,0.0467582608555,9,0.296497584541,9,0.562106572976,9
oos_geometry,doorway,否,7,6,23,0,0,0,0,7,0.246428571429,7,0.439285714286,7,0.276785714286,7,0.274605566535,7,0.0482849810914,7,0.303830227743,7,0.525503482025,7
oos_geometry,doorway,疑似,2,1,24,0,0,0,0,2,0.0275,2,0.1875,2,0.26625,2,0.274583333333,2,0.0414147400299,2,0.270833333333,2,0.690217391304,2
semi,scene_category,储藏与家务辅助,1,1,24,0,1,0,0,1,0.48,1,0.69,1,0.1275,1,0.115,1,0.0158365386176,1,0.125,1,0.163043478261,1
semi,scene_category,卧室,16,7,5,1,4,0,0.228666666667,15,0.625666666667,15,0.522333333333,15,0.189277777778,15,0.195320531401,15,0.0327891984123,15,0.211798007246,16,0.328787878788,16
semi,scene_category,卫浴,2,2,13,0,0,0,0.2375,2,0.7575,2,0.56,2,0.255,2,0.24875,2,0.0519128647378,2,0.261363636364,2,0.611471861472,2
semi,scene_category,厨房与用餐,2,2,13.5,1,1,0,0.5,2,0.6975,2,0.75,2,0.0325000000001,2,0.0750395256915,2,0.0181695899976,2,0.0217391304348,2,0.322134387352,2
semi,scene_category,复合／待定,5,4,24,0,2,0,0.193,5,0.617,5,0.57,5,0.131166666667,5,0.121625,5,0.0273887990754,5,0.141666666667,5,0.271739130435,5
semi,scene_category,工作与学习,2,1,14,1,0,0,0.4,2,0.555,2,0.385,2,0.149583333333,2,0.212395833333,2,0.00339890898064,2,0.166666666667,2,0.182971014493,2
semi,scene_category,开放复合空间,1,1,4,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1
semi,scene_category,无法判断,1,1,5,1,0,0,0.81,1,1,1,0.52,1,0.21,1,0.239,1,0.0212795173415,1,0.2,1,0.4,1
semi,scene_category,起居与休闲,3,3,4,0,1,0,0.5,3,0.883333333333,3,0.598333333333,3,0.180833333333,3,0.200277777778,3,0.0195767625897,3,0.180555555556,3,0.333333333333,3
semi,scene_category,通行与连接,10,5,4,0,0,0,0,10,0.3845,10,0.264,10,0.288166666667,10,0.206479166667,10,0.0241756929951,10,0.2875,10,0.206884057971,10
semi,fine_human,烹饪、用餐,1,1,4,1,0,0,1,1,1,1,1,1,0,1,0,1,0.000842867407285,1,0,1,0,1
semi,fine_human,用途未定,1,1,5,1,0,0,0.81,1,1,1,0.52,1,0.21,1,0.239,1,0.0212795173415,1,0.2,1,0.4,1
semi,fine_human,睡眠,1,1,24,0,0,0,0.36,1,1,1,1,1,0,1,0,1,0.0333776225288,1,0,1,0,1
semi,fine_human,起居、厨房,1,1,4,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1
semi,fine_human,,39,12,5,2,9,0,0.179210526316,38,0.564868421053,38,0.452631578947,38,0.208442982456,38,0.194498123396,38,0.0278381043525,38,0.218930948279,39,0.30985487942,39
semi,fine_ai,储藏家务,1,1,24,0,1,0,0,1,0.48,1,0.69,1,0.1275,1,0.115,1,0.0158365386176,1,0.125,1,0.163043478261,1
semi,fine_ai,储藏家务|卧室|卫浴|通行,1,1,4,0,0,0,0,1,0,1,0,1,0,1,0,1,0.0372028502284,1,0,1,0,1
semi,fine_ai,卧室,16,7,5,1,4,0,0.228666666667,15,0.625666666667,15,0.522333333333,15,0.189277777778,15,0.195320531401,15,0.0327891984123,15,0.211798007246,16,0.328787878788,16
semi,fine_ai,卧室|通行,2,1,14,0,0,0,0,2,0.58,2,0.48,2,0.389166666667,2,0.250625,2,0.0113503621214,2,0.354166666666,2,0.534420289855,2
semi,fine_ai,卫浴,2,2,13,0,0,0,0.2375,2,0.7575,2,0.56,2,0.255,2,0.24875,2,0.0519128647378,2,0.261363636364,2,0.611471861472,2
semi,fine_ai,厨房|用餐|起居休闲,1,1,4,0,0,0,0,1,0.485,1,0.135,1,0.485,1,0.32625,1,0.00902094649736,1,0.5,1,0.833333333333,1
semi,fine_ai,厨房|起居休闲|通行,1,1,24,0,1,0,0,1,0.65,1,0.785,1,0.0425000000001,1,0.100833333333,1,0.0158901573588,1,0.0416666666667,1,0,1
semi,fine_ai,工作学习|起居休闲,1,1,4,0,0,0,0.73,1,1,1,0.525,1,0.27,1,0.25,1,0.0428401304102,1,0.25,1,0.5,1
semi,fine_ai,工作学习|起居休闲|通行,1,1,4,1,0,0,0.8,1,1,1,0.44,1,0.2,1,0.25,1,0.000794145126129,1,0.25,1,0,1
semi,fine_ai,工作学习|通行,2,1,24,0,0,0,0,2,0.1675,2,0.37,2,0.12625,2,0.185416666667,2,0.00312898640833,2,0.125,2,0.182971014493,2
semi,fine_ai,特殊用途,2,1,14.5,0,1,0,0.32,2,0.4475,2,0.4525,2,0.00166666666667,2,0.0632291666665,2,0.0518939502512,2,0.0208333333333,2,0.144927536232,2
semi,fine_ai,特殊用途|用餐,1,1,4,1,0,0,1,1,1,1,1,1,0,1,0,1,0.000842867407285,1,0,1,0,1
semi,fine_ai,用途不明,2,1,14.5,1,0,0,0.5675,2,1,2,0.76,2,0.125833333333,2,0.140333333333,2,0.0205541323707,2,0.120833333333,2,0.2,2
semi,fine_ai,用途不明|起居休闲|通行,1,1,4,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1
semi,fine_ai,用途不明|通行,2,2,14,0,1,0,0,2,0.5825,2,0.4575,2,0.292916666667,2,0.215625,2,0.0155251550955,2,0.3125,2,0.367753623189,2
semi,fine_ai,用餐|通行,1,1,23,0,1,0,0,1,0.395,1,0.5,1,0.0650000000001,1,0.150079051383,1,0.035496312588,1,0.0434782608696,1,0.644268774704,1
semi,fine_ai,起居休闲,1,1,4,0,0,0,0.77,1,1,1,0.485,1,0.23,1,0.25,1,0,1,0.25,1,0.5,1
semi,fine_ai,通行,5,3,4,0,0,0,0,5,0.4,5,0.233,5,0.298,5,0.21,5,0.0309710292569,5,0.3,5,0.1,5
semi,main_function_primary,bathroom,1,1,4,0,0,0,0.475,1,0.69,1,0.295,1,0.215,1,0.25,1,0.0696778568214,1,0.25,1,0.5,1
semi,main_function_primary,circulation,7,4,4,0,0,0,0,7,0.383571428571,7,0.24,7,0.300476190476,7,0.223363095238,7,0.0259790507828,7,0.309523809524,7,0.142857142857,7
semi,main_function_primary,dining,2,2,13.5,1,1,0,0.5,2,0.6975,2,0.75,2,0.0325000000001,2,0.0750395256915,2,0.0181695899976,2,0.0217391304348,2,0.322134387352,2
