worker_id,effect,fit_status,component,layer_value,label,training_rows,training_images,training_buildings,stage,raw_condition,metric,cohort,evaluation
33,-0.02353212037455542,usable,0,0.0,not_classified,27,27,12,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
34,0.016460446968183832,usable,0,0.0,not_classified,41,41,12,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
35,0.010116339477758463,usable,0,0.0,not_classified,24,24,11,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
36,0.030202473054328004,usable,0,0.0,not_classified,26,26,11,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
37,0.09273599799314125,usable,0,0.0,not_classified,26,26,11,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
6,-0.006252344079205128,usable,0,0.0,not_classified,26,26,10,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
8,-0.03593916967445227,usable,0,0.0,not_classified,25,25,9,C1,manual,absolute_count_rate,all_usable,within_stage_LOBO
1,-0.06320497857664385,usable,0,0.0,not_classified,17,17,9,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
10,-0.0013820321873686608,usable,0,0.0,not_classified,22,22,11,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
11,0.01704952543294138,usable,0,0.0,not_classified,22,22,12,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
12,-0.06834351231018833,usable,0,0.0,not_classified,18,18,10,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
13,0.03415098517022261,usable,0,0.0,not_classified,21,21,9,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
14,0.0027409162984843066,usable,0,0.0,not_classified,21,21,9,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
15,-0.01157208616787673,usable,0,0.0,not_classified,22,22,11,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
17,-0.023516482722804027,usable,0,0.0,not_classified,21,21,9,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
18,-0.04654284172654184,usable,0,0.0,not_classified,22,22,10,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
2,-0.033799264753191685,usable,0,0.0,not_classified,17,17,8,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
27,-0.029529881694651636,usable,0,0.0,not_classified,20,20,10,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
28,-0.006278559151624172,usable,0,0.0,not_classified,18,18,9,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
29,0.03855541538003973,usable,0,0.0,not_classified,18,18,10,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
30,0.006947243169918021,usable,0,0.0,not_classified,21,21,9,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
31,0.029781174352299197,usable,0,0.0,not_classified,26,26,11,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
32,0.06666225050320404,usable,0,0.0,not_classified,23,23,10,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
33,-0.026094091488222303,usable,0,0.0,not_classified,23,23,12,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
34,0.0021886884664770946,usable,0,0.0,not_classified,34,34,12,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
35,0.014086310677926825,usable,0,0.0,not_classified,19,19,10,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
36,0.05515100636652444,usable,0,0.0,not_classified,18,18,9,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
37,0.08193386825096122,usable,0,0.0,not_classified,19,19,10,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
6,0.005122348778586071,usable,0,0.0,not_classified,22,22,10,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
8,-0.044106002068471664,usable,0,0.0,not_classified,21,21,9,C1,manual,absolute_count_rate,fallback_only,within_stage_LOBO
1,-0.10038258283268714,usable,0,0.0,not_classified,8,8,3,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
10,0.07925724637681152,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
11,0.038181664919295484,usable,0,0.0,not_classified,6,6,4,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
12,-0.10825365304864906,usable,0,0.0,not_classified,6,6,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
13,-0.06657608695652167,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
14,0.07925724637681156,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
15,0.04859598261551909,usable,0,0.0,not_classified,5,5,3,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
17,-0.12907608695652165,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
18,-0.004076086956521735,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
2,-0.11093168350914191,usable,0,0.0,not_classified,6,6,3,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
27,0.14235810482714498,usable,0,0.0,not_classified,5,5,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
28,0.008338921188031074,usable,0,0.0,not_classified,6,6,4,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
29,0.06191034975945957,usable,0,0.0,not_classified,6,6,4,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
30,-0.015975228506188297,usable,0,0.0,not_classified,5,5,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
31,-0.05615942028985501,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
32,0.04800724637681157,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
33,-0.014492753623188439,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
34,0.07555047267380839,usable,0,0.0,not_classified,7,7,3,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
35,-0.014469194374146845,usable,0,0.0,not_classified,5,5,3,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
36,-0.02727228063056008,usable,0,0.0,not_classified,8,8,4,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
37,0.11602666314999883,usable,0,0.0,not_classified,7,7,3,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
6,-0.06657608695652177,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
8,0.01675724637681157,usable,0,0.0,not_classified,4,4,2,C1,manual,absolute_count_rate,reviewed_reference_only,within_stage_LOBO
1,-0.07366384329876326,usable,0,0.0,not_classified,25,25,10,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
10,0.013993484033072573,usable,0,0.0,not_classified,26,26,11,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
11,0.02298382380960703,usable,0,0.0,not_classified,28,28,12,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
12,-0.07631730319155007,usable,0,0.0,not_classified,24,24,10,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
13,0.023401781165943228,usable,0,0.0,not_classified,25,25,10,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
15,0.00259332043713706,usable,0,0.0,not_classified,27,27,11,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
17,-0.04594830862108205,usable,0,0.0,not_classified,25,25,9,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
2,-0.05922987813358021,usable,0,0.0,not_classified,23,23,9,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
28,-0.004298597842845391,usable,0,0.0,not_classified,24,24,11,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
29,0.04026346828049404,usable,0,0.0,not_classified,24,24,11,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
30,0.005007496547815127,usable,0,0.0,not_classified,26,26,10,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
31,0.012300849274328307,usable,0,0.0,not_classified,30,30,11,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
32,0.06019730321690655,usable,0,0.0,not_classified,27,27,10,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
33,-0.02530749604604862,usable,0,0.0,not_classified,27,27,12,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
34,0.01835701951260395,usable,0,0.0,not_classified,41,41,12,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
35,0.011753665594584038,usable,0,0.0,not_classified,24,24,11,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
36,0.03190599542653664,usable,0,0.0,not_classified,26,26,11,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
37,0.09152242538532243,usable,0,0.0,not_classified,26,26,11,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
6,-0.007684774331780781,usable,0,0.0,not_classified,26,26,10,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
8,-0.041830431218700594,usable,0,0.0,not_classified,25,25,9,C1,manual,absolute_count_rate,current20_sensitivity,within_stage_LOBO
1,-0.006606458275125274,usable,0,0.0,not_classified,25,25,10,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
10,-0.035958136316302194,usable,0,0.0,not_classified,26,26,11,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
11,0.026032049410125244,usable,0,0.0,not_classified,28,28,12,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
12,-0.01114664614142287,usable,0,0.0,not_classified,24,24,10,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
13,-0.012448175612276156,usable,0,0.0,not_classified,25,25,10,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
14,-0.03270741218826942,usable,0,0.0,not_classified,25,25,10,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
15,0.010127398484397296,usable,0,0.0,not_classified,27,27,11,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
17,0.02722319398570341,usable,0,0.0,not_classified,25,25,9,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
18,0.0005345735640964184,usable,0,0.0,not_classified,26,26,10,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
2,0.01882846196790123,usable,0,0.0,not_classified,23,23,9,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
27,0.021885688781028284,usable,0,0.0,not_classified,25,25,11,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
28,0.0190977526125389,usable,0,0.0,not_classified,24,24,11,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
29,-0.017564868593602186,usable,0,0.0,not_classified,24,24,11,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
30,-0.020336112125202557,usable,0,0.0,not_classified,26,26,10,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
31,-0.012151493816613275,usable,0,0.0,not_classified,30,30,11,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
32,0.06297046732106855,usable,0,0.0,not_classified,27,27,10,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
33,-0.014142861666143747,usable,0,0.0,not_classified,27,27,12,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
34,-0.0679088180048124,usable,0,0.0,not_classified,41,41,12,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
35,-0.005625421067299974,usable,0,0.0,not_classified,24,24,11,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
36,-0.017873769526135817,usable,0,0.0,not_classified,26,26,11,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
37,0.08826463506284438,usable,0,0.0,not_classified,26,26,11,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
6,0.012946028170713478,usable,0,0.0,not_classified,26,26,10,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
8,-0.033440076027211336,usable,0,0.0,not_classified,25,25,9,C1,manual,extra_count_rate,all_usable,within_stage_LOBO
1,0.01627456262888857,usable,0,0.0,not_classified,17,17,9,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
10,-0.04390259103193681,usable,0,0.0,not_classified,22,22,11,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
11,0.03467797903140783,usable,0,0.0,not_classified,22,22,12,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
12,0.00332494878876413,usable,0,0.0,not_classified,18,18,10,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
13,-0.01661333716492409,usable,0,0.0,not_classified,21,21,9,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
14,-0.04070481047348378,usable,0,0.0,not_classified,21,21,9,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
15,0.014239939322773712,usable,0,0.0,not_classified,22,22,11,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
17,0.03350056667369987,usable,0,0.0,not_classified,21,21,9,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
18,-0.0010756041859144572,usable,0,0.0,not_classified,22,22,10,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
2,0.03573864945002516,usable,0,0.0,not_classified,17,17,8,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
27,-0.0104666868763669,usable,0,0.0,not_classified,20,20,10,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
28,0.024276927985871184,usable,0,0.0,not_classified,18,18,9,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
29,-0.024157710780853773,usable,0,0.0,not_classified,18,18,10,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
30,-0.01086406574201775,usable,0,0.0,not_classified,21,21,9,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
31,-0.020289870324412703,usable,0,0.0,not_classified,26,26,11,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
32,0.07542422178358925,usable,0,0.0,not_classified,23,23,10,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
33,-0.01490785886357228,usable,0,0.0,not_classified,23,23,12,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
34,-0.08014035190739231,usable,0,0.0,not_classified,34,34,12,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
35,-0.00870837614087696,usable,0,0.0,not_classified,19,19,10,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
36,-0.019976519096880016,usable,0,0.0,not_classified,18,18,9,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
37,0.07842567130675454,usable,0,0.0,not_classified,19,19,10,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
6,0.014905254397824957,usable,0,0.0,not_classified,22,22,10,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
8,-0.03898093878096736,usable,0,0.0,not_classified,21,21,9,C1,manual,extra_count_rate,fallback_only,within_stage_LOBO
1,-0.05000823491628527,usable,0,0.0,not_classified,8,8,3,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
10,-0.006340579710144932,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
11,0.00016494435594652143,usable,0,0.0,not_classified,6,6,4,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
12,-0.047299396451399245,usable,0,0.0,not_classified,6,6,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
13,-0.006340579710144903,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
14,-0.0063405797101449,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
15,-0.006832960224946058,usable,0,0.0,not_classified,5,5,3,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
17,-0.006340579710144915,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
18,-0.006340579710144964,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
2,-0.02082386660087593,usable,0,0.0,not_classified,6,6,3,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
27,0.14375404588005186,usable,0,0.0,not_classified,5,5,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
28,-0.008903338181765995,usable,0,0.0,not_classified,6,6,4,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
29,-0.008903338181766031,usable,0,0.0,not_classified,6,6,4,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
30,-0.05624595411994808,usable,0,0.0,not_classified,5,5,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
31,0.03532608695652171,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
32,-0.006340579710144939,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
33,-0.00634057971014492,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
34,-0.012826961763549407,usable,0,0.0,not_classified,7,7,3,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
35,-0.008923509361289071,usable,0,0.0,not_classified,5,5,3,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
36,-0.019537719188222176,usable,0,0.0,not_classified,8,8,4,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
37,0.1181254191888315,usable,0,0.0,not_classified,7,7,3,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
6,-0.0063405797101449375,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
8,-0.006340579710144929,usable,0,0.0,not_classified,4,4,2,C1,manual,extra_count_rate,reviewed_reference_only,within_stage_LOBO
1,0.0008154813148253419,usable,0,0.0,not_classified,25,25,10,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
10,-0.039172134085549884,usable,0,0.0,not_classified,26,26,11,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
11,0.025135180207942295,usable,0,0.0,not_classified,28,28,12,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
12,-0.004085716457611287,usable,0,0.0,not_classified,24,24,10,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
13,-0.015393585061803213,usable,0,0.0,not_classified,25,25,10,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
15,0.009162915303467094,usable,0,0.0,not_classified,27,27,11,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
17,0.025681350587713273,usable,0,0.0,not_classified,25,25,9,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
2,0.018461888517726753,usable,0,0.0,not_classified,23,23,9,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
28,0.01443844206087229,usable,0,0.0,not_classified,24,24,11,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
29,-0.021943272071820764,usable,0,0.0,not_classified,24,24,11,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
30,-0.014687692130297953,usable,0,0.0,not_classified,26,26,10,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
31,-0.013789408494410025,usable,0,0.0,not_classified,30,30,11,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
32,0.061984344829704295,usable,0,0.0,not_classified,27,27,10,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
33,-0.015147982386002956,usable,0,0.0,not_classified,27,27,12,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
34,-0.06962546584342418,usable,0,0.0,not_classified,41,41,12,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
35,-0.010506615291754834,usable,0,0.0,not_classified,24,24,11,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
36,-0.01458285407730307,usable,0,0.0,not_classified,26,26,11,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
37,0.08772247068804204,usable,0,0.0,not_classified,26,26,11,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
6,0.010453365879040279,usable,0,0.0,not_classified,26,26,10,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
8,-0.034920713489355486,usable,0,0.0,not_classified,25,25,9,C1,manual,extra_count_rate,current20_sensitivity,within_stage_LOBO
1,3.0084227840516595,usable,0,0.0,not_classified,25,25,10,C1,manual,matched_angle,all_usable,within_stage_LOBO
10,-0.8793029257159323,usable,0,0.0,not_classified,26,26,11,C1,manual,matched_angle,all_usable,within_stage_LOBO
11,-0.1309820700055967,usable,0,0.0,not_classified,28,28,12,C1,manual,matched_angle,all_usable,within_stage_LOBO
12,2.7207342432644577,usable,0,0.0,not_classified,24,24,10,C1,manual,matched_angle,all_usable,within_stage_LOBO
13,-0.42202625602640687,usable,0,0.0,not_classified,25,25,10,C1,manual,matched_angle,all_usable,within_stage_LOBO
14,-0.816911492813722,usable,0,0.0,not_classified,25,25,10,C1,manual,matched_angle,all_usable,within_stage_LOBO
15,-0.8022099802540651,usable,0,0.0,not_classified,27,27,11,C1,manual,matched_angle,all_usable,within_stage_LOBO
17,-0.28227396097189034,usable,0,0.0,not_classified,25,25,9,C1,manual,matched_angle,all_usable,within_stage_LOBO
18,-1.64638505855074,usable,0,0.0,not_classified,26,26,10,C1,manual,matched_angle,all_usable,within_stage_LOBO
2,-2.614208293132611,usable,0,0.0,not_classified,23,23,9,C1,manual,matched_angle,all_usable,within_stage_LOBO
27,-1.216729899340187,usable,0,0.0,not_classified,25,25,11,C1,manual,matched_angle,all_usable,within_stage_LOBO
28,0.11974217784684607,usable,0,0.0,not_classified,24,24,11,C1,manual,matched_angle,all_usable,within_stage_LOBO
29,-0.6698304060984586,usable,0,0.0,not_classified,24,24,11,C1,manual,matched_angle,all_usable,within_stage_LOBO
30,0.8436095311494184,usable,0,0.0,not_classified,26,26,10,C1,manual,matched_angle,all_usable,within_stage_LOBO
31,0.13770739890439326,usable,0,0.0,not_classified,30,30,11,C1,manual,matched_angle,all_usable,within_stage_LOBO
32,-0.7266814243799479,usable,0,0.0,not_classified,27,27,10,C1,manual,matched_angle,all_usable,within_stage_LOBO
33,0.8961465477717235,usable,0,0.0,not_classified,27,27,12,C1,manual,matched_angle,all_usable,within_stage_LOBO
34,0.3683096337367668,usable,0,0.0,not_classified,41,41,12,C1,manual,matched_angle,all_usable,within_stage_LOBO
35,1.167895657831331,usable,0,0.0,not_classified,24,24,11,C1,manual,matched_angle,all_usable,within_stage_LOBO
36,0.36762984055587195,usable,0,0.0,not_classified,26,26,11,C1,manual,matched_angle,all_usable,within_stage_LOBO
37,1.4759778451751182,usable,0,0.0,not_classified,26,26,11,C1,manual,matched_angle,all_usable,within_stage_LOBO
6,0.5822936484939504,usable,0,0.0,not_classified,26,26,10,C1,manual,matched_angle,all_usable,within_stage_LOBO
8,-1.4809275414919782,usable,0,0.0,not_classified,25,25,9,C1,manual,matched_angle,all_usable,within_stage_LOBO
1,2.3447958219441496,usable,0,0.0,not_classified,17,17,9,C1,manual,matched_angle,fallback_only,within_stage_LOBO
10,-0.8660880307331065,usable,0,0.0,not_classified,22,22,11,C1,manual,matched_angle,fallback_only,within_stage_LOBO
11,0.1997683676396341,usable,0,0.0,not_classified,22,22,12,C1,manual,matched_angle,fallback_only,within_stage_LOBO
12,2.6599605889055447,usable,0,0.0,not_classified,18,18,10,C1,manual,matched_angle,fallback_only,within_stage_LOBO
13,-0.6368770934569131,usable,0,0.0,not_classified,21,21,9,C1,manual,matched_angle,fallback_only,within_stage_LOBO
14,-0.5218902201309373,usable,0,0.0,not_classified,21,21,9,C1,manual,matched_angle,fallback_only,within_stage_LOBO
15,-0.6435098292621834,usable,0,0.0,not_classified,22,22,11,C1,manual,matched_angle,fallback_only,within_stage_LOBO
17,0.5955403189949683,usable,0,0.0,not_classified,21,21,9,C1,manual,matched_angle,fallback_only,within_stage_LOBO
18,-1.3948434311983173,usable,0,0.0,not_classified,22,22,10,C1,manual,matched_angle,fallback_only,within_stage_LOBO
2,-1.3090804824539461,usable,0,0.0,not_classified,17,17,8,C1,manual,matched_angle,fallback_only,within_stage_LOBO
27,-0.9167830759027983,usable,0,0.0,not_classified,20,20,10,C1,manual,matched_angle,fallback_only,within_stage_LOBO
28,-0.40372042378687056,usable,0,0.0,not_classified,18,18,9,C1,manual,matched_angle,fallback_only,within_stage_LOBO
29,0.02166654475482561,usable,0,0.0,not_classified,18,18,10,C1,manual,matched_angle,fallback_only,within_stage_LOBO
30,0.9943885468750465,usable,0,0.0,not_classified,21,21,9,C1,manual,matched_angle,fallback_only,within_stage_LOBO
31,-1.2469757994525947,usable,0,0.0,not_classified,26,26,11,C1,manual,matched_angle,fallback_only,within_stage_LOBO
32,-0.8127968649919193,usable,0,0.0,not_classified,23,23,10,C1,manual,matched_angle,fallback_only,within_stage_LOBO
33,0.42195812089654056,usable,0,0.0,not_classified,23,23,12,C1,manual,matched_angle,fallback_only,within_stage_LOBO
34,0.20532611042999435,usable,0,0.0,not_classified,34,34,12,C1,manual,matched_angle,fallback_only,within_stage_LOBO
35,0.6181635313036838,usable,0,0.0,not_classified,19,19,10,C1,manual,matched_angle,fallback_only,within_stage_LOBO
36,1.4610234961627286,usable,0,0.0,not_classified,18,18,9,C1,manual,matched_angle,fallback_only,within_stage_LOBO
