panel,field,value,images,buildings
all648,fine_ai,卧室|用餐|通行,2,1
all648,fine_ai,卧室|起居休闲|通行,3,1
all648,fine_ai,卧室|通行,13,6
all648,fine_ai,卫浴,87,15
all648,fine_ai,卫浴|工作学习|通行,1,1
all648,fine_ai,卫浴|特殊用途,1,1
all648,fine_ai,卫浴|特殊用途|通行,4,1
all648,fine_ai,卫浴|用途不明,3,2
all648,fine_ai,卫浴|起居休闲,1,1
all648,fine_ai,卫浴|起居休闲|通行,1,1
all648,fine_ai,卫浴|通行,10,6
all648,fine_ai,厨房,2,2
all648,fine_ai,厨房|工作学习|起居休闲,1,1
all648,fine_ai,厨房|用餐,11,5
all648,fine_ai,厨房|用餐|起居休闲,29,10
all648,fine_ai,厨房|用餐|起居休闲|通行,1,1
all648,fine_ai,厨房|用餐|通行,2,2
all648,fine_ai,厨房|起居休闲,6,1
all648,fine_ai,厨房|起居休闲|通行,4,2
all648,fine_ai,厨房|通行,1,1
all648,fine_ai,工作学习|工作学习（会议）|工作学习（办公）,2,1
all648,fine_ai,工作学习|特殊用途|通行,1,1
all648,fine_ai,工作学习|用餐|起居休闲,2,1
all648,fine_ai,工作学习|起居休闲,10,4
all648,fine_ai,工作学习|起居休闲|通行,2,1
all648,fine_ai,工作学习|通行,43,2
all648,fine_ai,特殊用途,9,4
all648,fine_ai,特殊用途|用餐,4,1
all648,fine_ai,特殊用途|起居休闲,3,1
all648,fine_ai,特殊用途|通行,9,2
all648,fine_ai,用途不明,9,4
all648,fine_ai,用途不明|用餐,2,1
all648,fine_ai,用途不明|起居休闲,1,1
all648,fine_ai,用途不明|起居休闲|通行,3,1
all648,fine_ai,用途不明|通行,13,4
all648,fine_ai,用途不明（室内）|用餐|用餐（露台）,1,1
all648,fine_ai,用餐,4,2
all648,fine_ai,用餐|起居休闲,9,2
all648,fine_ai,用餐|起居休闲|通行,9,3
all648,fine_ai,用餐|通行,5,2
all648,fine_ai,用餐（跨视点证据）|起居休闲,1,1
all648,fine_ai,起居休闲,20,4
all648,fine_ai,起居休闲|通行,13,6
all648,fine_ai,通行,66,14
all648,fine_ai,通行|通行（电梯）|通行（门厅）,1,1
all648,main_function_primary,bathroom,111,18
all648,main_function_primary,circulation,85,19
all648,main_function_primary,dining,27,9
all648,main_function_primary,empty,16,4
all648,main_function_primary,kitchen,35,15
all648,main_function_primary,living,66,16
all648,main_function_primary,sleep,158,19
all648,main_function_primary,special,20,6
all648,main_function_primary,storage,38,12
all648,main_function_primary,unknown,56,14
all648,main_function_primary,work,36,7
all648,main_space_human,,607,25
all648,main_space_human,L形厨房为主；短走道可见,1,1
all648,main_space_human,两单床儿童卧室,1,1
all648,main_space_human,主卫靠衣帽通道,1,1
all648,main_space_human,书房与客厅双门,1,1
all648,main_space_human,入口交接处为主,1,1
all648,main_space_human,内侧厕间,1,1
all648,main_space_human,厨房外过渡走道,1,1
all648,main_space_human,厨房＋起居；厨房为主,2,1
all648,main_space_human,双单床房靠外门侧,1,1
all648,main_space_human,大餐桌用餐区为主,1,1
all648,main_space_human,家务水槽房为主；卫浴门后可见,1,1
all648,main_space_human,彩画卧室主区,1,1
all648,main_space_human,彩色挂画卧室卫浴侧,1,1
all648,main_space_human,房间入口交接处为主,1,1
all648,main_space_human,更衣通道为主；柜体次要,1,1
all648,main_space_human,洗漱区与更衣前室交接并重,1,1
all648,main_space_human,洗漱区入口为主,1,1
all648,main_space_human,洗漱／淋浴为主；前室可见,1,1
all648,main_space_human,洗漱／淋浴为主；前室次要,1,1
all648,main_space_human,浴室与卧室门口；浴室呈现较完整,1,1
all648,main_space_human,灰墙卫浴入口,1,1
all648,main_space_human,盥洗厕间为主,1,1
all648,main_space_human,磨砂门内厕间,1,1
all648,main_space_human,空房主区,1,1
all648,main_space_human,空房及衣帽间入口,1,1
all648,main_space_human,空置办公室为主,1,1
all648,main_space_human,空置房间与通道并见；主区域待定,1,1
all648,main_space_human,衣帽储物区为主,2,1
all648,main_space_human,衣帽间,1,1
all648,main_space_human,起居＋厨房；起居为主,4,1
all648,main_space_human,过道与台阶连接为主,1,1
all648,main_space_human,餐室边缘为主；餐桌局部可见,1,1
all648,main_space_human,餐桌区为主,1,1
all648,main_space_human,餐桌及餐室围合为主,1,1
all648,main_space_human,餐饮为主；厨房与起居次要,1,1
all648,main_space_human,餐饮＋厨房；餐饮为主,1,1
all648,main_space_source,AI_new_spatial_review,648,25
all648,room_status,not_in_supported_component,176,23
all648,room_status,overlap_with_pending_or_unsupported,210,21
all648,room_status,supported_component,262,20
all648,floor_boundary,partial,514,25
all648,floor_boundary,present,134,20
all648,ceiling_boundary,partial,88,5
all648,ceiling_boundary,present,560,25
all648,corner_occlusion,absent,134,20
all648,corner_occlusion,present,514,25
all648,connected_space,absent,1,1
all648,connected_space,present,644,24
all648,connected_space,unknown,3,2
all648,reflection_glass,absent,3,1
all648,reflection_glass,present,451,24
all648,reflection_glass,unknown,194,21
all648,low_contrast,absent,643,25
all648,low_contrast,present,5,2
all648,doorway,否,606,25
all648,doorway,无法判断,1,1
all648,doorway,疑似,14,9
all648,doorway,确认,27,11
history205,scene_category,储藏与家务辅助,9,5
history205,scene_category,卧室,51,16
history205,scene_category,卫浴,50,14
history205,scene_category,厨房与用餐,14,11
history205,scene_category,复合／待定,10,7
history205,scene_category,"复合／待定  , 厨房 客厅",1,1
history205,scene_category,工作与学习,4,2
history205,scene_category,开放复合空间,3,1
history205,scene_category,无法判断,1,1
history205,scene_category,特殊用途,2,1
history205,scene_category,起居与休闲,21,12
history205,scene_category,通行与连接,39,17
history205,fine_human,,188,22
history205,fine_human,办公、会谈,1,1
history205,fine_human,卫浴,3,1
history205,fine_human,厨房,1,1
history205,fine_human,厨房、起居,1,1
history205,fine_human,如厕,2,1
history205,fine_human,洗浴与如厕,1,1
history205,fine_human,洗漱、沐浴,1,1
history205,fine_human,烹饪、用餐,1,1
history205,fine_human,用途未定,1,1
history205,fine_human,睡眠,1,1
history205,fine_human,起居、厨房,1,1
history205,fine_human,通行,2,1
history205,fine_human,餐饮、厨房,1,1
history205,fine_ai,储藏家务,5,3
history205,fine_ai,储藏家务|卧室,2,1
history205,fine_ai,储藏家务|卧室|卫浴|通行,1,1
history205,fine_ai,储藏家务|卧室|厨房,3,1
history205,fine_ai,储藏家务|卫浴,2,2
history205,fine_ai,储藏家务|卫浴|通行,4,2
history205,fine_ai,储藏家务|通行,4,3
history205,fine_ai,卧室,44,14
history205,fine_ai,卧室|卫浴,8,4
history205,fine_ai,卧室|卫浴|通行,1,1
history205,fine_ai,卧室|厨房|通行,1,1
history205,fine_ai,卧室|用餐|通行,1,1
history205,fine_ai,卧室|起居休闲|通行,3,1
history205,fine_ai,卧室|通行,5,4
history205,fine_ai,卫浴,33,12
history205,fine_ai,卫浴|特殊用途|通行,1,1
history205,fine_ai,卫浴|用途不明,2,2
history205,fine_ai,卫浴|通行,6,4
history205,fine_ai,厨房,1,1
history205,fine_ai,厨房|工作学习|起居休闲,1,1
history205,fine_ai,厨房|用餐,4,3
history205,fine_ai,厨房|用餐|起居休闲,6,4
history205,fine_ai,厨房|起居休闲,3,1
history205,fine_ai,厨房|起居休闲|通行,2,1
history205,fine_ai,工作学习|起居休闲,3,2
history205,fine_ai,工作学习|起居休闲|通行,1,1
history205,fine_ai,工作学习|通行,6,1
history205,fine_ai,特殊用途,3,2
history205,fine_ai,特殊用途|用餐,1,1
history205,fine_ai,特殊用途|起居休闲,1,1
history205,fine_ai,特殊用途|通行,3,1
history205,fine_ai,用途不明,4,2
history205,fine_ai,用途不明|起居休闲|通行,1,1
history205,fine_ai,用途不明|通行,4,2
history205,fine_ai,用餐,1,1
history205,fine_ai,用餐|起居休闲,3,2
history205,fine_ai,用餐|起居休闲|通行,1,1
history205,fine_ai,用餐|通行,1,1
history205,fine_ai,起居休闲,5,3
history205,fine_ai,起居休闲|通行,2,2
history205,fine_ai,通行,21,11
history205,fine_ai,通行|通行（电梯）|通行（门厅）,1,1
history205,main_function_primary,bathroom,48,13
history205,main_function_primary,circulation,27,12
history205,main_function_primary,dining,6,5
history205,main_function_primary,empty,6,3
history205,main_function_primary,kitchen,9,9
history205,main_function_primary,living,21,13
history205,main_function_primary,sleep,53,17
history205,main_function_primary,special,4,2
history205,main_function_primary,storage,7,5
history205,main_function_primary,unknown,20,12
history205,main_function_primary,work,4,2
history205,main_space_human,,188,22
history205,main_space_human,L形厨房为主；短走道可见,1,1
history205,main_space_human,两单床儿童卧室,1,1
history205,main_space_human,主卫靠衣帽通道,1,1
history205,main_space_human,书房与客厅双门,1,1
history205,main_space_human,入口交接处为主,1,1
history205,main_space_human,内侧厕间,1,1
history205,main_space_human,厨房＋起居；厨房为主,1,1
history205,main_space_human,大餐桌用餐区为主,1,1
history205,main_space_human,洗漱区与更衣前室交接并重,1,1
history205,main_space_human,洗漱／淋浴为主；前室可见,1,1
history205,main_space_human,洗漱／淋浴为主；前室次要,1,1
history205,main_space_human,盥洗厕间为主,1,1
history205,main_space_human,磨砂门内厕间,1,1
history205,main_space_human,空房主区,1,1
history205,main_space_human,起居＋厨房；起居为主,1,1
history205,main_space_human,过道与台阶连接为主,1,1
history205,main_space_human,餐饮＋厨房；餐饮为主,1,1
history205,main_space_source,AI_new_spatial_review,205,22
history205,room_status,not_in_supported_component,51,16
history205,room_status,overlap_with_pending_or_unsupported,77,18
history205,room_status,supported_component,77,18
history205,floor_boundary,partial,161,22
history205,floor_boundary,present,44,16
history205,ceiling_boundary,partial,21,3
history205,ceiling_boundary,present,184,22
history205,corner_occlusion,absent,44,16
history205,corner_occlusion,present,161,22
history205,connected_space,present,205,22
history205,reflection_glass,present,149,22
history205,reflection_glass,unknown,56,19
history205,low_contrast,absent,204,22
history205,low_contrast,present,1,1
history205,doorway,否,186,22
history205,doorway,无法判断,1,1
history205,doorway,疑似,6,5
history205,doorway,确认,12,8
assigned,scene_category,卧室,9,5
assigned,scene_category,卫浴,7,4
assigned,scene_category,厨房与用餐,1,1
assigned,scene_category,复合／待定,2,2
assigned,scene_category,开放复合空间,1,1
assigned,scene_category,起居与休闲,1,1
assigned,scene_category,通行与连接,10,8
assigned,fine_human,,26,12
assigned,fine_human,卫浴,2,1
assigned,fine_human,烹饪、用餐,1,1
assigned,fine_human,睡眠,1,1
assigned,fine_human,起居、厨房,1,1
assigned,fine_ai,储藏家务|卫浴|通行,2,1
assigned,fine_ai,储藏家务|通行,1,1
assigned,fine_ai,卧室,9,5
assigned,fine_ai,卧室|卫浴,1,1
assigned,fine_ai,卧室|通行,2,2
assigned,fine_ai,卫浴,3,3
assigned,fine_ai,卫浴|通行,1,1
assigned,fine_ai,工作学习|起居休闲,1,1
assigned,fine_ai,特殊用途|用餐,1,1
assigned,fine_ai,用途不明,1,1
assigned,fine_ai,用途不明|起居休闲|通行,1,1
assigned,fine_ai,用途不明|通行,1,1
assigned,fine_ai,通行,6,5
assigned,fine_ai,通行|通行（电梯）|通行（门厅）,1,1
assigned,main_function_primary,bathroom,6,4
assigned,main_function_primary,circulation,7,6
assigned,main_function_primary,dining,1,1
assigned,main_function_primary,empty,1,1
assigned,main_function_primary,living,2,2
assigned,main_function_primary,sleep,10,6
assigned,main_function_primary,unknown,4,4
assigned,main_space_human,,26,12
assigned,main_space_human,两单床儿童卧室,1,1
assigned,main_space_human,大餐桌用餐区为主,1,1
assigned,main_space_human,洗漱区与更衣前室交接并重,1,1
assigned,main_space_human,洗漱／淋浴为主；前室可见,1,1
assigned,main_space_human,起居＋厨房；起居为主,1,1
assigned,main_space_source,AI_new_spatial_review,31,13
assigned,room_status,not_in_supported_component,5,4
assigned,room_status,overlap_with_pending_or_unsupported,13,6
assigned,room_status,supported_component,13,10
assigned,floor_boundary,partial,19,11
assigned,floor_boundary,present,12,9
assigned,ceiling_boundary,partial,3,2
assigned,ceiling_boundary,present,28,13
assigned,corner_occlusion,absent,12,9
assigned,corner_occlusion,present,19,11
assigned,connected_space,present,31,13
assigned,reflection_glass,present,22,12
assigned,reflection_glass,unknown,9,7
assigned,low_contrast,absent,31,13
assigned,doorway,否,26,12
assigned,doorway,疑似,2,2
assigned,doorway,确认,3,2
