condition,field,value,images,buildings,median_people,invalid_images,unassigned,simple,medium,difficult_candidate,cdf_early7_n,cdf_early7_mean,cdf_early7_median,cdf_observed_by19_n,cdf_observed_by19_mean,cdf_observed_by19_median,late_new_geometry_n,late_new_geometry_mean,late_new_geometry_median,half_tv_n,half_tv_mean,half_tv_median,singleton_mass_n,singleton_mass_mean,singleton_mass_median,within_mode_median_n,within_mode_median_mean,within_mode_median_median,point_count_disagreement_n,point_count_disagreement_mean,point_count_disagreement_median
manual,scene_category,通行与连接,36,17,5,1,27,5,0,4,9,0.616666666667,1,9,0.77,1,30,0.336111111111,0.29875,30,0.267466677646,0.295292325429,33,0.310144927536,0.208333333333,27,0.0377763316808,0.0389117288374,33,0.38451511159,0.333333333333
manual,fine_human,,171,22,5,11,147,15,1,8,39,0.495128205128,0.55,39,0.678974358974,0.67,118,0.26938700565,0.185416666667,118,0.245401865499,0.2445,151,0.303700048291,0.2,112,0.0436036553025,0.0410214691958,151,0.401054804599,0.4
manual,fine_human,办公、会谈,1,1,23,0,1,0,0,0,0,,,0,,,1,0.13,0.13,1,0.256956521739,0.256956521739,1,0.130434782609,0.130434782609,1,0.0404000248463,0.0404000248463,1,0.612648221344,0.612648221344
manual,fine_human,卫浴,3,1,23,1,1,0,0,2,0,,,0,,,3,0.326111111111,0.418333333333,3,0.302656455863,0.31125,3,0.327898550725,0.347826086957,3,0.047053047031,0.0466278754968,3,0.705094422486,0.731884057971
manual,fine_human,厨房,1,1,6,0,1,0,0,0,0,,,0,,,1,0.15,0.15,1,0.166666666667,0.166666666667,1,0.166666666667,0.166666666667,1,0.0689807813785,0.0689807813785,1,0,0
manual,fine_human,厨房、起居,1,1,5,0,1,0,0,0,0,,,0,,,1,0.19,0.19,1,0.243,0.243,1,0.2,0.2,1,0.0626401137484,0.0626401137484,1,0.4,0.4
manual,fine_human,如厕,2,1,23.5,0,2,0,0,0,2,0,0,2,0.715,0.715,2,0.0333333333334,0.0333333333334,2,0.059071969697,0.059071969697,2,0.0208333333333,0.0208333333333,2,0.0244351353402,0.0244351353402,2,0.23336627141,0.23336627141
manual,fine_human,洗浴与如厕,1,1,1,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
manual,fine_human,洗漱、沐浴,1,1,6,0,1,0,0,0,0,,,0,,,1,0.7,0.7,1,0.381666666667,0.381666666667,1,0.666666666667,0.666666666667,1,0,0,1,0.866666666667,0.866666666667
manual,fine_human,烹饪、用餐,1,1,5,0,1,0,0,0,0,,,0,,,1,0.0566666666667,0.0566666666667,1,0.238,0.238,1,0.2,0.2,1,0.0575182402261,0.0575182402261,1,0,0
manual,fine_human,用途未定,1,1,7,0,1,0,0,0,1,0.61,0.61,1,0.61,0.61,1,0.06,0.06,1,0.154761904762,0.154761904762,1,0,0,1,0.048613116923,0.048613116923,1,0.47619047619,0.47619047619
manual,fine_human,起居、厨房,1,1,6,0,1,0,0,0,0,,,0,,,1,0.353333333333,0.353333333333,1,0.223333333333,0.223333333333,1,0.333333333333,0.333333333333,1,0.0177253478985,0.0177253478985,1,0.6,0.6
manual,fine_human,通行,2,1,5,0,2,0,0,0,0,,,0,,,2,0.686666666667,0.686666666667,2,0.462,0.462,2,0.6,0.6,1,0.0434831964444,0.0434831964444,2,0.7,0.7
manual,fine_human,餐饮、厨房,1,1,6,0,1,0,0,0,0,,,0,,,1,0.716666666667,0.716666666667,1,0.401666666667,0.401666666667,1,0.666666666667,0.666666666667,1,0.0871720435997,0.0871720435997,1,0.6,0.6
manual,fine_ai,储藏家务,4,3,14,0,4,0,0,0,2,0,0,2,0.575,0.575,4,0.282916666667,0.198333333333,4,0.253819169961,0.220138339921,4,0.296286231884,0.271739130435,4,0.0507979168844,0.050460751757,4,0.342572463768,0.29347826087
manual,fine_ai,储藏家务|卧室,2,1,1.5,1,2,0,0,0,0,,,0,,,0,,,0,,,1,0,0,0,,,1,0,0
manual,fine_ai,储藏家务|卧室|卫浴|通行,1,1,5,0,1,0,0,0,0,,,0,,,1,0.406666666667,0.406666666667,1,0.358,0.358,1,0.4,0.4,1,0.0420061446832,0.0420061446832,1,0.7,0.7
manual,fine_ai,储藏家务|卧室|厨房,3,1,2,0,3,0,0,0,0,,,0,,,1,0.285,0.285,1,0.3275,0.3275,3,0.833333333333,1,1,0.057024089161,0.057024089161,3,0.833333333333,1
manual,fine_ai,储藏家务|卫浴,2,2,13,0,2,0,0,0,0,,,0,,,1,0.205833333333,0.205833333333,1,0.235,0.235,2,0.583333333334,0.583333333334,1,0.0165757236051,0.0165757236051,2,0.83152173913,0.83152173913
manual,fine_ai,储藏家务|卫浴|通行,4,2,23,1,2,0,0,2,0,,,0,,,3,0.326111111111,0.418333333333,3,0.302656455863,0.31125,3,0.327898550725,0.347826086957,3,0.047053047031,0.0466278754968,3,0.705094422486,0.731884057971
manual,fine_ai,储藏家务|通行,4,3,4.5,0,3,1,0,0,1,1,1,1,1,1,3,0.153888888889,0.176666666667,3,0.165666666667,0.247,3,0.15,0.2,3,0.053371976614,0.0499534341062,3,0.3,0.4
manual,fine_ai,卧室,37,14,5,1,30,5,1,1,11,0.562727272727,0.56,11,0.719090909091,0.95,24,0.150659722222,0.106666666667,24,0.173220643939,0.208833333334,30,0.130120772947,0.0467391304348,24,0.0414207960846,0.0401537850323,30,0.193888888889,0
manual,fine_ai,卧室|卫浴,8,4,3,1,7,1,0,0,1,1,1,1,1,1,3,0.266666666667,0.225,3,0.217329434698,0.25,8,0.597039473684,0.763157894737,3,0.0376375565367,0.0226984433182,8,0.504020467836,0.516081871345
manual,fine_ai,卧室|卫浴|通行,1,1,1,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
manual,fine_ai,卧室|厨房|通行,1,1,6,0,1,0,0,0,0,,,0,,,1,0.15,0.15,1,0.166666666667,0.166666666667,1,0.166666666667,0.166666666667,1,0.0689807813785,0.0689807813785,1,0,0
manual,fine_ai,卧室|用餐|通行,1,1,3,0,1,0,0,0,0,,,0,,,0,,,0,,,1,0,0,0,,,1,0,0
manual,fine_ai,卧室|起居休闲|通行,3,1,6,1,3,0,0,0,0,,,0,,,3,0.519166666667,0.436666666667,3,0.365826086957,0.364,3,0.471497584541,0.4,3,0.0406785587801,0.0376346061965,3,0.819806763285,0.826086956522
manual,fine_ai,卧室|通行,4,4,5,0,3,0,0,1,0,,,0,,,3,0.548333333333,0.508333333333,3,0.403194444444,0.367,3,0.5,0.5,3,0.0646826144675,0.0627485123536,3,0.75652173913,0.7
manual,fine_ai,卫浴,32,12,5.5,3,29,1,0,2,8,0.125,0,8,0.61875,0.695,26,0.251224358974,0.193333333334,26,0.234645206497,0.246865497076,30,0.304980682933,0.2,25,0.043653789297,0.0490592565359,30,0.453894502396,0.4
manual,fine_ai,卫浴|特殊用途|通行,1,1,5,0,1,0,0,0,0,,,0,,,1,0,0,1,0.242,0.242,1,0.2,0.2,1,0.0405859139042,0.0405859139042,1,0,0
manual,fine_ai,卫浴|用途不明,2,2,3.5,0,2,0,0,0,0,,,0,,,1,0.706666666667,0.706666666667,1,0.49,0.49,2,0.3,0.3,1,0.0794784990697,0.0794784990697,2,0.45,0.45
manual,fine_ai,卫浴|通行,6,4,5.5,1,5,0,0,1,0,,,0,,,4,0.50875,0.439166666666,4,0.37863801054,0.338679183136,6,0.509661835749,0.463768115942,3,0.0327919037282,0.0374580861185,6,0.725076855512,0.841897233202
manual,fine_ai,厨房,1,1,3,0,1,0,0,0,0,,,0,,,0,,,0,,,1,0.333333333333,0.333333333333,0,,,1,0.666666666667,0.666666666667
manual,fine_ai,厨房|工作学习|起居休闲,1,1,6,0,1,0,0,0,0,,,0,,,1,1,1,1,0.5,0.5,1,1,1,0,,,1,0.8,0.8
manual,fine_ai,厨房|用餐,4,3,5.5,0,4,0,0,0,0,,,0,,,4,0.419166666667,0.385,4,0.309166666667,0.2975,4,0.35,0.266666666667,4,0.05046931709,0.0473913602965,4,0.533333333333,0.5
manual,fine_ai,厨房|用餐|起居休闲,6,4,5,1,6,0,0,0,2,0.325,0.325,2,0.335,0.335,6,0.364444444445,0.201666666667,6,0.303527777778,0.311,6,0.340277777778,0.2,5,0.053247657722,0.0493877253044,6,0.45,0.4
manual,fine_ai,厨房|起居休闲,3,1,2,0,3,0,0,0,0,,,0,,,0,,,0,,,2,1,1,0,,,2,1,1
manual,fine_ai,厨房|起居休闲|通行,1,1,6,0,1,0,0,0,0,,,0,,,1,0.22,0.22,1,0.24,0.24,1,0.333333333333,0.333333333333,1,0.0595328500214,0.0595328500214,1,0,0
manual,fine_ai,工作学习|起居休闲,3,2,6,0,2,1,0,0,2,0.89,0.89,2,0.89,0.89,3,0.0577777777778,0.0433333333333,3,0.155652173913,0.21,3,0.0434782608697,0,3,0.0324811618383,0.0404000248463,3,0.404216073781,0.6
manual,fine_ai,工作学习|起居休闲|通行,1,1,5,0,1,0,0,0,0,,,0,,,1,0.5,0.5,1,0.482,0.482,1,0.6,0.6,1,0.0664213357058,0.0664213357058,1,0.4,0.4
manual,fine_ai,工作学习|通行,4,1,5.5,0,4,0,0,0,1,0.53,0.53,1,0.53,0.53,4,0.296875,0.286666666667,4,0.284958333333,0.303,4,0.25625,0.2625,4,0.0473198965698,0.0503704303248,4,0.195833333333,0.0416666666666
manual,fine_ai,特殊用途,2,2,3,0,2,0,0,0,0,,,0,,,1,0,0,1,0.237,0.237,1,0.2,0.2,1,0.0572270208612,0.0572270208612,1,0,0
manual,fine_ai,特殊用途|用餐,1,1,5,0,1,0,0,0,0,,,0,,,1,0.0566666666667,0.0566666666667,1,0.238,0.238,1,0.2,0.2,1,0.0575182402261,0.0575182402261,1,0,0
manual,fine_ai,特殊用途|起居休闲,1,1,5,0,1,0,0,0,0,,,0,,,1,0,0,1,0.248,0.248,1,0.2,0.2,1,0.0389265898881,0.0389265898881,1,0,0
manual,fine_ai,特殊用途|通行,3,1,5,0,3,0,0,0,1,0.61,0.61,1,0.61,0.61,3,0.430277777778,0.1575,3,0.334527777778,0.254,3,0.388888888889,0.166666666667,2,0.056563568893,0.056563568893,3,0.613043478261,0.6
manual,fine_ai,用途不明,3,2,7,1,2,1,0,0,2,0.805,0.805,2,0.805,0.805,2,0.03,0.03,2,0.077380952381,0.077380952381,3,0.111111111111,0,2,0.0422033796769,0.0422033796769,3,0.380952380952,0.47619047619
manual,fine_ai,用途不明|起居休闲|通行,1,1,6,0,1,0,0,0,0,,,0,,,1,0.353333333333,0.353333333333,1,0.223333333333,0.223333333333,1,0.333333333333,0.333333333333,1,0.0177253478985,0.0177253478985,1,0.6,0.6
manual,fine_ai,用途不明|通行,3,1,23,1,2,0,0,1,0,,,0,,,3,0.3875,0.460833333333,3,0.30130599473,0.312916666667,3,0.336956521739,0.333333333333,3,0.0431825741366,0.0410193457332,3,0.193236714976,0.159420289855
manual,fine_ai,用餐,1,1,3,0,1,0,0,0,0,,,0,,,0,,,0,,,1,0,0,0,,,1,0,0
manual,fine_ai,用餐|起居休闲,3,2,1,0,3,0,0,0,0,,,0,,,1,1,1,1,0.6,0.6,1,1,1,0,,,1,1,1
manual,fine_ai,用餐|起居休闲|通行,1,1,3,0,1,0,0,0,0,,,0,,,0,,,0,,,1,0.333333333333,0.333333333333,0,,,1,0.666666666667,0.666666666667
manual,fine_ai,起居休闲,5,3,4,0,5,0,0,0,2,0,0,2,0.19,0.19,4,0.254791666667,0.174166666666,4,0.238799407114,0.222598814229,5,0.157391304348,0.0869565217391,4,0.0417414123415,0.0379867455412,5,0.504901185771,0.624505928854
manual,fine_ai,起居休闲|通行,2,2,1.5,0,2,0,0,0,0,,,0,,,0,,,0,,,1,0,0,0,,,1,0,0
manual,fine_ai,通行,20,10,5,0,14,4,0,2,8,0.56875,0.775,8,0.74125,0.835,16,0.2603125,0.167083333334,16,0.222005146574,0.221875,18,0.25364331723,0.128623188406,15,0.0346233500475,0.0388149909178,18,0.353012004099,0.360079051384
manual,fine_ai,通行|通行（电梯）|通行（门厅）,1,1,5,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0.0126505084587,0.0126505084587,1,0,0
manual,main_function_primary,bathroom,48,13,5.5,6,42,1,0,5,7,0.142857142857,0,7,0.607142857143,0.69,33,0.297202020202,0.206666666667,33,0.265488436852,0.266086956522,45,0.382979324684,0.260869565217,32,0.0438278412364,0.0478435660164,45,0.541728593186,0.7
manual,main_function_primary,circulation,25,11,5,1,18,4,0,3,7,0.65,1,7,0.772857142857,1,22,0.338901515152,0.29875,22,0.271503802851,0.295292325429,23,0.33013547574,0.260869565217,20,0.0373204496896,0.0388633598776,23,0.392779400813,0.4
manual,main_function_primary,dining,5,4,5,0,5,0,0,0,1,0,0,1,0.02,0.02,3,0.257777777778,0.0566666666667,3,0.244055555556,0.238,3,0.302777777778,0.2,3,0.0667157086267,0.0575182402261,3,0.2,0
manual,main_function_primary,empty,5,3,7,1,4,1,0,0,4,0.535,0.57,4,0.67,0.575,4,0.0620833333334,0.0508333333333,4,0.127759646151,0.132519292302,5,0.0753623188405,0,4,0.0477746195075,0.0449041677195,5,0.245962732919,0.0869565217391
manual,main_function_primary,kitchen,9,9,5,0,9,0,0,0,1,0.65,0.65,1,0.65,0.65,6,0.205,0.188333333333,6,0.255055555556,0.2435,8,0.1625,0.2,6,0.0489585947242,0.0452462204702,8,0.333333333333,0.4
manual,main_function_primary,living,20,13,5,2,19,1,0,0,3,0.333333333333,0,3,0.46,0.38,14,0.422380952381,0.372083333333,14,0.317286373047,0.290739130435,19,0.431655225019,0.333333333333,12,0.0430162985862,0.0393292825213,19,0.571083836072,0.666666666667
manual,main_function_primary,sleep,45,17,5,1,38,4,1,2,10,0.519,0.55,10,0.691,0.775,27,0.224351851852,0.173333333333,27,0.22064365881,0.237,36,0.259822866345,0.2,27,0.0443214356465,0.0429578969865,36,0.332950885668,0.125
manual,main_function_primary,special,3,2,5,0,3,0,0,0,1,0.61,0.61,1,0.61,0.61,3,0.0444444444443,0,3,0.244333333333,0.242,3,0.133333333333,0.2,3,0.0553972947358,0.0572270208612,3,0.2,0
manual,main_function_primary,storage,5,4,4,1,5,0,0,0,1,0,0,1,0.61,0.61,3,0.226111111111,0.285,3,0.221666666667,0.25,4,0.197916666667,0.145833333333,3,0.0617900705883,0.0597262849979,4,0.270833333333,0.291666666667
manual,main_function_primary,unknown,19,11,5,0,15,4,0,0,6,0.666666666667,1,6,0.87,1,15,0.269388888889,0.19,15,0.202711111111,0.234,17,0.237254901961,0.166666666667,13,0.0397958554933,0.0409811390661,17,0.257203751066,0
manual,main_function_primary,work,3,2,23,0,3,0,0,0,1,0.78,0.78,1,0.78,0.78,3,0.0747222222222,0.0508333333333,3,0.209263285024,0.21,3,0.0851449275363,0.125,3,0.0281640074094,0.0352443604896,3,0.431993851559,0.6
manual,floor_boundary,partial,148,22,5,10,133,7,1,7,28,0.384285714286,0.045,28,0.626785714286,0.63,99,0.274033670034,0.19,99,0.254133733618,0.245,130,0.311190167575,0.2,95,0.0461200514716,0.0466278754968,130,0.430878586199,0.4
manual,floor_boundary,present,39,15,6,2,28,8,0,3,14,0.654285714286,1,14,0.783571428571,1,34,0.277450980392,0.17875,34,0.229833693161,0.245875,36,0.277586553945,0.2,31,0.0360892509972,0.0362336963783,36,0.335627235084,0.279644268775
manual,ceiling_boundary,partial,18,3,5.5,1,15,2,0,1,5,0.506,0.53,5,0.722,0.7,18,0.243101851852,0.205,18,0.240450867369,0.244,18,0.236453301127,0.2,18,0.0441474156955,0.0403756604438,18,0.240049041136,0.246376811594
manual,ceiling_boundary,present,169,22,5,11,146,13,1,9,37,0.47,0.55,37,0.673243243243,0.67,115,0.279885507246,0.184166666667,115,0.249091039853,0.245730994152,148,0.312105934503,0.2,108,0.0435696128537,0.0424820208349,148,0.430918337354,0.4
manual,corner_occlusion,absent,39,15,6,2,28,8,0,3,14,0.654285714286,1,14,0.783571428571,1,34,0.277450980392,0.17875,34,0.229833693161,0.245875,36,0.277586553945,0.2,31,0.0360892509972,0.0362336963783,36,0.335627235084,0.279644268775
manual,corner_occlusion,present,148,22,5,10,133,7,1,7,28,0.384285714286,0.045,28,0.626785714286,0.63,99,0.274033670034,0.19,99,0.254133733618,0.245,130,0.311190167575,0.2,95,0.0461200514716,0.0466278754968,130,0.430878586199,0.4
manual,connected_space,present,187,22,5,12,161,15,1,10,42,0.474285714286,0.545,42,0.679047619048,0.68,133,0.27490726817,0.186666666667,133,0.247921693201,0.245,166,0.303902636908,0.2,126,0.0436521561168,0.041149967076,166,0.41022166668,0.4
manual,reflection_glass,present,135,22,5,9,117,10,1,7,30,0.456666666667,0.535,30,0.659,0.695,103,0.260535598706,0.19,103,0.243636585925,0.243,127,0.296639370438,0.2,100,0.0436548293026,0.0410641541472,127,0.409565425915,0.4
manual,reflection_glass,unknown,52,18,5,3,44,5,0,3,12,0.518333333333,0.61,12,0.729166666667,0.64,30,0.32425,0.180416666667,30,0.262633894849,0.249,39,0.327554812337,0.2,26,0.043641874633,0.04297170343,39,0.412358655837,0.4
manual,low_contrast,absent,186,22,5,12,160,15,1,10,42,0.474285714286,0.545,42,0.679047619048,0.68,133,0.27490726817,0.186666666667,133,0.247921693201,0.245,166,0.303902636908,0.2,126,0.0436521561168,0.041149967076,166,0.41022166668,0.4
manual,low_contrast,present,1,1,1,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
manual,doorway,否,168,22,5,10,147,15,1,5,41,0.485853658537,0.55,41,0.695609756098,0.69,120,0.2593625,0.1775,120,0.239563601128,0.243,148,0.273421955902,0.2,114,0.0424320736528,0.0407835264852,148,0.373849894874,0.4
manual,doorway,无法判断,1,1,5,0,1,0,0,0,0,,,0,,,1,0.426666666667,0.426666666667,1,0.373,0.373,1,0.4,0.4,1,0.0812562313061,0.0812562313061,1,0.7,0.7
manual,doorway,疑似,6,5,14.5,0,4,0,0,2,0,,,0,,,4,0.27125,0.19625,4,0.271833333333,0.243875,6,0.5125,0.354166666666,4,0.048499221289,0.0529152104765,6,0.765942028986,0.766304347826
manual,doorway,确认,12,8,6,2,9,0,0,3,1,0,0,1,0,0,8,0.4909375,0.445,8,0.345702465877,0.332399538867,11,0.591489841204,0.526315789474,7,0.0553803082628,0.0485658494263,11,0.67921455033,0.731884057971
manual,position_entrance,0,170,21,5,11,147,14,1,8,41,0.461463414634,0.54,41,0.671219512195,0.67,120,0.259786111111,0.181666666666,120,0.239504119055,0.243,152,0.297523436608,0.2,115,0.0422991321519,0.0410193457332,152,0.394937232783,0.4
manual,position_entrance,1,17,11,5,1,14,1,0,2,1,1,1,1,1,1,13,0.414487179487,0.390833333333,13,0.325622377622,0.33347826087,14,0.37316252588,0.304347826087,11,0.0577974066585,0.059708590451,14,0.576166948993,0.7
manual,position_window,0,182,22,5,12,157,15,1,9,42,0.474285714286,0.545,42,0.679047619048,0.68,128,0.27451953125,0.18375,128,0.246975833002,0.2445,161,0.304482281059,0.2,121,0.0439047592627,0.041195218516,161,0.415346023058,0.4
manual,position_window,1,5,4,6,0,4,0,0,1,0,,,0,,,5,0.284833333333,0.21,5,0.272135714286,0.278095238095,5,0.285238095238,0.2,5,0.037539159985,0.0396132353585,5,0.245217391304,0.159420289855
manual,position_edge,0,187,22,5,12,161,15,1,10,42,0.474285714286,0.545,42,0.679047619048,0.68,133,0.27490726817,0.186666666667,133,0.247921693201,0.245,166,0.303902636908,0.2,126,0.0436521561168,0.041149967076,166,0.41022166668,0.4
manual,position_stair_landing,0,179,22,5,12,154,14,1,10,41,0.461463414634,0.54,41,0.671219512195,0.67,125,0.258628,0.18,125,0.240090689471,0.24375,158,0.294138763818,0.2,120,0.0439576077913,0.0416006815996,158,0.40428252257,0.4
manual,position_stair_landing,1,8,6,5,0,7,1,0,0,1,1,1,1,1,1,8,0.529270833334,0.438333333333,8,0.370281126482,0.372,8,0.496739130435,0.4,6,0.0375431226269,0.0345979666752,8,0.527519762846,0.5
manual,position_shower_interior,0,185,22,5,12,159,15,1,10,41,0.485853658537,0.55,41,0.68512195122,0.69,131,0.277456743003,0.19,131,0.249018462054,0.245,164,0.306135189391,0.2,124,0.0438294169862,0.0416006815996,164,0.412277215461,0.4
manual,position_shower_interior,1,2,2,14.5,0,2,0,0,0,1,0,0,1,0.43,0.43,2,0.107916666667,0.107916666667,2,0.176083333334,0.176083333334,2,0.120833333333,0.120833333333,2,0.032661982215,0.032661982215,2,0.241666666667,0.241666666667
manual,position_bath_tub,0,180,22,5,11,154,15,1,10,42,0.474285714286,0.545,42,0.679047619048,0.68,127,0.273039370079,0.184166666667,127,0.245185553445,0.244,159,0.300071622054,0.2,120,0.0432478714874,0.0410214691958,159,0.403641616616,0.4
manual,position_bath_tub,1,7,5,5,1,7,0,0,0,0,,,0,,,6,0.314444444444,0.208333333334,6,0.305836651356,0.261913116123,7,0.390921402886,0.263157894737,6,0.0517378487054,0.0546295124674,7,0.559682803848,0.666666666667
manual,position_washing,0,175,22,5,11,152,15,1,7,41,0.485853658537,0.55,41,0.691951219512,0.69,122,0.271886612022,0.18375,122,0.244424908352,0.243875,154,0.307956973757,0.2,115,0.0430668712344,0.0410193457332,154,0.396010802591,0.4
manual,position_washing,1,12,6,23,1,9,0,0,3,1,0,0,1,0.15,0.15,11,0.308409090909,0.330833333333,11,0.286704216074,0.266086956522,12,0.251871980676,0.230434782609,11,0.0497710435233,0.0466278754968,12,0.592594422486,0.715942028985
manual,position_mirrored,0,186,22,5,12,161,15,0,10,41,0.483658536585,0.55,41,0.67243902439,0.67,132,0.27698989899,0.188333333333,132,0.249421099967,0.245365497076,165,0.305441440768,0.2,125,0.043712897794,0.041195218516,165,0.412707858599,0.4
manual,position_mirrored,1,1,1,20,0,0,0,1,0,1,0.09,0.09,1,0.95,0.95,1,0,0,1,0.05,0.05,1,0.05,0.05,1,0.0360594464715,0.0360594464715,1,0,0
manual,position_glass,0,181,22,5,11,155,15,1,10,40,0.48425,0.55,40,0.68625,0.695,129,0.274574935401,0.186666666667,129,0.248669918738,0.245,162,0.3053291273,0.2,122,0.0438481299311,0.0416006815996,162,0.409593381133,0.4
manual,position_glass,1,6,3,13.5,1,6,0,0,0,2,0.275,0.275,2,0.535,0.535,4,0.285625,0.187083333333,4,0.223791419631,0.216124505929,4,0.246129776021,0.128623188406,4,0.0376749547805,0.0356326717895,4,0.43566723132,0.460079051384
manual,position_fireplace,0,181,22,5,11,155,15,1,10,41,0.466829268293,0.54,41,0.676585365854,0.67,128,0.27037890625,0.18375,128,0.245646668762,0.2445,161,0.302484544346,0.2,121,0.0442277934676,0.0420061446832,161,0.400232151423,0.4
manual,position_fireplace,1,6,3,6,1,6,0,0,0,1,0.78,0.78,1,0.78,0.78,5,0.390833333333,0.390833333333,5,0.306162318841,0.33347826087,5,0.349565217391,0.347826086957,5,0.0297217322263,0.0177253478985,5,0.731884057971,0.7
manual,position_empty,0,182,22,5,11,157,14,1,10,38,0.467894736842,0.545,38,0.68,0.695,129,0.281506459948,0.19,129,0.251647648148,0.245730994152,161,0.311000162314,0.2,122,0.0435169933827,0.0410641541472,161,0.415322875803,0.4
manual,position_empty,1,5,3,7,1,4,1,0,0,4,0.535,0.57,4,0.67,0.575,4,0.0620833333334,0.0508333333333,4,0.127759646151,0.132519292302,5,0.0753623188405,0,4,0.0477746195075,0.0449041677195,5,0.245962732919,0.0869565217391
manual,position_shared_focus,0,178,22,5,12,155,14,1,8,41,0.461463414634,0.54,41,0.671219512195,0.67,125,0.273441333333,0.184166666667,125,0.24415408868,0.243,158,0.304045203004,0.2,118,0.0433641531596,0.0410214691958,158,0.406328852685,0.4
manual,position_shared_focus,1,9,5,5,0,6,1,0,2,1,1,1,1,1,1,8,0.2978125,0.201666666667,8,0.306790513834,0.313162055336,8,0.301086956522,0.230434782609,8,0.0479001997354,0.0480078004006,8,0.487104743083,0.4
semi,scene_category,储藏与家务辅助,1,1,24,0,1,0,0,0,0,,,0,,,1,0.1275,0.1275,1,0.112083333333,0.112083333333,1,0.125,0.125,1,0.0158365386176,0.0158365386176,1,0.163043478261,0.163043478261
semi,scene_category,卧室,16,7,5,2,14,1,1,0,6,0.216666666667,0,6,0.651666666667,0.64,15,0.209166666667,0.1775,15,0.192951515152,0.183333333333,16,0.211798007246,0.148550724638,14,0.0338586250175,0.0319717960203,16,0.328787878788,0.340085638998
semi,scene_category,卫浴,2,2,13,1,2,0,0,0,0,,,0,,,2,0.277045454546,0.277045454546,2,0.249090909091,0.249090909091,2,0.261363636364,0.261363636364,2,0.0519128647378,0.0519128647378,2,0.611471861472,0.611471861472
