image_id,code,condition,building,N_human_spherical,N_all_models,candidates,cut,covered_n,coverage
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,bi_enclosed,0.1,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,bi_extended,0.1,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,hohonet,0.1,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,ulayout_boundary,0.1,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,bi_enclosed+bi_extended,0.1,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,hohonet+ulayout_boundary,0.1,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.1,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,bi_enclosed,0.2,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,bi_extended,0.2,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,hohonet,0.2,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,ulayout_boundary,0.2,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,bi_enclosed+bi_extended,0.2,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,hohonet+ulayout_boundary,0.2,3,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.2,3,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_enclosed,0.05,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_extended,0.05,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,hohonet,0.05,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,ulayout_boundary,0.05,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_enclosed+bi_extended,0.05,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,hohonet+ulayout_boundary,0.05,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.05,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_enclosed,0.1,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_extended,0.1,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,hohonet,0.1,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,ulayout_boundary,0.1,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_enclosed+bi_extended,0.1,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,hohonet+ulayout_boundary,0.1,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.1,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_enclosed,0.2,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_extended,0.2,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,hohonet,0.2,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,ulayout_boundary,0.2,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_enclosed+bi_extended,0.2,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,hohonet+ulayout_boundary,0.2,1,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,2t7WUuJeko7,1,1,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.2,1,1.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_enclosed,0.05,0,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_extended,0.05,0,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,hohonet,0.05,1,0.2
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,ulayout_boundary,0.05,0,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_enclosed+bi_extended,0.05,0,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,hohonet+ulayout_boundary,0.05,1,0.2
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.05,1,0.2
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_enclosed,0.1,1,0.2
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_extended,0.1,2,0.4
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,hohonet,0.1,3,0.6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,ulayout_boundary,0.1,3,0.6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_enclosed+bi_extended,0.1,2,0.4
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,hohonet+ulayout_boundary,0.1,3,0.6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.1,3,0.6
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_enclosed,0.2,5,1.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_extended,0.2,5,1.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,hohonet,0.2,5,1.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,ulayout_boundary,0.2,5,1.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_enclosed+bi_extended,0.2,5,1.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,hohonet+ulayout_boundary,0.2,5,1.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,7y3sRwLe3Va,5,5,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.2,5,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_enclosed,0.05,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_extended,0.05,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,hohonet,0.05,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,ulayout_boundary,0.05,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_enclosed+bi_extended,0.05,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,hohonet+ulayout_boundary,0.05,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.05,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_enclosed,0.1,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_extended,0.1,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,hohonet,0.1,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,ulayout_boundary,0.1,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_enclosed+bi_extended,0.1,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,hohonet+ulayout_boundary,0.1,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.1,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_enclosed,0.2,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_extended,0.2,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,hohonet,0.2,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,ulayout_boundary,0.2,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_enclosed+bi_extended,0.2,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,hohonet+ulayout_boundary,0.2,24,1.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.2,24,1.0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_enclosed,0.05,1,0.045454545454545456
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_extended,0.05,1,0.045454545454545456
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,hohonet,0.05,0,0.0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,ulayout_boundary,0.05,6,0.2727272727272727
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_enclosed+bi_extended,0.05,1,0.045454545454545456
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,hohonet+ulayout_boundary,0.05,6,0.2727272727272727
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.05,6,0.2727272727272727
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_enclosed,0.1,8,0.36363636363636365
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_extended,0.1,8,0.36363636363636365
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,hohonet,0.1,12,0.5454545454545454
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,ulayout_boundary,0.1,11,0.5
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_enclosed+bi_extended,0.1,8,0.36363636363636365
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,hohonet+ulayout_boundary,0.1,12,0.5454545454545454
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.1,12,0.5454545454545454
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_enclosed,0.2,14,0.6363636363636364
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_extended,0.2,14,0.6363636363636364
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,hohonet,0.2,16,0.7272727272727273
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,ulayout_boundary,0.2,16,0.7272727272727273
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_enclosed+bi_extended,0.2,14,0.6363636363636364
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,hohonet+ulayout_boundary,0.2,16,0.7272727272727273
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,22,22,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.2,16,0.7272727272727273
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_enclosed,0.05,7,0.30434782608695654
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_extended,0.05,7,0.30434782608695654
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,hohonet,0.05,7,0.30434782608695654
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,ulayout_boundary,0.05,7,0.30434782608695654
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_enclosed+bi_extended,0.05,7,0.30434782608695654
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,hohonet+ulayout_boundary,0.05,7,0.30434782608695654
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.05,7,0.30434782608695654
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_enclosed,0.1,9,0.391304347826087
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_extended,0.1,9,0.391304347826087
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,hohonet,0.1,10,0.43478260869565216
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,ulayout_boundary,0.1,10,0.43478260869565216
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_enclosed+bi_extended,0.1,9,0.391304347826087
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,hohonet+ulayout_boundary,0.1,10,0.43478260869565216
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.1,10,0.43478260869565216
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_enclosed,0.2,22,0.9565217391304348
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_extended,0.2,22,0.9565217391304348
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,hohonet,0.2,22,0.9565217391304348
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,ulayout_boundary,0.2,22,0.9565217391304348
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_enclosed+bi_extended,0.2,22,0.9565217391304348
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,hohonet+ulayout_boundary,0.2,22,0.9565217391304348
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,7y3sRwLe3Va,23,23,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.2,22,0.9565217391304348
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,bi_enclosed,0.05,16,0.6666666666666666
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,bi_extended,0.05,16,0.6666666666666666
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,hohonet,0.05,16,0.6666666666666666
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,ulayout_boundary,0.05,17,0.7083333333333334
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,bi_enclosed+bi_extended,0.05,16,0.6666666666666666
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,hohonet+ulayout_boundary,0.05,17,0.7083333333333334
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,bi_enclosed+bi_extended+hohonet+ulayout_boundary,0.05,17,0.7083333333333334
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,bi_enclosed,0.1,22,0.9166666666666666
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,bi_extended,0.1,22,0.9166666666666666
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,hohonet,0.1,22,0.9166666666666666
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,7y3sRwLe3Va,24,24,ulayout_boundary,0.1,22,0.9166666666666666
