version,image_id,code,condition,method,N,N_base,N_shared,shared_ARI,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A3_cyclic_cut10,23,24,23,1.0,19,3,16,0.6956521739130435,0.13043478260869565,4.1429146733542535,3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A3_cyclic_cut14,23,24,23,1.0,10,4,6,0.2608695652173913,0.30434782608695654,2.907855023068745,7;4;3;3;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A3_cyclic_cut16,23,24,23,1.0,5,4,1,0.043478260869565216,0.4782608695652174,1.9010223772961141,11;6;3;2;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A1_mask_cut0.050,23,24,23,1.0,20,2,18,0.782608695652174,0.13043478260869565,4.229871195093383,3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A1_mask_cut0.075,23,24,23,1.0,18,3,15,0.6521739130434783,0.17391304347826086,4.001822825622231,4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A1_mask_cut0.125,23,24,23,1.0,9,6,3,0.13043478260869565,0.21739130434782608,2.9266464798309015,5;5;3;3;2;2;1;1;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A1_mask_cut0.150,23,24,23,1.0,8,7,1,0.043478260869565216,0.21739130434782608,2.839689958091771,5;5;3;3;2;2;2;1
no_borrowed_imputation,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC-13,manual,A1_mask_cut0.200,23,24,23,1.0,5,4,1,0.043478260869565216,0.34782608695652173,2.0339478287161414,8;7;5;2;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A0_legacy,22,23,22,1.0,9,4,5,0.22727272727272727,0.3181818181818182,2.679374370513199,7;6;2;2;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A1_mask,22,23,22,1.0,7,4,3,0.13636363636363635,0.3181818181818182,2.3658926908659366,7;7;3;2;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A2_local,22,23,22,0.9311064718162839,16,4,12,0.5454545454545454,0.13636363636363635,3.8453509366224363,3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A3_cyclic,22,23,22,1.0,13,3,10,0.45454545454545453,0.2727272727272727,3.3221793455166657,6;3;3;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A4_adaptive,22,23,22,1.0,14,5,9,0.4090909090909091,0.18181818181818182,3.606936732175321,4;3;2;2;2;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A5_density,22,23,22,1.0,8,3,5,0.22727272727272727,0.36363636363636365,2.4474015047059154,8;6;3;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A6_spectral,22,23,22,1.0,2,2,0,0.0,0.5454545454545454,0.9940302114769565,12;10
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A7_event,22,23,22,1.0,11,4,7,0.3181818181818182,0.22727272727272727,3.096969416317429,5;5;3;2;1;1;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A3_cyclic_cut06,22,23,22,1.0,19,3,16,0.7272727272727273,0.09090909090909091,4.186704345910024,2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A3_cyclic_cut08,22,23,22,1.0,19,3,16,0.7272727272727273,0.09090909090909091,4.186704345910024,2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A3_cyclic_cut10,22,23,22,1.0,17,3,14,0.6363636363636364,0.13636363636363635,3.936260027531527,3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A3_cyclic_cut14,22,23,22,1.0,8,5,3,0.13636363636363635,0.3181818181818182,2.679374370513199,7;4;3;3;2;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A3_cyclic_cut16,22,23,22,1.0,5,2,3,0.13636363636363635,0.7272727272727273,1.3342094594480487,16;3;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A1_mask_cut0.050,22,23,22,1.0,13,4,9,0.4090909090909091,0.18181818181818182,3.425118550357139,4;4;3;2;1;1;1;1;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A1_mask_cut0.075,22,23,22,1.0,10,4,6,0.2727272727272727,0.2727272727272727,2.9585429818803024,6;4;3;3;1;1;1;1;1;1
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A1_mask_cut0.125,22,23,22,1.0,4,4,0,0.0,0.45454545454545453,1.676737030052133,10;8;2;2
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A1_mask_cut0.150,22,23,22,1.0,2,2,0,0.0,0.5454545454545454,0.9940302114769565,12;10
no_borrowed_imputation,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,manual,A1_mask_cut0.200,22,23,22,1.0,1,1,0,0.0,1.0,-0.0,22
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A0_legacy,24,22,22,1.0,17,3,14,0.5833333333333334,0.25,3.7720552088742,6;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A1_mask,24,22,22,1.0,14,5,9,0.375,0.2916666666666667,3.4328173151210217,7;2;2;2;2;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A2_local,24,22,22,0.8091697645600991,16,5,11,0.4583333333333333,0.16666666666666666,3.803508854797678,4;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A3_cyclic,24,22,22,1.0,15,5,10,0.4166666666666667,0.16666666666666666,3.6887218755408675,4;3;3;2;2;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A4_adaptive,24,22,22,1.0,15,5,10,0.4166666666666667,0.16666666666666666,3.6887218755408675,4;3;3;2;2;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A5_density,24,22,22,0.19901864573110892,16,6,10,0.4166666666666667,0.16666666666666666,3.8349625007211556,4;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A6_spectral,24,22,22,1.0,2,2,0,0.0,0.5416666666666666,0.9949848281859701,13;11
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A7_event,24,22,22,1.0,19,3,16,0.6666666666666666,0.16666666666666666,4.084962500721156,4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A3_cyclic_cut06,24,22,22,1.0,23,1,22,0.9166666666666666,0.08333333333333333,4.501629167387822,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A3_cyclic_cut08,24,22,22,1.0,20,3,17,0.7083333333333334,0.125,4.220175521464345,3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A3_cyclic_cut10,24,22,22,1.0,18,4,14,0.5833333333333334,0.16666666666666666,4.001629167387823,4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A3_cyclic_cut14,24,22,22,0.9034280936454849,10,6,4,0.16666666666666666,0.20833333333333334,3.090199876515855,5;4;3;3;3;2;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A3_cyclic_cut16,24,22,22,0.687603305785124,5,4,1,0.041666666666666664,0.4583333333333333,1.9842010098207166,11;5;4;3;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A1_mask_cut0.050,24,22,22,1.0,19,3,16,0.6666666666666666,0.16666666666666666,4.084962500721156,4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A1_mask_cut0.075,24,22,22,1.0,17,4,13,0.5416666666666666,0.16666666666666666,3.8868421881310113,4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A1_mask_cut0.125,24,22,22,1.0,12,6,6,0.25,0.2916666666666667,3.2346970025308774,7;3;2;2;2;2;1;1;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A1_mask_cut0.150,24,22,22,1.0,9,5,4,0.16666666666666666,0.375,2.6981203125901447,9;4;3;2;2;1;1;1;1
pending_two_export_updates,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,manual,A1_mask_cut0.200,24,22,22,1.0,4,4,0,0.0,0.4583333333333333,1.763911156578927,11;7;4;2
