worker_id,component_family,generic_p1_predictive_capability_eligible,p1_family_integrity_status,c1_predictive_status,c2b_confirmation_status,support_gate_status,direction_gate_status,shrinkage_status,full_component_eligible,eligibility_interpretation,disable_reason,profile_status
30,corner_topology_instability,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
31,undercoverage,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
31,adjacent_space_overextension,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
31,corner_topology_instability,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
32,undercoverage,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
32,adjacent_space_overextension,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
32,corner_topology_instability,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
33,undercoverage,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
33,adjacent_space_overextension,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
33,corner_topology_instability,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
34,undercoverage,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
34,adjacent_space_overextension,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
34,corner_topology_instability,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
35,undercoverage,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
35,adjacent_space_overextension,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
35,corner_topology_instability,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
36,undercoverage,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
36,adjacent_space_overextension,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
36,corner_topology_instability,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
37,undercoverage,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
37,adjacent_space_overextension,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
37,corner_topology_instability,true,not_evaluable_missing_family_level_input,not_materialized,not_materialized,not_evaluable,not_evaluable,not_materialized,false,fail_closed_missing_component_chain_not_negative_evidence,p1_family_input_missing;c1_predictive_input_missing;c2b_confirmatory_input_missing;threshold_manifest_not_approved,not_evaluable
