analysis_role,block3_generated,ci_lower,ci_upper,cluster_unit,comparison,failed_replicates,formal_policy_frozen,formal_profile_frozen,metric,paired_same_draw,point_estimate,requested_replicates,scientific_conclusion_prohibited,seed,successful_replicates,validation_kind
diagnostic_pre_stage3,False,-0.04787261062596744,0.04496063819866272,worker_id,Strong_Global_vs_baseline,0,False,False,paired_delta_spearman,True,-0.005438615066035601,1000,True,20260815,1000,leave_one_building_out
diagnostic_pre_stage3,False,-0.005501795669774637,0.0017584530103370766,base_task_id,Strong_Global_vs_baseline,0,False,False,paired_delta_rmse,True,-0.001820922677236797,1000,True,20260815,1000,temporal
diagnostic_pre_stage3,False,-0.005318134904248928,0.002031459953811842,base_task_id,Strong_Global_vs_baseline,0,False,False,paired_delta_mae,True,-0.0017131622007796193,1000,True,20260815,1000,temporal
diagnostic_pre_stage3,False,-0.04798610248030565,0.11988891051168148,base_task_id,Strong_Global_vs_baseline,0,False,False,paired_delta_spearman,True,0.032430692130324235,1000,True,20260815,1000,temporal
diagnostic_pre_stage3,False,-0.0052209841092505805,0.0029116612800503157,building_id,Strong_Global_vs_baseline,0,False,False,paired_delta_rmse,True,-0.001820922677236797,1000,True,20260815,1000,temporal
diagnostic_pre_stage3,False,-0.004600146533818159,0.0017424346170101601,building_id,Strong_Global_vs_baseline,0,False,False,paired_delta_mae,True,-0.0017131622007796193,1000,True,20260815,1000,temporal
diagnostic_pre_stage3,False,-0.011100375937776625,0.10946595978600643,building_id,Strong_Global_vs_baseline,0,False,False,paired_delta_spearman,True,0.032430692130324235,1000,True,20260815,1000,temporal
diagnostic_pre_stage3,False,-0.005720932161794024,0.00131179569964331,worker_id,Strong_Global_vs_baseline,0,False,False,paired_delta_rmse,True,-0.001820922677236797,1000,True,20260815,1000,temporal
diagnostic_pre_stage3,False,-0.0053880224704749135,0.0016110793267214653,worker_id,Strong_Global_vs_baseline,0,False,False,paired_delta_mae,True,-0.0017131622007796193,1000,True,20260815,1000,temporal
diagnostic_pre_stage3,False,-0.04211052348950121,0.10412454261338708,worker_id,Strong_Global_vs_baseline,0,False,False,paired_delta_spearman,True,0.032430692130324235,1000,True,20260815,1000,temporal
