stage,condition,available_scenes,sampled_scenes,workers_per_scene,budget,scene_variance,annotation_variance,total_RMSE,target
C1,manual,12,1,3,3,0.00315589681923,0.00343394241576,0.0811778247738,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,1,3,3,0.00642407725734,0.00867299726812,0.122870153111,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,5,3,15,0.000642407725734,0.00173459945362,0.0487545606006,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,9,3,27,0,0.000963666363125,0.0310429760675,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,1,5,5,0.00642407725734,0.00425449886325,0.10333719621,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,5,5,25,0.000642407725734,0.000850899772651,0.0386433370503,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,9,5,45,0,0.000472722095917,0.0217421732105,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,1,10,10,0.00642407725734,0.00148863323336,0.0889534175324,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,5,10,50,0.000642407725734,0.000297726646671,0.0306616107275,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,9,10,90,0,0.000165403692595,0.012860936692,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,1,15,15,0.00642407725734,0.000641236958596,0.0840554234773,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,5,15,75,0.000642407725734,0.000128247391719,0.0277606757384,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,9,15,135,0,7.12485509551e-05,0.00844088567362,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,1,20,20,0.00642407725734,0.000229311284669,0.0815683059896,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,5,20,100,0.000642407725734,4.58622569337e-05,0.0262349000888,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,oos,9,9,20,180,0,2.54790316299e-05,0.00504767586418,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,1,3,3,0.00289228756717,0.00300570091475,0.076798362495,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,5,3,15,0.000442349863214,0.00060114018295,0.0323030965414,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,10,3,30,0.00013610765022,0.000300570091475,0.0208968356862,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,18,3,54,0,0.000166983384153,0.0129222050809,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,1,5,5,0.00289228756717,0.00148971696167,0.0661967108612,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,5,5,25,0.000442349863214,0.000297943392333,0.0272083306277,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,10,5,50,0.00013610765022,0.000148971696167,0.0168842928897,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,18,5,90,0,8.27620534259e-05,0.00909736519141,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,1,10,10,0.00289228756717,0.000533474028441,0.0585300059423,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,5,10,50,0.000442349863214,0.000106694805688,0.0234317022195,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,10,10,100,0.00013610765022,5.33474028441e-05,0.0137642672549,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,18,10,180,0,2.96374460245e-05,0.00544402847389,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,1,15,15,0.00289228756717,0.000239317544792,0.0559607461705,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,5,15,75,0.000442349863214,4.78635089585e-05,0.0221407626827,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,10,15,150,0.00013610765022,2.39317544792e-05,0.0126506681523,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,18,15,270,0,1.32954191551e-05,0.00364628840811,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,1,20,20,0.00289228756717,9.61221178251e-05,0.054666348744,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,5,20,100,0.000442349863214,1.9224423565e-05,0.0214842799921,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,10,20,200,0.00013610765022,9.61221178251e-06,0.0120714482148,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
P1,semi,18,18,20,360,0,5.34011765695e-06,0.00231086945909,finite_scene_average_pairwise_disagreement_independently_drawn_panels; not_per_image_layout_quality
