variant,cohort,panel,model,repeat,workers,half_support,left_status,right_status,status,ari
primary,all26,common,QSB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,TSB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QTSB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,Q_median2,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,Q,0,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,0,24,half_diagnostic,usable,usable,usable,0.6805555555555555
primary,all26,native,S,0,26,half_diagnostic,usable,usable,usable,-0.06983305901716454
primary,all26,native,B,0,26,half_diagnostic,usable,usable,usable,-0.05568445475638049
primary,all26,native,QT,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QS,0,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QB,0,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TS,0,24,half_diagnostic,usable,usable,usable,0.8333858267716535
primary,all26,native,TB,0,24,half_diagnostic,usable,usable,usable,0.6127551020408164
primary,all26,native,SB,0,26,half_diagnostic,usable,usable,usable,-0.05568445475638049
primary,all26,native,QTS,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QTB,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QSB,0,25,half_diagnostic,singleton_rejected,usable,unavailable,
primary,all26,native,TSB,0,24,half_diagnostic,usable,usable,usable,0.07807933194154494
primary,all26,native,QTSB,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,Q_median2,0,25,half_diagnostic,usable,usable,usable,0.23878205128205124
primary,all26,common,Q,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,T,0,24,half_diagnostic,usable,usable,usable,0.6805555555555555
primary,all26,common,S,0,24,half_diagnostic,usable,usable,usable,0.08153078202995014
primary,all26,common,B,0,24,half_diagnostic,usable,usable,usable,-0.04578696343402236
primary,all26,common,QT,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QS,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QB,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,TS,0,24,half_diagnostic,usable,usable,usable,0.8333858267716535
primary,all26,common,TB,0,24,half_diagnostic,usable,usable,usable,0.6127551020408164
primary,all26,common,SB,0,24,half_diagnostic,usable,usable,usable,-0.04578696343402236
primary,all26,common,QTS,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QTB,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QSB,0,24,half_diagnostic,singleton_rejected,usable,unavailable,
primary,all26,common,TSB,0,24,half_diagnostic,usable,usable,usable,0.07807933194154494
primary,all26,common,QTSB,0,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,Q_median2,0,24,half_diagnostic,usable,usable,usable,0.21590909090909088
primary,all26,native,Q,1,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,1,23,full_requirement,usable,usable,usable,0.6675843083275981
primary,all26,native,S,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,B,1,26,full_requirement,usable,usable,usable,-0.01941747572815527
primary,all26,native,QT,1,23,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QS,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QB,1,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TS,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,TB,1,23,full_requirement,usable,usable,usable,-0.045127370595230615
primary,all26,native,SB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QTS,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QTB,1,23,full_requirement,usable,singleton_rejected,unavailable,
primary,all26,native,QSB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,TSB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QTSB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,Q_median2,1,25,full_requirement,usable,usable,usable,0.09188034188034183
primary,all26,common,Q,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,T,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,S,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,B,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QT,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QS,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,TS,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,TB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,SB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QTS,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QTB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QSB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,TSB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QTSB,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,Q_median2,1,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,Q,1,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,1,24,half_diagnostic,usable,usable,usable,0.6809583858764187
primary,all26,native,S,1,26,half_diagnostic,usable,usable,usable,0.02402402402402394
primary,all26,native,B,1,26,half_diagnostic,usable,usable,usable,-0.01941747572815527
primary,all26,native,QT,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QS,1,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QB,1,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TS,1,24,half_diagnostic,usable,usable,usable,0.21800724067369742
primary,all26,native,TB,1,24,half_diagnostic,usable,usable,usable,-0.04578696343402236
primary,all26,native,SB,1,26,half_diagnostic,usable,usable,usable,0.21084581141238373
primary,all26,native,QTS,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QTB,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QSB,1,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TSB,1,24,half_diagnostic,usable,usable,usable,0.12972972972972965
primary,all26,native,QTSB,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,Q_median2,1,25,half_diagnostic,usable,usable,usable,0.09188034188034183
primary,all26,common,Q,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,T,1,24,half_diagnostic,usable,usable,usable,0.6809583858764187
primary,all26,common,S,1,24,half_diagnostic,usable,usable,usable,-0.038298761690788524
primary,all26,common,B,1,24,half_diagnostic,usable,usable,usable,-0.03834578084940364
primary,all26,common,QT,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QS,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QB,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,TS,1,24,half_diagnostic,usable,usable,usable,0.21800724067369742
primary,all26,common,TB,1,24,half_diagnostic,usable,usable,usable,-0.04578696343402236
primary,all26,common,SB,1,24,half_diagnostic,usable,usable,usable,-0.020804438280166385
primary,all26,common,QTS,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QTB,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QSB,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,TSB,1,24,half_diagnostic,usable,usable,usable,0.12972972972972965
primary,all26,common,QTSB,1,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,Q_median2,1,24,half_diagnostic,usable,usable,usable,0.21590909090909088
primary,all26,native,Q,2,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,2,23,full_requirement,usable,usable,usable,0.525328330206379
primary,all26,native,S,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,B,2,10,full_requirement,usable,usable,usable,0.0
primary,all26,native,QT,2,23,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QS,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QB,2,10,full_requirement,usable,singleton_rejected,unavailable,
primary,all26,native,TS,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,TB,2,9,full_requirement,usable,usable,usable,0.2409638554216867
primary,all26,native,SB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QTS,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QTB,2,9,full_requirement,usable,singleton_rejected,unavailable,
primary,all26,native,QSB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,TSB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QTSB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,Q_median2,2,25,full_requirement,usable,usable,usable,0.09188034188034183
primary,all26,common,Q,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,T,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,S,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,B,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QT,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QS,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,TS,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,TB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,SB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QTS,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QTB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QSB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,TSB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QTSB,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,Q_median2,2,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,Q,2,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,2,24,half_diagnostic,usable,usable,usable,0.42016806722689076
primary,all26,native,S,2,26,half_diagnostic,usable,usable,usable,-0.049288375202980135
primary,all26,native,B,2,26,half_diagnostic,usable,usable,usable,-0.028248587570621455
primary,all26,native,QT,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QS,2,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QB,2,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TS,2,24,half_diagnostic,usable,usable,usable,0.1379527559055118
primary,all26,native,TB,2,24,half_diagnostic,usable,usable,usable,0.8330703692016408
primary,all26,native,SB,2,26,half_diagnostic,usable,usable,usable,-0.12385580291558389
primary,all26,native,QTS,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QTB,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QSB,2,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TSB,2,24,half_diagnostic,usable,usable,usable,0.22212943632567855
primary,all26,native,QTSB,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,Q_median2,2,25,half_diagnostic,usable,usable,usable,0.09188034188034183
primary,all26,common,Q,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,T,2,24,half_diagnostic,usable,usable,usable,0.42016806722689076
primary,all26,common,S,2,24,half_diagnostic,usable,usable,usable,-0.05180684362008313
primary,all26,common,B,2,24,half_diagnostic,usable,usable,usable,0.036412537498706904
primary,all26,common,QT,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QS,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QB,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,TS,2,24,half_diagnostic,usable,usable,usable,0.1379527559055118
primary,all26,common,TB,2,24,half_diagnostic,usable,usable,usable,0.8330703692016408
primary,all26,common,SB,2,24,half_diagnostic,usable,usable,usable,-0.12653061224489776
primary,all26,common,QTS,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QTB,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,QSB,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,TSB,2,24,half_diagnostic,usable,usable,usable,0.22212943632567855
primary,all26,common,QTSB,2,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,common,Q_median2,2,24,half_diagnostic,usable,usable,usable,0.21590909090909088
primary,all26,native,Q,3,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,3,22,full_requirement,usable,usable,usable,0.8178438661710037
primary,all26,native,S,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,B,3,5,full_requirement,singleton_rejected,usable,unavailable,
primary,all26,native,QT,3,22,full_requirement,usable,singleton_rejected,unavailable,
primary,all26,native,QS,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,QB,3,5,full_requirement,usable,singleton_rejected,unavailable,
primary,all26,native,TS,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,TB,3,5,full_requirement,singleton_rejected,usable,unavailable,
primary,all26,native,SB,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,QTS,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,QTB,3,5,full_requirement,usable,singleton_rejected,unavailable,
primary,all26,native,QSB,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,TSB,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,QTSB,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,Q_median2,3,25,full_requirement,usable,usable,usable,0.23878205128205124
primary,all26,common,Q,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,T,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,S,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,B,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,QT,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QS,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QB,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,TS,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,TB,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,SB,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,QTS,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QTB,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QSB,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,TSB,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,QTSB,3,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,Q_median2,3,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,Q,3,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,3,24,half_diagnostic,usable,usable,usable,0.543238415467059
primary,all26,native,S,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,B,3,26,half_diagnostic,usable,usable,usable,0.8304642670839854
primary,all26,native,QT,3,24,half_diagnostic,usable,singleton_rejected,unavailable,
primary,all26,native,QS,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,QB,3,25,half_diagnostic,usable,singleton_rejected,unavailable,
primary,all26,native,TS,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,TB,3,24,half_diagnostic,usable,usable,usable,0.22612804403136194
primary,all26,native,SB,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,QTS,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,QTB,3,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QSB,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,TSB,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,QTSB,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,Q_median2,3,25,half_diagnostic,usable,usable,usable,0.23878205128205124
primary,all26,common,Q,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,T,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,S,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,B,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,QT,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QS,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QB,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,TS,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,TB,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,SB,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,QTS,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QTB,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QSB,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,TSB,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,QTSB,3,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,Q_median2,3,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,Q,4,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,4,22,full_requirement,usable,usable,usable,0.8178438661710037
primary,all26,native,S,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,B,4,26,full_requirement,usable,usable,usable,1.0
primary,all26,native,QT,4,22,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QS,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,QB,4,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TS,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,TB,4,22,full_requirement,usable,usable,usable,1.0
primary,all26,native,SB,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,QTS,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,QTB,4,22,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QSB,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,TSB,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,QTSB,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,Q_median2,4,25,full_requirement,usable,usable,usable,0.43910256410256404
primary,all26,common,Q,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,T,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,S,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,B,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,QT,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QS,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QB,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,TS,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,TB,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,SB,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,QTS,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QTB,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QSB,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,TSB,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,common,QTSB,4,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,Q_median2,4,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,Q,4,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,4,24,half_diagnostic,usable,usable,usable,0.8333858267716535
primary,all26,native,S,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,B,4,26,half_diagnostic,usable,usable,usable,1.0
primary,all26,native,QT,4,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QS,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,QB,4,25,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TS,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,TB,4,24,half_diagnostic,usable,usable,usable,0.8082175226586102
primary,all26,native,SB,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,QTS,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,QTB,4,24,half_diagnostic,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QSB,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,TSB,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,QTSB,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,Q_median2,4,25,half_diagnostic,usable,usable,usable,0.43910256410256404
primary,all26,common,Q,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,T,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,S,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,B,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,QT,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QS,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QB,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,TS,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,TB,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,SB,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,QTS,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QTB,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,QSB,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,TSB,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,common,QTSB,4,0,half_diagnostic,insufficient_workers,singleton_rejected,unavailable,
primary,all26,common,Q_median2,4,0,half_diagnostic,insufficient_workers,usable,unavailable,
primary,all26,native,Q,5,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,5,23,full_requirement,usable,usable,usable,0.6675843083275981
primary,all26,native,S,5,0,full_requirement,insufficient_workers,usable,unavailable,
primary,all26,native,B,5,26,full_requirement,usable,usable,usable,0.8163634308961464
primary,all26,native,QT,5,23,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QS,5,0,full_requirement,insufficient_workers,singleton_rejected,unavailable,
primary,all26,native,QB,5,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TS,5,0,full_requirement,insufficient_workers,usable,unavailable,
