cohort,model,label,n,worker_ids,quality_effect_mean,time_effect_mean,scope_reject_effect_mean,scope_accept_effect_mean,edit_effect_mean,benefit_effect_mean,in_scope_error_person_mean,in_scope_responses,oos_error_person_mean,oos_responses,control_natural_unchanged_person_mean,control_natural_gain_person_median_mean,recovered_c1_import_unchanged_person_mean,recovered_c1_import_gain_person_median_mean,trap_natural_unchanged_person_mean,trap_natural_gain_person_median_mean,trap_synthetic_disjoint_source_unchanged_person_mean,trap_synthetic_disjoint_source_gain_person_median_mean
current20,QB,1,12,2|6|8|10|11|13|15|17|28|32|33|36,-0.6055002299567435,0.029248168590742835,-0.04642857142857146,-0.06666666666666667,-1.312248484893171,0.5897435773522223,0.14285714285714282,336,0.36111111111111116,108,0.5694444444444445,-0.09339197262816368,0.5375,-4.020165061357296,0.18055555555555555,7.5795746017902355,0.25,4.765020518141497
current20,QB,2,8,1|12|29|30|31|34|35|37,0.9082503449351149,-0.043872252886114294,0.06964285714285726,0.09999999999999998,1.9683727273397564,-0.8846153660283332,0.25892857142857145,224,0.5277777777777778,72,0.10416666666666667,-0.9028382030375777,0.0625,-6.793021515872828,0.0,6.080651180981301,0.0,5.055056397372127
current20,QS,1,16,1|2|6|8|10|11|12|13|15|17|28|31|32|33|35|36,-0.3727034440941154,-0.048862385462330994,-0.05758928571428575,-0.052777777777777764,-0.47639615076944286,0.17979820147726588,0.13169642857142858,448,0.375,144,0.42708333333333337,-0.3766187609510128,0.43437499999999996,-3.886166518007607,0.13541666666666666,6.952057250091277,0.1875,4.744878834174353
current20,QS,2,4,29|30|34|37,1.490813776376461,0.19544954184932395,0.2303571428571431,0.21111111111111103,1.9055846030777714,-0.7191928059090635,0.41964285714285715,112,0.6388888888888888,36,0.20833333333333334,-0.5793772801555949,0.0,-10.101872143787118,0.0,7.0917971669681945,0.0,5.425659012471334
current20,QSB,1,12,2|6|8|10|11|13|15|17|28|32|33|36,-0.6055002299567435,0.029248168590742835,-0.04642857142857146,-0.06666666666666667,-1.312248484893171,0.5897435773522223,0.14285714285714282,336,0.36111111111111116,108,0.5694444444444445,-0.09339197262816368,0.5375,-4.020165061357296,0.18055555555555555,7.5795746017902355,0.25,4.765020518141497
current20,QSB,2,8,1|12|29|30|31|34|35|37,0.9082503449351149,-0.043872252886114294,0.06964285714285726,0.09999999999999998,1.9683727273397564,-0.8846153660283332,0.25892857142857145,224,0.5277777777777778,72,0.10416666666666667,-0.9028382030375777,0.0625,-6.793021515872828,0.0,6.080651180981301,0.0,5.055056397372127
current20,QT,1,10,1|2|6|10|11|12|13|15|17|30,-0.5518242733201044,-0.5754802761660419,-0.01785714285714283,-0.06111111111111106,-0.7396557724185225,-0.1665519516389044,0.1714285714285714,280,0.3666666666666667,90,0.5166666666666667,-0.3464143186211343,0.4,-6.058129156291833,0.2,6.405659893271337,0.26666666666666666,4.281930125251279
current20,QT,2,10,8|28|29|31|32|33|34|35|36|37,0.5518242733201042,0.5754802761660418,0.017857142857142884,0.06111111111111104,0.7396557724185224,0.1665519516389044,0.20714285714285713,280,0.48888888888888893,90,0.25,-0.48792661096272416,0.29500000000000004,-4.200486130035184,0.016666666666666666,7.554350573661985,0.03333333333333333,5.480139614416219
current20,QTB,1,7,2|8|15|17|28|33|36,-1.0165566838648399,0.4006268041634659,-0.06683673469387763,-0.11031746031746029,-0.6410442478569128,1.351279741213546,0.12244897959183675,196,0.3174603174603175,63,0.47619047619047616,-0.06059935002839415,0.5857142857142856,-2.8526509860953033,0.047619047619047616,9.424021694707024,0.09523809523809523,5.741275792855603
current20,QTB,2,13,1|6|10|11|12|13|29|30|31|32|34|35|37,0.5473766759272214,-0.21572212531878943,0.03598901098901108,0.05940170940170938,0.3451776719229531,-0.7276121683457556,0.22527472527472525,364,0.48717948717948717,117,0.33333333333333337,-0.6091702958184482,0.21923076923076923,-6.355199689277157,0.14102564102564102,5.663996369721849,0.1794871794871795,4.417828218975828
current20,QTS,1,6,1|2|6|10|12|13,-0.554640815283874,-0.8716422479305651,-0.10595238095238098,-0.05740740740740733,-0.3091475440855392,-0.11208041821476301,0.08333333333333333,168,0.3703703703703704,54,0.5555555555555556,-0.48596843126742123,0.375,-7.109128083987183,0.13888888888888887,6.475166649434493,0.22222222222222224,4.288260645469374
current20,QTS,2,14,8|11|15|17|28|29|30|31|32|33|34|35|36|37,0.23770320655023172,0.3735609633988136,0.04540816326530617,0.02460317460317457,0.13249180460808824,0.04803446494918416,0.2346938775510204,392,0.4523809523809524,126,0.3095238095238096,-0.3876856220167184,0.33571428571428574,-4.280813168524792,0.09523809523809525,7.196364626623303,0.11904761904761905,5.135080965989909
current20,QTSB,1,8,2|8|15|17|28|32|33|36,-0.8413357652352351,0.4274350929524762,-0.05089285714285722,-0.10833333333333331,-0.5551469128655107,1.2602989287325992,0.13839285714285715,224,0.3194444444444444,72,0.41666666666666663,-0.14008795894224552,0.5125,-3.2491229718545664,0.041666666666666664,9.260199919848311,0.08333333333333333,5.733635960939145
current20,QTSB,2,12,1|6|10|11|12|13|29|30|31|34|35|37,0.5608905101568232,-0.2849567286349842,0.03392857142857152,0.0722222222222222,0.37009794191034046,-0.840199285821733,0.22321428571428573,336,0.5,108,0.36111111111111116,-0.6018921353583851,0.23750000000000002,-6.382764090702803,0.1527777777777778,5.45987544254556,0.19444444444444445,4.312634142430151
current20,Q_median2,1,10,1|2|6|8|11|15|17|28|31|33,-0.8509351109145928,-0.08003658617571187,-0.08214285714285721,-0.02777777777777781,-0.8289574238707429,0.1950548831877858,0.10714285714285714,280,0.39999999999999997,90,0.4833333333333334,-0.29149036017788205,0.485,-3.2265688954978415,0.18333333333333335,6.83275182632364,0.2333333333333333,4.447153741825645
current20,Q_median2,2,10,10|12|13|29|30|32|34|35|36|37,0.8509351109145928,0.08003658617571187,0.08214285714285725,0.0277777777777778,0.8289574238707429,-0.19505488318778588,0.27142857142857146,280,0.45555555555555555,90,0.2833333333333333,-0.5428505694059764,0.21000000000000002,-7.0320463908291755,0.03333333333333333,7.127258640609682,0.06666666666666667,5.314915997841853
current20,S,1,7,1|2|11|32|33|35|36,-0.5304899832771797,0.29518288008698257,-0.026020408163265393,-0.3007936507936509,-0.31484841571443284,-0.19101550910631698,0.16326530612244897,196,0.12698412698412698,63,0.35714285714285715,-0.5288007866256599,0.4857142857142857,-4.009964273452051,0.16666666666666669,6.358968369301212,0.16666666666666669,4.5007458412704695
current20,S,2,13,6|8|10|12|13|15|17|28|29|30|31|34|37,0.28564845253386595,-0.1589446277391445,0.014010989010989093,0.161965811965812,0.16953376230777162,0.10285450490340137,0.2032967032967033,364,0.5897435897435898,117,0.39743589743589747,-0.3570618299583819,0.2730769230769231,-5.732030996085062,0.07692307692307693,7.314409698786518,0.14102564102564102,5.0858058852139765
current20,SB,1,12,2|6|8|10|11|13|15|17|28|32|33|36,-0.6055002299567435,0.029248168590742835,-0.04642857142857146,-0.06666666666666667,-1.312248484893171,0.5897435773522223,0.14285714285714282,336,0.36111111111111116,108,0.5694444444444445,-0.09339197262816368,0.5375,-4.020165061357296,0.18055555555555555,7.5795746017902355,0.25,4.765020518141497
current20,SB,2,8,1|12|29|30|31|34|35|37,0.9082503449351149,-0.043872252886114294,0.06964285714285726,0.09999999999999998,1.9683727273397564,-0.8846153660283332,0.25892857142857145,224,0.5277777777777778,72,0.10416666666666667,-0.9028382030375777,0.0625,-6.793021515872828,0.0,6.080651180981301,0.0,5.055056397372127
current20,T,1,8,1|2|6|10|12|13|17|30,-0.4569732257908641,-0.7561660712374685,-0.015178571428571375,-0.038888888888888785,-0.07794628965276995,0.06723768307649913,0.17410714285714285,224,0.3888888888888889,72,0.4375,-0.4330178982764179,0.3125,-7.572661445364791,0.10416666666666666,6.988333337524789,0.20833333333333334,4.656051806748302
current20,T,2,12,8|11|15|28|29|31|32|33|34|35|36|37,0.30464881719390935,0.5041107141583123,0.01011904761904763,0.025925925925925842,0.0519641931018466,-0.04482512205099942,0.1994047619047619,336,0.45370370370370366,108,0.34722222222222227,-0.4066055091356035,0.37083333333333335,-3.5004051083626533,0.11111111111111112,6.974453164094576,0.11111111111111112,5.03102357855738
current20,TB,1,9,1|2|6|10|11|12|13|17|30,-0.48403599730419855,-0.6760611725137191,-0.010714285714285666,-0.057407407407407324,-0.6522467491003664,-0.26707252109125856,0.17857142857142855,252,0.37037037037037035,81,0.48148148148148145,-0.384904798467927,0.3888888888888889,-6.731254618102037,0.20370370370370372,6.2118518555775895,0.2962962962962963,4.138712717109602
current20,TB,2,11,8|15|28|29|31|32|33|34|35|36|37,0.3960294523397987,0.5531409593294065,0.008766233766233776,0.046969696969696904,0.533656431082118,0.21851388089284793,0.19805194805194803,308,0.47474747474747475,99,0.303030303030303,-0.44356964632974927,0.31363636363636366,-3.81862375457744,0.0303030303030303,7.608494360830446,0.0303030303030303,5.488389358426232
current20,TS,1,10,1|2|6|8|10|12|13|17|31|34,-0.32330722805289797,-0.49247730221882635,-0.12500000000000006,0.10555555555555558,0.2570732638712278,-0.09874385596372273,0.06428571428571428,280,0.5333333333333334,90,0.4166666666666667,-0.5240296125339274,0.325,-6.461498766502819,0.08333333333333333,7.2130676284918875,0.18333333333333332,4.798554336965049
current20,TS,2,10,11|15|28|29|30|32|33|35|36|37,0.32330722805289785,0.49247730221882635,0.1250000000000001,-0.1055555555555556,-0.25707326387122786,0.09874385596372275,0.3142857142857143,280,0.32222222222222224,90,0.35000000000000003,-0.3103113170499311,0.37,-3.797116519824197,0.13333333333333336,6.746942838441434,0.11666666666666667,4.963515402702448
current20,TSB,1,8,1|2|6|10|11|12|13|17,-0.6572133870342522,-0.7045797931863947,-0.08660714285714287,-0.05277777777777772,-0.9365329118963845,-0.342922837587658,0.10267857142857142,224,0.375,72,0.5416666666666666,-0.372388695494564,0.4375,-6.302140107916088,0.22916666666666666,6.04894521135411,0.33333333333333337,3.9356402843898324
current20,TSB,2,12,8|15|28|29|30|31|32|33|34|35|36|37,0.4381422580228347,0.46971986212426325,0.05773809523809529,0.035185185185185146,0.6243552745975899,0.2286152250584387,0.24702380952380953,336,0.46296296296296285,108,0.27777777777777773,-0.4470249776568394,0.28750000000000003,-4.347419333328456,0.027777777777777776,7.600711914875028,0.027777777777777776,5.5112979267963595
