variant,cohort,panel,model,half_support,attempts,valid,ari_median,shared_workers_median
primary,current20,common,QT,half_diagnostic,100,69,0.298605414273995,20.0
primary,current20,common,QTB,full_requirement,100,0,,0.0
primary,current20,common,QTB,half_diagnostic,100,69,0.0442233278054174,20.0
primary,current20,common,QTS,full_requirement,100,0,,0.0
primary,current20,common,QTS,half_diagnostic,100,68,0.2108760660095248,20.0
primary,current20,common,QTSB,full_requirement,100,0,,0.0
primary,current20,common,QTSB,half_diagnostic,100,69,-0.0106382978723404,20.0
primary,current20,common,Q_median2,full_requirement,100,0,,0.0
primary,current20,common,Q_median2,half_diagnostic,100,69,0.1133333333333334,20.0
primary,current20,common,S,full_requirement,100,0,,0.0
primary,current20,common,S,half_diagnostic,100,68,-0.0138628184476661,20.0
primary,current20,common,SB,full_requirement,100,0,,0.0
primary,current20,common,SB,half_diagnostic,100,69,-0.050768720274306,20.0
primary,current20,common,T,full_requirement,100,0,,0.0
primary,current20,common,T,half_diagnostic,100,69,0.7999113180356945,20.0
primary,current20,common,TB,full_requirement,100,0,,0.0
primary,current20,common,TB,half_diagnostic,100,69,0.7891491985203453,20.0
primary,current20,common,TS,full_requirement,100,0,,0.0
primary,current20,common,TS,half_diagnostic,100,69,0.4643449419568823,20.0
primary,current20,common,TSB,full_requirement,100,0,,0.0
primary,current20,common,TSB,half_diagnostic,100,69,0.6208425720620843,20.0
primary,current20,native,B,full_requirement,100,84,-0.0457948040510788,20.0
primary,current20,native,B,half_diagnostic,100,99,-0.0457948040510788,20.0
primary,current20,native,Q,full_requirement,100,45,0.0810686319668355,20.0
primary,current20,native,Q,half_diagnostic,100,45,0.0810686319668355,20.0
primary,current20,native,QB,full_requirement,100,80,0.24437342165350195,20.0
primary,current20,native,QB,half_diagnostic,100,94,0.32732195993276214,20.0
primary,current20,native,QS,full_requirement,100,0,,0.0
primary,current20,native,QS,half_diagnostic,100,35,-0.0070671378091873,20.0
primary,current20,native,QSB,full_requirement,100,0,,0.0
primary,current20,native,QSB,half_diagnostic,100,64,0.21674916850150094,20.0
primary,current20,native,QT,full_requirement,100,99,0.2988929889298893,19.0
primary,current20,native,QT,half_diagnostic,100,99,0.3014705882352941,20.0
primary,current20,native,QTB,full_requirement,100,86,0.08574918938667389,19.0
primary,current20,native,QTB,half_diagnostic,100,99,0.0442233278054174,20.0
primary,current20,native,QTS,full_requirement,100,0,,0.0
primary,current20,native,QTS,half_diagnostic,100,68,0.2108760660095248,20.0
primary,current20,native,QTSB,full_requirement,100,0,,0.0
primary,current20,native,QTSB,half_diagnostic,100,69,-0.0106382978723404,20.0
primary,current20,native,Q_median2,full_requirement,100,100,0.1133333333333334,20.0
primary,current20,native,Q_median2,half_diagnostic,100,100,0.1133333333333334,20.0
primary,current20,native,S,full_requirement,100,0,,0.0
primary,current20,native,S,half_diagnostic,100,68,-0.01163151731143715,20.0
primary,current20,native,SB,full_requirement,100,0,,0.0
primary,current20,native,SB,half_diagnostic,100,69,-0.050768720274306,20.0
primary,current20,native,T,full_requirement,100,100,0.7891491985203453,19.0
primary,current20,native,T,half_diagnostic,100,100,0.7999113180356945,20.0
primary,current20,native,TB,full_requirement,100,89,0.7891491985203453,19.0
primary,current20,native,TB,half_diagnostic,100,100,0.7995558023320377,20.0
primary,current20,native,TS,full_requirement,100,0,,0.0
primary,current20,native,TS,half_diagnostic,100,69,0.4643449419568823,20.0
primary,current20,native,TSB,full_requirement,100,0,,0.0
primary,current20,native,TSB,half_diagnostic,100,69,0.6208425720620843,20.0
reviewed_quality_only,all26,common,B,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,B,half_diagnostic,100,69,-0.021411578112609,24.0
reviewed_quality_only,all26,common,Q,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,Q,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,common,QB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,QB,half_diagnostic,100,1,-0.0463604852686307,24.0
reviewed_quality_only,all26,common,QS,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,QS,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,common,QSB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,QSB,half_diagnostic,100,2,0.05052630253201135,24.0
reviewed_quality_only,all26,common,QT,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,QT,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,common,QTB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,QTB,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,common,QTS,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,QTS,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,common,QTSB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,QTSB,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,common,Q_median2,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,Q_median2,half_diagnostic,100,69,0.2159090909090908,24.0
reviewed_quality_only,all26,common,S,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,S,half_diagnostic,100,68,-0.0067976093756283995,24.0
reviewed_quality_only,all26,common,SB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,SB,half_diagnostic,100,69,-0.0518068436200831,24.0
reviewed_quality_only,all26,common,T,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,T,half_diagnostic,100,69,0.6809583858764187,24.0
reviewed_quality_only,all26,common,TB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,TB,half_diagnostic,100,69,0.2261280440313619,24.0
reviewed_quality_only,all26,common,TS,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,TS,half_diagnostic,100,69,0.4201680672268907,24.0
reviewed_quality_only,all26,common,TSB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,common,TSB,half_diagnostic,100,69,0.3052464228934816,24.0
reviewed_quality_only,all26,native,B,full_requirement,100,84,0.0,26.0
reviewed_quality_only,all26,native,B,half_diagnostic,100,100,0.4343548997351494,26.0
reviewed_quality_only,all26,native,Q,full_requirement,100,0,,25.0
reviewed_quality_only,all26,native,Q,half_diagnostic,100,8,-0.0536398467432952,25.0
reviewed_quality_only,all26,native,QB,full_requirement,100,5,-0.0648148148148148,25.0
reviewed_quality_only,all26,native,QB,half_diagnostic,100,10,0.0036488812392427017,25.0
reviewed_quality_only,all26,native,QS,full_requirement,100,0,,0.0
reviewed_quality_only,all26,native,QS,half_diagnostic,100,10,-0.0536398467432952,25.0
reviewed_quality_only,all26,native,QSB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,native,QSB,half_diagnostic,100,11,0.0618101545253861,25.0
reviewed_quality_only,all26,native,QT,full_requirement,100,0,,22.0
reviewed_quality_only,all26,native,QT,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,native,QTB,full_requirement,100,4,-0.0088284561739367,22.0
reviewed_quality_only,all26,native,QTB,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,native,QTS,full_requirement,100,0,,0.0
reviewed_quality_only,all26,native,QTS,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,native,QTSB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,native,QTSB,half_diagnostic,100,0,,24.0
reviewed_quality_only,all26,native,Q_median2,full_requirement,100,98,0.2387820512820512,25.0
reviewed_quality_only,all26,native,Q_median2,half_diagnostic,100,100,0.2387820512820512,25.0
reviewed_quality_only,all26,native,S,full_requirement,100,0,,0.0
reviewed_quality_only,all26,native,S,half_diagnostic,100,69,0.0124491261671054,26.0
reviewed_quality_only,all26,native,SB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,native,SB,half_diagnostic,100,69,-0.0068846815834767,26.0
reviewed_quality_only,all26,native,T,full_requirement,100,100,0.8178438661710037,22.0
reviewed_quality_only,all26,native,T,half_diagnostic,100,100,0.6809583858764187,24.0
reviewed_quality_only,all26,native,TB,full_requirement,100,89,0.1791530944625408,22.0
reviewed_quality_only,all26,native,TB,half_diagnostic,100,100,0.2261280440313619,24.0
reviewed_quality_only,all26,native,TS,full_requirement,100,0,,0.0
reviewed_quality_only,all26,native,TS,half_diagnostic,100,69,0.4201680672268907,24.0
reviewed_quality_only,all26,native,TSB,full_requirement,100,0,,0.0
reviewed_quality_only,all26,native,TSB,half_diagnostic,100,69,0.3052464228934816,24.0
reviewed_quality_only,current20,common,B,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,B,half_diagnostic,100,68,-0.0457948040510788,20.0
reviewed_quality_only,current20,common,Q,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,Q,half_diagnostic,100,32,-0.0242587601078166,20.0
reviewed_quality_only,current20,common,QB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,QB,half_diagnostic,100,64,0.16583038041065606,20.0
reviewed_quality_only,current20,common,QS,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,QS,half_diagnostic,100,47,0.0374123148869836,20.0
reviewed_quality_only,current20,common,QSB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,QSB,half_diagnostic,100,65,0.1168658698539177,20.0
reviewed_quality_only,current20,common,QT,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,QT,half_diagnostic,100,69,0.4657624875951042,20.0
reviewed_quality_only,current20,common,QTB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,QTB,half_diagnostic,100,69,0.0442233278054174,20.0
reviewed_quality_only,current20,common,QTS,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,QTS,half_diagnostic,100,69,-0.0092961487383797,20.0
reviewed_quality_only,current20,common,QTSB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,QTSB,half_diagnostic,100,69,-0.0106382978723404,20.0
reviewed_quality_only,current20,common,Q_median2,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,Q_median2,half_diagnostic,100,69,0.1133333333333334,20.0
reviewed_quality_only,current20,common,S,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,S,half_diagnostic,100,68,-0.0138628184476661,20.0
reviewed_quality_only,current20,common,SB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,SB,half_diagnostic,100,69,-0.050768720274306,20.0
reviewed_quality_only,current20,common,T,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,T,half_diagnostic,100,69,0.7999113180356945,20.0
reviewed_quality_only,current20,common,TB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,TB,half_diagnostic,100,69,0.7891491985203453,20.0
reviewed_quality_only,current20,common,TS,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,TS,half_diagnostic,100,69,0.4643449419568823,20.0
reviewed_quality_only,current20,common,TSB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,common,TSB,half_diagnostic,100,69,0.6208425720620843,20.0
reviewed_quality_only,current20,native,B,full_requirement,100,84,-0.0457948040510788,20.0
reviewed_quality_only,current20,native,B,half_diagnostic,100,99,-0.0457948040510788,20.0
reviewed_quality_only,current20,native,Q,full_requirement,100,50,0.0395464190552865,20.0
reviewed_quality_only,current20,native,Q,half_diagnostic,100,51,0.0416805232235894,20.0
reviewed_quality_only,current20,native,QB,full_requirement,100,75,0.2122719734660033,20.0
reviewed_quality_only,current20,native,QB,half_diagnostic,100,94,0.16583038041065606,20.0
reviewed_quality_only,current20,native,QS,full_requirement,100,0,,0.0
reviewed_quality_only,current20,native,QS,half_diagnostic,100,48,0.014337171711824949,20.0
reviewed_quality_only,current20,native,QSB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,native,QSB,half_diagnostic,100,66,0.1168658698539177,20.0
reviewed_quality_only,current20,native,QT,full_requirement,100,98,0.4391143911439114,19.0
reviewed_quality_only,current20,native,QT,half_diagnostic,100,100,0.32631367207188466,20.0
reviewed_quality_only,current20,native,QTB,full_requirement,100,86,0.08294482213790574,19.0
reviewed_quality_only,current20,native,QTB,half_diagnostic,100,100,0.0416805232235894,20.0
reviewed_quality_only,current20,native,QTS,full_requirement,100,0,,0.0
reviewed_quality_only,current20,native,QTS,half_diagnostic,100,69,-0.0092961487383797,20.0
reviewed_quality_only,current20,native,QTSB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,native,QTSB,half_diagnostic,100,69,-0.0106382978723404,20.0
reviewed_quality_only,current20,native,Q_median2,full_requirement,100,98,0.1133333333333334,20.0
reviewed_quality_only,current20,native,Q_median2,half_diagnostic,100,100,0.1133333333333334,20.0
reviewed_quality_only,current20,native,S,full_requirement,100,0,,0.0
reviewed_quality_only,current20,native,S,half_diagnostic,100,68,-0.01163151731143715,20.0
reviewed_quality_only,current20,native,SB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,native,SB,half_diagnostic,100,69,-0.050768720274306,20.0
reviewed_quality_only,current20,native,T,full_requirement,100,100,0.7891491985203453,19.0
reviewed_quality_only,current20,native,T,half_diagnostic,100,100,0.7999113180356945,20.0
reviewed_quality_only,current20,native,TB,full_requirement,100,89,0.7891491985203453,19.0
reviewed_quality_only,current20,native,TB,half_diagnostic,100,100,0.7995558023320377,20.0
reviewed_quality_only,current20,native,TS,full_requirement,100,0,,0.0
reviewed_quality_only,current20,native,TS,half_diagnostic,100,69,0.4643449419568823,20.0
reviewed_quality_only,current20,native,TSB,full_requirement,100,0,,0.0
reviewed_quality_only,current20,native,TSB,half_diagnostic,100,69,0.6208425720620843,20.0
scope_all_historical,all26,common,B,full_requirement,100,0,,0.0
scope_all_historical,all26,common,B,half_diagnostic,100,77,-0.0208044382801663,24.0
scope_all_historical,all26,common,Q,full_requirement,100,0,,0.0
scope_all_historical,all26,common,Q,half_diagnostic,100,0,,24.0
scope_all_historical,all26,common,QB,full_requirement,100,0,,0.0
scope_all_historical,all26,common,QB,half_diagnostic,100,0,,24.0
scope_all_historical,all26,common,QS,full_requirement,100,0,,0.0
scope_all_historical,all26,common,QS,half_diagnostic,100,0,,24.0
scope_all_historical,all26,common,QSB,full_requirement,100,0,,0.0
scope_all_historical,all26,common,QSB,half_diagnostic,100,0,,24.0
scope_all_historical,all26,common,QT,full_requirement,100,0,,0.0
scope_all_historical,all26,common,QT,half_diagnostic,100,0,,24.0
scope_all_historical,all26,common,QTB,full_requirement,100,0,,0.0
scope_all_historical,all26,common,QTB,half_diagnostic,100,0,,24.0
scope_all_historical,all26,common,QTS,full_requirement,100,0,,0.0
scope_all_historical,all26,common,QTS,half_diagnostic,100,0,,24.0
scope_all_historical,all26,common,QTSB,full_requirement,100,0,,0.0
scope_all_historical,all26,common,QTSB,half_diagnostic,100,0,,24.0
scope_all_historical,all26,common,Q_median2,full_requirement,100,0,,0.0
