image_id,building_id,cohort,panel,model,arm,config,horizon,earliest_possible,earliest_confirmed,status
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,q95,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G1,ospa30_t6,7,2.0,2.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G1,ospa30_t6,8,2.0,2.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G1,ospa30_t6,10,2.0,2.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G1,ospa30_t6,12,2.0,2.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G1,q95,7,2.0,2.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G1,q95,8,2.0,2.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G1,q95,10,2.0,2.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G1,q95,12,2.0,2.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G2,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G2,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G2,ospa30_t6,10,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G2,ospa30_t6,12,7.0,7.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G2,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G2,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G2,q95,10,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,G2,q95,12,7.0,7.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,ospa30_t6,7,2.0,,undetermined
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,q95,7,2.0,,undetermined
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,MIX,q95,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,ALL,q95,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,ospa30_t6,22,7.0,7.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,S,G1,q95,22,7.0,7.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,SB,ALL,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,SB,ALL,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,SB,ALL,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,SB,ALL,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,SB,ALL,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,SB,ALL,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,SB,ALL,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,SB,ALL,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,SB,ALL,q95,13,6.0,6.0,confirmed_in_observed_range
