worker_id,current20_member,effect_time,lower_time,upper_time,label_time,informative_rows_time,informative_buildings_time,effect_error,lower_error,upper_error,label_error,informative_rows_error,informative_buildings_error,behavior_label,cohort
34,True,0.0670565243992776,-0.3914992940371976,0.3063723498656813,uncertain,12.0,6.0,1.335803147698736,0.4362053174749654,2.0187931942016117,high,79,19,速度未分明／参考偏差较高,all26
35,True,0.3727415021593124,0.1424193749822367,0.5372315362867318,high,38.0,17.0,0.38063572532259227,-0.28329249840589465,0.9615309737843033,uncertain,59,17,较慢／参考偏差未分明,all26
36,True,1.7433087258223745,1.5544458118621935,1.9000449129886243,high,74.0,18.0,-0.16129841866411765,-0.8751704268728812,1.124546590184604,uncertain,62,18,较慢／参考偏差未分明,all26
37,True,0.7105681821232058,0.5865343528330593,0.8158498212199575,high,77.0,17.0,1.8798234748344367,0.6999647333441296,3.0318274519737938,high,61,16,较慢／参考偏差较高,all26
6,True,-1.2916403830689769,-1.554994053684138,-1.0159138426691083,low,77.0,19.0,-0.629038867279411,-1.543963058159145,0.48045418334644174,uncertain,61,17,较快／参考偏差未分明,all26
8,True,0.489642918379501,0.4087205914802633,0.5993755236986835,high,77.0,19.0,-0.8223224438044554,-2.1474608137837263,0.6289596962689015,uncertain,59,16,较慢／参考偏差未分明,all26
26,False,,,,unavailable,,,7.266505920610132,-1.6766769161690869,16.16624587546258,uncertain,3,3,无合格时间／参考偏差未分明,all26
1,True,-0.7831558341079197,-0.9816498856640252,-0.6469842339274461,low,47.0,18.0,-0.2977810004430869,-0.919357014087996,0.25118718164933024,uncertain,60,16,较快／参考偏差未分明,current20
10,True,-0.5243401422886258,-0.630267868179491,-0.3943832345095979,low,77.0,19.0,0.15930884392163283,-1.1174307121391485,1.4366318300522398,uncertain,61,17,较快／参考偏差未分明,current20
11,True,-0.0317393474541644,-0.1436899095948213,0.1213071307890591,uncertain,75.0,17.0,-0.596094610515889,-1.3036833246509052,0.08785550354436443,uncertain,62,16,速度未分明／参考偏差未分明,current20
12,True,-0.8999843211251803,-1.062513389208826,-0.7466872652592128,low,38.0,16.0,0.4958430151045502,-0.19814349800946704,0.9901185774949148,uncertain,57,15,较快／参考偏差未分明,current20
13,True,-1.1302221978708693,-1.3411726136311757,-0.9291401181930956,low,77.0,19.0,0.3156771042394765,-0.46721844652079053,0.9711257688628416,uncertain,59,17,较快／参考偏差未分明,current20
15,True,0.3369090762925346,0.1353264751325899,0.5284145953211464,high,79.0,21.0,-1.1609490522604045,-1.784927886096149,-0.29494943861851736,low,63,18,较慢／参考偏差较低,current20
17,True,-0.3353715675909231,-0.5294166224451384,-0.1458223448323326,low,73.0,17.0,-1.3806069017941422,-2.055597536201417,-0.32540109649973187,low,57,15,较快／参考偏差较低,current20
2,True,-0.5581620926042109,-0.7463155901032713,-0.4128494707984533,low,68.0,19.0,-4.10966655649235,-5.1205965531434225,-3.1505307701541847,low,53,14,较快／参考偏差较低,current20
28,True,0.5427641591991638,0.3602854035070184,0.6915093176468609,high,76.0,17.0,-0.05504351649390077,-0.9188052903924797,0.7503314896773697,uncertain,58,16,较慢／参考偏差未分明,current20
29,True,0.555656976271389,0.3912372872318793,0.7469368908081234,high,75.0,18.0,1.0745228656436867,0.007735747050692371,1.776793926722765,high,58,16,较慢／参考偏差较高,current20
30,True,-0.4413432853324104,-0.551972402831944,-0.2886791948532705,low,76.0,18.0,0.7685772250728279,0.07739473346247182,1.7547349721931969,high,61,16,较快／参考偏差较高,current20
31,True,0.1942063445583613,0.0501019050197463,0.3627232969165558,high,31.0,17.0,0.03202455908466714,-0.7646772969276132,0.9561000209079284,uncertain,68,19,较慢／参考偏差未分明,current20
32,True,0.6266855873657639,0.5247038974504186,0.768807536581288,high,79.0,18.0,0.3790523998020707,-0.1751751750779654,1.0790260747629015,uncertain,65,17,较慢／参考偏差未分明,current20
33,True,0.806114590880192,0.656139681120507,0.952620351601687,high,78.0,18.0,-0.5655105601579092,-1.3785432973547591,-0.0006109374092379879,low,63,17,较慢／参考偏差较低,current20
34,True,-0.0094115964952672,-0.4657298181053793,0.2310794115917172,uncertain,12.0,6.0,1.8547031504959823,0.6399789329123147,2.562225191224001,high,79,19,速度未分明／参考偏差较高,current20
35,True,0.3063387742563012,0.0816365638349373,0.4739311184600942,high,38.0,17.0,0.9209711805998235,0.05878764959679941,1.594632773394403,high,59,17,较慢／参考偏差较高,current20
36,True,1.6694727665188098,1.474171686137546,1.8283845744098948,high,74.0,18.0,0.37596867019767866,-0.2965074682039063,1.5044101717178313,uncertain,62,18,较慢／参考偏差未分明,current20
37,True,0.6329861678749534,0.5095442207181266,0.7397533741979484,high,77.0,17.0,2.331969819852854,1.4077750956897057,3.269702510043256,high,61,16,较慢／参考偏差较高,current20
6,True,-1.367999786605247,-1.6271559954551629,-1.0775257325129215,low,77.0,19.0,-0.1399852063143879,-0.8940031141739052,0.7280872570941066,uncertain,61,17,较快／参考偏差未分明,current20
8,True,0.4105957282573489,0.3262061669549454,0.5299890677250813,high,77.0,19.0,-0.4029814295431802,-1.4244715498050242,0.8356209527866818,uncertain,59,16,较慢／参考偏差未分明,current20
