condition,target,feature,baseline,method_MAE,baseline_MAE,n,groups,delta,lo,hi
manual,half_future_uncovered,points_plus_shared,constant,0.297280910151,0.346662869294,133,20,-0.0493819591439,-0.0931454217284,-0.000326176108662
manual,half_future_uncovered,scene,constant,0.349296794981,0.346662869294,133,20,0.00263392568608,-0.0128136439488,0.0173132062436
manual,half_future_uncovered,scene_AI,constant,0.365096246485,0.346662869294,133,20,0.0184333771904,-0.00574372920445,0.0539279187039
manual,half_future_uncovered,C_da3_layer11_global,model_points,0.31672708924,0.292404459473,133,20,0.0243226297671,-0.0163089083313,0.0590250003974
manual,half_future_uncovered,C_hohonet_shared_global,model_points,0.306119058528,0.292404459473,133,20,0.0137145990548,-0.0170932513623,0.0478536353627
manual,half_future_uncovered,model_feedback,model_points,0.292473539042,0.292404459473,133,20,6.90795684683e-05,-0.0224260847476,0.0207999537207
manual,half_future_uncovered,points_plus_shared,model_points,0.297280910151,0.292404459473,133,20,0.00487645067741,-0.0222116512812,0.0321433427058
manual,half_future_uncovered,scene,model_points,0.349296794981,0.292404459473,133,20,0.0568923355074,0.0339745549646,0.0788248141987
manual,half_future_uncovered,scene_AI,model_points,0.365096246485,0.292404459473,133,20,0.0726917870117,0.0573321054644,0.091302088967
manual,half_future_uncovered,C_da3_layer11_global,scene,0.31672708924,0.349296794981,133,20,-0.0325697057403,-0.0714314449169,-0.00189462879628
manual,half_future_uncovered,C_hohonet_shared_global,scene,0.306119058528,0.349296794981,133,20,-0.0431777364526,-0.0864095915874,0.00699517060832
manual,half_future_uncovered,model_feedback,scene,0.292473539042,0.349296794981,133,20,-0.0568232559389,-0.0806662316833,-0.0353673093273
manual,half_future_uncovered,model_points,scene,0.292404459473,0.349296794981,133,20,-0.0568923355074,-0.0788248141987,-0.0339745549646
manual,half_future_uncovered,points_plus_shared,scene,0.297280910151,0.349296794981,133,20,-0.0520158848299,-0.0912674198924,-0.00843760135393
manual,half_future_uncovered,scene_AI,scene,0.365096246485,0.349296794981,133,20,0.0157994515043,-0.00253366748866,0.0465355734782
manual,late_novel_geometry_rate,C_da3_layer11_global,constant,0.227493311608,0.206428571429,133,20,0.0210647401796,-0.00120266027843,0.0475630524928
manual,late_novel_geometry_rate,C_hohonet_shared_global,constant,0.194408055002,0.206428571429,133,20,-0.0120205164268,-0.0358621689672,0.0129184347019
manual,late_novel_geometry_rate,model_feedback,constant,0.188874830536,0.206428571429,133,20,-0.0175537408922,-0.0330306102868,-0.0010590153194
manual,late_novel_geometry_rate,model_points,constant,0.188667862043,0.206428571429,133,20,-0.0177607093853,-0.0318827272193,-0.00454234712953
manual,late_novel_geometry_rate,points_plus_shared,constant,0.189164374735,0.206428571429,133,20,-0.0172641966932,-0.0418319609047,0.00581290016811
manual,late_novel_geometry_rate,scene,constant,0.217730837815,0.206428571429,133,20,0.0113022663865,0.0012155707547,0.0211914350798
manual,late_novel_geometry_rate,scene_AI,constant,0.221956087717,0.206428571429,133,20,0.0155275162885,0.00499360170742,0.0254414255376
manual,late_novel_geometry_rate,C_da3_layer11_global,model_points,0.227493311608,0.188667862043,133,20,0.0388254495649,0.0170470913861,0.06172068026
manual,late_novel_geometry_rate,C_hohonet_shared_global,model_points,0.194408055002,0.188667862043,133,20,0.00574019295853,-0.0101798390053,0.0226437747066
manual,late_novel_geometry_rate,model_feedback,model_points,0.188874830536,0.188667862043,133,20,0.000206968493105,-0.006214794858,0.00832601357237
manual,late_novel_geometry_rate,points_plus_shared,model_points,0.189164374735,0.188667862043,133,20,0.000496512692097,-0.0155911364019,0.0155012240124
manual,late_novel_geometry_rate,scene,model_points,0.217730837815,0.188667862043,133,20,0.0290629757718,0.0133141261561,0.0452246793631
manual,late_novel_geometry_rate,scene_AI,model_points,0.221956087717,0.188667862043,133,20,0.0332882256738,0.0191324960681,0.0483464173709
manual,late_novel_geometry_rate,C_da3_layer11_global,scene,0.227493311608,0.217730837815,133,20,0.0097624737931,-0.00986110182668,0.0363279998156
manual,late_novel_geometry_rate,C_hohonet_shared_global,scene,0.194408055002,0.217730837815,133,20,-0.0233227828133,-0.0490621794344,0.0038926331863
manual,late_novel_geometry_rate,model_feedback,scene,0.188874830536,0.217730837815,133,20,-0.0288560072787,-0.043999375793,-0.0101251858145
manual,late_novel_geometry_rate,model_points,scene,0.188667862043,0.217730837815,133,20,-0.0290629757718,-0.0452246793631,-0.0133141261561
manual,late_novel_geometry_rate,points_plus_shared,scene,0.189164374735,0.217730837815,133,20,-0.0285664630797,-0.0537277445942,-0.00444883833341
manual,late_novel_geometry_rate,scene_AI,scene,0.221956087717,0.217730837815,133,20,0.00422524990196,-0.000190902674504,0.0113642053401
manual,late_support_promotions_rate,C_da3_layer11_global,constant,0.148812814409,0.139197994987,133,20,0.00961481942135,-0.00455204934729,0.0233756967828
manual,late_support_promotions_rate,C_hohonet_shared_global,constant,0.150969436984,0.139197994987,133,20,0.0117714419962,-0.00370412385783,0.0275646841317
manual,late_support_promotions_rate,model_feedback,constant,0.139771959679,0.139197994987,133,20,0.000573964691415,-0.010991543763,0.0125394050911
manual,late_support_promotions_rate,model_points,constant,0.136748772849,0.139197994987,133,20,-0.00244922213856,-0.0136146001348,0.00648137447301
manual,late_support_promotions_rate,points_plus_shared,constant,0.150639803083,0.139197994987,133,20,0.0114418080955,-0.0037505682148,0.0269282858412
manual,late_support_promotions_rate,scene,constant,0.143710470022,0.139197994987,133,20,0.00451247503462,-0.00574237724519,0.0141960717792
manual,late_support_promotions_rate,scene_AI,constant,0.148578479948,0.139197994987,133,20,0.00938048496009,-0.000929574671314,0.0200984549527
manual,late_support_promotions_rate,C_da3_layer11_global,model_points,0.148812814409,0.136748772849,133,20,0.0120640415599,-0.000689129470454,0.0220574225509
manual,late_support_promotions_rate,C_hohonet_shared_global,model_points,0.150969436984,0.136748772849,133,20,0.0142206641348,0.00421333645006,0.0294271112486
manual,late_support_promotions_rate,model_feedback,model_points,0.139771959679,0.136748772849,133,20,0.00302318682997,-0.00163969591169,0.0105423480002
manual,late_support_promotions_rate,points_plus_shared,model_points,0.150639803083,0.136748772849,133,20,0.0138910302341,0.0041046168596,0.0292113708093
manual,late_support_promotions_rate,scene,model_points,0.143710470022,0.136748772849,133,20,0.00696169717318,0.000795168557808,0.0150972691392
manual,late_support_promotions_rate,scene_AI,model_points,0.148578479948,0.136748772849,133,20,0.0118297070986,0.0043926823446,0.022419668775
manual,late_support_promotions_rate,C_da3_layer11_global,scene,0.148812814409,0.143710470022,133,20,0.00510234438672,-0.0115895763639,0.0176575660892
manual,late_support_promotions_rate,C_hohonet_shared_global,scene,0.150969436984,0.143710470022,133,20,0.00725896696162,-0.0043279716569,0.023383846145
manual,late_support_promotions_rate,model_feedback,scene,0.139771959679,0.143710470022,133,20,-0.00393851034321,-0.0113838469844,0.00476625607124
manual,late_support_promotions_rate,model_points,scene,0.136748772849,0.143710470022,133,20,-0.00696169717318,-0.0150972691392,-0.000795168557808
manual,late_support_promotions_rate,points_plus_shared,scene,0.150639803083,0.143710470022,133,20,0.00692933306092,-0.00453271086855,0.0226590475736
manual,late_support_promotions_rate,scene_AI,scene,0.148578479948,0.143710470022,133,20,0.00486800992547,-0.000143224716755,0.0126997244083
manual,medoid_reference_abs_change,C_da3_layer11_global,constant,0.0234583585691,0.0178605221043,124,19,0.00559783646476,0.00325276363099,0.00832561360606
manual,medoid_reference_abs_change,C_hohonet_shared_global,constant,0.0225213146905,0.0178605221043,124,19,0.00466079258624,0.00202946057038,0.00733889820024
manual,medoid_reference_abs_change,model_feedback,constant,0.0205072907538,0.0178605221043,124,19,0.0026467686495,0.000617702625273,0.00489275687308
manual,medoid_reference_abs_change,model_points,constant,0.019380836063,0.0178605221043,124,19,0.00152031395874,-0.00011395757299,0.00327699326156
manual,medoid_reference_abs_change,points_plus_shared,constant,0.0224895666237,0.0178605221043,124,19,0.00462904451935,0.0020919761062,0.00716033507584
manual,medoid_reference_abs_change,scene,constant,0.019564549774,0.0178605221043,124,19,0.00170402766973,0.000778075318059,0.00292954866439
manual,medoid_reference_abs_change,scene_AI,constant,0.0205582900958,0.0178605221043,124,19,0.00269776799146,0.00145389841064,0.00393250195992
manual,medoid_reference_abs_change,C_da3_layer11_global,model_points,0.0234583585691,0.019380836063,124,19,0.00407752250602,0.00217836055465,0.00621577643554
manual,medoid_reference_abs_change,C_hohonet_shared_global,model_points,0.0225213146905,0.019380836063,124,19,0.0031404786275,0.0011942904622,0.00509033769309
manual,medoid_reference_abs_change,model_feedback,model_points,0.0205072907538,0.019380836063,124,19,0.00112645469076,-0.000435845962261,0.00312825651298
manual,medoid_reference_abs_change,points_plus_shared,model_points,0.0224895666237,0.019380836063,124,19,0.00310873056061,0.0012963243535,0.00490222981281
manual,medoid_reference_abs_change,scene,model_points,0.019564549774,0.019380836063,124,19,0.00018371371099,-0.00129810236949,0.00180517607455
manual,medoid_reference_abs_change,scene_AI,model_points,0.0205582900958,0.019380836063,124,19,0.00117745403273,-0.000614542041877,0.00321876639173
manual,medoid_reference_abs_change,C_da3_layer11_global,scene,0.0234583585691,0.019564549774,124,19,0.00389380879503,0.00175109876029,0.00639713804024
manual,medoid_reference_abs_change,C_hohonet_shared_global,scene,0.0225213146905,0.019564549774,124,19,0.00295676491651,0.000680060404251,0.00517571517646
manual,medoid_reference_abs_change,model_feedback,scene,0.0205072907538,0.019564549774,124,19,0.000942740979774,-0.000836075594851,0.00274371504823
manual,medoid_reference_abs_change,model_points,scene,0.019380836063,0.019564549774,124,19,-0.00018371371099,-0.00180517607455,0.00129810236949
manual,medoid_reference_abs_change,points_plus_shared,scene,0.0224895666237,0.019564549774,124,19,0.00292501684962,0.000625704877846,0.00506524073784
manual,medoid_reference_abs_change,scene_AI,scene,0.0205582900958,0.019564549774,124,19,0.000993740321735,0.000114141256644,0.001931216246
manual,same_point_multimodal,C_da3_layer11_global,constant,0.347139555891,0.228915662651,166,22,0.11822389324,0.0770187292013,0.166212448342
manual,same_point_multimodal,C_hohonet_shared_global,constant,0.347504969165,0.228915662651,166,22,0.118589306514,0.0674396458976,0.181661745756
manual,same_point_multimodal,model_feedback,constant,0.328387879567,0.228915662651,166,22,0.0994722169168,0.0592560612051,0.147114665622
manual,same_point_multimodal,model_points,constant,0.357877902287,0.228915662651,166,22,0.128962239636,0.0927689738013,0.170683312628
manual,same_point_multimodal,points_plus_shared,constant,0.348496772646,0.228915662651,166,22,0.119581109995,0.0701611628184,0.180347522736
manual,same_point_multimodal,scene,constant,0.351888142162,0.228915662651,166,22,0.122972479511,0.0830257228514,0.168241512279
manual,same_point_multimodal,scene_AI,constant,0.35941950768,0.228915662651,166,22,0.130503845029,0.0916162211223,0.173914695141
manual,same_point_multimodal,C_da3_layer11_global,model_points,0.347139555891,0.357877902287,166,22,-0.0107383463962,-0.0284022208186,0.00781156461486
manual,same_point_multimodal,C_hohonet_shared_global,model_points,0.347504969165,0.357877902287,166,22,-0.0103729331219,-0.05359834963,0.0340160057371
manual,same_point_multimodal,model_feedback,model_points,0.328387879567,0.357877902287,166,22,-0.0294900227194,-0.0556053575436,-0.00579137867206
manual,same_point_multimodal,points_plus_shared,model_points,0.348496772646,0.357877902287,166,22,-0.00938112964128,-0.0527093945492,0.0333902729685
manual,same_point_multimodal,scene,model_points,0.351888142162,0.357877902287,166,22,-0.00598976012487,-0.0216769538177,0.00911202150251
manual,same_point_multimodal,scene_AI,model_points,0.35941950768,0.357877902287,166,22,0.00154160539281,-0.0137225728933,0.015576369147
manual,same_point_multimodal,C_da3_layer11_global,scene,0.347139555891,0.351888142162,166,22,-0.00474858627134,-0.0247502064802,0.0177135623052
manual,same_point_multimodal,C_hohonet_shared_global,scene,0.347504969165,0.351888142162,166,22,-0.00438317299704,-0.0471801270706,0.0421471651491
manual,same_point_multimodal,model_feedback,scene,0.328387879567,0.351888142162,166,22,-0.0235002625946,-0.0493527309418,9.81289603572e-05
manual,same_point_multimodal,model_points,scene,0.357877902287,0.351888142162,166,22,0.00598976012487,-0.00911202150251,0.0216769538177
manual,same_point_multimodal,points_plus_shared,scene,0.348496772646,0.351888142162,166,22,-0.00339136951641,-0.0456974542909,0.0430185854726
manual,same_point_multimodal,scene_AI,scene,0.35941950768,0.351888142162,166,22,0.00753136551768,-0.000924800760663,0.0209714419816
manual,stable_D10,C_da3_layer11_global,constant,0.320885119032,0.357142857143,42,15,-0.0362577381107,-0.115562069187,0.0484009328419
manual,stable_D10,C_hohonet_shared_global,constant,0.347497357604,0.357142857143,42,15,-0.00964549953868,-0.139155392385,0.0802198853345
manual,stable_D10,model_feedback,constant,0.375518169809,0.357142857143,42,15,0.0183753126666,-0.0801485401658,0.119891688805
manual,stable_D10,model_points,constant,0.34588730571,0.357142857143,42,15,-0.0112555514326,-0.072826026615,0.0408351932588
manual,stable_D10,points_plus_shared,constant,0.363914744604,0.357142857143,42,15,0.00677188746066,-0.124182857134,0.110935352646
manual,stable_D10,scene,constant,0.343863315877,0.357142857143,42,15,-0.0132795412659,-0.0725308450199,0.0328334816097
manual,stable_D10,scene_AI,constant,0.358667044328,0.357142857143,42,15,0.00152418718518,-0.0615448625211,0.0565441104948
manual,stable_D10,C_da3_layer11_global,model_points,0.320885119032,0.34588730571,42,15,-0.0250021866782,-0.102319159587,0.0571531541157
manual,stable_D10,C_hohonet_shared_global,model_points,0.347497357604,0.34588730571,42,15,0.0016100518939,-0.0775655698938,0.0757039082355
manual,stable_D10,model_feedback,model_points,0.375518169809,0.34588730571,42,15,0.0296308640992,-0.0282783553618,0.101044592361
manual,stable_D10,points_plus_shared,model_points,0.363914744604,0.34588730571,42,15,0.0180274388932,-0.0746963858518,0.10616384352
manual,stable_D10,scene,model_points,0.343863315877,0.34588730571,42,15,-0.00202398983336,-0.0469688740244,0.0519915498674
manual,stable_D10,scene_AI,model_points,0.358667044328,0.34588730571,42,15,0.0127797386178,-0.038947980026,0.0715251382319
manual,stable_D10,C_da3_layer11_global,scene,0.320885119032,0.343863315877,42,15,-0.0229781968448,-0.0971083186399,0.0609058480469
manual,stable_D10,C_hohonet_shared_global,scene,0.347497357604,0.343863315877,42,15,0.00363404172726,-0.0931394261176,0.0901202236495
manual,stable_D10,model_feedback,scene,0.375518169809,0.343863315877,42,15,0.0316548539325,-0.0509211627922,0.125637314039
manual,stable_D10,model_points,scene,0.34588730571,0.343863315877,42,15,0.00202398983336,-0.0519915498674,0.0469688740244
manual,stable_D10,points_plus_shared,scene,0.363914744604,0.343863315877,42,15,0.0200514287266,-0.083475121895,0.115842290766
manual,stable_D10,scene_AI,scene,0.358667044328,0.343863315877,42,15,0.0148037284511,-0.00813134016962,0.0424805081688
manual,stable_G10,C_da3_layer11_global,constant,0.310218684923,0.345952380952,42,15,-0.0357336960295,-0.121612296919,0.039837836932
manual,stable_G10,C_hohonet_shared_global,constant,0.391578592811,0.345952380952,42,15,0.0456262118589,-0.0471728347028,0.124310994981
manual,stable_G10,model_feedback,constant,0.342251996648,0.345952380952,42,15,-0.00370038430437,-0.0719353181126,0.0561594213707
manual,stable_G10,model_points,constant,0.32959065714,0.345952380952,42,15,-0.0163617238125,-0.064076776852,0.0207460391492
manual,stable_G10,points_plus_shared,constant,0.349723707471,0.345952380952,42,15,0.00377132651878,-0.0854048991001,0.0782630778321
manual,stable_G10,scene,constant,0.291932407303,0.345952380952,42,15,-0.054019973649,-0.0989437530888,-0.0219818273071
manual,stable_G10,scene_AI,constant,0.305139022199,0.345952380952,42,15,-0.0408133587532,-0.0875596259682,-0.00645337360407
manual,stable_G10,C_da3_layer11_global,model_points,0.310218684923,0.32959065714,42,15,-0.019371972217,-0.0902234555014,0.0482495541512
manual,stable_G10,C_hohonet_shared_global,model_points,0.391578592811,0.32959065714,42,15,0.0619879356714,-0.00480097775673,0.136722982467
manual,stable_G10,model_feedback,model_points,0.342251996648,0.32959065714,42,15,0.0126613395081,-0.016370826126,0.0439954742859
manual,stable_G10,points_plus_shared,model_points,0.349723707471,0.32959065714,42,15,0.0201330503313,-0.0347289590199,0.0724200069988
manual,stable_G10,scene,model_points,0.291932407303,0.32959065714,42,15,-0.0376582498365,-0.0779561710954,0.00288442467579
manual,stable_G10,scene_AI,model_points,0.305139022199,0.32959065714,42,15,-0.0244516349407,-0.0591767292971,0.0181783290954
manual,stable_G10,C_da3_layer11_global,scene,0.310218684923,0.291932407303,42,15,0.0182862776194,-0.0624306228133,0.0972215645627
manual,stable_G10,C_hohonet_shared_global,scene,0.391578592811,0.291932407303,42,15,0.0996461855078,0.0188468417857,0.177019312478
manual,stable_G10,model_feedback,scene,0.342251996648,0.291932407303,42,15,0.0503195893446,-0.00559124978293,0.114758615612
manual,stable_G10,model_points,scene,0.32959065714,0.291932407303,42,15,0.0376582498365,-0.00288442467579,0.0779561710954
manual,stable_G10,points_plus_shared,scene,0.349723707471,0.291932407303,42,15,0.0577913001678,-0.00945573244292,0.126561163363
manual,stable_G10,scene_AI,scene,0.305139022199,0.291932407303,42,15,0.0132066148958,-0.0025417672225,0.0296444794786
manual,stable_P,C_da3_layer11_global,constant,0.311741824219,0.350476190476,42,15,-0.0387343662573,-0.118636358055,0.04699295737
manual,stable_P,C_hohonet_shared_global,constant,0.335310411708,0.350476190476,42,15,-0.0151657787685,-0.137195461658,0.0761094638025
manual,stable_P,model_feedback,constant,0.367938748925,0.350476190476,42,15,0.017462558449,-0.0806258132302,0.117850259393
manual,stable_P,model_points,constant,0.339308346108,0.350476190476,42,15,-0.0111678443678,-0.0704671133191,0.0380098987318
manual,stable_P,points_plus_shared,constant,0.350402161603,0.350476190476,42,15,-7.40288729691e-05,-0.121933658664,0.0999748752351
manual,stable_P,scene,constant,0.337667547343,0.350476190476,42,15,-0.0128086431337,-0.0719734043761,0.0328860838184
manual,stable_P,scene_AI,constant,0.351734672977,0.350476190476,42,15,0.00125848250098,-0.061166347511,0.0560908492441
manual,stable_P,C_da3_layer11_global,model_points,0.311741824219,0.339308346108,42,15,-0.0275665218895,-0.102956210732,0.0541164462456
manual,stable_P,C_hohonet_shared_global,model_points,0.335310411708,0.339308346108,42,15,-0.0039979344007,-0.0762550356207,0.0650658126623
manual,stable_P,model_feedback,model_points,0.367938748925,0.339308346108,42,15,0.0286304028168,-0.02726266477,0.0988559707533
manual,stable_P,points_plus_shared,model_points,0.350402161603,0.339308346108,42,15,0.0110938154948,-0.0727617655071,0.0940643383096
manual,stable_P,scene,model_points,0.337667547343,0.339308346108,42,15,-0.00164079876584,-0.04807796754,0.0507542512451
manual,stable_P,scene_AI,model_points,0.351734672977,0.339308346108,42,15,0.0124263268688,-0.037183819878,0.0694909029266
manual,stable_P,C_da3_layer11_global,scene,0.311741824219,0.337667547343,42,15,-0.0259257231237,-0.100430692584,0.0573367616831
manual,stable_P,C_hohonet_shared_global,scene,0.335310411708,0.337667547343,42,15,-0.00235713563486,-0.0973922396573,0.0815421688676
manual,stable_P,model_feedback,scene,0.367938748925,0.337667547343,42,15,0.0302712015826,-0.0514556775052,0.125204593771
manual,stable_P,model_points,scene,0.339308346108,0.337667547343,42,15,0.00164079876584,-0.0507542512451,0.04807796754
manual,stable_P,points_plus_shared,scene,0.350402161603,0.337667547343,42,15,0.0127346142607,-0.0831059923362,0.109295017375
manual,stable_P,scene_AI,scene,0.351734672977,0.337667547343,42,15,0.0140671256346,-0.00927789404532,0.0420768665224
manual,stable_multimode_G10,C_da3_layer11_global,constant,0.272994735504,0.202142857143,42,15,0.0708518783613,-0.00395423653216,0.163613169359
manual,stable_multimode_G10,C_hohonet_shared_global,constant,0.272442746415,0.202142857143,42,15,0.0702998892722,-0.037044901442,0.173919094687
manual,stable_multimode_G10,model_feedback,constant,0.287293238966,0.202142857143,42,15,0.0851503818231,0.0311671134593,0.151957133763
manual,stable_multimode_G10,model_points,constant,0.28542938813,0.202142857143,42,15,0.0832865309873,0.0234259655809,0.159262452525
manual,stable_multimode_G10,points_plus_shared,constant,0.27498122647,0.202142857143,42,15,0.0728383693267,-0.0263799864666,0.167151317554
manual,stable_multimode_G10,scene,constant,0.231617306863,0.202142857143,42,15,0.0294744497199,-0.0443863174545,0.123355836135
manual,stable_multimode_G10,scene_AI,constant,0.244499524526,0.202142857143,42,15,0.042356667383,-0.0251331128727,0.128421560381
manual,stable_multimode_G10,C_da3_layer11_global,model_points,0.272994735504,0.28542938813,42,15,-0.0124346526259,-0.0561435260862,0.0288396733069
manual,stable_multimode_G10,C_hohonet_shared_global,model_points,0.272442746415,0.28542938813,42,15,-0.012986641715,-0.0927238502158,0.0666523243339
manual,stable_multimode_G10,model_feedback,model_points,0.287293238966,0.28542938813,42,15,0.00186385083579,-0.0149585590356,0.0149693682544
manual,stable_multimode_G10,points_plus_shared,model_points,0.27498122647,0.28542938813,42,15,-0.0104481616606,-0.0839837386831,0.0625611306205
manual,stable_multimode_G10,scene,model_points,0.231617306863,0.28542938813,42,15,-0.0538120812674,-0.100950306825,-0.00724586405899
manual,stable_multimode_G10,scene_AI,model_points,0.244499524526,0.28542938813,42,15,-0.0409298636043,-0.0899516888105,0.0019409977188
manual,stable_multimode_G10,C_da3_layer11_global,scene,0.272994735504,0.231617306863,42,15,0.0413774286415,0.00116025916672,0.0865086374284
manual,stable_multimode_G10,C_hohonet_shared_global,scene,0.272442746415,0.231617306863,42,15,0.0408254395523,-0.0578538062872,0.153668112875
manual,stable_multimode_G10,model_feedback,scene,0.287293238966,0.231617306863,42,15,0.0556759321032,0.00320393200078,0.107186719189
manual,stable_multimode_G10,model_points,scene,0.28542938813,0.231617306863,42,15,0.0538120812674,0.00724586405899,0.100950306825
manual,stable_multimode_G10,points_plus_shared,scene,0.27498122647,0.231617306863,42,15,0.0433639196068,-0.050394545788,0.148203874792
manual,stable_multimode_G10,scene_AI,scene,0.244499524526,0.231617306863,42,15,0.0128822176631,-0.000590002307834,0.027796956503
manual,supported_multimodal,C_da3_layer11_global,constant,0.435889810673,0.349397590361,166,22,0.0864922203116,0.0100785819301,0.171353475544
manual,supported_multimodal,C_hohonet_shared_global,constant,0.385535066551,0.349397590361,166,22,0.0361374761898,-0.0541199879563,0.128872518997
manual,supported_multimodal,model_feedback,constant,0.451817748739,0.349397590361,166,22,0.102420158378,0.036802748412,0.180736557183
manual,supported_multimodal,model_points,constant,0.451411964525,0.349397590361,166,22,0.102014374164,0.0314167408505,0.184135667067
manual,supported_multimodal,points_plus_shared,constant,0.406888327019,0.349397590361,166,22,0.0574907366575,-0.0212836262459,0.14075328233
manual,supported_multimodal,scene,constant,0.448932906702,0.349397590361,166,22,0.0995353163401,0.0225101119902,0.185280659654
manual,supported_multimodal,scene_AI,constant,0.454776168232,0.349397590361,166,22,0.10537857787,0.0287663079685,0.193189296648
manual,supported_multimodal,C_da3_layer11_global,model_points,0.435889810673,0.451411964525,166,22,-0.0155221538522,-0.0398886691131,0.00827221574491
manual,supported_multimodal,C_hohonet_shared_global,model_points,0.385535066551,0.451411964525,166,22,-0.0658768979741,-0.105660465203,-0.0282081234431
manual,supported_multimodal,model_feedback,model_points,0.451817748739,0.451411964525,166,22,0.000405784214072,-0.0186314759909,0.0192413301617
manual,supported_multimodal,points_plus_shared,model_points,0.406888327019,0.451411964525,166,22,-0.0445236375063,-0.080219864516,-0.0105306668743
manual,supported_multimodal,scene,model_points,0.448932906702,0.451411964525,166,22,-0.00247905782372,-0.0188087587171,0.014710254659
manual,supported_multimodal,scene_AI,model_points,0.454776168232,0.451411964525,166,22,0.00336420370623,-0.0115901784339,0.0185129848208
manual,supported_multimodal,C_da3_layer11_global,scene,0.435889810673,0.448932906702,166,22,-0.0130430960285,-0.0340795023253,0.0112985641885
manual,supported_multimodal,C_hohonet_shared_global,scene,0.385535066551,0.448932906702,166,22,-0.0633978401503,-0.101721544516,-0.0220240680526
manual,supported_multimodal,model_feedback,scene,0.451817748739,0.448932906702,166,22,0.00288484203779,-0.0217733425615,0.0259489061629
manual,supported_multimodal,model_points,scene,0.451411964525,0.448932906702,166,22,0.00247905782372,-0.014710254659,0.0188087587171
manual,supported_multimodal,points_plus_shared,scene,0.406888327019,0.448932906702,166,22,-0.0420445796826,-0.0799089151025,-0.00481551712793
manual,supported_multimodal,scene_AI,scene,0.454776168232,0.448932906702,166,22,0.00584326152995,-0.00229431914983,0.015018901924
semi,half_TV,C_da3_layer11_global,constant,0.160348160853,0.108284349708,42,12,0.0520638111446,0.0202787061931,0.0970654174971
semi,half_TV,C_hohonet_shared_global,constant,0.148075054843,0.108284349708,42,12,0.0397907051346,0.00732882360116,0.0800985235942
semi,half_TV,model_feedback,constant,0.116800669505,0.108284349708,42,12,0.00851631979644,-0.00746084313073,0.0289373976835
