worker_id,Q_GT_interval,F_struct_interval,R_peer_interval,R_LOO_medoid_interval,active_time_interval,risk_slope_ci_half_width,risk_slope_for_simulation,support_status,source_artifact,source_artifact_sha256
18,0.8658976044241111|0.8840761262264814,1.6231861223464347e-05|0.07967817381725999,0.9764802960417309|0.9926306967251739,0.9028231458273419|0.9972474655112586,50.69539343658733|79.63044092667397,not_identifiable,not_identifiable,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
27,0.865314555016993|0.8835736487619699,1.6231861223464347e-05|0.07967817381725999,0.9623426554028496|0.9859610780242536,0.9096865055117747|0.9628179240857452,215.11154861530036|387.4112781415619,not_identifiable,not_identifiable,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
28,0.8652215245410559|0.8834648287562106,1.6231861223464347e-05|0.07967817381725999,0.9677854036802379|0.987455283049119,0.9249609936444658|0.9703482667794107,117.79713440165585|189.2566430739381,0.016003590815863545,-0.024344567576864977,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
29,0.8650794424457695|0.8833034802429471,1.7380922536885144e-05|0.08507120003233525,0.9743174503785494|0.9867240421097843,0.8892183105750009|0.9715333027537447,119.42831260659679|227.3716387471104,0.016142035525699785,-0.023650251456193577,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
30,0.8653976011065085|0.8835344791977187,1.5225304324521486e-05|0.07492776342928388,0.9713802544499129|0.9852470889422964,0.9338706587885128|0.9621758829630438,47.13700984530626|67.99158280142274,0.01600786538667825,-0.02381048458718363,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
31,0.8652997041707722|0.883449815155348,1.5225304324521486e-05|0.07492776342928388,0.9754988509449636|0.9891776709462882,0.9292478134110788|0.9657656909720574,86.21126548941677|139.85828494432974,0.016133893996601294,-0.02354085574461295,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
32,0.865124410991197|0.8833751133295703,0.0033927655909423995|0.1369138623518784,0.9724893309681688|0.9888739111342946,0.9332107642682823|0.9631096977303184,134.27590484919807|190.20579836327943,0.016112447551704254,-0.022850328747283967,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
33,0.8651904672966825|0.8834214042585095,1.571247953700126e-05|0.07723003565348169,0.9811551207634078|0.9916231575000785,0.9501813833998418|0.9720789104233432,174.60379446412398|258.03957845667156,0.01612330092550258,-0.023986096168846317,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
34,0.8649661338559986|0.8832348504068259,1.017669361962644e-05|0.05072726335249248,0.9653237953282935|0.9857550512438729,0.9023689592528741|0.9586592271884651,69.9071825230767|138.52758157690053,0.016134792930026596,-0.023635461985489922,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
35,0.8652992529887429|0.8834542914967733,1.6231861223464347e-05|0.07967817381725999,0.9725151570449322|0.9901796347697011,0.938152689043911|0.97388518455367,103.8482897695501|164.8678288452946,0.016136225126024608,-0.023312514036532058,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
36,0.865193710883081|0.8834929461855596,1.678675212479038e-05|0.08228648292382384,0.9584030334472947|0.9916760403510114,0.9182881001490247|0.9944982276369485,270.0267900894553|568.4077704974126,0.016140046321617113,-0.023018165151641148,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
37,0.864897768625299|0.8831580834691564,1.571247953700126e-05|0.07723003565348169,0.9684201238387609|0.9862982197798672,0.9037098718428825|0.9449341975760932,154.66946224278436|266.5286808589432,0.015996563856258302,-0.021113401909408847,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
14,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_evaluable_administrative_exclusion,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
