heldout_building,information,k,workers,valid_halves,requested_halves,conditional_median_Jaccard,support_version,not_a_target_convergence_selection
S9hNv5qa7GM,TS,4,W008;W018;W031;W034,17,20,0.5,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,TS,4,W011;W015;W027;W028;W029;W032;W033;W035;W036;W037,17,20,0.8,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QTSB,2,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,18,20,0.818181818182,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QTSB,2,W001;W006;W010;W011;W012;W013;W021;W029;W030;W031;W034;W035;W037,18,20,0.857142857143,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QTSB,3,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,16,20,0.6,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QTSB,3,W006;W011;W021,16,20,0.354166666667,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QTSB,3,W001;W010;W012;W013;W029;W030;W031;W034;W035;W037,16,20,0.550505050505,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QTSB,4,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,15,20,0.6,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QTSB,4,W006;W011;W021,15,20,0.428571428571,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QTSB,4,W001;W010;W012;W013;W031;W034,15,20,0.444444444444,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QTSB,4,W029;W030;W035;W037,15,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,S,2,W001;W002;W011;W014;W027;W033;W035;W036,13,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,S,2,W006;W008;W010;W012;W013;W015;W017;W018;W021;W028;W029;W030;W031;W032;W034;W037,13,20,0.75,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,S,3,W006;W008;W010;W012;W013;W015;W017;W018;W021;W028;W031;W032;W034,11,20,0.714285714286,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,S,3,W001;W002;W011;W014;W027;W033;W035;W036,11,20,0.727272727273,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,S,3,W029;W030;W037,11,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,S,4,W001;W002;W027;W036,16,20,0.733333333333,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,S,4,W006;W008;W010;W012;W013;W015;W017;W018;W021;W028;W031;W032;W034,16,20,0.615384615385,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,S,4,W011;W014;W033;W035,16,20,0.381818181818,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,S,4,W029;W030;W037,16,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QS,2,W002;W027,12,20,0.190909090909,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QS,2,W001;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,12,20,0.75,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QS,3,W002;W027,14,20,0.236111111111,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QS,3,W001;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W028;W031;W032;W033;W035;W036,14,20,0.55,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QS,3,W029;W030;W034;W037,14,20,0.55,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QS,4,W002;W027,11,20,0.5,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QS,4,W006;W008;W010;W012;W013;W015;W017;W018;W021;W028;W031,11,20,0.611111111111,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QS,4,W001;W011;W014;W032;W033;W035;W036,11,20,0.6,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QS,4,W029;W030;W034;W037,11,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,TS,2,W001;W002;W006;W010;W012;W013;W017;W021,11,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,TS,2,W008;W011;W015;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,11,20,0.733333333333,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,TS,3,W001;W002;W006;W010;W012;W013;W017;W021,14,20,1,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,TS,3,W008;W011;W015;W018;W028;W029;W030;W031;W032;W034;W035;W037,14,20,0.533333333333,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,TS,3,W027;W033;W036,14,20,0.3375,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,TS,4,W001;W002;W006;W010;W012;W013;W017;W021,13,20,1,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,TS,4,W030,13,20,0.5,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,TS,4,W008;W011;W015;W018;W028;W029;W031;W032;W034;W035;W037,13,20,0.75,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,TS,4,W027;W033;W036,13,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QTSB,2,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,13,20,0.769230769231,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QTSB,2,W001;W006;W010;W011;W012;W013;W021;W029;W030;W031;W034;W035;W037,13,20,0.785714285714,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QTSB,3,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,13,20,0.6,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QTSB,3,W006;W011;W021,13,20,0.428571428571,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QTSB,3,W001;W010;W012;W013;W029;W030;W031;W034;W035;W037,13,20,0.6,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QTSB,4,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,13,20,0.6,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QTSB,4,W006;W011;W021,13,20,0.6,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QTSB,4,W001;W010;W012;W013;W031;W034;W035,13,20,0.454545454545,3responses_2buildings_diagnostic_not_primary,True
UwV83HsGsw3,QTSB,4,W029;W030;W037,13,20,0.5,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,S,2,W001;W002;W011;W014;W027;W032;W033;W035;W036,16,20,0.55,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,S,2,W006;W008;W010;W012;W013;W015;W017;W018;W021;W028;W029;W030;W031;W034;W037,16,20,0.570833333333,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,S,3,W006;W008;W010;W012;W013;W015;W017;W018;W021;W031;W034,16,20,0.667582417582,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,S,3,W001;W002;W011;W014;W027;W032;W033;W035;W036,16,20,0.70979020979,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,S,3,W028;W029;W030;W037,16,20,0.5,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,S,4,W006;W008;W010;W012;W013;W015;W017;W018;W021;W031;W034,19,20,0.571428571429,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,S,4,W001;W002;W011;W014;W027;W032;W033;W035;W036,19,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,S,4,W028;W029;W037,19,20,0.428571428571,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,S,4,W030,19,20,0.5,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,QS,2,W002;W015;W017;W018;W021;W027,16,20,0.5,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,QS,2,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,16,20,0.84962406015,3responses_2buildings_diagnostic_not_primary,True
VFuaQ6m2Qom,QS,3,W002;W015;W017;W018;W021;W027,16,20,0.583333333333,3responses_2buildings_diagnostic_not_primary,True
