candidate,condition,rule,image_groups,images,buildings,mean_unified,mean_stable_multi,mean_current_changes,mean_undetermined,median_people
continuous_tail_manual__reference_band_bias_high,semi,G10_geometry,26,26,11,0.165384615385,0,0.142307692308,0.692307692308,6
continuous_tail_manual__reference_band_bias_high,semi,P_pattern,26,26,11,0.269230769231,0,0.0384615384615,0.692307692308,6
continuous_tail_manual__reference_band_bias_low,manual,D10_distribution,91,91,19,0.0769230769231,0,0.0659340659341,0.857142857143,5
continuous_tail_manual__reference_band_bias_low,manual,D20_distribution,91,91,19,0.0769230769231,0,0.0659340659341,0.857142857143,5
continuous_tail_manual__reference_band_bias_low,manual,G10_geometry,91,91,19,0.0675824175824,0,0.0752747252747,0.857142857143,5
continuous_tail_manual__reference_band_bias_low,manual,P_pattern,91,91,19,0.0769230769231,0,0.0659340659341,0.857142857143,5
continuous_tail_manual__reference_band_bias_low,semi,D10_distribution,26,26,10,0.0769230769231,0,0.115384615385,0.807692307692,6
continuous_tail_manual__reference_band_bias_low,semi,D20_distribution,26,26,10,0.0769230769231,0,0.115384615385,0.807692307692,6
continuous_tail_manual__reference_band_bias_low,semi,G10_geometry,26,26,10,0.0663461538462,0,0.125961538462,0.807692307692,6
continuous_tail_manual__reference_band_bias_low,semi,P_pattern,26,26,10,0.0769230769231,0,0.115384615385,0.807692307692,6
continuous_tail_manual__reference_error_high,manual,D10_distribution,93,93,18,0.0860215053763,0,0.0215053763441,0.89247311828,4
continuous_tail_manual__reference_error_high,manual,D20_distribution,93,93,18,0.0860215053763,0,0.0215053763441,0.89247311828,4
continuous_tail_manual__reference_error_high,manual,G10_geometry,93,93,18,0.0771505376344,0,0.030376344086,0.89247311828,4
continuous_tail_manual__reference_error_high,manual,P_pattern,93,93,18,0.0860215053763,0,0.0215053763441,0.89247311828,4
continuous_tail_manual__reference_error_high,semi,D10_distribution,24,24,12,0.208333333333,0,0.0416666666667,0.75,6
continuous_tail_manual__reference_error_high,semi,D20_distribution,24,24,12,0.208333333333,0,0.0416666666667,0.75,6
continuous_tail_manual__reference_error_high,semi,G10_geometry,24,24,12,0.161458333333,0,0.0885416666667,0.75,6
continuous_tail_manual__reference_error_high,semi,P_pattern,24,24,12,0.208333333333,0,0.0416666666667,0.75,6
continuous_tail_manual__reference_error_low,manual,D10_distribution,70,70,16,0.242857142857,0,0.0285714285714,0.728571428571,5.5
continuous_tail_manual__reference_error_low,manual,D20_distribution,70,70,16,0.242857142857,0,0.0285714285714,0.728571428571,5.5
continuous_tail_manual__reference_error_low,manual,G10_geometry,70,70,16,0.192142857143,0,0.0792857142857,0.728571428571,5.5
continuous_tail_manual__reference_error_low,manual,P_pattern,70,70,16,0.242857142857,0,0.0285714285714,0.728571428571,5.5
continuous_tail_manual__reference_error_low,semi,D10_distribution,25,25,11,0.44,0,0,0.56,6
continuous_tail_manual__reference_error_low,semi,D20_distribution,25,25,11,0.44,0,0,0.56,6
continuous_tail_manual__reference_error_low,semi,G10_geometry,25,25,11,0.348,0,0.092,0.56,6
continuous_tail_manual__reference_error_low,semi,P_pattern,25,25,11,0.44,0,0,0.56,6
continuous_tail_semi__point_count_high,manual,D10_distribution,74,74,20,0.162162162162,0,0.027027027027,0.810810810811,5
continuous_tail_semi__point_count_high,manual,D20_distribution,74,74,20,0.162162162162,0,0.027027027027,0.810810810811,5
continuous_tail_semi__point_count_high,manual,G10_geometry,74,74,20,0.130405405405,0,0.0587837837838,0.810810810811,5
continuous_tail_semi__point_count_high,manual,P_pattern,74,74,20,0.162162162162,0,0.027027027027,0.810810810811,5
continuous_tail_semi__point_count_high,semi,D10_distribution,23,23,10,0.173913043478,0,0.173913043478,0.652173913043,6
continuous_tail_semi__point_count_high,semi,D20_distribution,23,23,10,0.173913043478,0,0.173913043478,0.652173913043,6
continuous_tail_semi__point_count_high,semi,G10_geometry,23,23,10,0.147826086957,0,0.2,0.652173913043,6
continuous_tail_semi__point_count_high,semi,P_pattern,23,23,10,0.173913043478,0,0.173913043478,0.652173913043,6
continuous_tail_semi__point_count_low,manual,D10_distribution,89,89,19,0.123595505618,0,0.0337078651685,0.842696629213,4
continuous_tail_semi__point_count_low,manual,D20_distribution,89,89,19,0.123595505618,0,0.0337078651685,0.842696629213,4
continuous_tail_semi__point_count_low,manual,G10_geometry,89,89,19,0.101123595506,0,0.0561797752809,0.842696629213,4
continuous_tail_semi__point_count_low,manual,P_pattern,89,89,19,0.123595505618,0,0.0337078651685,0.842696629213,4
continuous_tail_semi__point_count_low,semi,D10_distribution,26,26,12,0.269230769231,0,0.115384615385,0.615384615385,6
continuous_tail_semi__point_count_low,semi,D20_distribution,26,26,12,0.269230769231,0,0.115384615385,0.615384615385,6
continuous_tail_semi__point_count_low,semi,G10_geometry,26,26,12,0.217307692308,0,0.167307692308,0.615384615385,6
continuous_tail_semi__point_count_low,semi,P_pattern,26,26,12,0.269230769231,0,0.115384615385,0.615384615385,6
local_B,manual,D10_distribution,84,84,17,0.08125,0.00863095238095,0.064880952381,0.845238095238,3
local_B,manual,D20_distribution,84,84,17,0.08125,0.0113095238095,0.0622023809524,0.845238095238,3
local_B,manual,G10_geometry,84,84,17,0.0797619047619,0.00744047619048,0.0675595238095,0.845238095238,3
local_B,manual,P_pattern,84,84,17,0.08125,0.0113095238095,0.0622023809524,0.845238095238,3
local_B,semi,D10_distribution,22,22,9,0.227272727273,0.0215909090909,0.0238636363636,0.727272727273,3
local_B,semi,D20_distribution,22,22,9,0.227272727273,0.0215909090909,0.0238636363636,0.727272727273,3
local_B,semi,G10_geometry,22,22,9,0.223863636364,0.00227272727273,0.0465909090909,0.727272727273,3
local_B,semi,P_pattern,22,22,9,0.227272727273,0.0215909090909,0.0238636363636,0.727272727273,3
local_Q,manual,D10_distribution,106,106,16,0.0625,0.0408018867925,0.0665094339623,0.830188679245,4
local_Q,manual,D20_distribution,106,106,16,0.0625,0.0443396226415,0.0629716981132,0.830188679245,4
local_Q,manual,G10_geometry,106,106,16,0.0596698113208,0.0400943396226,0.0700471698113,0.830188679245,4
local_Q,manual,P_pattern,106,106,16,0.0625,0.0443396226415,0.0629716981132,0.830188679245,4
local_Q,semi,D10_distribution,27,27,9,0.140740740741,0.037962962963,0.0435185185185,0.777777777778,4
local_Q,semi,D20_distribution,27,27,9,0.140740740741,0.0407407407407,0.0407407407407,0.777777777778,4
local_Q,semi,G10_geometry,27,27,9,0.130555555556,0.037962962963,0.0537037037037,0.777777777778,4
local_Q,semi,P_pattern,27,27,9,0.140740740741,0.0407407407407,0.0407407407407,0.777777777778,4
local_QB,manual,D10_distribution,97,97,17,0.0618556701031,0,0.0309278350515,0.907216494845,3
local_QB,manual,D20_distribution,97,97,17,0.0618556701031,0.00773195876289,0.0231958762887,0.907216494845,3
local_QB,manual,G10_geometry,97,97,17,0.060824742268,0,0.0319587628866,0.907216494845,3
local_QB,manual,P_pattern,97,97,17,0.0618556701031,0.00773195876289,0.0231958762887,0.907216494845,3
local_QB,semi,D10_distribution,23,23,8,0.0869565217391,0,0,0.913043478261,3
local_QB,semi,D20_distribution,23,23,8,0.0869565217391,0,0,0.913043478261,3
local_QB,semi,G10_geometry,23,23,8,0.0836956521739,0,0.00326086956522,0.913043478261,3
local_QB,semi,P_pattern,23,23,8,0.0869565217391,0,0,0.913043478261,3
local_QT,manual,D10_distribution,93,93,19,0.0860215053763,0.00268817204301,0.0510752688172,0.860215053763,4
local_QT,manual,D20_distribution,93,93,19,0.0860215053763,0.00564516129032,0.0481182795699,0.860215053763,4
local_QT,manual,G10_geometry,93,93,19,0.0717741935484,0.00268817204301,0.0653225806452,0.860215053763,4
local_QT,manual,P_pattern,93,93,19,0.0860215053763,0.00618279569892,0.0475806451613,0.860215053763,4
local_QT,semi,D10_distribution,26,26,10,0.0769230769231,0,0,0.923076923077,7
local_QT,semi,D20_distribution,26,26,10,0.0769230769231,0,0,0.923076923077,7
local_QT,semi,G10_geometry,26,26,10,0.0355769230769,0,0.0413461538462,0.923076923077,7
local_QT,semi,P_pattern,26,26,10,0.0769230769231,0,0,0.923076923077,7
local_QTB,manual,D10_distribution,63,63,14,0.15873015873,0,0.015873015873,0.825396825397,4
local_QTB,manual,D20_distribution,63,63,14,0.15873015873,0,0.015873015873,0.825396825397,4
local_QTB,manual,G10_geometry,63,63,14,0.102380952381,0,0.0722222222222,0.825396825397,4
local_QTB,manual,P_pattern,63,63,14,0.15873015873,0,0.015873015873,0.825396825397,4
local_QTB,semi,D10_distribution,15,15,7,0.333333333333,0,0,0.666666666667,5
local_QTB,semi,D20_distribution,15,15,7,0.333333333333,0,0,0.666666666667,5
local_QTB,semi,G10_geometry,15,15,7,0.203333333333,0,0.13,0.666666666667,5
local_QTB,semi,P_pattern,15,15,7,0.333333333333,0,0,0.666666666667,5
local_T,manual,D10_distribution,78,78,19,0.0897435897436,0.00352564102564,0.0221153846154,0.884615384615,3
local_T,manual,D20_distribution,78,78,19,0.0897435897436,0.0105769230769,0.0150641025641,0.884615384615,3
local_T,manual,G10_geometry,78,78,19,0.0884615384615,0.00352564102564,0.0233974358974,0.884615384615,3
local_T,manual,P_pattern,78,78,19,0.0897435897436,0.0105769230769,0.0150641025641,0.884615384615,3
local_T,semi,D10_distribution,21,21,11,0.047619047619,0,0,0.952380952381,3
local_T,semi,D20_distribution,21,21,11,0.047619047619,0,0,0.952380952381,3
local_T,semi,G10_geometry,21,21,11,0.0464285714286,0,0.00119047619048,0.952380952381,3
local_T,semi,P_pattern,21,21,11,0.047619047619,0,0,0.952380952381,3
local_TB,manual,D10_distribution,88,88,18,0.102272727273,0.00511363636364,0.0403409090909,0.852272727273,3.5
local_TB,manual,D20_distribution,88,88,18,0.102272727273,0.0110795454545,0.034375,0.852272727273,3.5
local_TB,manual,G10_geometry,88,88,18,0.0948863636364,0.00511363636364,0.0477272727273,0.852272727273,3.5
local_TB,manual,P_pattern,88,88,18,0.102272727273,0.0110795454545,0.034375,0.852272727273,3.5
local_TB,semi,D10_distribution,28,28,10,0.142857142857,0.0214285714286,0.0142857142857,0.821428571429,7
local_TB,semi,D20_distribution,28,28,10,0.142857142857,0.0214285714286,0.0142857142857,0.821428571429,7
local_TB,semi,G10_geometry,28,28,10,0.0803571428571,0.0125,0.0857142857143,0.821428571429,7
local_TB,semi,P_pattern,28,28,10,0.142857142857,0.0214285714286,0.0142857142857,0.821428571429,7
local_quality_time_edit,manual,D10_distribution,21,21,8,0.142857142857,0,0.047619047619,0.809523809524,3
local_quality_time_edit,manual,D20_distribution,21,21,8,0.142857142857,0,0.047619047619,0.809523809524,3
local_quality_time_edit,manual,G10_geometry,21,21,8,0.114285714286,0,0.0761904761905,0.809523809524,3
local_quality_time_edit,manual,P_pattern,21,21,8,0.142857142857,0,0.047619047619,0.809523809524,3
local_quality_time_edit,semi,D10_distribution,9,9,5,0.222222222222,0,0,0.777777777778,3
local_quality_time_edit,semi,D20_distribution,9,9,5,0.222222222222,0,0,0.777777777778,3
local_quality_time_edit,semi,G10_geometry,9,9,5,0.0916666666667,0,0.130555555556,0.777777777778,3
local_quality_time_edit,semi,P_pattern,9,9,5,0.222222222222,0,0,0.777777777778,3
