heldout_building,information,k,label,workers,n_training_members,n_qualified_workers,population_fraction,mean_recovery,median_recovery,p10_recovery,coverage80_fraction,median_global_ARI,strict_local_recovered,relaxed_local_recovered,training_buildings,historical_metric_source,axis_centroids,selection
7y3sRwLe3Va,TB,4,B,W001;W002;W010;W012;W013;W017;W018;W030,8,23,0.347826086957,0.773333333333,0.875,0.5,0.825,0.790402258292,True,True,2t7WUuJeko7;B6ByNegPMKs;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""time"": -0.5777460836155464, ""edit"": 0.6102560712785112, ""benefit"": 0.1854226118536328}",training_membership_recovery_only
7y3sRwLe3Va,QTB,6,E,W001;W010;W012;W013;W030,5,23,0.217391304348,0.690327380952,0.8,0.333333333333,0.9,0.625007410921,True,True,2t7WUuJeko7;B6ByNegPMKs;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.5597525872111939, ""time"": -0.733290578201786, ""edit"": 0.9583644458392332, ""benefit"": -0.21756104591236575}",training_membership_recovery_only
7y3sRwLe3Va,quality_time_edit,10,H,W001;W012;W030,3,23,0.130434782609,0.69875,0.75,0,0.85,0.525546028509,True,True,2t7WUuJeko7;B6ByNegPMKs;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.6935225271138129, ""time"": -0.6678564877814077, ""edit"": 2.1364505371637965}",training_membership_recovery_only
B6ByNegPMKs,Q,2,B,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,24,0.75,0.874017066712,0.888888888889,0.716666666667,1,0.657221194843,True,True,2t7WUuJeko7;7y3sRwLe3Va;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.6116744117342684}",training_membership_recovery_only
B6ByNegPMKs,T,6,A,W006;W013;W021,3,23,0.130434782609,0.833333333333,1,0.58,0.975,0.583473232606,True,True,2t7WUuJeko7;7y3sRwLe3Va;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""time"": -1.2124872955274733}",training_membership_recovery_only
B6ByNegPMKs,QT,4,C,W001;W006;W010;W012;W013;W021;W030,7,23,0.304347826087,0.827767857143,0.857142857143,0.6,1,0.5119710506,True,True,2t7WUuJeko7;7y3sRwLe3Va;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.2030105047802675, ""time"": -0.8926312456288824}",training_membership_recovery_only
B6ByNegPMKs,TB,4,B,W001;W002;W010;W012;W013;W017;W018;W030,8,23,0.347826086957,0.738888888889,0.875,0.494444444444,0.825,0.755604557148,True,True,2t7WUuJeko7;7y3sRwLe3Va;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""time"": -0.5895756658280578, ""edit"": 0.5330522139912228, ""benefit"": 0.22573355439000922}",training_membership_recovery_only
B6ByNegPMKs,QTB,5,D,W001;W010;W012;W013;W030,5,23,0.217391304348,0.683025793651,0.8,0.322222222222,0.875,0.556962025316,True,True,2t7WUuJeko7;7y3sRwLe3Va;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.5630332957582489, ""time"": -0.7555472818554628, ""edit"": 0.8191150555154796, ""benefit"": -0.1335283871325381}",training_membership_recovery_only
S9hNv5qa7GM,Q,2,B,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,24,0.75,0.809637493355,0.818181818182,0.576608187135,1,0.361997226075,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.6008679033755335}",training_membership_recovery_only
S9hNv5qa7GM,T,2,A,W001;W002;W006;W010;W012;W013;W017;W021;W030,9,23,0.391304347826,0.910344794095,1,0.75,1,1,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""time"": -0.7922832893733492}",training_membership_recovery_only
S9hNv5qa7GM,B,3,A,W006;W011;W021,3,24,0.125,0.709734848485,1,0.245454545455,0.8,0.729310935892,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""edit"": -3.945434296966296, ""benefit"": -1.84157573288356}",training_membership_recovery_only
S9hNv5qa7GM,QT,3,B,W001;W006;W010;W012;W013;W021;W030,7,23,0.304347826087,0.880376984127,0.875,0.7,1,0.65089666582,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.21167013021363526, ""time"": -0.8946514442743496}",training_membership_recovery_only
S9hNv5qa7GM,QB,4,D,W001;W012;W029;W030;W031;W034;W035;W037,8,24,0.333333333333,0.758337418301,0.888888888889,0.342647058824,0.85,0.594827586207,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 1.0960477052316424, ""edit"": 2.1238958234131644, ""benefit"": -0.9676195573370024}",training_membership_recovery_only
S9hNv5qa7GM,TB,4,B,W001;W002;W010;W012;W013;W017;W018;W030,8,23,0.347826086957,0.740928030303,0.8375,0.370833333333,0.85,0.723739286426,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""time"": -0.5832351857681526, ""edit"": 0.5652984126803933, ""benefit"": 0.2563719318792119}",training_membership_recovery_only
S9hNv5qa7GM,QTB,5,B,W006;W011;W021,3,23,0.130434782609,0.730416666667,1,0,0.8,0.634506242906,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": -0.4665583760832519, ""time"": -0.8412389025689144, ""edit"": -3.945434296966296, ""benefit"": -1.84157573288356}",training_membership_recovery_only
S9hNv5qa7GM,quality_time_edit,10,H,W001;W012;W030,3,23,0.130434782609,0.748333333333,1,0,0.875,0.574652777778,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.5096756764142777, ""time"": -0.6965065225727524, ""edit"": 2.06159909738833}",training_membership_recovery_only
UwV83HsGsw3,Q,2,B,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,24,0.75,0.831240031898,0.837719298246,0.655555555556,1,0.48231511254,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.542020445321682}",training_membership_recovery_only
UwV83HsGsw3,T,2,A,W001;W002;W006;W010;W012;W013;W017;W021;W030,9,23,0.391304347826,0.975631313131,1,0.9,1,1,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""time"": -0.7942321896297804}",training_membership_recovery_only
UwV83HsGsw3,B,3,B,W002;W008;W010;W013;W014;W015;W017;W018;W027;W028;W032;W033;W036,13,24,0.541666666667,0.762446199634,0.823076923077,0.530769230769,0.9,0.709135282046,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""edit"": -0.38384708813133206, ""benefit"": 1.0003202672850309}",training_membership_recovery_only
UwV83HsGsw3,QT,4,B,W001;W006;W010;W012;W013;W021;W030,7,23,0.304347826087,0.808382936508,0.857142857143,0.666666666667,1,0.479608738521,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.24840640424686994, ""time"": -0.889992350562145}",training_membership_recovery_only
UwV83HsGsw3,QB,4,D,W001;W012;W029;W030;W031;W034;W035;W037,8,24,0.333333333333,0.797517135642,0.888888888889,0.4375,0.875,0.594827586207,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 1.0616100066183711, ""edit"": 2.103467903411618, ""benefit"": -0.9353576428547091}",training_membership_recovery_only
UwV83HsGsw3,TB,4,B,W001;W002;W010;W012;W013;W017;W030,7,23,0.304347826087,0.816071428571,0.857142857143,0.571428571429,0.9,0.681300813008,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""time"": -0.6679645868615036, ""edit"": 0.6497237333496397, ""benefit"": 0.14523429635629878}",training_membership_recovery_only
UwV83HsGsw3,QTB,5,D,W001;W010;W012;W013;W030,5,23,0.217391304348,0.692989718615,0.8,0.360606060606,0.9,0.543309032497,True,True,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ,history/worker_axes_historical.jsonl.gz; retain original metric_version,"{""quality"": 0.5427254048453053, ""time"": -0.751521771059503, ""edit"": 0.9152493096424287, ""benefit"": -0.1524868361304025}",training_membership_recovery_only
