cohort,pool,k,partitions,expected_clusters_mean,expected_fraction_mean,weighting
all_archived_N20,current20_archived_members,11,63,2.9495071945407343,0.7047518322131172,equal_partition_available_at_k
all_archived_N20,current20_archived_members,12,63,3.0670893188584474,0.724374792818021,equal_partition_available_at_k
all_archived_N20,current20_archived_members,13,63,3.17874912148095,0.7429944956894684,equal_partition_available_at_k
all_archived_N20,current20_archived_members,14,63,3.2850873097777127,0.7607030762295149,equal_partition_available_at_k
all_archived_N20,current20_archived_members,15,63,3.3865976215047424,0.7775760214458062,equal_partition_available_at_k
all_archived_N20,current20_archived_members,16,63,3.483685247978334,0.7936754790612474,equal_partition_available_at_k
all_archived_N20,current20_archived_members,17,63,3.576677805625174,0.8090523375182941,equal_partition_available_at_k
all_archived_N20,current20_archived_members,18,63,3.6658312447786128,0.8237474152135806,equal_partition_available_at_k
all_archived_N20,current20_archived_members,19,60,3.5791666666666666,0.837088548026048,equal_partition_available_at_k
all_archived_N20,current20_archived_members,20,51,3.2549019607843137,0.8454038880509468,equal_partition_available_at_k
same_partitions_current20_N20,all_archived_members,1,51,1.0,0.4079275299863535,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,2,51,1.3335999578710576,0.4818073447186832,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,3,51,1.5655523802710503,0.5281666565920311,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,4,51,1.7593783823451346,0.5665193711505975,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,5,51,1.9308934891853184,0.6005248142207068,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,6,51,2.086619356175151,0.6315117465932033,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,7,51,2.2301072331270757,0.6601700398435831,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,8,51,2.3636364058005794,0.6869378763890468,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,9,51,2.4888202529537957,0.7121258149365962,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,10,51,2.60687290403882,0.7359680869839409,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,11,51,2.7187459764063773,0.7586481916610716,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,12,51,2.825207105901681,0.7803135919681561,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,13,51,2.9268888274808043,0.8010850426010182,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,14,51,3.0243206556077027,0.8210628818291422,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,15,51,3.1179509183424683,0.8403314223777947,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,16,51,3.208162040724099,0.8589620747055962,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,17,51,3.29528149161478,0.8770155910253309,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,18,51,3.3795897905656953,0.8945436870795215,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,19,51,3.4613265166206344,0.9115902260659904,equal_partition_fixed_cohort
same_partitions_current20_N20,all_archived_members,20,51,3.540694996960982,0.9281921055529628,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,1,51,1.0,0.4079275299863535,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,2,51,1.3131062951496388,0.4738701485992508,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,3,51,1.5308909528723773,0.5155497708155087,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,4,51,1.7112487100103198,0.5497056215692772,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,5,51,1.8691950464396283,0.5796733861342426,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,6,51,2.011016511867905,0.6066766950555195,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,7,51,2.1402567838280824,0.6313734818138046,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,8,51,2.259259207374305,0.6541883006543359,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,9,51,2.369713727358054,0.6754230121039445,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,10,51,2.4729007712981486,0.6953038815700443,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,11,51,2.56982171291951,0.7140058217327839,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,12,51,2.6612778952971996,0.731666918555767,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,13,51,2.7479218519193016,0.7483980548417051,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,14,51,2.830291487079868,0.7642895892579465,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,15,51,2.9088331410995774,0.7794160503104685,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,16,51,2.983917116898359,0.7938394002781183,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,17,51,3.0558479532163743,0.8076112368024133,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,18,51,3.1248710010319916,0.8207742017184742,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,19,51,3.1911764705882355,0.8333628109363405,equal_partition_fixed_cohort
same_partitions_current20_N20,current20_archived_members,20,51,3.2549019607843137,0.8454038880509468,equal_partition_fixed_cohort
