partition_id,context_key,cluster_id,method,rank,original_support,calculable_support,representative_id,medoid_enclosed,medoid_extended,semantic_label,representative_role
extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1|0|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|cluster3,historical_pairmap_unaveraged,3,2,2,432c6ebaa6bb7a54b3a9,0.10644615337868801,0.10272116123526576,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1|0|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|cluster4,serialized_adjacency,4,1,1,d6f4c71d3816fc9fef4a,0.13142967272127615,0.12423901921290403,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1|0|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,extended73|C1|manual|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|cluster4,historical_pairmap_unaveraged,4,1,1,d6f4c71d3816fc9fef4a,0.13142967272127615,0.12423901921290403,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster1,serialized_adjacency,1,5,1,8b3873aaa11c92de279f,0.3115252857765003,0.3106470419841745,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster1,historical_pairmap_unaveraged,1,5,5,70f54069db5f45b1c3a9,0.18965599535602362,0.19085713232414325,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster2,serialized_adjacency,2,5,4,4aa250b1a35849403e62,0.14654656691962753,0.1550841602490055,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster2,historical_pairmap_unaveraged,2,5,5,4aa250b1a35849403e62,0.2943196735798229,0.2896066038236329,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster3,serialized_adjacency,3,4,4,dc3b60d3ab46195c79f2,0.86737859305442,0.8676726645627932,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster3,historical_pairmap_unaveraged,3,4,4,dc3b60d3ab46195c79f2,0.86737859305442,0.8676726645627932,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster4,serialized_adjacency,4,4,2,4203b3767e3303cffd5c,0.3032801441947691,0.30450717368861535,,sensitivity_display_medoid_not_semantic_cluster
