analysis_role,outer_fold,building_id,base_task_id,condition,method,selected_worker_id,status,public_gt_quality,delivery_adjusted_quality,structurally_valid,corner_count,a0_reconstruction_match,severe_geometric_error_status,topology_error_status,training_buildings_excluded_test_building,inner_tuning,gt_used_for_selection
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,A_oracle_evaluator_only,,not_evaluable_reference,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,True
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,A0_current_largest_cluster_medoid,2,estimated,0.9722104498395593,0.9722104498395593,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,A1_global_medoid_over_all_legal_submissions,2,estimated,0.9722104498395593,0.9722104498395593,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,A2_cross_fitted_worker_quality_weighted_medoid,2,estimated,0.9722104498395593,0.9722104498395593,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,A3_cluster_support_plus_worker_quality_selector,2,estimated,0.9722104498395593,0.9722104498395593,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,A4_image_evidence_weighted_cluster_selector,,source_absent_no_frozen_preoutcome_image_evidence,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,A5_topology_preserving_variable_corner_selector,2,estimated,0.9722104498395593,0.9722104498395593,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,A_oracle_evaluator_only,2,evaluator_only,0.9722104498395593,0.9722104498395593,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,True
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,A0_current_largest_cluster_medoid,15,estimated,0.9521166408435916,0.9521166408435916,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,A1_global_medoid_over_all_legal_submissions,31,estimated,0.9558182527433389,0.9558182527433389,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,A2_cross_fitted_worker_quality_weighted_medoid,31,estimated,0.9558182527433389,0.9558182527433389,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,A3_cluster_support_plus_worker_quality_selector,15,estimated,0.9521166408435916,0.9521166408435916,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
