analysis_role,outer_fold,method,n_tasks,n_evaluable,mean_public_gt_quality,coverage,status
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:x8F5xyUWy9e,A4_image_evidence_weighted_cluster_selector,2,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:x8F5xyUWy9e,A5_topology_preserving_variable_corner_selector,2,2,0.9414082470687439,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:x8F5xyUWy9e,A_oracle_evaluator_only,2,2,0.9582286770927083,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:yqstnuAEVhm,A0_current_largest_cluster_medoid,12,11,0.9221406941631394,0.9166666666666666,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:yqstnuAEVhm,A1_global_medoid_over_all_legal_submissions,12,6,0.9060658001038702,0.5,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:yqstnuAEVhm,A2_cross_fitted_worker_quality_weighted_medoid,12,6,0.9145045855565263,0.5,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:yqstnuAEVhm,A3_cluster_support_plus_worker_quality_selector,12,11,0.8988042845323517,0.9166666666666666,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:yqstnuAEVhm,A4_image_evidence_weighted_cluster_selector,12,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:yqstnuAEVhm,A5_topology_preserving_variable_corner_selector,12,11,0.8850795471780053,0.9166666666666666,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:yqstnuAEVhm,A_oracle_evaluator_only,12,10,0.9456498835967576,0.8333333333333334,estimated
